
 Nodal results 
Node x:0.0, y:-6.0, Vector potential = 0
Node x:0.0, y:-6.0, Bx = 0
Node x:0.0, y:-6.0, By = 0
Node x:0.0, y:-6.0, Sigma = 0
Node x:0.0, y:-6.0, E = 0
Node x:0.0, y:-6.0, Hx = 0
Node x:0.0, y:-6.0, Hy = 0
Node x:0.0, y:-6.0, Je = 0
Node x:0.0, y:-6.0, Js = 0
Node x:0.0, y:-6.0, Mux = 1
Node x:0.0, y:-6.0, Muy = 1
Node x:0.0, y:-6.0, Pe = 0
Node x:0.0, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:-5.0, Vector potential = 0
Node x:0.0, y:-5.0, Bx = 0
Node x:0.0, y:-5.0, By = 0.0003331539146236061
Node x:0.0, y:-5.0, Sigma = 0
Node x:0.0, y:-5.0, E = 0.04416212693194273
Node x:0.0, y:-5.0, Hx = 0
Node x:0.0, y:-5.0, Hy = 265.1154616138109
Node x:0.0, y:-5.0, Je = 0
Node x:0.0, y:-5.0, Js = 0
Node x:0.0, y:-5.0, Mux = 1
Node x:0.0, y:-5.0, Muy = 1
Node x:0.0, y:-5.0, Pe = 0
Node x:0.0, y:-5.0, Ph = 0

 Nodal results 
Node x:1.0, y:-6.0, Vector potential = 0
Node x:1.0, y:-6.0, Bx = -0.000188613387423186
Node x:1.0, y:-6.0, By = 0.0001528495097968947
Node x:1.0, y:-6.0, Sigma = 0
Node x:1.0, y:-6.0, E = 0.0234506781508789
Node x:1.0, y:-6.0, Hx = -150.0937647085339
Node x:1.0, y:-6.0, Hy = 121.6337751667443
Node x:1.0, y:-6.0, Je = 0
Node x:1.0, y:-6.0, Js = 0
Node x:1.0, y:-6.0, Mux = 1
Node x:1.0, y:-6.0, Muy = 1
Node x:1.0, y:-6.0, Pe = 0
Node x:1.0, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:-3.0, Vector potential = -1.270549420881451e-021
Node x:0.0, y:-3.0, Bx = 0
Node x:0.0, y:-3.0, By = 0.001078987414734602
Node x:0.0, y:-3.0, Sigma = 0
Node x:0.0, y:-3.0, E = 0.4632259690898146
Node x:0.0, y:-3.0, Hx = 0
Node x:0.0, y:-3.0, Hy = 858.630902944784
Node x:0.0, y:-3.0, Je = 0
Node x:0.0, y:-3.0, Js = 0
Node x:0.0, y:-3.0, Mux = 1
Node x:0.0, y:-3.0, Muy = 1
Node x:0.0, y:-3.0, Pe = 0
Node x:0.0, y:-3.0, Ph = 0

 Nodal results 
Node x:1.4375, y:-4.596873514985513, Vector potential = 4.025100246318518e-007
Node x:1.4375, y:-4.596873514985513, Bx = -0.0002492298252963036
Node x:1.4375, y:-4.596873514985513, By = 0.0005826616009802076
Node x:1.4375, y:-4.596873514985513, Sigma = 0
Node x:1.4375, y:-4.596873514985513, E = 0.1597955604680075
Node x:1.4375, y:-4.596873514985513, Hx = -198.3307933091811
Node x:1.4375, y:-4.596873514985513, Hy = 463.6673697291878
Node x:1.4375, y:-4.596873514985513, Je = 0
Node x:1.4375, y:-4.596873514985513, Js = 0
Node x:1.4375, y:-4.596873514985513, Mux = 1
Node x:1.4375, y:-4.596873514985513, Muy = 1
Node x:1.4375, y:-4.596873514985513, Pe = 0
Node x:1.4375, y:-4.596873514985513, Ph = 0

 Nodal results 
Node x:1.875, y:-6.0, Vector potential = -2.902656677627338e-022
Node x:1.875, y:-6.0, Bx = -0.0004569066214089523
Node x:1.875, y:-6.0, By = 0.0002374977314398849
Node x:1.875, y:-6.0, Sigma = 0
Node x:1.875, y:-6.0, E = 0.1055073263649553
Node x:1.875, y:-6.0, Hx = -363.5947366432599
Node x:1.875, y:-6.0, Hy = 188.9946896588456
Node x:1.875, y:-6.0, Je = 0
Node x:1.875, y:-6.0, Js = 0
Node x:1.875, y:-6.0, Mux = 1
Node x:1.875, y:-6.0, Muy = 1
Node x:1.875, y:-6.0, Pe = 0
Node x:1.875, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:0.0, Vector potential = 8.470329472543003e-022
Node x:0.0, y:0.0, Bx = 0
Node x:0.0, y:0.0, By = 0.001479388653481173
Node x:0.0, y:0.0, Sigma = 0
Node x:0.0, y:0.0, E = 0.870812605808398
Node x:0.0, y:0.0, Hx = 0
Node x:0.0, y:0.0, Hy = 1177.260084777959
Node x:0.0, y:0.0, Je = 0
Node x:0.0, y:0.0, Js = 0
Node x:0.0, y:0.0, Mux = 1
Node x:0.0, y:0.0, Muy = 1
Node x:0.0, y:0.0, Pe = 0
Node x:0.0, y:0.0, Ph = 0

 Nodal results 
Node x:2.50401030112025, y:-1.815497236019598, Vector potential = 2.884711166844159e-006
Node x:2.50401030112025, y:-1.815497236019598, Bx = -0.0002422436274153469
Node x:2.50401030112025, y:-1.815497236019598, By = 0.001533653916222902
Node x:2.50401030112025, y:-1.815497236019598, Sigma = 0
Node x:2.50401030112025, y:-1.815497236019598, E = 0.9592174159715119
Node x:2.50401030112025, y:-1.815497236019598, Hx = -192.7713536783191
Node x:2.50401030112025, y:-1.815497236019598, Hy = 1220.443008795592
Node x:2.50401030112025, y:-1.815497236019598, Je = 0
Node x:2.50401030112025, y:-1.815497236019598, Js = 0
Node x:2.50401030112025, y:-1.815497236019598, Mux = 1
Node x:2.50401030112025, y:-1.815497236019598, Muy = 1
Node x:2.50401030112025, y:-1.815497236019598, Pe = 0
Node x:2.50401030112025, y:-1.815497236019598, Ph = 0

 Nodal results 
Node x:3.771267811971679, y:-4.231742045269161, Vector potential = 3.379838628857018e-006
Node x:3.771267811971679, y:-4.231742045269161, Bx = -0.0008009275789224235
Node x:3.771267811971679, y:-4.231742045269161, By = 0.0007911011270731818
Node x:3.771267811971679, y:-4.231742045269161, Sigma = 0
Node x:3.771267811971679, y:-4.231742045269161, E = 0.5042529855385859
Node x:3.771267811971679, y:-4.231742045269161, Hx = -637.357916220639
Node x:3.771267811971679, y:-4.231742045269161, Hy = 629.5382742963326
Node x:3.771267811971679, y:-4.231742045269161, Je = 0
Node x:3.771267811971679, y:-4.231742045269161, Js = 0
Node x:3.771267811971679, y:-4.231742045269161, Mux = 1
Node x:3.771267811971679, y:-4.231742045269161, Muy = 1
Node x:3.771267811971679, y:-4.231742045269161, Pe = 0
Node x:3.771267811971679, y:-4.231742045269161, Ph = 0

 Nodal results 
Node x:3.75, y:-6.0, Vector potential = -1.643513048456751e-021
Node x:3.75, y:-6.0, Bx = -0.0008685472173650575
Node x:3.75, y:-6.0, By = 0.0001511741222000422
Node x:3.75, y:-6.0, Sigma = 0
Node x:3.75, y:-6.0, E = 0.3092491491248179
Node x:3.75, y:-6.0, Hx = -691.1679147617989
Node x:3.75, y:-6.0, Hy = 120.3005440785748
Node x:3.75, y:-6.0, Je = 0
Node x:3.75, y:-6.0, Js = 0
Node x:3.75, y:-6.0, Mux = 1
Node x:3.75, y:-6.0, Muy = 1
Node x:3.75, y:-6.0, Pe = 0
Node x:3.75, y:-6.0, Ph = 0

 Nodal results 
Node x:0.0, y:3.0, Vector potential = 8.470329472543003e-022
Node x:0.0, y:3.0, Bx = 0
Node x:0.0, y:3.0, By = 0.001007301502251249
Node x:0.0, y:3.0, Sigma = 0
Node x:0.0, y:3.0, E = 0.4037189207511549
Node x:0.0, y:3.0, Hx = 0
Node x:0.0, y:3.0, Hy = 801.5850663358909
Node x:0.0, y:3.0, Je = 0
Node x:0.0, y:3.0, Js = 0
Node x:0.0, y:3.0, Mux = 1
Node x:0.0, y:3.0, Muy = 1
Node x:0.0, y:3.0, Pe = 0
Node x:0.0, y:3.0, Ph = 0

 Nodal results 
Node x:2.367969749049755, y:0.42231877471816304, Vector potential = 2.624429598610381e-006
Node x:2.367969749049755, y:0.42231877471816304, Bx = 0.0001015064455451186
Node x:2.367969749049755, y:0.42231877471816304, By = 0.001653029525335589
Node x:2.367969749049755, y:0.42231877471816304, Sigma = 0
Node x:2.367969749049755, y:0.42231877471816304, E = 1.091329491342667
Node x:2.367969749049755, y:0.42231877471816304, Hx = 80.77626282096962
Node x:2.367969749049755, y:0.42231877471816304, Hy = 1315.439100170042
Node x:2.367969749049755, y:0.42231877471816304, Je = 0
Node x:2.367969749049755, y:0.42231877471816304, Js = 0
Node x:2.367969749049755, y:0.42231877471816304, Mux = 1
Node x:2.367969749049755, y:0.42231877471816304, Muy = 1
Node x:2.367969749049755, y:0.42231877471816304, Pe = 0
Node x:2.367969749049755, y:0.42231877471816304, Ph = 0

 Nodal results 
Node x:3.3964268742691583, y:-0.5, Vector potential = 5.993594616064767e-006
Node x:3.3964268742691583, y:-0.5, Bx = -2.46050851487738e-005
Node x:3.3964268742691583, y:-0.5, By = 0.00187906557361515
Node x:3.3964268742691583, y:-0.5, Sigma = 0
Node x:3.3964268742691583, y:-0.5, E = 1.405136355013074
Node x:3.3964268742691583, y:-0.5, Hx = -19.58010463312167
Node x:3.3964268742691583, y:-0.5, Hy = 1495.312872173294
Node x:3.3964268742691583, y:-0.5, Je = 0
Node x:3.3964268742691583, y:-0.5, Js = 0
Node x:3.3964268742691583, y:-0.5, Mux = 1
Node x:3.3964268742691583, y:-0.5, Muy = 1
Node x:3.3964268742691583, y:-0.5, Pe = 0
Node x:3.3964268742691583, y:-0.5, Ph = 0

 Nodal results 
Node x:3.9387215208816464, y:-2.5, Vector potential = 6.824093451603754e-006
Node x:3.9387215208816464, y:-2.5, Bx = -0.0006878134832895346
Node x:3.9387215208816464, y:-2.5, By = 0.001832672001049843
Node x:3.9387215208816464, y:-2.5, Sigma = 0
Node x:3.9387215208816464, y:-2.5, E = 1.524614452660054
Node x:3.9387215208816464, y:-2.5, Hx = -547.3445789539209
Node x:3.9387215208816464, y:-2.5, Hy = 1458.394040165989
Node x:3.9387215208816464, y:-2.5, Je = 0
Node x:3.9387215208816464, y:-2.5, Js = 0
Node x:3.9387215208816464, y:-2.5, Mux = 1
Node x:3.9387215208816464, y:-2.5, Muy = 1
