X1,X2,X3,X4,X5,X6,X7,X8,IND
24.51,133.8,1.64,0.01,1.77,2.04,1.53,14.67,4553
17.35,136.7,1.42,0.02,2.93,2.11,1.54,11.88,16789
19.33,102.0,1.8,0.76,2.23,2.07,1.57,12.61,470
23.7,105.2,1.01,0.01,2.75,2.04,1.53,11.86,2624
24.72,139.5,1.47,0.01,1.9,2.02,1.52,10.83,9685
16.2,134.7,1.64,0.03,1.69,2.03,1.53,11.72,1695
23.53,138.1,0.52,0.01,3.01,2.12,1.54,14.86,16423
20.73,115.6,0.66,0.2,2.5,2.49,1.86,12.75,352
16.46,135.6,1.03,0.01,1.73,2.02,1.51,10.59,13716
16.48,139.6,1.11,0.01,3.34,2.01,1.51,12.27,13109
23.05,138.1,0.65,0.02,2.72,2.02,1.51,14.72,14383
19.24,101.0,0.93,0.36,2.62,2.04,1.53,12.57,1112
23.55,136.9,0.69,0.01,2.7,2.02,1.52,11.15,17131
24.49,111.5,0.5,0.02,2.89,2.17,1.66,12.66,659
17.42,135.5,1.65,0.01,2.89,2.02,1.51,11.48,8636
22.29,116.7,1.87,0.78,1.81,2.44,1.88,13.07,88
24.37,115.9,2.74,0.23,0.81,2.33,1.71,14.83,386
24.45,138.7,1.3,0.02,2.13,2.08,1.58,10.82,3094
24.23,96.8,0.69,0.0,2.84,2.04,1.53,14.9,7077
19.63,127.5,1.17,0.23,2.27,2.2,1.58,10.94,366
