X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,6.35,-26.0,-1449.31,90.63
20.39,93.5,2.9,0.21,1.11,2.03,1.53,12.09,8.94,-37.0,-1619.56,63.0
21.87,126.8,0.5,0.75,3.68,2.51,1.64,13.95,1.65,-40.0,-1208.0,33.88
19.48,132.7,1.53,0.29,0.96,2.35,1.84,11.06,4.25,-40.0,-1339.64,73.88
16.39,124.6,1.89,0.17,3.03,2.12,1.62,13.63,12.98,-29.0,-1637.07,81.17
21.24,120.1,1.72,0.27,2.31,2.7,1.98,13.32,8.45,-33.0,-1927.49,62.61
16.15,136.0,2.07,0.58,1.93,2.3,1.8,12.87,0.05,-46.0,-1207.46,48.32
21.91,139.8,0.5,0.14,3.65,2.38,1.53,13.78,7.31,-34.0,-1540.16,72.51
24.23,116.9,0.93,0.02,0.59,2.14,1.62,14.3,4.47,-32.0,-1932.68,61.0
20.53,127.4,0.93,0.28,2.55,2.76,1.78,10.09,12.38,-25.0,-1822.84,66.45
17.33,124.6,1.86,0.86,3.11,2.26,1.57,10.3,1.94,-46.0,-1095.19,27.74
21.2,126.3,1.05,0.02,0.75,2.54,1.8,12.84,5.08,-34.0,-1613.88,71.31
24.89,106.4,0.5,0.55,3.09,2.46,1.63,10.33,5.92,-42.0,-1479.11,21.7
24.25,81.1,0.73,0.74,2.48,2.2,1.7,10.07,3.75,-45.0,-1363.56,42.7
21.17,135.9,3.8,0.56,0.5,2.52,1.7,12.43,9.4,-25.0,-2048.82,68.32
20.5,134.1,3.92,0.4,0.5,2.14,1.56,10.68,8.09,-32.0,-1696.23,77.87
15.22,135.8,3.39,0.02,1.12,2.16,1.57,14.05,5.52,-48.0,-1235.79,58.92
24.4,106.6,3.16,0.84,0.5,2.5,1.77,13.99,4.57,-32.0,-1862.2,64.43
19.9,107.9,0.55,0.59,2.02,2.27,1.66,14.46,8.63,-25.0,-1805.42,70.51
16.84,123.0,2.64,0.05,1.97,2.15,1.65,10.0,15.63,-28.0,-1609.53,51.88
18.77,137.9,2.62,0.83,1.88,2.46,1.64,12.93,11.3,-25.0,-1906.08,79.51
23.58,120.4,1.98,0.86,1.63,2.56,1.73,11.91,6.57,-32.0,-1871.88,64.3
22.98,130.4,3.46,0.66,0.5,2.55,1.93,12.64,7.39,-25.0,-2087.35,57.86
20.72,118.7,1.63,0.77,2.49,2.4,1.67,10.34,6.05,-43.0,-1383.35,53.04
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,7.47,-45.0,-979.54,71.0
20.0,118.3,1.02,0.25,3.48,2.5,1.81,11.17,1.63,-46.0,-1292.49,31.69
20.16,98.2,1.03,0.62,2.4,2.1,1.57,13.76,3.55,-46.0,-1290.57,35.72
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.33,8.47,-34.0,-1622.2,74.3
23.26,128.3,0.85,0.65,2.96,2.7,1.9,10.17,9.56,-25.0,-1731.8,53.06
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,7.44,-44.0,-1152.5,71.94
24.48,77.7,1.43,0.08,1.98,2.14,1.64,14.01,4.51,-47.0,-1731.04,59.43
22.66,87.4,0.5,0.43,3.3,2.16,1.57,10.39,0.29,-43.0,-1278.34,50.7
19.78,97.9,0.5,0.4,3.91,2.05,1.55,10.63,9.9,-33.0,-1186.26,103.41
24.32,134.9,3.2,0.92,0.5,2.16,1.61,11.57,2.8,-43.0,-1699.3,78.45
21.07,93.1,0.92,0.19,2.96,2.1,1.6,11.74,0.91,-47.0,-1421.26,30.12
17.29,113.1,2.24,0.52,1.11,2.03,1.53,14.08,9.51,-25.0,-1615.14,85.36
24.76,132.1,2.58,0.03,0.83,2.26,1.73,11.88,6.36,-32.0,-2120.76,58.61
16.68,137.8,2.17,0.82,2.71,2.42,1.74,10.07,5.65,-45.0,-1145.44,34.53
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,11.48,-25.0,-1882.46,74.58
24.15,111.5,0.5,0.48,3.26,2.74,1.82,13.37,5.48,-38.0,-1620.17,39.61
19.28,124.6,1.74,0.21,2.66,2.53,1.87,13.72,3.54,-48.0,-1468.44,62.56
22.06,98.2,0.94,0.98,1.06,2.32,1.72,12.02,2.35,-43.0,-1246.74,74.75
