X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,-46.0,-980.05,67.96,20.86
18.97,103.1,1.97,0.69,1.22,2.05,1.51,13.35,-43.0,-1222.07,47.91,20.62
19.17,104.7,0.99,0.2,3.3,2.11,1.61,13.46,-47.0,-1408.07,46.16,20.84
23.76,131.6,0.8,0.04,1.09,2.49,1.55,12.11,-44.0,-1531.42,73.77,20.19
24.58,102.7,0.5,0.32,3.14,2.42,1.51,13.75,-41.0,-1468.84,37.68,20.47
24.89,119.9,1.48,0.79,0.86,2.68,1.95,11.47,-44.0,-1562.03,85.6,21.44
16.39,124.6,1.89,0.17,3.03,2.12,1.62,13.63,-47.0,-1484.33,53.06,20.95
23.83,109.9,2.12,0.35,1.44,2.66,1.71,14.82,-40.0,-1597.44,63.05,19.28
21.63,109.7,0.9,0.95,2.07,2.49,1.7,11.19,-44.0,-1238.69,61.03,20.81
24.03,105.9,0.51,0.62,1.64,2.7,1.94,11.79,-45.0,-1380.38,78.94,21.42
24.09,109.9,0.56,0.93,2.92,2.59,1.59,10.69,-46.0,-1360.19,63.1,19.16
24.33,115.7,0.73,0.76,3.01,2.82,1.86,10.62,-43.0,-1421.47,62.76,19.11
23.07,91.0,3.26,0.75,0.5,2.1,1.53,10.61,-44.0,-1376.79,83.59,18.75
21.06,105.5,1.61,0.99,2.53,2.37,1.78,13.73,-43.0,-1369.85,41.92,21.08
17.6,124.4,1.18,0.64,2.34,2.29,1.63,10.33,-45.0,-1009.12,29.97,19.47
22.35,121.8,3.52,0.93,0.55,2.42,1.81,14.75,-41.0,-1455.49,63.1,19.05
24.5,104.5,3.13,0.64,0.5,2.54,1.8,12.75,-44.0,-1511.06,83.35,19.44
24.26,133.5,1.88,0.96,1.11,2.13,1.57,12.53,-43.0,-1660.52,73.77,19.58
15.22,135.8,3.39,0.02,1.12,2.16,1.57,14.05,-45.0,-1307.33,49.89,20.15
18.45,135.2,2.54,0.88,2.02,2.64,1.73,12.73,-43.0,-1227.97,47.33,19.56
22.99,82.9,2.22,0.6,0.55,2.1,1.6,14.04,-42.0,-1387.24,68.22,20.56
18.15,131.4,1.35,0.18,3.26,2.34,1.53,12.1,-46.0,-1281.44,36.49,20.48
21.79,133.5,0.5,0.98,1.82,2.78,1.8,14.14,-43.0,-1325.13,60.51,20.38
20.75,110.2,0.95,0.59,3.13,2.43,1.88,13.49,-44.0,-1373.26,37.93,21.23
23.64,85.8,2.85,0.45,0.51,2.24,1.7,11.59,-44.0,-1446.53,83.05,21.39
21.22,94.4,3.62,0.68,0.5,2.15,1.65,13.99,-43.0,-1293.57,68.04,20.41
23.8,132.3,2.19,0.27,1.38,2.68,1.76,14.01,-42.0,-1676.35,66.23,20.64
20.72,118.7,1.63,0.77,2.49,2.4,1.67,10.34,-44.0,-1320.93,47.72,19.17
19.16,109.3,1.32,0.1,2.31,2.2,1.58,13.11,-46.0,-1376.5,41.26,20.25
20.44,112.3,1.01,0.75,1.28,2.43,1.89,10.11,-46.0,-1082.12,74.79,20.75
18.24,129.8,3.46,0.54,1.13,2.5,1.91,14.27,-42.0,-1390.43,54.83,20.57
23.62,115.4,1.54,0.19,2.05,2.78,1.99,11.02,-44.0,-1611.56,66.75,20.75
24.59,124.3,0.61,0.71,2.13,2.58,1.61,11.34,-44.0,-1530.91,71.94,21.2
23.46,94.3,3.23,0.63,0.5,2.05,1.51,10.33,-44.0,-1447.09,84.04,19.38
19.78,97.9,0.5,0.4,3.91,2.05,1.55,10.63,-44.0,-1134.45,86.22,18.74
24.09,92.1,1.37,0.17,0.92,2.43,1.57,11.32,-44.0,-1371.43,79.71,20.9
23.19,84.8,3.15,0.27,0.5,2.17,1.67,11.83,-45.0,-1434.44,79.2,20.89
19.34,101.0,1.26,0.03,3.01,2.05,1.51,12.61,-48.0,-1474.26,39.43,18.83
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.05,-44.0,-1210.01,44.94,20.41
24.37,127.5,2.64,0.23,0.81,2.28,1.66,10.87,-44.0,-1759.76,82.14,19.65
21.07,93.1,0.92,0.19,2.96,2.1,1.6,11.74,-47.0,-1420.33,33.85,21.2
23.17,107.5,3.36,0.9,0.5,2.06,1.55,10.33,-44.0,-1459.86,84.77,19.48
21.69,98.2,0.55,0.35,2.22,2.28,1.73,12.29,-44.0,-1276.82,43.25,20.26
22.55,97.1,0.94,0.31,2.27,2.36,1.86,10.65,-45.0,-1426.73,47.52,19.25
22.74,94.2,3.39,0.35,0.5,2.32,1.65,13.67,-43.0,-1400.48,69.48,20.78
21.75,124.0,0.78,0.23,1.23,2.82,1.86,12.77,-44.0,-1274.75,71.12,19.77
18.05,126.8,1.91,0.92,2.97,2.3,1.56,14.88,-41.0,-1271.04,46.97,19.1
24.45,94.0,0.5,0.06,3.04,2.3,1.7,11.5,-45.0,-1537.55,34.19,21.08
15.8,132.4,1.8,0.53,2.23,2.16,1.6,10.38,-46.0,-1056.49,29.9,19.5
17.17,120.7,3.03,0.18,1.74,2.16,1.66,12.79,-46.0,-1501.81,51.4,19.6
19.03,120.7,3.01,0.99,1.47,2.42,1.92,14.29,-42.0,-1398.76,58.91,20.29
22.29,101.3,1.93,0.78,1.81,2.44,1.88,13.07,-44.0,-1482.72,65.84,20.83
19.02,115.8,0.51,0.78,3.64,2.18,1.56,11.1,-43.0,-1055.24,63.97,20.15
18.02,130.6,2.4,0.29,0.98,2.46,1.81,11.62,-45.0,-1175.36,52.56,21.33
18.15,110.1,3.57,0.45,0.97,2.08,1.58,10.66,-45.0,-1295.53,58.49,18.92
19.33,132.7,2.37,0.77,2.27,2.67,1.92,10.34,-44.0,-1312.01,55.72,19.75
20.73,135.4,0.66,0.2,3.47,2.48,1.85,12.7,-44.0,-1405.45,38.32,19.56
24.49,109.9,0.5,0.01,3.13,2.2,1.66,14.73,-43.0,-1709.58,22.93,19.07
24.28,131.7,1.51,0.86,1.97,2.54,1.7,12.53,-43.0,-1613.52,71.31,19.66
16.9,137.2,1.53,0.1,1.01,2.37,1.86,12.82,-43.0,-991.6,30.77,20.14
22.95,100.6,0.5,0.7,3.38,2.49,1.82,10.9,-42.0,-1283.85,46.07,20.27
21.36,90.0,3.56,0.62,0.5,2.07,1.57,11.79,-44.0,-1282.48,73.52,20.81
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,-42.0,-1161.72,41.56,20.02
18.12,131.4,1.35,0.18,3.26,2.34,1.53,12.1,-46.0,-1283.11,36.4,20.39
21.84,125.3,0.57,0.93,2.92,2.55,1.59,10.69,-46.0,-1246.06,56.48,19.37
19.5,103.1,2.03,0.69,0.86,2.12,1.51,13.37,-43.0,-1169.96,53.52,20.43
24.49,110.7,0.51,0.01,3.13,2.17,1.66,10.18,-44.0,-1593.25,47.1,20.33
20.7,104.7,1.01,0.2,3.3,2.18,1.61,13.46,-46.0,-1457.55,42.13,20.83
18.01,114.6,1.42,0.24,1.53,2.15,1.65,11.67,-45.0,-1086.02,33.91,20.84
15.92,132.4,1.8,0.76,2.23,2.2,1.6,10.62,-46.0,-1013.97,35.01,18.98
23.83,107.5,3.24,0.9,0.5,2.06,1.55,10.33,-44.0,-1495.52,87.14,19.3
17.6,124.4,1.28,0.35,2.34,2.29,1.63,10.33,-46.0,-1086.13,27.96,19.47
22.99,83.0,2.22,0.6,0.5,2.1,1.6,13.98,-43.0,-1362.38,67.58,20.45
19.03,131.7,3.1,0.02,1.09,2.42,1.92,14.29,-44.0,-1578.35,63.02,20.41
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.9,-46.0,-998.4,67.24,20.61
21.2,97.8,0.54,0.99,3.62,2.21,1.71,13.73,-43.0,-1156.09,25.91,20.95
24.36,127.8,1.97,0.96,1.11,2.14,1.58,12.36,-43.0,-1651.21,78.13,19.64
23.46,102.2,0.93,0.31,2.59,2.01,1.51,14.66,-43.0,-1685.73,36.18,18.52
22.55,109.1,0.94,0.31,1.99,2.37,1.86,10.65,-45.0,-1452.72,55.0,19.47
15.22,135.8,3.39,0.85,1.07,2.16,1.57,12.52,-45.0,-1036.22,45.19,19.12
23.8,132.3,2.11,0.27,1.7,2.5,1.76,12.67,-44.0,-1756.39,74.38,19.28
23.74,97.5,0.55,0.19,2.05,2.51,1.72,11.02,-44.0,-1389.07,63.73,20.55
18.33,133.5,3.63,0.98,0.99,2.1,1.59,10.71,-44.0,-1257.9,60.04,19.18
17.4,120.4,0.92,0.19,2.96,2.15,1.65,11.51,-48.0,-1215.24,50.97,21.1
21.76,105.7,1.6,0.23,1.23,2.37,1.78,12.15,-45.0,-1397.85,63.12,20.63
21.1,93.1,1.0,0.19,1.46,2.1,1.6,11.74,-45.0,-1191.05,54.22,20.77
20.71,97.9,2.43,0.42,1.56,2.05,1.55,10.63,-45.0,-1474.66,65.98,18.75
22.69,94.2,3.39,0.33,0.5,2.32,1.65,13.66,-43.0,-1393.68,69.35,21.01
22.29,116.7,1.87,0.78,1.81,2.44,1.88,13.07,-44.0,-1537.65,65.5,20.82
23.11,94.5,3.28,0.63,0.5,2.05,1.51,10.33,-44.0,-1420.79,82.81,19.33
19.02,138.8,2.37,0.77,2.27,2.31,1.55,10.34,-44.0,-1327.12,50.71,19.39
24.11,115.8,1.44,0.81,1.53,2.49,1.99,14.28,-42.0,-1643.92,63.07,21.15
23.11,97.1,0.94,0.31,2.27,2.43,1.93,10.65,-45.0,-1467.59,49.28,19.31
22.35,121.8,3.52,0.97,0.55,2.44,1.82,10.5,-44.0,-1431.58,83.6,19.48
23.7,85.3,1.01,0.2,0.51,2.23,1.7,11.63,-45.0,-1237.54,86.23,20.88
18.16,124.1,1.35,0.14,2.39,2.36,1.66,12.1,-46.0,-1263.54,34.51,20.52
24.37,135.6,2.73,0.23,0.81,2.28,1.66,12.75,-44.0,-1753.83,75.91,19.16
16.9,130.6,1.46,0.1,1.01,2.31,1.81,12.82,-43.0,-950.14,28.24,20.03
19.19,118.1,0.5,0.29,1.01,2.14,1.59,11.73,-46.0,-984.87,67.86,20.86
18.97,103.1,1.97,0.69,1.14,2.05,1.55,13.38,-43.0,-1215.93,48.67,20.68
24.89,119.9,1.48,0.53,0.86,2.52,1.95,11.48,-44.0,-1621.11,81.88,21.37
24.59,109.5,0.5,0.01,3.11,2.2,1.66,14.73,-43.0,-1720.16,23.93,18.94
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.15,-44.0,-1201.04,45.79,20.25
17.58,135.2,2.54,0.88,2.02,2.51,1.73,13.08,-43.0,-1216.62,41.61,20.65
24.0,108.6,0.77,0.23,1.23,2.82,1.86,12.77,-44.0,-1414.88,77.23,19.67
24.94,119.9,1.43,0.79,1.22,2.5,1.96,11.45,-44.0,-1629.32,77.73,21.36
18.26,128.0,2.48,0.62,2.08,2.46,1.67,14.65,-41.0,-1357.61,49.55,19.05
19.2,135.4,0.66,0.2,3.47,2.36,1.85,12.7,-46.0,-1391.28,49.16,19.42
18.31,130.6,2.4,0.86,0.98,2.46,1.81,14.23,-41.0,-1229.46,48.77,20.33
24.23,115.7,0.73,0.45,2.72,2.43,1.86,10.63,-43.0,-1579.02,49.44,19.45
23.17,109.9,2.12,0.48,0.54,2.66,1.71,14.82,-40.0,-1447.17,63.53,19.11
22.74,94.2,3.4,0.64,0.5,2.32,1.65,13.68,-43.0,-1353.96,69.47,20.9
21.36,89.9,3.53,0.62,0.55,2.07,1.57,11.85,-44.0,-1297.95,72.87,20.57
23.76,120.6,0.71,0.99,1.47,2.49,1.55,12.11,-45.0,-1445.31,74.14,20.13
20.17,105.6,1.59,0.4,2.57,2.13,1.55,10.63,-46.0,-1389.69,38.16,18.75
19.34,115.8,1.26,0.03,2.97,2.1,1.56,12.61,-47.0,-1506.47,37.39,19.14
24.27,133.2,2.64,0.23,0.81,2.28,1.66,11.04,-44.0,-1752.1,83.08,20.31
24.5,104.5,3.13,0.64,0.52,2.72,1.8,14.09,-42.0,-1498.3,72.47,20.86
21.69,116.1,1.54,0.35,2.22,2.54,1.99,12.29,-45.0,-1561.74,55.36,20.73
21.61,110.1,0.5,0.45,1.8,2.54,1.79,14.01,-42.0,-1278.79,52.98,20.83
20.84,93.4,2.2,0.18,1.74,2.08,1.58,12.79,-46.0,-1568.91,64.98,19.68
21.05,120.0,0.79,0.99,2.53,2.68,1.86,14.06,-41.0,-1282.95,42.89,21.15
23.13,98.9,0.55,0.27,0.5,2.17,1.67,12.3,-45.0,-1254.08,82.76,19.99
23.77,129.3,2.19,0.27,1.39,2.58,1.65,14.01,-42.0,-1679.93,66.09,20.52
21.41,90.0,3.56,0.64,0.5,2.08,1.57,11.54,-44.0,-1285.53,74.98,20.75
24.16,131.7,1.51,0.86,2.24,2.54,1.7,12.53,-43.0,-1593.97,68.4,19.74
16.39,124.4,1.89,0.17,0.53,2.12,1.62,13.63,-41.0,-903.47,35.4,20.87
19.33,115.8,0.51,0.78,3.64,2.36,1.86,11.15,-43.0,-1088.36,61.22,20.92
18.22,105.9,0.51,0.62,1.64,2.01,1.51,11.79,-47.0,-851.76,44.39,20.67
22.54,115.4,1.54,0.19,2.05,2.37,1.85,11.02,-46.0,-1646.39,56.93,20.61
20.72,118.7,1.63,0.77,2.49,2.4,1.66,14.58,-41.0,-1433.41,44.41,19.12
19.11,104.7,2.83,0.45,1.51,2.1,1.6,13.42,-45.0,-1466.44,62.09,20.71
17.17,118.8,3.03,0.18,1.74,2.12,1.62,12.79,-46.0,-1500.05,51.31,19.44
17.59,131.7,1.18,0.65,3.23,2.19,1.53,10.4,-46.0,-1123.05,55.54,19.29
20.73,127.3,0.59,0.2,3.47,2.48,1.85,10.82,-44.0,-1360.27,53.82,19.84
18.02,137.2,2.47,0.29,0.98,2.46,1.81,11.62,-45.0,-1226.87,53.54,21.31
21.77,133.0,0.5,0.98,1.82,2.78,1.8,14.14,-43.0,-1332.06,60.33,20.36
24.09,94.0,0.5,0.06,3.12,2.1,1.51,11.5,-45.0,-1514.51,35.66,20.73
15.8,132.4,1.83,0.79,2.23,2.18,1.6,10.37,-46.0,-977.5,35.77,19.5
19.03,121.1,3.01,0.99,1.49,2.42,1.92,13.95,-43.0,-1391.44,58.24,20.99
24.03,107.5,0.65,0.62,1.6,2.7,1.94,11.79,-44.0,-1407.64,77.56,21.29
23.8,134.5,2.19,0.27,0.89,2.24,1.74,14.01,-43.0,-1780.58,66.99,20.68
19.29,104.7,3.42,0.2,0.88,2.11,1.61,13.46,-45.0,-1390.6,63.49,20.63
23.17,104.5,3.27,0.9,0.58,2.06,1.55,10.33,-44.0,-1466.89,83.83,19.48
17.17,120.7,3.06,0.18,1.74,2.16,1.66,13.17,-46.0,-1515.68,52.09,20.81
23.07,84.8,0.73,0.27,0.59,2.15,1.65,12.06,-45.0,-1170.75,83.73,20.61
20.73,135.4,0.66,0.18,3.47,2.48,1.85,12.7,-45.0,-1419.0,38.69,19.57
24.58,103.5,0.5,0.83,3.14,2.62,1.7,13.75,-42.0,-1395.72,50.01,20.75
24.48,120.1,1.81,0.79,0.95,2.18,1.6,10.37,-43.0,-1624.11,81.05,19.66
20.75,111.8,1.51,0.59,2.57,2.43,1.88,13.64,-44.0,-1470.46,43.75,21.3
20.17,105.6,1.61,0.4,2.55,2.13,1.55,10.66,-46.0,-1392.84,38.74,18.85
24.14,109.6,1.35,0.14,1.44,2.36,1.66,12.1,-44.0,-1628.45,65.92,20.48
18.31,110.1,3.57,0.45,0.68,2.1,1.58,10.66,-45.0,-1219.55,60.48,18.88
23.76,109.9,0.5,0.26,1.33,2.19,1.65,14.01,-42.0,-1516.51,55.18,20.47
22.71,108.8,2.12,0.48,0.54,2.66,1.71,14.82,-40.0,-1407.35,63.64,19.13
15.26,135.8,3.39,0.02,1.12,2.16,1.57,14.05,-44.0,-1314.15,50.71,20.15
19.34,101.6,1.26,0.03,3.04,2.07,1.57,12.61,-48.0,-1495.01,41.32,19.1
23.46,94.3,1.36,0.61,0.5,2.04,1.51,13.23,-43.0,-1325.28,68.57,20.62
17.17,120.7,3.02,0.19,1.65,2.16,1.66,11.8,-47.0,-1428.03,53.06,20.74
17.66,129.8,0.6,0.54,0.97,2.41,1.91,14.44,-42.0,-918.32,44.44,20.1
23.46,102.2,0.93,0.22,2.59,2.06,1.51,14.83,-43.0,-1697.91,34.98,18.72
23.69,107.5,3.24,0.95,0.5,2.04,1.52,10.33,-44.0,-1503.4,86.64,19.24
21.09,105.5,1.61,1.0,0.5,2.35,1.78,10.09,-45.0,-1119.85,85.78,20.28
23.12,132.3,1.46,0.27,2.22,2.3,1.55,10.58,-44.0,-1652.34,57.8,18.71
24.6,110.7,0.5,0.01,3.11,2.12,1.6,10.18,-44.0,-1599.5,47.07,20.26
20.91,132.9,2.2,0.18,0.91,2.08,1.58,12.88,-45.0,-1561.19,68.95,19.61
17.37,120.4,0.9,0.19,0.81,2.16,1.66,12.74,-45.0,-836.37,43.16,19.33
17.6,124.4,1.28,0.35,2.35,2.29,1.63,10.33,-46.0,-1088.81,27.94,19.47
24.49,113.9,0.5,0.19,3.14,2.18,1.66,11.08,-43.0,-1568.44,37.13,20.8
23.46,102.2,0.93,0.31,0.51,2.03,1.53,14.66,-41.0,-1397.6,60.38,18.53
24.59,102.7,0.51,0.62,3.06,2.16,1.66,11.79,-43.0,-1468.96,39.73,21.23
23.8,134.5,2.19,0.4,0.89,2.24,1.74,14.06,-43.0,-1744.12,66.81,20.55
24.37,138.4,2.64,0.23,0.81,2.12,1.51,10.87,-44.0,-1783.38,81.94,19.63
16.9,129.0,1.44,0.1,0.97,2.28,1.78,13.64,-42.0,-990.2,31.71,21.24
18.25,120.7,3.09,0.18,1.73,2.31,1.81,13.17,-46.0,-1565.16,60.26,21.06
15.69,128.0,2.48,0.62,2.09,2.08,1.58,14.54,-43.0,-1350.15,56.51,18.97
24.68,119.9,0.87,0.38,0.76,2.24,1.65,11.51,-44.0,-1540.03,82.37,21.22
19.19,118.1,0.5,0.29,1.01,2.16,1.59,11.11,-46.0,-975.52,71.94,20.44
19.34,111.2,1.26,0.07,2.96,2.1,1.56,12.61,-47.0,-1486.12,37.61,18.95
20.69,91.4,2.16,0.23,0.82,2.02,1.52,11.04,-45.0,-1261.22,67.95,20.0
21.81,124.6,0.57,0.93,3.04,2.7,1.7,10.72,-46.0,-1240.05,55.56,19.64
23.83,107.5,3.24,0.97,0.5,2.16,1.55,10.33,-43.0,-1487.88,87.26,19.3
18.33,124.1,3.63,0.97,0.93,2.1,1.59,10.65,-44.0,-1234.45,58.84,18.93
23.31,131.9,1.47,0.27,1.4,2.49,1.65,14.01,-42.0,-1634.63,57.9,20.5
23.94,108.8,2.13,0.35,1.44,2.53,1.73,14.82,-41.0,-1653.45,64.41,19.25
24.53,132.3,2.18,0.27,0.98,2.46,1.81,14.23,-43.0,-1753.77,68.16,20.9
22.8,104.7,1.01,0.96,0.91,2.18,1.61,12.41,-44.0,-1292.43,74.0,19.68
17.6,124.2,2.65,0.46,2.31,2.28,1.63,10.43,-45.0,-1326.63,46.37,19.47
22.35,121.8,3.52,0.9,0.55,2.22,1.59,14.65,-41.0,-1458.22,63.47,18.62
18.45,135.2,2.55,0.9,2.02,2.64,1.73,12.73,-42.0,-1235.73,47.59,19.58
24.16,130.9,1.51,0.35,1.88,2.35,1.51,12.53,-44.0,-1685.34,66.34,19.41
15.38,132.2,1.5,0.53,2.14,2.11,1.61,11.48,-46.0,-975.21,49.94,21.03
24.28,130.1,0.95,0.86,1.97,2.54,1.7,12.53,-43.0,-1573.52,67.26,19.67
20.7,97.8,0.53,0.98,3.64,2.16,1.66,13.73,-41.0,-1153.98,26.14,20.79
18.29,124.4,2.12,0.35,2.65,2.39,1.71,14.82,-42.0,-1509.28,52.37,19.0
23.14,132.4,1.8,0.76,2.12,2.2,1.6,10.61,-44.0,-1622.55,67.57,18.92
22.19,121.8,2.6,0.93,1.24,2.31,1.81,14.75,-41.0,-1603.14,63.69,19.19
24.23,115.2,0.73,0.45,2.72,2.43,1.86,10.63,-43.0,-1576.53,49.29,19.32
24.5,135.9,2.19,0.03,1.24,2.58,1.66,14.21,-42.0,-1754.36,66.77,20.57
20.73,128.4,0.59,0.2,3.47,2.48,1.85,10.82,-44.0,-1364.34,53.83,19.89
22.29,116.1,1.87,0.78,1.78,2.08,1.52,13.07,-44.0,-1553.39,62.2,20.09
19.16,109.3,2.05,0.12,2.31,2.2,1.58,10.22,-46.0,-1437.02,47.32,19.94
19.51,122.7,0.53,0.18,0.53,2.12,1.62,10.63,-45.0,-1029.03,79.2,18.87
18.22,105.9,0.6,0.61,1.73,2.01,1.51,13.16,-43.0,-936.33,28.98,20.15
24.59,109.5,3.12,0.01,0.5,2.24,1.66,14.73,-42.0,-1642.05,63.88,18.76
19.19,118.1,0.5,0.29,1.01,2.1,1.59,11.53,-46.0,-988.72,67.5,20.83
18.28,130.6,2.4,0.86,0.98,2.46,1.81,14.23,-41.0,-1221.79,47.98,20.57
23.04,91.0,3.27,0.75,0.5,2.12,1.53,14.11,-42.0,-1380.75,67.69,20.01
19.38,138.8,2.37,0.77,1.4,2.7,1.76,14.2,-40.0,-1318.43,55.33,20.42
18.99,104.7,0.53,0.46,1.38,2.08,1.58,13.42,-43.0,-970.17,47.83,20.6
