X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,-45.0,-983.47,66.13,19.73
20.39,93.5,2.9,0.21,1.11,2.03,1.53,12.09,14.47,-43.0,-1475.19,75.13,21.01
19.48,132.7,1.53,0.29,0.96,2.35,1.84,11.06,12.12,-44.0,-1189.4,62.1,21.45
16.39,124.6,1.17,0.17,3.75,2.12,1.62,13.63,17.07,-40.0,-1450.61,73.16,18.94
21.24,120.1,0.5,0.27,3.78,2.7,1.98,13.32,14.97,-40.0,-1351.88,28.04,20.89
21.91,139.8,1.1,0.14,2.8,2.38,1.53,13.78,16.03,-40.0,-1589.29,39.23,19.15
20.53,127.4,0.93,0.28,2.55,2.76,1.78,10.09,16.41,-40.0,-1147.54,64.05,21.65
24.89,106.4,0.5,0.55,3.09,2.46,1.63,10.33,12.96,-42.0,-1382.41,58.02,21.48
24.25,81.1,0.73,0.74,2.48,2.2,1.7,10.07,11.87,-44.0,-1341.96,56.8,21.53
21.17,135.9,0.5,0.56,3.8,2.52,1.7,12.43,14.83,-40.0,-1153.78,37.58,21.57
20.5,134.1,0.5,0.4,3.92,2.14,1.56,10.68,14.05,-41.0,-1151.04,64.34,20.69
15.22,135.8,3.39,0.02,1.12,2.16,1.57,10.95,12.76,-46.0,-1225.32,53.72,20.76
16.84,123.0,2.64,0.05,1.97,2.15,1.65,10.0,17.81,-40.0,-1408.74,82.87,21.29
18.77,137.9,1.98,0.83,2.51,2.46,1.64,12.93,16.0,-40.0,-1269.53,48.43,20.2
23.58,120.4,2.94,0.86,0.67,2.56,1.73,11.91,13.29,-43.0,-1465.68,76.93,20.67
22.98,130.4,2.26,0.66,1.45,2.55,1.93,12.64,16.42,-40.0,-1551.67,66.55,21.3
20.72,118.7,2.32,0.77,1.8,2.4,1.67,10.34,13.02,-43.0,-1330.13,73.72,21.73
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,-45.0,-1035.56,92.63,21.29
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.33,17.6,-40.0,-1281.68,31.72,18.08
