X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,ANG,AVG,RIP,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,8.62,13.17,-25.0,-1685.58,85.29,21.0
23.01,137.5,0.5,0.69,3.46,2.48,1.54,10.2,8.63,11.36,-25.0,-1489.26,72.15,20.43
24.89,119.9,1.48,0.79,0.86,2.68,1.95,11.47,2.08,12.3,-43.0,-1614.32,76.42,21.03
23.83,109.9,3.32,0.35,0.5,2.66,1.71,14.82,3.86,15.31,-32.0,-1840.0,57.06,19.38
20.86,137.6,0.8,0.02,3.3,2.51,1.9,11.94,5.23,16.91,-45.0,-1583.7,45.6,20.31
15.72,137.4,2.49,0.2,1.38,2.26,1.6,12.91,9.52,17.76,-31.0,-1651.11,70.13,19.94
24.5,104.5,3.13,0.64,0.5,2.54,1.8,12.75,1.09,17.41,-30.0,-1484.01,65.86,20.96
18.95,137.1,1.11,0.13,0.97,2.26,1.51,14.74,0.24,16.62,-35.0,-1330.17,45.02,17.11
19.6,103.7,3.3,0.29,0.96,2.14,1.51,12.97,9.93,13.47,-30.0,-1773.05,74.79,20.65
18.15,131.4,1.35,0.18,3.26,2.34,1.53,12.1,9.42,15.43,-38.0,-1591.17,66.18,20.16
22.5,128.7,0.5,0.7,3.55,2.5,1.84,12.25,6.57,13.06,-36.0,-1435.04,64.95,21.04
23.8,132.3,2.82,0.27,0.75,2.68,1.76,14.01,4.62,14.58,-30.0,-2043.4,57.91,20.87
20.19,121.7,2.49,0.47,1.7,2.22,1.69,10.4,2.91,17.86,-42.0,-1420.0,83.73,20.38
23.12,130.0,2.87,0.57,1.06,2.4,1.67,11.13,5.0,14.74,-31.0,-1876.44,68.57,21.49
24.16,132.8,1.4,0.11,1.18,2.61,1.86,11.04,6.85,11.98,-29.0,-2052.02,56.45,20.4
19.16,109.3,1.32,0.1,2.31,2.2,1.58,13.11,9.49,14.35,-35.0,-1717.66,61.77,20.26
16.45,120.1,1.28,0.52,3.25,2.05,1.55,14.36,8.62,16.76,-46.0,-1386.67,51.64,17.94
23.67,136.0,3.33,0.85,0.5,2.68,1.85,13.05,0.55,16.4,-37.0,-1512.74,66.1,20.88
22.7,118.5,1.29,0.26,2.71,2.58,1.9,12.23,4.04,16.26,-45.0,-1626.02,69.6,21.68
17.12,123.9,1.54,0.03,2.58,2.21,1.69,13.75,8.66,14.09,-43.0,-1512.88,69.1,20.16
16.19,125.0,1.01,0.27,3.37,2.1,1.6,11.33,5.03,14.27,-48.0,-1190.6,56.31,21.31
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.05,4.98,14.61,-45.0,-1214.02,88.14,19.6
20.17,133.3,1.99,0.25,1.8,2.88,1.97,14.22,3.65,17.36,-40.0,-1614.76,60.09,18.49
23.17,107.5,3.36,0.9,0.5,2.06,1.55,10.33,6.01,13.61,-31.0,-1732.24,70.99,21.46
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,3.52,17.88,-41.0,-1406.03,78.05,20.78
19.84,128.7,1.44,0.65,2.86,2.43,1.64,12.8,5.64,15.37,-44.0,-1421.55,60.03,20.49
19.35,133.9,2.97,0.48,0.94,2.57,1.58,11.01,6.47,13.45,-36.0,-1525.18,80.83,20.71
16.47,118.3,1.16,0.64,3.14,2.02,1.52,13.74,9.55,15.11,-40.0,-1361.95,61.69,20.36
17.95,118.5,1.38,0.43,3.24,2.22,1.72,10.96,4.8,13.16,-48.0,-1284.47,46.47,21.43
15.8,132.4,1.8,0.53,2.23,2.16,1.6,10.38,4.18,14.06,-48.0,-1086.12,63.23,21.09
20.28,119.2,1.02,0.55,1.26,2.56,1.86,10.88,0.32,16.9,-35.0,-1133.5,72.63,20.85
23.6,104.7,1.91,0.76,1.69,2.64,1.64,10.02,1.93,17.47,-35.0,-1338.78,71.73,21.2
22.29,101.3,1.93,0.78,1.81,2.44,1.88,13.07,7.5,13.21,-35.0,-1801.03,62.73,20.18
19.33,132.7,2.62,0.77,2.02,2.67,1.92,10.34,9.08,14.59,-26.0,-1808.97,94.46,20.7
16.9,137.2,1.53,0.1,1.01,2.37,1.86,12.82,8.11,16.36,-25.0,-1725.36,88.45,21.01
22.92,115.7,0.93,0.41,2.77,2.25,1.66,10.86,3.86,13.27,-46.0,-1532.46,44.38,20.78
23.88,74.8,1.11,0.9,2.06,2.02,1.52,13.04,3.65,15.46,-46.0,-1394.28,52.76,20.08
21.14,111.9,1.09,0.15,2.3,2.52,1.59,12.31,7.96,13.43,-33.0,-1701.55,63.21,20.96
17.46,132.9,0.65,0.95,2.45,2.44,1.94,10.29,0.5,14.13,-42.0,-935.99,36.59,21.5
18.81,112.7,0.75,0.15,0.56,2.22,1.72,12.01,8.93,12.57,-25.0,-1624.46,98.22,21.42
24.93,126.8,2.95,0.92,0.64,2.28,1.74,11.75,0.57,17.5,-25.0,-1447.69,77.88,20.51
20.63,137.4,0.62,0.02,0.61,2.51,1.9,12.74,4.96,17.41,-25.0,-1843.53,70.05,21.28
22.9,115.7,0.95,0.4,2.71,2.24,1.66,12.25,3.86,13.27,-46.0,-1568.92,42.28,20.52
23.8,132.4,2.82,0.27,0.76,2.45,1.53,14.01,4.62,14.58,-31.0,-2001.16,57.43,20.39
21.1,111.9,1.09,0.15,2.3,2.51,1.59,12.31,7.96,13.43,-33.0,-1715.37,62.43,20.92
19.61,103.9,2.93,0.29,0.94,2.14,1.51,11.03,6.36,13.47,-43.0,-1403.61,80.2,20.37
22.67,123.8,3.32,0.85,0.5,2.68,1.85,13.05,3.93,16.4,-27.0,-1802.11,58.14,20.29
19.92,118.4,2.14,0.46,0.79,2.42,1.88,11.22,4.29,17.88,-36.0,-1493.12,72.49,20.73
18.15,128.9,1.34,0.18,3.27,2.34,1.53,12.1,9.42,15.05,-38.0,-1552.88,68.31,20.19
18.9,137.2,1.11,0.13,0.59,2.26,1.51,14.24,3.41,17.41,-32.0,-1457.48,67.42,17.8
24.16,132.8,1.4,0.91,1.18,2.49,1.74,11.73,6.86,11.98,-27.0,-2017.16,52.52,20.19
17.95,125.1,1.38,0.43,3.26,2.22,1.72,10.96,4.8,14.28,-48.0,-1309.26,59.46,21.39
23.13,80.8,2.54,0.34,1.05,2.07,1.57,12.43,7.26,12.61,-39.0,-1702.54,61.38,20.46
23.82,132.4,3.31,0.53,0.5,2.41,1.59,10.38,4.18,13.84,-32.0,-1760.85,77.85,21.26
24.04,118.0,3.13,0.64,0.5,2.32,1.8,12.75,1.09,17.41,-30.0,-1545.42,65.92,20.96
23.6,105.2,1.91,0.43,1.69,2.64,1.64,10.02,1.93,17.47,-36.0,-1380.24,72.65,21.21
23.17,107.5,2.76,0.57,0.5,2.06,1.54,10.33,5.98,13.61,-33.0,-1729.55,70.74,21.41
18.95,137.1,1.06,0.13,0.97,2.26,1.51,14.71,4.98,16.62,-33.0,-1621.65,57.54,17.09
19.37,133.9,2.97,0.47,0.94,2.54,1.58,11.01,6.47,13.64,-35.0,-1531.11,82.52,20.69
19.33,132.7,2.55,0.77,1.84,2.67,1.92,10.35,9.08,14.59,-26.0,-1812.19,93.17,20.82
22.49,116.0,0.52,0.71,2.76,2.5,1.84,12.25,6.57,13.06,-34.0,-1614.64,57.71,21.02
19.24,138.0,1.62,0.97,2.78,2.64,1.95,11.81,11.74,12.02,-25.0,-1834.91,82.08,20.78
24.77,111.9,1.09,0.15,2.29,2.52,1.59,12.31,2.1,13.47,-45.0,-1653.32,51.93,20.93
22.79,137.5,0.5,0.69,0.57,2.48,1.54,10.2,7.06,13.16,-25.0,-1915.55,57.15,19.65
20.19,121.7,1.37,0.47,2.84,2.22,1.69,10.47,2.87,17.75,-45.0,-1360.74,76.04,20.62
19.59,103.0,3.21,0.55,0.95,2.13,1.63,10.88,0.32,16.9,-37.0,-1227.52,81.33,20.15
20.86,138.1,1.97,0.02,2.13,2.52,1.9,11.89,5.23,16.91,-42.0,-1789.59,74.34,20.54
19.94,117.6,0.5,0.88,1.01,2.14,1.59,11.73,8.62,13.19,-25.0,-1746.06,82.87,20.95
20.22,119.2,1.02,0.55,1.06,2.31,1.61,10.99,0.32,17.16,-34.0,-1133.48,74.66,20.14
24.72,104.4,3.09,0.64,0.5,2.54,1.8,11.95,1.09,17.2,-33.0,-1442.64,68.1,20.07
22.72,118.5,1.27,0.27,2.74,2.55,1.89,10.84,4.02,16.26,-45.0,-1556.19,72.81,20.67
23.88,74.7,1.17,0.9,2.05,2.01,1.51,13.04,3.65,15.46,-46.0,-1403.85,54.7,20.04
23.22,132.9,0.65,0.95,2.48,2.44,1.94,10.33,0.53,14.13,-41.0,-1408.28,55.36,21.39
16.49,120.1,1.28,0.52,3.25,2.05,1.55,14.36,8.62,16.76,-46.0,-1390.19,51.72,17.95
22.27,92.5,3.42,0.7,0.5,2.23,1.73,10.72,5.0,15.73,-34.0,-1546.68,70.35,21.39
20.51,97.4,1.53,0.1,1.01,2.12,1.62,12.82,6.13,16.36,-39.0,-1582.52,67.74,20.36
19.34,133.7,3.34,0.48,0.96,2.57,1.58,12.95,10.04,13.45,-25.0,-1909.59,80.92,20.88
17.89,118.5,1.32,0.48,3.22,2.22,1.71,10.98,1.89,13.16,-48.0,-1251.15,51.26,20.66
19.17,117.6,0.5,0.3,1.24,2.1,1.59,11.73,8.58,13.17,-25.0,-1726.19,78.91,20.98
18.26,131.3,1.35,0.7,2.07,2.39,1.58,10.05,4.98,14.56,-44.0,-1121.3,58.69,19.39
19.33,132.7,2.62,0.82,0.57,2.44,1.69,10.34,8.36,15.31,-25.0,-1773.96,85.33,21.15
20.22,133.2,1.99,0.25,1.8,2.82,1.97,14.72,0.49,17.08,-35.0,-1573.91,55.13,17.21
24.93,126.8,2.95,0.12,0.64,2.4,1.86,11.3,0.1,17.5,-36.0,-1484.41,79.9,20.37
15.67,136.0,1.81,0.85,0.5,2.23,1.73,13.05,0.55,16.62,-29.0,-976.38,103.53,20.65
20.37,104.9,2.14,0.46,0.98,2.26,1.76,11.6,3.52,17.88,-41.0,-1408.57,77.76,20.43
23.12,130.0,2.63,0.9,1.06,2.42,1.68,11.13,5.03,14.74,-30.0,-1853.68,69.22,21.55
18.26,128.8,2.5,0.69,2.08,2.46,1.65,10.12,0.25,14.61,-41.0,-1196.56,67.28,21.26
15.99,133.9,2.49,0.25,1.38,2.24,1.6,12.91,9.45,17.56,-32.0,-1652.5,67.19,20.07
22.7,118.5,1.36,0.26,2.08,2.58,1.9,12.22,4.04,16.26,-43.0,-1656.49,72.11,21.84
22.93,129.6,0.5,0.4,3.46,2.25,1.66,10.86,3.86,13.27,-44.0,-1343.66,24.87,20.81
21.23,119.9,1.48,0.79,0.87,2.68,1.95,11.47,7.94,12.26,-25.0,-1791.04,82.64,21.03
19.38,118.3,1.16,0.64,3.14,2.12,1.52,10.82,8.51,15.11,-40.0,-1460.33,65.72,20.22
19.84,128.7,1.44,0.65,1.72,2.43,1.64,12.8,5.68,15.47,-37.0,-1571.16,65.65,20.54
20.29,119.9,1.11,0.29,1.27,2.21,1.51,12.97,9.24,13.47,-26.0,-1880.75,61.6,19.15
16.9,137.2,1.53,0.13,1.01,2.37,1.86,12.82,8.27,16.36,-25.0,-1747.06,87.82,20.94
22.29,101.3,0.76,0.78,1.81,2.42,1.88,13.12,5.22,13.21,-37.0,-1546.66,53.99,20.29
20.22,125.0,1.01,0.25,1.8,2.68,1.97,14.72,0.26,17.08,-35.0,-1471.84,38.7,17.33
20.37,104.9,2.14,0.22,1.03,2.26,1.76,11.6,3.51,17.88,-42.0,-1444.53,79.92,20.39
19.24,138.0,1.62,0.12,0.9,2.64,1.95,12.82,7.34,16.42,-26.0,-1945.59,73.39,21.41
22.93,129.6,0.5,0.4,3.47,2.25,1.66,10.86,3.86,13.27,-44.0,-1334.66,24.73,20.76
18.93,126.8,1.06,0.12,0.64,2.38,1.86,11.3,5.07,17.5,-26.0,-1526.83,91.84,21.62
18.26,128.8,0.58,0.7,3.52,2.48,1.84,10.13,0.62,14.61,-43.0,-1002.74,42.32,21.08
17.68,118.4,2.11,0.46,0.79,2.18,1.68,11.21,4.26,17.81,-42.0,-1153.9,74.27,20.28
20.81,105.2,1.91,0.43,1.69,2.33,1.64,10.02,5.28,16.89,-43.0,-1429.86,78.74,20.16
23.88,78.2,1.39,0.9,2.05,2.01,1.51,13.04,3.65,15.46,-46.0,-1457.4,60.02,20.04
16.51,137.4,2.49,0.19,1.38,2.26,1.6,12.91,8.63,17.76,-34.0,-1659.31,61.3,20.27
23.22,132.9,0.65,0.95,2.48,2.45,1.95,10.73,0.53,14.09,-42.0,-1418.74,53.43,21.29
24.72,112.6,0.75,0.15,0.56,2.52,1.59,12.31,3.11,13.47,-40.0,-1613.82,69.51,20.16
20.17,133.3,1.99,0.26,1.8,2.52,1.61,10.95,3.65,17.3,-42.0,-1402.71,78.35,20.16
17.88,137.3,1.31,0.46,1.01,2.22,1.71,12.82,1.86,16.31,-41.0,-1151.02,52.35,20.42
24.09,132.8,1.13,0.11,1.06,2.61,1.86,11.04,6.93,11.98,-27.0,-2042.12,55.1,20.42
18.15,118.5,1.34,0.18,3.27,2.25,1.75,12.1,8.54,16.31,-46.0,-1511.49,80.0,20.77
23.77,132.3,2.82,0.53,0.75,2.34,1.76,14.01,4.62,14.56,-31.0,-2080.59,57.03,20.91
18.98,117.2,0.53,0.3,1.0,2.34,1.63,11.73,2.15,17.42,-33.0,-1103.01,106.71,20.76
22.67,123.8,3.32,0.85,0.5,2.5,1.85,13.05,4.07,16.26,-28.0,-1818.16,58.54,20.32
20.25,129.7,2.44,0.62,1.06,2.56,1.86,10.88,0.61,16.9,-36.0,-1277.72,81.2,21.29
24.99,127.9,0.71,0.91,0.64,2.28,1.74,11.75,0.52,17.49,-26.0,-1437.02,74.7,20.68
24.04,132.8,2.71,0.64,0.5,2.62,1.82,12.75,1.44,17.52,-25.0,-1619.65,60.37,20.62
19.29,118.5,1.11,0.48,3.26,2.22,1.72,10.96,4.8,13.16,-48.0,-1297.87,35.84,21.3
18.77,118.4,2.17,0.46,0.6,2.33,1.83,14.23,3.52,17.41,-40.0,-1374.26,55.76,18.42
22.79,137.5,0.5,0.2,0.57,2.2,1.54,10.14,2.45,17.76,-26.0,-1505.81,68.92,20.47
22.69,130.0,1.36,0.57,1.06,2.4,1.67,11.13,4.09,14.74,-39.0,-1618.01,73.8,19.79
15.8,138.5,1.62,0.54,2.81,2.17,1.6,11.89,11.08,13.87,-31.0,-1509.05,90.09,20.85
20.88,121.8,1.02,0.47,1.27,2.39,1.69,10.88,2.81,16.91,-40.0,-1279.68,67.49,21.14
21.23,119.9,1.48,0.78,0.87,2.68,1.95,11.47,6.0,12.26,-34.0,-1583.44,75.33,21.09
20.9,132.9,1.33,0.03,2.13,2.54,1.91,10.04,4.98,14.56,-46.0,-1536.1,82.35,20.14
19.65,122.5,1.47,0.71,3.09,2.19,1.69,10.47,2.87,17.75,-44.0,-1277.21,74.88,20.55
22.29,132.5,1.93,0.78,1.81,2.44,1.88,13.07,7.43,13.28,-30.0,-2019.04,57.69,20.26
23.61,118.5,1.38,0.43,2.19,2.22,1.72,10.95,4.8,13.16,-45.0,-1722.0,66.0,21.4
19.56,132.7,2.48,0.78,1.38,2.34,1.58,10.95,8.85,14.59,-26.0,-1788.72,81.71,21.12
23.8,137.1,0.5,0.27,3.3,2.06,1.53,14.01,4.62,14.58,-42.0,-1548.58,25.49,20.22
22.54,123.9,3.15,0.48,0.92,2.82,1.85,13.05,3.97,13.72,-40.0,-1644.51,76.54,21.5
24.16,132.8,1.4,0.91,1.18,2.44,1.94,11.85,4.6,14.24,-33.0,-1916.07,66.14,21.27
17.28,123.9,1.54,0.02,2.58,2.21,1.69,13.81,9.07,14.09,-41.0,-1580.01,68.16,20.34
25.0,115.7,0.93,0.41,0.6,2.45,1.86,10.88,3.86,13.27,-40.0,-1664.58,68.58,21.26
24.5,104.5,2.38,0.23,0.5,2.54,1.8,12.79,1.09,17.41,-33.0,-1531.1,64.55,21.0
19.26,137.4,2.96,0.48,0.96,2.57,1.58,11.04,6.5,13.45,-35.0,-1563.7,81.0,20.81
18.26,128.8,2.45,0.69,2.08,2.39,1.64,10.05,4.98,14.61,-45.0,-1242.11,89.02,19.52
23.83,132.3,2.82,0.27,0.76,2.5,1.76,14.02,4.43,14.74,-31.0,-2035.85,57.55,20.54
18.26,128.8,2.5,0.69,1.85,2.46,1.65,10.12,0.25,14.61,-41.0,-1168.23,67.57,21.22
