V,E
-18.90670889229737,0.9290843517439709
25.427753855097976,44.988190055666195
69.80989305179403,89.04937002408904
114.27157904390948,133.1845802672401
158.8081334859628,177.369384117986
203.0621479301145,221.1136571850615
246.68579186543252,264.12247338564515
289.87963473938066,306.6106671890514
332.6666755754917,348.53103092979075
374.4183408078327,389.3015501459568
414.743228827468,428.6492520413836
453.5162609540152,466.4209212938208
490.6560638136668,502.5348885198252
526.0576548251368,537.0204040195877
559.7471980202397,569.8692729902892
591.8154009560212,601.0523674636468
622.3506906934791,630.6759329180076
651.3970955452428,658.8950281719584
678.8209592340528,685.4173869268732
703.9293268016253,709.6259897454144
727.1974593277912,732.144322026464
749.0336061756528,753.2753675978132
769.4881678340384,773.0375500741076
788.6814589702744,791.5889746915095
806.7623995577392,809.0446935908756
823.9077333365932,825.5808261836323
840.2179868916304,841.2708989396713
855.793591355862,856.2807897471408
870.684852905104,870.6330980955404
884.989550739704,884.4125399499488
898.7841313478564,897.6970392489388
912.1517373490981,910.4879870565832
925.1194089078172,922.8600455934276
937.6864103386848,934.8395757704844
949.8732835831191,946.4545965327293
961.7273283224368,957.7214424719972
973.245206818404,968.6827528451488
984.4195896257612,979.389974164012
995.284601285956,989.83369622521
1005.8915550552348,1000.007300491757
1016.2747293506956,1009.9943364483697
1026.4548653430356,1019.8185996541172
1036.4552524020353,1029.430038041982
1046.29062290406,1038.8303543982584
1055.9579081309248,1048.0681919968424
1065.4656996586884,1057.20275300809
1074.8156222848672,1066.1651497235755
1084.0108549431245,1074.9315917371832
1093.0528771755928,1083.5671695019375
1101.9365615946012,1092.0510399422606
1110.6509845889343,1100.4040819194267
1119.1834717930974,1108.6128403194969
1127.5414857058843,1116.6907468437232
1135.7295300541948,1124.642489755363
1143.7584020937313,1132.439920352406
1151.6494960507896,1140.0930671512417
1159.418854233118,1147.6096401309553
1167.0798707413887,1155.0080327289486
1174.6156042362863,1162.2881791807292
1182.0204152079752,1169.4241590140896
1189.2875375054477,1176.4024427604265
1196.426867698607,1183.1957798894803
1203.4511975655614,1189.8028383070769
1210.3519676663652,1196.2212091793351
1217.1237252730266,1202.4592282085823
1223.7667677471336,1208.5220618058413
1230.2649557725022,1214.4473486202032
1236.6027787218477,1220.252466955322
1242.771868718593,1225.9417597140746
1248.783955306762,1231.5112004599964
1254.6471006585834,1236.9519399006117
1260.3420384265485,1242.251128504659
1265.8626143468348,1247.3891545193467
1271.2302325097264,1252.3555684712433
1276.424670993102,1257.1373997540288
1281.4046759392772,1261.7356744295464
1286.1590983678273,1266.1371385166324
1290.677330044056,1270.3282873946594
1294.93353846249,1274.2800922629156
1298.898402269877,1277.983982261764
1302.5452634100827,1281.4306925587575
1305.8708887988912,1284.5710216845343
1308.796053864452,1287.3102288192595
1311.3161174050003,1289.639938752886
1313.3881221205356,1291.6075331342372
1314.9888312756252,1293.1730861750864
1316.1082128361309,1294.2865377567143
1316.7661736568089,1294.9295667138056
1316.8592671450635,1295.069954573841
1316.3014830596808,1294.66440179199
1315.0526116793344,1293.6083078691051
1313.0937921943735,1291.849811185161
1310.3240428904128,1289.305702128584
1306.6357633797002,1285.9565021276685
1302.0592209792517,1281.7260206574897
1296.6184496655892,1276.5366108778144
1290.3610469307257,1270.3249062527543
1283.2400331525614,1263.0879362364628
1274.9743894505648,1254.8958041502526
1265.4540390459024,1245.7422132256634
1254.6601604143902,1235.565530885817
1242.5919667926598,1223.9885181602133
1229.164646015608,1211.0201122011902
1214.4030764905908,1196.7808940615741
1198.243341477358,1181.1581263986698
1180.2465952149976,1163.8749853732834
1160.2432085777039,1144.62657296026
1137.6262084332207,1123.0747906359732
1112.2941258772528,1099.0650509331547
1084.3569087699457,1072.5365880626732
1054.8051424886798,1043.894786764699
1024.4657386215372,1013.9624776086349
993.7362420623492,983.1622074582081
962.9239542454296,951.9996137030124
932.2796787806652,920.8111198734692
902.0155924936684,889.8498777959292
872.5964248106496,859.2469880645348
844.0435466353384,829.3158761274672
816.4522500606072,800.0041192934708
789.9013070858535,771.6707007915307
764.3520801513408,744.368675929678
739.5757377859528,717.9596862580539
715.497334421776,692.3710183844471
692.2407692181653,667.3162112337692
669.8413378500696,643.2094356091468
648.2331117913433,620.061716108654
627.4043962829525,597.8835510931289
607.2963165111323,576.61219018913
587.8568034167516,556.18217398867
569.0917171454288,536.6244055169236
551.008888947536,517.9518292675997
533.5661966520544,500.1512493356108
516.7118696302052,483.131048756166
500.36778254717194,466.8027505639556
484.712184558874,451.235572148932
469.9868640491664,436.7167490902512
455.8682801977632,423.02634519330803
442.222209485142,409.8809754664092
429.07042664806323,397.24306837080604
416.3641066688636,385.08971117980786
404.0324078610548,373.376509029148
392.0300902594747,362.03127049488796
380.3042929363994,351.0266826812511
368.81741527402295,340.33954222934057
357.5508596258632,329.9075577987767
346.48372248671234,319.66363106282984
335.6095741741614,309.5721540554728
324.890277454194,299.6239144400173
314.3048726474019,289.792603077344
303.8577122089689,280.07020512432786
293.5306903152034,270.45717207630474
283.3401167252799,260.9329885157563
273.2009678067411,251.52338047776286
263.1427042681168,242.19328647010758
253.15518252502574,232.95960474040461
243.19435230572853,223.81869450199028
233.27584660508842,214.75353002735287
223.39994228152807,205.77776614911653
213.5106677594798,196.8678224921058
203.59764562660837,187.97665511891944
193.6737657101301,179.1136915590621
183.75787573995353,170.33042302647806
173.86069681963832,161.62752065858385
163.97991132062648,153.06191442329603
154.11663483002533,144.43591437995548
144.290340012695,135.77962929862463
134.49316910353238,127.08214759566546
124.67530882144408,118.3334849399842
114.86769873588372,109.54596099588319
105.03994877047096,100.75161835745628
95.21185960727112,91.97088242806265
85.4198610249514,83.20317499592959
75.64473884522715,74.43201573910936
65.85793450980789,65.64000258865508
56.0591724747746,56.85342025202164
46.26287786316012,48.11139424577128
36.46347404694327,39.38193641232918
26.657369980355536,30.66526723641406
16.834240807275524,21.96498902876373
6.982939890286528,13.277433307072089
-2.896541016870105,4.597037901926744
-12.78722172653957,-4.077706094685181
-22.674155972548085,-12.751203596745741
-32.5478166270403,-21.419270675808754
-42.4060565071948,-30.090090274197948
-52.246534382381924,-38.74390227312975
-62.055405959664206,-47.43440494662616
-71.83843052788512,-56.1747354747502
-81.59991216658132,-64.93734600142248
-91.39986067527148,-73.72858037616372
-101.21046903605075,-82.5270098062844
-111.02518911153716,-91.29530282885403
-120.87759935554077,-100.0221105651746
-130.76394803348924,-108.7937899334754
-140.66607108961531,-117.58756452939639
-150.57416575338218,-126.37213288560808
-160.4801415871072,-135.12498516650174
-170.35904242786802,-143.8796592322439
-180.22803202164232,-152.62819455031664
-190.136802022732,-161.40169568223808
-200.049373070726,-170.19060583604596
-209.96357244039768,-179.00381385675948
-219.8876819764354,-187.82286203809653
-229.79808097119093,-196.6871315390427
-239.7135843057855,-205.5992201594747
-249.6608940530305,-214.54328669942367
-259.69600965150266,-223.52979914616796
-269.7923165176822,-232.62468806602593
-279.9435166324804,-241.83180014431994
-290.18051192467726,-251.12018839665345
-300.48562393006677,-260.5504896004657
-310.8781919314606,-270.10662438623865
-321.3841983089599,-279.81585268724314
-332.0307804015745,-289.66817296333977
-342.8162570884219,-299.6603960201636
-353.7797148702613,-309.7890257384198
-364.953656600796,-320.07618139461283
-376.3453193217988,-330.52122560704214
-387.99923199155023,-341.26640036444616
-399.9577736360684,-352.3403870478243
-412.2558116958712,-363.7416825538758
-424.9303566419604,-375.4990140115111
-438.0222593176836,-387.64603672329315
-451.5802428373304,-400.36859906943
-465.6465821028104,-413.6849255376152
-480.2527535771768,-427.593456622418
-495.525693023848,-442.2398710550916
-511.75178071375836,-457.84401121917165
-528.7241192894512,-474.17979105587324
-546.2583156804476,-491.18734925759276
-564.3869516022561,-508.98340664046316
-583.2096569170247,-527.6582468242084
-602.8093624902,-547.2327588235588
-623.1897849281895,-567.6862750643083
-644.3370463542733,-589.017975398104
-666.2809253703847,-611.3285430876988
-689.0758296347708,-634.7003443128632
-712.7475861135005,-659.096731610678
-737.3313886356729,-684.4244045113464
-762.77540726808,-710.4317436563516
-788.9627371947631,-736.9736573561833
-815.9777929496164,-764.2188070937176
-844.0055783594332,-792.4820488450084
-873.1009480559077,-821.7776369721304
-903.07308828954,-851.8673544881452
-933.6872662502976,-882.5468091283076
-964.7900942966236,-913.6811672138389
-995.9954157790037,-945.036224143434
-1027.3121613702124,-976.3768186983484
-1058.5616934352852,-1007.40064347084
-1089.3271851664952,-1037.5140465698205
-1119.124423529086,-1066.2346356271687
-1147.2334165599552,-1092.8660339420414
-1172.654295248515,-1117.028115271328
-1195.2104196730436,-1138.687008958272
-1215.4068644551812,-1158.0562183835982
-1233.5207684348009,-1175.3722188339395
-1249.9261950016848,-1191.2622061919465
-1264.7630066877764,-1205.5578222052031
-1278.1096576650154,-1218.4665105136655
-1290.2709268252313,-1230.019357745106
-1301.0956211406624,-1240.2289268885365
-1310.5554960109864,-1249.4649091616757
-1318.7987593618832,-1257.6750968332988
-1325.9789380589414,-1264.953664087144
-1332.226061534317,-1271.3116046726077
-1337.666628268232,-1276.7333325693185
-1342.3170469507938,-1281.2892546693176
-1346.1244729698572,-1284.9692025964653
-1349.0591554589485,-1287.7569961008203
-1351.1526743830145,-1289.709273865853
-1352.5567441444052,-1290.9128538515645
-1353.2631642945564,-1291.3677480815954
-1353.1742657552313,-1291.2469755351628
-1352.3917958232837,-1290.58738179859
-1351.1166084829586,-1289.4311822901532
-1349.4397657906486,-1287.7860085262016
-1347.3578833178829,-1285.709514431252
-1344.8396354409604,-1283.219848176045
-1341.9537420204367,-1280.3511376651973
-1338.6534177614628,-1277.1564340350888
-1335.03755227991,-1273.6937443741806
-1331.1487396716395,-1269.9856549181748
-1327.0065339572702,-1266.0385923160645
-1322.5921320187335,-1261.87325555633
-1317.927836449918,-1257.496746764154
-1313.0422660807578,-1252.929838200176
-1307.9256683403248,-1248.1617436258748
-1302.6213460414929,-1243.2006551602328
-1297.1587662948207,-1238.0685137095993
-1291.5243992155688,-1232.7668834404033
-1285.7142139938849,-1227.303141666
-1279.7334184712377,-1221.6905725305564
-1273.6084487794867,-1215.9422589053404
-1267.3549745945684,-1210.0572041996331
-1260.9629217288082,-1204.0328045188128
-1254.4223586404223,-1197.8664164131142
-1247.748029085683,-1191.595810336594
-1240.9413500251785,-1185.2154317144098
-1233.9969663038876,-1178.66331329401
-1226.9083585765143,-1171.9138113100635
-1219.6834147787013,-1164.9659516319323
-1212.3247476612225,-1157.8294136351728
-1204.8352039456001,-1150.5486051400908
-1197.2098243965581,-1143.134473540858
-1189.4482286395796,-1135.5750093654465
-1181.566786426426,-1127.8884254832371
-1173.5467569409752,-1120.0615310231153
-1165.3685390881476,-1112.1001703408392
-1157.0101081220785,-1103.9986628244021
-1148.4780422573303,-1095.7637202938574
-1139.7819491656187,-1087.4067076518427
-1130.924429798771,-1078.928705380178
-1121.9050640166297,-1070.3400724657952
-1112.7208282038828,-1061.585566587309
-1103.3674650201592,-1052.6636423586758
-1093.8305662463113,-1043.5755400881023
-1084.143109021109,-1034.3048946395652
-1074.3162976315778,-1024.8475154800356
-1064.339827835786,-1015.2320514412787
-1054.2137969381854,-1005.4695710793889
-1043.9019098485107,-995.5421681378064
-1033.369517373312,-985.406079949674
-1022.5615451467485,-975.0445510253301
-1011.4562154610995,-964.439522274008
-1000.0448029187864,-953.5543837045916
