X0,X1,X2,X3,X4,X5,ANG,AVG,RIP
19.17,136.0,1.0,0.3,1.44,0.68,-45.0,-1493.669,70.711
16.86,117.3,2.19,0.54,2.26,1.87,-45.0,-886.971,44.99
17.04,143.9,1.08,0.67,2.25,1.62,-46.0,-993.643,45.879
16.4,109.9,3.4,0.97,1.7,1.88,-43.0,-812.806,37.743
23.76,144.7,1.26,0.04,1.51,2.26,-43.0,-1645.71,68.331
15.98,121.1,3.87,0.53,1.2,1.13,-44.0,-1000.528,26.677
21.87,141.7,1.05,0.75,3.08,2.0,-42.0,-1113.216,70.649
17.8,139.5,1.31,0.45,3.41,1.08,-42.0,-1056.119,44.564
17.88,106.5,1.06,0.68,1.63,1.03,-46.0,-1104.792,47.613
19.92,102.7,2.72,0.15,1.75,1.9,-43.0,-1156.06,57.684
16.02,120.7,3.08,0.41,1.15,1.57,-44.0,-899.234,37.086
21.64,125.7,2.94,0.59,1.0,0.78,-43.0,-1552.88,53.729
16.39,140.4,2.19,0.17,2.81,1.2,-42.0,-1180.579,57.326
22.51,136.3,2.86,0.62,1.0,1.2,-42.0,-1566.132,61.92
17.7,144.8,2.28,0.96,2.56,1.74,-42.0,-987.013,56.358
16.15,147.5,2.35,0.58,2.22,0.98,-43.0,-1220.975,51.397
24.03,128.7,1.01,0.62,1.98,1.56,-44.0,-1605.289,54.567
23.86,117.9,2.85,0.62,1.0,2.36,-43.0,-1548.984,66.396
21.91,149.9,1.52,0.14,2.59,1.9,-42.0,-1338.441,66.529
15.66,137.8,3.26,0.92,1.82,0.75,-44.0,-1137.254,36.481
15.2,101.3,1.08,0.25,3.58,1.58,-47.0,-826.345,53.708
20.53,142.1,1.37,0.28,2.76,2.44,-43.0,-1220.749,68.12
20.61,100.9,3.23,0.23,1.0,1.27,-43.0,-1285.651,50.008
23.64,137.4,2.55,0.14,1.0,0.74,-43.0,-1816.836,55.431
15.45,105.4,1.68,0.71,2.68,0.52,-46.0,-1393.384,60.781
15.72,148.4,2.7,0.2,1.76,1.99,-44.0,-887.539,47.055
16.95,129.1,3.91,0.85,1.03,1.49,-43.0,-951.952,43.569
21.2,141.4,1.47,0.02,1.21,1.48,-44.0,-1472.249,69.087
21.06,128.4,1.95,0.99,2.19,1.26,-42.0,-1326.948,56.654
20.51,137.3,3.01,0.26,1.2,1.24,-43.0,-1431.293,58.061
21.3,110.5,3.26,0.07,1.0,2.11,-43.0,-1273.227,64.573
16.93,132.0,2.57,0.92,1.79,0.63,-44.0,-1299.942,50.879
22.35,138.6,2.85,0.93,1.0,0.97,-42.0,-1586.397,60.898
21.17,147.5,3.22,0.56,1.0,1.78,-43.0,-1396.293,72.393
18.9,124.3,2.81,0.55,1.91,2.34,-44.0,-1062.607,65.816
18.95,148.2,1.52,0.13,1.41,1.51,-44.0,-1263.714,67.388
15.22,147.4,3.48,0.02,1.53,1.16,-45.0,-1114.275,33.785
16.31,140.5,2.03,0.94,2.75,2.26,-44.0,-830.781,46.55
23.45,145.3,2.38,0.55,1.28,1.07,-42.0,-1727.851,63.466
19.9,130.0,1.05,0.59,2.3,2.12,-45.0,-1197.048,64.381
18.15,144.6,2.73,0.18,2.03,1.72,-42.0,-1128.383,58.7
15.54,121.0,3.04,0.92,1.0,2.46,-45.0,-719.762,51.107
