X1,X2,X3,X4,X5,X6,AVG,RIP
24,130,1,1,2,0.5,-1778.89,41.13
17,100,3,2,1,0.5,-978.24,24.52
25,130,2,1,1,0.5,-1829.5,54.48
24,100,1,1,2,0.5,-1664.79,34.51
24,140,1,1,2,0.5,-1796.85,43.24
16,100,1,1,3,1.0,-977.23,23.65
25,100,1,1,2,0.5,-1676.97,35.28
16,100,3,2,1,0.5,-886.16,20.03
25,140,2,1,1,0.5,-1887.83,56.69
25,150,2,1,1,0.5,-1899.48,59.44
24,120,1,1,2,0.5,-1746.9,38.59
16,110,3,2,1,0.5,-922.07,23.21
25,150,1,1,1,0.5,-1922.09,59.8
15,140,1,1,3,0.5,-1294.29,31.25
24,110,1,1,2,0.5,-1705.84,36.85
25,140,1,1,1,0.5,-1894.9,58.03
25,110,1,1,2,0.5,-1733.28,38.0
17,100,2,2,2,0.5,-1041.32,26.79
25,140,1,1,2,0.5,-1809.18,47.2
25,120,1,1,2,0.5,-1771.69,40.72
15,150,1,1,3,0.5,-1304.61,32.86
16,110,1,1,3,1.0,-1001.29,25.18
15,130,1,1,3,0.5,-1286.16,29.09
17,100,1,2,2,0.5,-1042.8,27.18
16,130,1,1,3,0.5,-1332.98,32.91
15,110,4,1,1,0.5,-1021.65,26.67
