X1,X2,X3,X4,X5,X6,AVG,RIP
15.04,100.0,1.0,0.97,2.73,0.92,-977.127,13.904
24.87,141.7,1.0,0.01,1.65,0.5,-2134.587,53.511
17.07,107.1,3.7,0.03,1.08,0.52,-1357.305,30.036
23.94,100.0,1.0,0.99,2.33,0.64,-1532.7,30.067
15.43,101.5,1.0,0.94,2.72,0.76,-1110.803,20.259
15.94,102.9,1.0,0.95,2.72,0.84,-1093.647,19.092
24.42,135.1,1.0,0.01,1.92,0.5,-2109.147,49.144
24.87,141.7,1.01,0.01,1.65,0.5,-2133.771,52.8
15.35,100.1,3.96,0.05,1.07,0.52,-1229.838,22.393
15.35,100.1,3.95,0.2,1.07,0.52,-1205.507,20.802
24.78,106.4,1.0,0.87,1.98,0.5,-1753.969,37.56
24.35,100.6,1.01,0.01,2.19,0.53,-1906.836,39.883
16.71,100.6,3.76,0.01,1.08,0.5,-1331.764,27.697
23.98,100.6,1.0,0.98,2.15,0.6,-1623.357,31.934
24.37,100.6,1.0,0.02,2.31,0.68,-1792.478,37.63
15.35,100.1,3.96,0.05,1.07,0.7,-1152.283,20.777
23.98,100.3,1.0,1.0,2.15,0.5,-1644.954,32.387
24.42,100.5,1.0,0.01,2.18,0.53,-1932.063,40.203
24.42,135.6,1.0,0.01,1.98,0.5,-2102.386,48.055
24.87,140.3,1.0,0.01,1.77,0.5,-2127.056,51.451
15.94,102.9,1.0,0.98,2.72,0.84,-1084.581,18.334
15.95,100.3,3.88,0.01,1.11,0.5,-1302.709,24.659
24.36,100.6,1.0,0.01,2.19,0.59,-1885.497,38.848
15.35,100.1,3.96,0.2,1.15,0.52,-1221.791,21.378
24.42,105.1,1.0,0.97,2.08,0.5,-1705.727,34.953
24.42,100.4,1.0,0.01,2.19,0.5,-1946.038,40.56
24.36,100.6,1.0,0.01,2.19,0.57,-1895.517,39.295
24.96,118.2,1.0,0.03,1.94,0.5,-2042.952,45.046
24.41,100.0,1.0,0.99,2.09,0.55,-1662.093,32.629
15.35,100.1,3.98,0.05,1.07,0.7,-1146.106,20.449
15.35,101.6,1.0,0.93,2.79,0.82,-1078.775,17.689
24.87,112.4,1.01,0.01,2.0,0.5,-2032.546,44.297
17.07,100.2,3.7,0.03,1.08,0.52,-1333.946,28.597
15.35,100.1,3.95,0.01,1.08,0.5,-1256.368,22.492
15.97,100.1,3.82,0.04,1.17,0.52,-1304.143,26.012
16.14,106.3,3.83,0.04,1.12,0.5,-1323.828,26.841
24.42,138.9,1.0,0.01,1.92,0.5,-2111.229,50.114
15.02,100.0,1.0,0.99,2.78,0.84,-1026.616,14.968
24.84,110.9,1.0,0.02,2.0,0.5,-2014.277,43.198
24.42,100.0,1.0,0.96,2.04,0.5,-1699.279,34.121
24.36,100.6,1.0,0.01,2.19,0.64,-1862.376,38.571
15.08,101.6,1.0,0.96,2.79,0.9,-1003.252,14.671
24.08,100.1,1.01,0.93,2.18,0.6,-1600.884,31.8
16.72,107.8,3.76,0.01,1.08,0.5,-1355.539,28.89
24.87,141.7,1.0,0.01,1.83,0.5,-2120.161,50.424
24.41,100.0,1.0,0.99,2.05,0.55,-1674.47,33.131
24.08,100.1,1.01,0.96,2.18,0.6,-1593.806,31.36
24.87,134.1,1.0,0.01,1.98,0.5,-2085.554,47.166
24.35,109.1,1.0,0.0,2.05,0.5,-1998.227,42.656
15.12,100.0,1.0,0.99,2.73,0.84,-1033.104,15.297
24.86,134.1,1.02,0.01,1.94,0.5,-2091.395,47.802
15.35,100.1,3.95,0.02,1.11,0.5,-1262.095,22.957
24.36,100.6,1.0,0.01,2.19,0.66,-1846.717,38.557
15.35,103.5,3.94,0.01,1.08,0.5,-1266.307,23.603
24.87,100.0,1.0,0.01,2.0,0.5,-1958.77,41.055
24.92,120.5,1.02,0.01,1.92,0.51,-2054.581,45.3
15.06,100.1,1.0,0.96,2.75,0.84,-1037.749,16.056
15.15,101.6,1.0,0.93,2.78,0.82,-1069.24,17.163
24.4,111.0,1.0,0.96,2.04,0.51,-1745.946,37.026
23.98,100.8,1.0,0.98,2.2,0.68,-1581.127,30.977
24.87,128.0,1.0,0.01,1.97,0.5,-2059.644,45.865
24.42,100.0,1.0,0.96,2.09,0.51,-1681.488,33.481
24.87,140.2,1.0,0.01,1.77,0.51,-2121.864,51.269
24.42,100.0,1.0,0.98,2.05,0.5,-1692.935,33.769
15.97,106.3,3.83,0.01,1.12,0.52,-1312.085,26.711
23.98,100.1,1.0,0.99,2.29,0.6,-1571.352,30.764
15.35,100.1,1.0,0.95,2.78,0.84,-1056.213,16.436
24.87,112.5,1.0,0.01,2.0,0.5,-2031.534,43.758
15.35,100.1,1.0,0.93,2.78,0.84,-1060.971,16.925
15.04,100.0,1.02,0.98,2.74,0.9,-988.337,14.081
24.84,112.5,1.0,0.01,2.0,0.5,-2020.368,43.528
15.94,101.6,3.88,0.04,1.11,0.5,-1295.22,24.452
24.39,110.3,1.0,0.95,2.07,0.5,-1737.984,36.393
23.91,100.1,1.0,0.99,2.3,0.64,-1548.624,30.331
24.78,135.7,1.0,0.01,1.98,0.5,-2073.516,46.917
24.38,108.5,1.0,0.96,2.07,0.51,-1711.813,35.485
15.04,100.0,1.0,0.98,2.73,0.88,-998.459,14.331
24.32,100.5,1.0,0.01,2.29,0.66,-1809.829,38.046
24.38,110.3,1.0,0.96,2.05,0.51,-1722.959,36.11
24.98,130.8,1.0,0.01,1.98,0.5,-2063.762,46.273
24.87,100.7,1.01,0.0,1.99,0.5,-1976.491,41.388
16.97,100.1,3.7,0.01,1.09,0.5,-1352.329,28.664
24.35,108.4,1.0,0.0,2.1,0.5,-1983.762,41.729
15.52,100.1,3.92,0.02,1.13,0.5,-1279.298,24.311
24.35,109.1,1.0,0.0,2.1,0.5,-1988.264,42.011
23.98,100.5,1.0,0.01,2.31,0.66,-1832.378,38.178
15.35,100.1,1.0,0.97,2.78,0.84,-1051.041,16.062
24.33,100.8,1.0,0.02,2.29,0.68,-1808.122,37.791
24.35,109.1,1.0,0.0,2.05,0.52,-1990.929,42.505
24.9,134.1,1.0,0.01,1.98,0.5,-2070.659,46.555
15.97,100.1,3.82,0.04,1.17,0.52,-1306.588,26.19
24.87,100.7,1.0,0.0,1.99,0.52,-1967.652,41.227
24.38,111.3,1.0,0.98,2.04,0.51,-1742.223,36.595
23.98,100.5,1.02,0.01,2.31,0.66,-1828.272,38.172
23.98,100.1,1.0,0.99,2.29,0.64,-1555.093,30.629
15.35,100.1,3.95,0.01,1.15,0.5,-1274.016,23.965
15.35,100.3,3.96,0.21,1.12,0.52,-1213.862,21.121
24.38,108.5,1.0,0.96,2.05,0.51,-1717.841,35.642
24.42,107.2,1.0,0.98,2.05,0.5,-1719.54,35.956
15.35,100.1,3.96,0.2,1.07,0.52,-1207.133,21.104
