X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,8.15,6.71,-25.0,-1553.61,81.81
20.33,115.4,1.6,0.69,2.56,2.39,1.88,14.94,15.99,4.49,5.53,-46.0,-1579.49,65.88
18.48,120.1,1.85,0.88,2.68,2.32,1.67,11.35,17.17,6.85,7.36,-40.0,-1446.19,67.61
21.63,109.7,0.9,0.95,2.07,2.49,1.7,11.19,17.23,6.09,0.05,-36.0,-1174.21,55.6
17.52,119.5,1.18,0.58,3.77,2.18,1.62,12.47,14.96,5.0,2.51,-48.0,-1133.4,59.54
21.39,102.0,3.65,0.26,0.5,2.33,1.83,14.54,17.46,0.22,3.14,-33.0,-1548.31,67.43
21.17,135.9,3.8,0.56,0.5,2.52,1.7,12.43,14.83,8.79,7.0,-25.0,-1979.67,60.36
24.19,91.6,2.38,0.17,0.94,2.32,1.75,10.11,17.58,7.72,0.24,-37.0,-1354.29,28.57
20.46,123.9,1.5,0.49,2.6,2.31,1.8,12.17,16.46,5.04,6.08,-44.0,-1608.02,81.11
24.74,108.4,3.09,0.58,0.5,2.44,1.79,13.75,16.87,4.51,1.4,-31.0,-1629.42,45.91
23.64,85.8,1.52,0.45,1.84,2.24,1.7,11.59,14.98,6.88,4.38,-46.0,-1571.34,54.71
20.28,124.2,1.91,0.73,2.32,2.66,1.78,12.33,12.74,1.09,1.5,-44.0,-1319.78,62.71
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,5.52,3.6,-48.0,-1018.34,56.35
23.52,93.3,2.66,0.23,0.86,2.4,1.74,10.76,14.97,8.7,4.51,-40.0,-1614.61,45.86
16.45,120.1,1.28,0.52,3.25,2.05,1.55,14.36,16.76,8.62,9.8,-41.0,-1461.85,59.52
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,13.72,3.72,3.54,-46.0,-1075.33,42.02
21.22,132.5,0.99,0.71,3.06,2.66,1.7,11.25,11.39,1.91,2.05,-44.0,-1310.37,42.37
20.12,135.1,0.61,0.72,3.62,2.28,1.76,11.63,16.88,8.94,6.0,-43.0,-1361.54,66.71
23.3,111.9,2.86,0.58,0.78,2.62,1.84,11.76,16.85,3.12,2.85,-33.0,-1596.9,63.09
17.9,121.9,2.0,0.81,1.74,2.28,1.78,11.54,15.87,7.87,3.54,-47.0,-1205.83,35.44
24.17,116.9,2.44,0.31,1.04,2.68,1.96,13.53,13.82,2.02,2.31,-44.0,-1702.82,75.36
20.28,119.2,1.02,0.55,1.26,2.56,1.86,10.88,16.9,0.32,5.83,-25.0,-1541.56,92.56
19.48,122.8,2.1,0.66,0.96,2.52,1.95,13.03,16.13,8.08,7.39,-28.0,-1865.01,73.68
21.24,127.0,0.53,0.99,0.77,2.63,1.97,10.04,16.58,11.71,5.17,-25.0,-1663.58,63.74
22.92,115.7,3.45,0.41,0.5,2.25,1.66,10.86,13.27,3.86,6.27,-30.0,-1774.24,84.15
24.75,85.6,2.89,0.64,0.5,2.36,1.81,11.26,16.34,6.93,1.9,-38.0,-1410.76,32.04
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,17.11,2.95,5.78,-40.0,-1355.01,63.55
23.98,95.7,3.19,0.28,0.5,2.45,1.61,10.07,13.33,8.75,5.49,-34.0,-1657.91,53.6
15.44,136.1,1.13,0.38,3.98,2.19,1.69,10.16,14.57,2.89,7.3,-48.0,-1018.88,88.35
24.81,130.0,2.08,0.71,1.29,2.5,1.76,10.75,12.96,2.28,4.48,-40.0,-1792.07,82.28
24.37,99.2,1.37,0.9,2.06,2.57,1.63,11.37,12.63,4.78,3.52,-43.0,-1490.38,55.09
23.9,120.1,2.28,0.47,1.24,2.18,1.66,10.19,15.55,8.92,3.55,-38.0,-1742.13,37.2
22.68,102.9,0.64,0.14,1.18,2.2,1.53,13.03,14.1,7.3,6.23,-25.0,-1797.53,53.0
23.48,96.3,0.55,0.87,2.8,2.46,1.96,10.25,11.88,1.01,2.64,-42.0,-1318.78,54.18
21.05,118.6,0.69,0.6,3.35,2.1,1.57,14.21,14.95,4.71,3.97,-47.0,-1382.9,24.47
23.45,108.2,3.35,0.35,0.5,2.61,1.81,10.3,16.0,9.26,3.55,-31.0,-1578.29,38.91
22.54,103.9,0.64,0.16,1.31,2.2,1.53,13.03,14.1,6.7,5.63,-26.0,-1741.83,53.29
24.81,130.0,2.08,0.71,1.29,2.5,1.76,10.75,12.73,5.47,3.5,-42.0,-1730.08,64.61
24.37,95.2,1.37,0.9,2.06,2.54,1.63,11.35,12.63,4.78,3.49,-43.0,-1483.9,53.76
22.45,135.9,3.56,0.56,0.5,2.52,1.7,10.02,14.96,1.99,5.59,-25.0,-1775.66,84.32
21.39,102.0,3.66,0.26,0.5,2.33,1.83,14.43,17.46,0.48,3.14,-33.0,-1563.55,66.67
20.28,119.2,1.02,0.56,1.26,2.56,1.86,10.04,16.9,0.32,5.18,-29.0,-1408.47,96.21
24.17,116.9,2.44,0.31,1.04,2.65,1.93,13.53,13.82,2.02,2.31,-44.0,-1707.64,73.65
16.52,120.1,1.63,0.52,3.25,2.05,1.55,14.34,16.84,8.62,9.64,-43.0,-1480.89,68.65
23.52,93.0,2.66,0.23,0.84,2.24,1.74,10.76,15.03,6.51,2.24,-44.0,-1491.68,51.72
23.45,108.2,3.35,0.35,0.5,2.62,1.82,10.3,16.0,9.25,3.55,-32.0,-1565.26,38.13
24.34,118.6,0.69,0.6,2.75,2.1,1.57,14.21,14.95,4.45,3.71,-44.0,-1682.81,30.04
21.69,109.7,0.9,0.95,2.07,2.48,1.69,11.18,12.24,1.11,0.05,-44.0,-1237.64,56.14
21.22,133.7,0.99,0.9,0.51,2.28,1.71,12.95,16.21,1.91,3.9,-25.0,-1639.73,69.5
15.8,135.4,1.49,0.81,3.56,2.24,1.74,10.8,13.36,5.52,3.6,-48.0,-1086.68,51.77
22.96,123.9,1.5,0.49,0.8,2.31,1.8,11.62,16.47,5.04,2.82,-39.0,-1614.22,56.25
17.9,122.6,0.56,0.81,3.62,2.28,1.78,11.63,16.88,8.94,6.0,-48.0,-1066.56,75.57
22.49,111.1,0.75,0.3,2.63,2.64,1.67,10.45,17.19,3.08,3.32,-41.0,-1354.17,49.97
22.92,119.8,3.46,0.41,0.5,2.22,1.63,10.86,13.27,3.86,6.17,-30.0,-1803.37,84.05
20.12,135.1,0.62,0.17,3.62,2.28,1.77,11.63,16.88,7.78,5.81,-47.0,-1446.36,31.5
22.59,126.3,0.64,0.99,0.77,2.63,1.97,10.04,14.18,7.18,5.21,-25.0,-1727.6,65.63
24.67,99.2,1.32,0.9,2.06,2.6,1.63,11.37,12.52,4.78,5.81,-39.0,-1649.03,58.61
20.28,119.0,0.69,0.73,2.32,2.31,1.78,12.35,12.74,1.09,1.48,-45.0,-1238.26,41.93
21.43,135.9,3.75,0.57,0.5,2.51,1.7,12.0,14.65,4.54,1.89,-42.0,-1371.78,63.28
20.28,118.8,0.51,0.59,1.26,2.4,1.86,10.41,16.9,0.5,5.82,-25.0,-1529.78,94.27
18.27,121.9,2.0,0.81,1.74,2.34,1.78,11.54,12.77,4.77,3.54,-45.0,-1231.71,54.38
22.92,115.7,3.45,0.41,0.5,2.25,1.66,11.08,13.27,3.86,6.05,-31.0,-1783.83,84.4
23.72,80.8,3.06,0.35,0.5,2.13,1.63,12.45,12.55,2.5,2.61,-44.0,-1462.71,73.74
24.75,116.9,2.44,0.31,1.04,2.68,1.96,13.53,13.82,2.02,2.31,-44.0,-1732.64,72.63
23.9,120.1,2.28,0.47,1.24,2.17,1.66,10.19,15.56,2.06,3.54,-41.0,-1663.76,80.73
20.28,124.2,1.91,0.73,2.32,2.66,1.78,12.35,12.74,1.09,1.48,-44.0,-1321.79,62.49
24.75,85.6,2.89,0.64,0.5,2.36,1.81,11.37,16.34,6.71,1.9,-38.0,-1413.51,33.48
21.24,124.8,0.53,0.98,0.77,2.63,1.97,10.88,16.58,10.88,5.18,-25.0,-1689.62,65.12
24.11,91.6,1.29,0.17,0.94,2.32,1.75,10.16,17.5,7.58,0.24,-37.0,-1341.01,23.03
15.44,136.1,1.13,0.38,3.85,2.19,1.69,10.16,14.57,2.89,7.3,-48.0,-1027.12,87.69
23.98,98.6,1.14,0.28,0.5,2.46,1.61,10.07,13.71,8.75,5.31,-28.0,-1642.66,46.61
20.52,118.7,1.57,0.58,2.58,2.58,1.84,12.17,16.84,3.12,5.64,-41.0,-1513.53,80.66
20.12,134.4,2.07,0.72,1.34,2.28,1.76,11.54,15.87,7.87,3.54,-44.0,-1434.1,49.54
17.52,115.4,1.14,0.58,3.77,2.1,1.6,12.47,14.96,5.0,2.61,-48.0,-1164.96,56.66
