X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20,150,3,0.5,1,2.0,1.5,12,14,19.96
23,100,2,0.5,1,2.5,1.5,10,8,20.09
24,130,2,0.5,1,2.0,1.5,11,12,19.98
20,140,2,0.5,2,2.5,1.5,14,2,19.84
15,130,3,0.5,1,2.0,1.5,12,2,19.93
15,140,1,0.5,3,2.0,1.5,13,12,19.96
16,140,4,0.5,1,2.0,1.5,14,12,20.2
22,150,1,0.5,1,2.0,1.5,15,12,19.08
21,140,3,0.5,1,2.5,1.5,14,14,19.78
24,110,1,0.5,2,2.0,1.5,12,12,20.42
17,100,2,0.5,1,2.5,1.5,11,4,19.97
19,140,1,0.5,1,2.5,1.5,12,14,19.98
20,120,3,0.5,1,2.5,1.5,15,4,18.87
17,100,3,0.5,2,2.5,1.5,10,8,20.14
19,150,3,0.5,1,2.5,1.5,15,8,18.96
25,120,1,0.5,2,2.0,1.5,13,10,20.27
17,140,3,0.5,1,2.5,1.5,15,14,19.83
19,110,3,0.5,1,2.0,1.5,13,8,20.1
22,110,1,0.5,3,2.5,1.5,12,14,20.05
22,100,2,0.5,2,2.0,1.5,10,4,19.91
24,120,2,0.5,1,2.0,1.5,10,8,20.2
16,140,1,0.5,3,2.0,1.5,10,8,20.21
22,140,1,0.5,1,2.0,1.5,10,8,20.08
15,100,1,0.5,4,2.5,1.5,12,14,20.01
21,140,2,0.5,1,2.5,1.5,14,4,20.02
24,110,2,0.5,1,2.0,1.5,10,16,20.18
24,140,2,0.5,1,2.0,1.5,14,8,20.34
22,110,2,0.5,2,2.0,1.5,11,2,20.12
21,100,1,0.5,3,2.0,1.5,12,10,20.3
24,120,1,0.5,2,2.5,1.5,11,12,20.07
16,130,4,0.5,1,2.0,1.5,12,2,19.93
15,110,1,0.5,1,2.0,1.5,14,12,20.28
16,120,2,0.5,3,2.5,1.5,11,12,19.99
23,140,3,0.5,1,2.5,1.5,13,6,20.24
23,140,1,0.5,3,2.5,1.5,15,10,20.06
18,120,1,0.5,2,2.5,1.5,11,16,20.17
25,120,2,0.5,1,2.0,1.5,15,6,20.05
24,100,2,0.5,1,2.5,1.5,11,10,20.57
23,110,3,0.5,1,2.5,1.5,12,10,20.14
22,120,3,0.5,1,2.0,1.5,14,6,19.85
