X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,12,-45.0,-1493.06,68.38
23,100,2,0.5,1,2.5,1.5,10,-43.0,-1363.75,79.14
24,130,2,0.5,1,2.0,1.5,11,-44.0,-1723.97,78.66
20,140,2,0.5,2,2.5,1.5,14,-41.0,-1415.31,52.3
15,130,3,0.5,1,2.0,1.5,12,-46.0,-1052.17,44.04
15,140,1,0.5,3,2.0,1.5,13,-47.0,-1107.75,83.0
16,140,4,0.5,1,2.0,1.5,14,-43.0,-1230.02,42.38
22,150,1,0.5,1,2.0,1.5,15,-41.0,-1624.66,50.26
21,140,3,0.5,1,2.5,1.5,14,-41.0,-1431.79,65.85
24,110,1,0.5,2,2.0,1.5,12,-45.0,-1613.68,52.98
17,100,2,0.5,1,2.5,1.5,11,-44.0,-776.73,39.42
19,140,1,0.5,1,2.5,1.5,12,-45.0,-1068.42,66.9
20,120,3,0.5,1,2.5,1.5,15,-39.0,-1353.81,58.27
17,100,3,0.5,2,2.5,1.5,10,-44.0,-1030.05,39.95
19,150,3,0.5,1,2.5,1.5,15,-39.0,-1346.58,52.48
25,120,1,0.5,2,2.0,1.5,13,-44.0,-1748.41,53.04
17,140,3,0.5,1,2.5,1.5,15,-39.0,-1178.83,37.47
19,110,3,0.5,1,2.0,1.5,13,-45.0,-1356.88,60.66
22,110,1,0.5,3,2.5,1.5,12,-44.0,-1308.02,45.39
22,100,2,0.5,2,2.0,1.5,10,-45.0,-1540.92,59.68
24,120,2,0.5,1,2.0,1.5,10,-44.0,-1672.0,77.14
16,140,1,0.5,3,2.0,1.5,10,-47.0,-1046.68,75.15
22,140,1,0.5,1,2.0,1.5,10,-44.0,-1411.48,72.49
15,100,1,0.5,4,2.5,1.5,12,-46.0,-774.11,107.31
21,140,2,0.5,1,2.5,1.5,14,-41.0,-1401.2,63.04
24,110,2,0.5,1,2.0,1.5,10,-44.0,-1634.85,76.85
24,140,2,0.5,1,2.0,1.5,14,-43.0,-1779.91,66.11
22,110,2,0.5,2,2.0,1.5,11,-45.0,-1594.82,64.67
21,100,1,0.5,3,2.0,1.5,12,-46.0,-1372.35,34.24
24,120,1,0.5,2,2.5,1.5,11,-44.0,-1520.93,69.74
16,130,4,0.5,1,2.0,1.5,12,-46.0,-1189.91,43.28
15,110,1,0.5,1,2.0,1.5,14,-41.0,-666.2,71.68
16,120,2,0.5,3,2.5,1.5,11,-45.0,-991.25,37.47
23,140,3,0.5,1,2.5,1.5,13,-43.0,-1567.51,69.51
23,140,1,0.5,3,2.5,1.5,15,-40.0,-1486.84,28.17
18,120,1,0.5,2,2.5,1.5,11,-45.0,-947.03,41.55
25,120,2,0.5,1,2.0,1.5,15,-41.0,-1764.75,62.54
24,100,2,0.5,1,2.5,1.5,11,-43.0,-1442.99,82.26
23,110,3,0.5,1,2.5,1.5,12,-43.0,-1459.38,78.18
22,120,3,0.5,1,2.0,1.5,14,-43.0,-1585.7,66.04
18,120,3,0.5,1,2.5,1.5,11,-43.0,-1104.37,51.59
21,100,3,0.5,1,2.0,1.5,10,-44.0,-1429.47,70.02
16,110,3,0.5,2,2.5,1.5,15,-39.0,-1154.35,52.23
24,120,2,0.5,1,2.0,1.5,11,-44.0,-1693.98,77.57
18,140,3,0.5,1,2.0,1.5,12,-45.0,-1338.54,55.09
19,100,3,0.5,1,2.0,1.5,10,-45.0,-1279.19,62.15
23,150,3,0.5,1,2.5,1.5,10,-43.0,-1615.17,80.95
16,150,2,0.5,3,2.5,1.5,15,-40.0,-1187.63,48.26
25,110,2,0.5,1,2.5,1.5,13,-43.0,-1569.93,76.02
19,120,3,0.5,1,2.5,1.5,14,-41.0,-1229.26,55.25
15,110,1,0.5,1,2.0,1.5,11,-47.0,-587.38,43.08
18,150,3,0.5,1,2.0,1.5,15,-41.0,-1429.58,51.59
24,140,2,0.5,1,2.0,1.5,10,-44.0,-1767.76,77.14
17,120,1,0.5,1,2.0,1.5,14,-41.0,-881.16,40.42
15,100,1,0.5,4,2.5,1.5,10,-46.0,-737.33,110.07
19,150,1,0.5,3,2.0,1.5,13,-45.0,-1413.69,38.59
24,100,2,0.5,1,2.5,1.5,12,-43.0,-1451.89,79.97
17,110,4,0.5,1,2.5,1.5,14,-41.0,-1067.11,43.23
22,150,1,0.5,3,2.0,1.5,13,-44.0,-1522.5,33.56
22,100,3,0.5,1,2.0,1.5,12,-45.0,-1504.07,73.74
25,110,2,0.5,1,2.5,1.5,14,-42.0,-1575.14,69.65
24,130,2,0.5,1,2.5,1.5,12,-43.0,-1585.59,79.49
23,110,2,0.5,1,2.0,1.5,14,-43.0,-1625.55,65.61
21,110,3,0.5,1,2.5,1.5,10,-43.0,-1300.74,73.95
24,150,2,0.5,1,2.5,1.5,10,-43.0,-1672.19,83.16
18,140,2,0.5,2,2.0,1.5,15,-42.0,-1545.24,49.03
22,140,3,0.5,1,2.0,1.5,14,-43.0,-1649.65,64.13
22,130,3,0.5,1,2.0,1.5,12,-44.0,-1612.5,73.53
19,150,2,0.5,2,2.0,1.5,12,-45.0,-1491.57,48.6
20,100,3,0.5,1,2.5,1.5,14,-41.0,-1245.24,61.99
24,130,1,0.5,1,2.0,1.5,12,-44.0,-1603.04,69.78
18,100,3,0.5,1,2.0,1.5,13,-45.0,-1261.41,52.67
21,130,3,0.5,1,2.0,1.5,15,-41.0,-1580.09,62.95
23,110,2,0.5,1,2.0,1.5,10,-44.0,-1537.28,73.7
15,120,1,0.5,2,2.5,1.5,10,-48.0,-620.58,56.13
17,150,3,0.5,2,2.0,1.5,14,-44.0,-1501.25,49.22
25,150,2,0.5,1,2.5,1.5,13,-43.0,-1732.27,72.17
22,140,2,0.5,2,2.0,1.5,14,-43.0,-1764.31,61.58
24,100,1,0.5,2,2.5,1.5,13,-43.0,-1447.35,59.95
22,150,1,0.5,3,2.5,1.5,14,-42.0,-1404.1,28.63
18,100,1,0.5,1,2.5,1.5,10,-46.0,-798.55,67.97
25,150,2,0.5,1,2.0,1.5,15,-41.0,-1890.39,56.42
15,130,2,0.5,1,2.0,1.5,13,-43.0,-861.37,39.29
23,110,3,0.5,1,2.5,1.5,15,-40.0,-1492.41,60.3
22,110,3,0.5,1,2.0,1.5,11,-45.0,-1543.3,76.17
22,150,2,0.5,1,2.0,1.5,14,-43.0,-1666.29,62.03
16,100,1,0.5,3,2.0,1.5,14,-45.0,-1115.75,82.52
16,150,3,0.5,2,2.0,1.5,13,-46.0,-1410.81,49.0
18,100,3,0.5,1,2.0,1.5,12,-45.0,-1228.79,52.53
15,140,2,0.5,3,2.5,1.5,12,-45.0,-960.5,60.64
23,120,3,0.5,1,2.5,1.5,12,-43.0,-1505.02,78.44
21,150,2,0.5,1,2.5,1.5,12,-43.0,-1406.63,66.73
19,130,3,0.5,1,2.5,1.5,12,-43.0,-1211.58,60.35
20,140,2,0.5,2,2.5,1.5,10,-43.0,-1335.17,56.33
21,120,3,0.5,1,2.0,1.5,12,-45.0,-1503.03,72.05
17,100,1,0.5,4,2.0,1.5,11,-48.0,-1042.89,90.31
20,150,1,0.5,1,2.5,1.5,15,-40.0,-1311.57,54.86
22,130,3,0.5,1,2.5,1.5,12,-43.0,-1445.61,73.59
24,150,2,0.5,1,2.0,1.5,10,-44.0,-1778.14,77.75
18,120,3,0.5,1,2.5,1.5,14,-41.0,-1163.04,47.0
25,110,1,0.5,2,2.0,1.5,12,-45.0,-1677.26,55.07
18,140,3,0.5,1,2.0,1.5,15,-41.0,-1414.23,52.04
17,110,1,0.5,1,2.5,1.5,15,-37.0,-900.09,62.52
22,120,3,0.5,1,2.5,1.5,12,-43.0,-1437.09,72.99
25,120,2,0.5,1,2.5,1.5,15,-40.0,-1647.67,59.59
20,140,2,0.5,2,2.5,1.5,12,-43.0,-1354.6,55.2
16,110,2,0.5,2,2.5,1.5,10,-44.0,-848.46,22.67
16,100,2,0.5,1,2.5,1.5,12,-43.0,-712.78,32.7
23,100,2,0.5,1,2.5,1.5,11,-43.0,-1357.86,78.02
18,100,3,0.5,1,2.0,1.5,14,-43.0,-1295.04,51.86
16,140,1,0.5,1,2.0,1.5,10,-47.0,-765.94,36.75
22,100,1,0.5,3,2.0,1.5,12,-45.0,-1451.24,30.41
22,110,2,0.5,2,2.0,1.5,12,-45.0,-1608.35,66.27
24,120,2,0.5,1,2.0,1.5,15,-41.0,-1743.99,60.41
