X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,12,16,-40.0,-1459.39,68.16
23,100,2,0.5,1,2.5,1.5,10,15,-40.0,-1255.19,79.66
24,130,2,0.5,1,2.0,1.5,11,18,-40.0,-1444.99,85.07
20,140,2,0.5,2,2.5,1.5,14,18,-40.0,-1331.42,53.58
15,130,3,0.5,1,2.0,1.5,12,15,-41.0,-1130.13,66.59
15,140,1,0.5,3,2.0,1.5,13,15,-43.0,-1167.44,97.37
16,140,4,0.5,1,2.0,1.5,14,17,-40.0,-1208.59,37.32
24,110,1,0.5,2,2.0,1.5,12,13,-44.0,-1624.51,51.23
17,100,2,0.5,1,2.5,1.5,11,13,-41.0,-807.36,41.49
19,140,1,0.5,1,2.5,1.5,12,13,-44.0,-1066.01,66.7
17,100,3,0.5,2,2.5,1.5,10,16,-40.0,-971.23,71.07
19,110,3,0.5,1,2.0,1.5,13,15,-41.0,-1370.26,66.64
22,100,2,0.5,2,2.0,1.5,10,15,-42.0,-1508.25,81.83
24,120,2,0.5,1,2.0,1.5,10,12,-44.0,-1635.77,84.07
16,140,1,0.5,3,2.0,1.5,10,17,-40.0,-1130.44,76.14
22,140,1,0.5,1,2.0,1.5,10,16,-40.0,-1357.24,73.41
15,100,1,0.5,4,2.5,1.5,12,14,-44.0,-787.99,118.82
24,110,2,0.5,1,2.0,1.5,10,12,-44.0,-1606.38,84.15
22,110,2,0.5,2,2.0,1.5,11,18,-40.0,-1484.4,76.3
21,100,1,0.5,3,2.0,1.5,12,17,-40.0,-1397.62,56.01
24,120,1,0.5,2,2.5,1.5,11,16,-40.0,-1371.98,64.58
16,130,4,0.5,1,2.0,1.5,12,17,-40.0,-1102.14,52.82
15,110,1,0.5,1,2.0,1.5,14,17,-40.0,-659.25,114.82
23,140,3,0.5,1,2.5,1.5,13,17,-40.0,-1464.31,70.44
23,140,1,0.5,3,2.5,1.5,15,17,-40.0,-1469.59,25.58
18,120,1,0.5,2,2.5,1.5,11,13,-44.0,-940.85,41.24
25,120,2,0.5,1,2.0,1.5,15,18,-40.0,-1672.48,54.69
24,100,2,0.5,1,2.5,1.5,11,13,-42.0,-1394.95,79.3
22,120,3,0.5,1,2.0,1.5,14,16,-40.0,-1574.84,61.38
18,120,3,0.5,1,2.5,1.5,11,13,-42.0,-1081.26,56.62
24,120,2,0.5,1,2.0,1.5,11,16,-40.0,-1537.78,74.14
18,140,3,0.5,1,2.0,1.5,12,14,-43.0,-1353.46,59.24
19,100,3,0.5,1,2.0,1.5,10,16,-40.0,-1193.79,84.63
23,150,3,0.5,1,2.5,1.5,10,16,-40.0,-1386.81,78.77
24,140,2,0.5,1,2.0,1.5,10,13,-44.0,-1668.32,81.34
15,100,1,0.5,4,2.5,1.5,10,16,-40.0,-701.34,118.78
19,150,1,0.5,3,2.0,1.5,13,17,-40.0,-1445.63,48.66
22,100,3,0.5,1,2.0,1.5,12,16,-40.0,-1444.16,73.25
25,110,2,0.5,1,2.5,1.5,14,18,-40.0,-1452.07,66.05
24,130,2,0.5,1,2.5,1.5,12,16,-40.0,-1473.13,65.99
23,110,2,0.5,1,2.0,1.5,14,15,-41.0,-1639.24,66.27
21,110,3,0.5,1,2.5,1.5,10,11,-43.0,-1296.61,76.66
24,150,2,0.5,1,2.5,1.5,10,13,-43.0,-1587.29,79.58
22,140,3,0.5,1,2.0,1.5,14,16,-40.0,-1623.17,59.23
22,130,3,0.5,1,2.0,1.5,12,13,-44.0,-1586.43,72.05
19,150,2,0.5,2,2.0,1.5,12,16,-40.0,-1557.18,66.52
20,100,3,0.5,1,2.5,1.5,14,17,-40.0,-1190.7,55.55
18,100,3,0.5,1,2.0,1.5,13,18,-40.0,-1207.39,59.85
23,110,2,0.5,1,2.0,1.5,10,11,-44.0,-1558.1,78.05
15,120,1,0.5,2,2.5,1.5,10,18,-40.0,-549.56,153.57
17,150,3,0.5,2,2.0,1.5,14,16,-40.0,-1510.83,56.17
22,150,1,0.5,3,2.5,1.5,14,17,-40.0,-1388.73,32.21
18,100,1,0.5,1,2.5,1.5,10,17,-40.0,-654.84,118.2
15,130,2,0.5,1,2.0,1.5,13,14,-42.0,-908.19,47.02
16,100,1,0.5,3,2.0,1.5,14,18,-40.0,-1198.03,80.58
16,150,3,0.5,2,2.0,1.5,13,15,-43.0,-1428.29,60.24
18,100,3,0.5,1,2.0,1.5,12,16,-40.0,-1245.72,67.42
23,120,3,0.5,1,2.5,1.5,12,15,-40.0,-1442.41,70.73
21,150,2,0.5,1,2.5,1.5,12,14,-41.0,-1395.07,68.1
19,130,3,0.5,1,2.5,1.5,12,13,-43.0,-1192.49,62.3
21,120,3,0.5,1,2.0,1.5,12,16,-40.0,-1441.99,73.78
17,100,1,0.5,4,2.0,1.5,11,12,-47.0,-1078.15,83.62
22,130,3,0.5,1,2.5,1.5,12,14,-42.0,-1423.16,71.83
23,110,2,0.5,1,2.5,1.5,10,16,-40.0,-1245.13,79.36
23,130,1,0.5,2,2.0,1.5,11,12,-45.0,-1606.0,53.35
17,100,3,0.5,2,2.5,1.5,10,18,-40.0,-877.93,76.12
22,130,3,0.5,1,2.0,1.5,14,16,-40.0,-1597.83,60.37
20,140,2,0.5,1,2.5,1.5,14,18,-40.0,-1259.24,57.39
23,110,2,0.5,1,2.0,1.5,10,13,-44.0,-1503.77,82.89
24,120,2,0.5,1,2.5,1.5,10,16,-40.0,-1332.79,77.03
25,140,2,0.5,1,2.0,1.5,10,18,-40.0,-1420.98,93.48
17,120,1,0.5,1,2.0,1.5,12,16,-40.0,-836.5,69.88
15,130,4,0.5,1,2.0,1.5,12,17,-40.0,-1054.03,56.06
21,120,3,0.5,1,2.5,1.5,12,16,-40.0,-1261.88,71.53
16,100,3,0.5,2,2.0,1.5,13,15,-43.0,-1370.04,67.52
24,120,1,0.5,2,2.5,1.5,11,13,-43.0,-1479.67,67.94
21,100,3,0.5,1,2.0,1.5,12,15,-41.0,-1423.25,76.8
18,130,3,0.5,1,2.0,1.5,12,14,-43.0,-1319.71,60.03
24,120,2,0.5,1,2.0,1.5,11,13,-44.0,-1641.59,78.47
16,120,3,0.5,2,2.5,1.5,11,16,-40.0,-1004.47,66.18
17,140,1,0.5,3,2.0,1.5,15,16,-41.0,-1386.53,60.82
23,140,3,0.5,1,2.5,1.5,12,17,-40.0,-1414.67,77.25
15,110,3,0.5,1,2.0,1.5,10,17,-40.0,-964.58,79.25
25,120,2,0.5,1,2.5,1.5,15,18,-40.0,-1551.1,61.01
