X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,12,16,8,7,-31.0,-1947.72,52.91
23,100,2,0.5,1,2.5,1.5,10,15,0,5,-35.0,-1461.58,100.13
24,130,2,0.5,1,2.0,1.5,11,18,8,1,-29.0,-1572.25,53.35
20,140,2,0.5,2,2.5,1.5,14,18,8,4,-34.0,-1695.53,49.42
15,130,3,0.5,1,2.0,1.5,12,15,11,8,-39.0,-1255.33,66.54
15,140,1,0.5,3,2.0,1.5,13,15,2,0,-44.0,-1153.3,92.68
16,140,4,0.5,1,2.0,1.5,14,17,2,0,-35.0,-1253.36,42.47
24,110,1,0.5,2,2.0,1.5,12,13,1,0,-44.0,-1626.11,48.86
17,100,2,0.5,1,2.5,1.5,11,13,8,6,-33.0,-1143.7,87.66
19,140,1,0.5,1,2.5,1.5,12,13,12,11,-25.0,-1922.54,71.85
17,100,3,0.5,2,2.5,1.5,10,16,4,2,-43.0,-975.73,54.39
19,110,3,0.5,1,2.0,1.5,13,15,11,9,-31.0,-1759.39,64.19
22,100,2,0.5,2,2.0,1.5,10,15,2,2,-46.0,-1469.34,87.31
24,120,2,0.5,1,2.0,1.5,10,12,2,4,-43.0,-1674.85,86.7
16,140,1,0.5,3,2.0,1.5,10,17,8,2,-48.0,-1077.98,67.85
22,140,1,0.5,1,2.0,1.5,10,16,11,5,-35.0,-1699.04,30.31
15,100,1,0.5,4,2.5,1.5,12,14,10,8,-47.0,-865.23,96.49
24,110,2,0.5,1,2.0,1.5,10,12,8,7,-34.0,-1850.63,57.56
22,110,2,0.5,2,2.0,1.5,11,18,2,3,-41.0,-1563.81,77.16
21,100,1,0.5,3,2.0,1.5,12,17,10,5,-48.0,-1399.18,37.13
24,120,1,0.5,2,2.5,1.5,11,16,2,3,-39.0,-1534.08,59.21
16,130,4,0.5,1,2.0,1.5,12,17,4,9,-31.0,-1516.03,98.01
15,110,1,0.5,1,2.0,1.5,14,17,5,2,-32.0,-903.57,108.01
23,140,3,0.5,1,2.5,1.5,13,17,6,3,-29.0,-1808.59,46.49
23,140,1,0.5,3,2.5,1.5,15,17,2,0,-35.0,-1507.87,25.26
18,120,1,0.5,2,2.5,1.5,11,13,4,6,-37.0,-1184.3,92.95
25,120,2,0.5,1,2.0,1.5,15,18,3,0,-30.0,-1687.68,55.75
24,100,2,0.5,1,2.5,1.5,11,13,0,2,-43.0,-1422.54,90.06
22,120,3,0.5,1,2.0,1.5,14,16,2,0,-39.0,-1580.69,53.26
18,120,3,0.5,1,2.5,1.5,11,13,10,8,-32.0,-1449.85,84.5
20,150,3,0.5,1,2.0,1.5,12,16,10,7,-33.0,-1954.12,41.6
24,120,2,0.5,1,2.0,1.5,11,16,5,0,-40.0,-1548.04,40.51
18,140,3,0.5,1,2.0,1.5,12,14,0,2,-46.0,-1282.09,82.64
19,100,3,0.5,1,2.0,1.5,10,16,0,6,-43.0,-1194.4,114.36
24,140,2,0.5,1,2.0,1.5,10,13,7,4,-42.0,-1783.17,57.62
