X1,X2,X3,X4,X5,X6,X7,X8,COG
20,150,3,0.5,1,2.0,1.5,12,20.27
23,100,2,0.5,1,2.5,1.5,10,20.05
24,130,2,0.5,1,2.0,1.5,11,19.96
20,140,2,0.5,2,2.5,1.5,14,20.03
15,130,3,0.5,1,2.0,1.5,12,20.41
15,140,1,0.5,3,2.0,1.5,13,20.06
16,140,4,0.5,1,2.0,1.5,14,20.01
22,150,1,0.5,1,2.0,1.5,15,18.81
21,140,3,0.5,1,2.5,1.5,14,20.04
24,110,1,0.5,2,2.0,1.5,12,20.07
17,100,2,0.5,1,2.5,1.5,11,19.93
19,140,1,0.5,1,2.5,1.5,12,20.22
20,120,3,0.5,1,2.5,1.5,15,18.76
17,100,3,0.5,2,2.5,1.5,10,20.05
19,150,3,0.5,1,2.5,1.5,15,18.86
25,120,1,0.5,2,2.0,1.5,13,19.76
17,140,3,0.5,1,2.5,1.5,15,18.82
19,110,3,0.5,1,2.0,1.5,13,19.92
22,110,1,0.5,3,2.5,1.5,12,20.27
22,100,2,0.5,2,2.0,1.5,10,20.17
24,120,2,0.5,1,2.0,1.5,10,20.14
16,140,1,0.5,3,2.0,1.5,10,20.17
22,140,1,0.5,1,2.0,1.5,10,20.14
15,100,1,0.5,4,2.5,1.5,12,20.11
21,140,2,0.5,1,2.5,1.5,14,20.06
24,110,2,0.5,1,2.0,1.5,10,20.14
24,140,2,0.5,1,2.0,1.5,14,20.12
22,110,2,0.5,2,2.0,1.5,11,19.85
21,100,1,0.5,3,2.0,1.5,12,20.33
24,120,1,0.5,2,2.5,1.5,11,19.9
16,130,4,0.5,1,2.0,1.5,12,20.1
15,110,1,0.5,1,2.0,1.5,14,20.17
16,120,2,0.5,3,2.5,1.5,11,19.86
23,140,3,0.5,1,2.5,1.5,13,19.93
23,140,1,0.5,3,2.5,1.5,15,19.22
18,120,1,0.5,2,2.5,1.5,11,19.92
25,120,2,0.5,1,2.0,1.5,15,18.92
24,100,2,0.5,1,2.5,1.5,11,19.95
23,110,3,0.5,1,2.5,1.5,12,20.12
22,120,3,0.5,1,2.0,1.5,14,20.05
18,120,3,0.5,1,2.5,1.5,11,19.91
21,100,3,0.5,1,2.0,1.5,10,20.0
16,110,3,0.5,2,2.5,1.5,15,18.99
24,120,2,0.5,1,2.0,1.5,11,19.93
18,140,3,0.5,1,2.0,1.5,12,20.11
19,100,3,0.5,1,2.0,1.5,10,19.86
23,150,3,0.5,1,2.5,1.5,10,20.0
16,150,2,0.5,3,2.5,1.5,15,18.96
25,110,2,0.5,1,2.5,1.5,13,19.71
19,120,3,0.5,1,2.5,1.5,14,20.12
15,110,1,0.5,1,2.0,1.5,11,19.94
18,150,3,0.5,1,2.0,1.5,15,18.73
24,140,2,0.5,1,2.0,1.5,10,20.11
17,120,1,0.5,1,2.0,1.5,14,20.04
15,100,1,0.5,4,2.5,1.5,10,19.84
19,150,1,0.5,3,2.0,1.5,13,20.26
24,100,2,0.5,1,2.5,1.5,12,20.26
17,110,4,0.5,1,2.5,1.5,14,20.15
22,150,1,0.5,3,2.0,1.5,13,19.74
22,100,3,0.5,1,2.0,1.5,12,20.17
25,110,2,0.5,1,2.5,1.5,14,20.18
24,130,2,0.5,1,2.5,1.5,12,20.17
23,110,2,0.5,1,2.0,1.5,14,20.05
21,110,3,0.5,1,2.5,1.5,10,19.98
24,150,2,0.5,1,2.5,1.5,10,20.12
18,140,2,0.5,2,2.0,1.5,15,18.93
22,140,3,0.5,1,2.0,1.5,14,20.04
22,130,3,0.5,1,2.0,1.5,12,20.16
19,150,2,0.5,2,2.0,1.5,12,20.31
20,100,3,0.5,1,2.5,1.5,14,20.02
24,130,1,0.5,1,2.0,1.5,12,20.18
18,100,3,0.5,1,2.0,1.5,13,19.82
21,130,3,0.5,1,2.0,1.5,15,18.88
23,110,2,0.5,1,2.0,1.5,10,20.0
15,120,1,0.5,2,2.5,1.5,10,20.11
17,150,3,0.5,2,2.0,1.5,14,20.09
25,150,2,0.5,1,2.5,1.5,13,19.94
