X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
20,150,3,0.5,1,2.0,1.5,12,16,8,7,20.72
23,100,2,0.5,1,2.5,1.5,10,15,0,5,20.48
24,130,2,0.5,1,2.0,1.5,11,18,8,1,19.75
20,140,2,0.5,2,2.5,1.5,14,18,8,4,20.13
15,130,3,0.5,1,2.0,1.5,12,15,11,8,19.6
15,140,1,0.5,3,2.0,1.5,13,15,2,0,19.56
16,140,4,0.5,1,2.0,1.5,14,17,2,0,18.6
24,110,1,0.5,2,2.0,1.5,12,13,1,0,20.24
17,100,2,0.5,1,2.5,1.5,11,13,8,6,19.83
19,140,1,0.5,1,2.5,1.5,12,13,12,11,20.61
17,100,3,0.5,2,2.5,1.5,10,16,4,2,20.92
19,110,3,0.5,1,2.0,1.5,13,15,11,9,20.25
22,100,2,0.5,2,2.0,1.5,10,15,2,2,20.96
24,120,2,0.5,1,2.0,1.5,10,12,2,4,20.63
16,140,1,0.5,3,2.0,1.5,10,17,8,2,20.53
22,140,1,0.5,1,2.0,1.5,10,16,11,5,19.64
15,100,1,0.5,4,2.5,1.5,12,14,10,8,20.6
24,110,2,0.5,1,2.0,1.5,10,12,8,7,20.58
22,110,2,0.5,2,2.0,1.5,11,18,2,3,19.11
21,100,1,0.5,3,2.0,1.5,12,17,10,5,20.61
24,120,1,0.5,2,2.5,1.5,11,16,2,3,19.42
16,130,4,0.5,1,2.0,1.5,12,17,4,9,20.47
15,110,1,0.5,1,2.0,1.5,14,17,5,2,18.95
23,140,3,0.5,1,2.5,1.5,13,17,6,3,19.87
23,140,1,0.5,3,2.5,1.5,15,17,2,0,17.67
18,120,1,0.5,2,2.5,1.5,11,13,4,6,19.71
25,120,2,0.5,1,2.0,1.5,15,18,3,0,16.91
24,100,2,0.5,1,2.5,1.5,11,13,0,2,19.62
22,120,3,0.5,1,2.0,1.5,14,16,2,0,20.1
18,120,3,0.5,1,2.5,1.5,11,13,10,8,19.84
20,150,3,0.5,1,2.0,1.5,12,16,10,7,20.09
24,120,2,0.5,1,2.0,1.5,11,16,5,0,20.42
18,140,3,0.5,1,2.0,1.5,12,14,0,2,20.5
19,100,3,0.5,1,2.0,1.5,10,16,0,6,20.75
24,140,2,0.5,1,2.0,1.5,10,13,7,4,19.62
15,100,1,0.5,4,2.5,1.5,10,16,6,6,21.15
19,150,1,0.5,3,2.0,1.5,13,17,0,4,19.33
