X1,X2,X3,X4,X5,X6,X7,X8,X9,AVG,RIP,COG
16,130,1,1,1.0,15,18,0,0,-864.19,98.55,13.5
25,150,2,1,0.5,10,10,16,16,-1928.3,72.84,20.26
18,150,2,2,0.5,10,11,16,16,-1371.15,27.94,20.56
18,140,2,2,0.5,10,11,16,16,-1351.3,27.69,20.52
25,150,2,1,0.5,15,15,0,0,-1901.88,56.16,19.07
24,150,1,2,0.5,15,17,0,0,-1820.63,40.45,15.89
16,150,2,1,0.5,10,10,0,0,-917.01,27.77,20.37
16,130,2,1,0.5,15,18,0,0,-1254.91,39.79,13.55
20,150,1,2,0.5,15,18,0,0,-1600.75,30.76,13.86
24,150,2,1,0.5,15,17,0,0,-1803.6,53.85,15.61
25,150,2,1,0.5,15,18,0,0,-1821.5,59.96,13.71
21,110,1,2,0.5,10,10,16,16,-1432.8,28.61,20.23
24,150,1,2,0.5,15,15,0,0,-1827.35,42.45,19.37
18,120,2,2,0.5,10,11,14,16,-1316.15,29.7,20.06
25,140,1,2,0.5,10,10,14,14,-1802.42,39.86,19.75
25,150,1,2,0.5,15,15,0,0,-1853.97,48.04,19.21
21,130,1,2,0.5,10,10,16,16,-1489.46,30.22,20.3
20,120,1,2,0.5,10,10,16,16,-1382.5,28.65,20.18
22,110,1,2,0.5,10,10,16,16,-1515.4,28.71,20.44
18,140,1,2,0.5,10,11,14,16,-1283.47,29.61,20.05
21,120,1,2,0.5,15,18,0,0,-1589.33,35.68,13.6
21,120,1,2,0.5,10,10,16,16,-1459.62,29.0,20.24
25,150,1,2,0.5,10,10,16,16,-1872.91,50.42,20.26
22,140,1,2,0.5,10,10,16,16,-1623.42,32.15,20.46
25,130,1,2,0.5,15,17,0,0,-1819.88,44.38,15.77
22,130,2,1,0.5,15,18,0,0,-1643.13,52.9,13.67
22,150,1,2,0.5,15,17,0,0,-1719.13,38.12,15.67
24,140,1,2,0.5,10,10,14,14,-1734.84,34.61,20.02
21,150,1,2,0.5,15,18,0,0,-1655.45,36.12,13.77
25,130,2,1,0.5,15,18,0,0,-1752.54,57.27,13.71
25,120,1,1,0.5,15,18,0,0,-1692.9,49.62,13.74
25,150,1,2,0.5,10,10,14,14,-1830.58,42.79,19.84
24,130,1,2,0.5,15,17,0,0,-1775.85,41.81,15.85
25,150,1,1,0.5,15,18,0,0,-1795.91,59.07,13.74
20,130,1,2,0.5,15,18,0,0,-1549.68,34.11,13.78
22,150,1,2,0.5,10,10,16,16,-1663.06,33.75,20.46
25,130,1,2,0.5,15,18,0,0,-1784.32,46.16,13.77
25,120,2,1,0.5,15,18,0,0,-1714.21,54.72,13.71
25,150,2,1,0.5,15,17,0,0,-1839.48,55.12,15.65
25,130,1,1,0.5,15,18,0,0,-1740.37,52.39,13.75
22,130,1,2,0.5,15,18,0,0,-1677.33,38.84,13.81
25,150,1,2,0.5,15,17,0,0,-1853.81,43.13,15.81
22,120,1,2,0.5,10,10,16,16,-1556.55,29.86,20.46
25,120,1,2,0.5,15,18,0,0,-1755.92,45.29,13.84
21,130,1,2,0.5,15,18,0,0,-1624.28,34.8,13.63
23,150,1,2,0.5,15,15,0,0,-1770.37,38.57,19.26
25,130,1,1,0.5,15,17,0,0,-1768.16,46.05,15.68
25,150,1,1,0.5,15,17,0,0,-1826.67,50.9,15.64
23,130,2,1,0.5,15,18,0,0,-1684.63,53.78,13.7
24,150,1,2,0.5,15,18,0,0,-1796.43,48.77,13.85
