X1,X2,X3,X4,X5,X6,ANG,AVG,RIP
20,150,3,1,1,1.5,-43.0,-1293.16,69.52
23,100,2,1,1,0.5,-44.0,-1569.91,51.98
24,130,2,2,1,1.0,-43.0,-1632.52,60.63
20,140,2,1,2,2.5,-44.0,-1195.55,73.72
15,130,3,1,2,1.5,-43.0,-812.69,38.49
15,140,1,1,3,2.0,-47.0,-713.06,79.38
16,140,4,2,1,2.5,-45.0,-795.77,53.75
22,150,1,1,1,2.5,-44.0,-1466.96,76.91
21,140,3,2,1,1.5,-44.0,-1331.6,71.28
24,110,1,2,2,1.0,-45.0,-1491.05,52.06
17,100,2,1,2,1.5,-46.0,-886.7,37.8
19,140,1,1,2,0.5,-46.0,-1507.4,51.53
20,120,3,2,1,2.0,-44.0,-1141.32,70.29
17,100,3,2,2,2.0,-44.0,-783.73,43.61
19,150,3,1,1,1.5,-43.0,-1200.06,66.51
25,120,1,2,1,0.5,-45.0,-1719.45,59.63
17,140,3,1,1,0.5,-45.0,-1202.38,44.61
19,110,3,2,1,0.5,-44.0,-1135.32,46.19
22,110,1,1,2,0.5,-46.0,-1603.44,48.23
22,100,2,2,1,1.5,-44.0,-1255.06,62.96
24,120,2,2,1,2.5,-44.0,-1551.04,66.82
16,140,1,1,3,0.5,-48.0,-1337.26,35.07
22,140,1,1,3,2.5,-40.0,-1258.95,75.9
15,100,1,2,4,1.0,-43.0,-498.49,215.12
21,140,2,1,2,1.5,-42.0,-1327.36,64.67
24,110,2,1,1,1.0,-44.0,-1578.04,56.29
24,140,2,1,1,1.5,-43.0,-1652.12,64.88
22,110,2,1,1,2.5,-44.0,-1306.29,68.07
21,100,1,1,3,1.0,-43.0,-1115.26,42.66
24,120,1,2,2,2.0,-44.0,-1526.18,61.09
16,130,4,2,1,1.0,-43.0,-865.55,41.77
15,110,1,1,1,1.0,-45.0,-730.66,37.81
16,120,2,1,2,1.5,-46.0,-846.41,38.7
23,140,3,2,1,2.5,-43.0,-1553.29,72.33
23,140,1,2,2,1.0,-45.0,-1527.13,65.39
18,120,1,2,2,0.5,-47.0,-1157.79,46.85
25,120,2,2,1,1.5,-44.0,-1651.02,63.09
24,100,2,1,1,1.0,-44.0,-1528.15,54.1
23,110,2,2,1,1.5,-44.0,-1411.47,64.14
22,120,2,1,1,0.5,-44.0,-1581.48,58.27
18,120,3,2,1,0.5,-44.0,-1102.68,40.2
21,100,3,1,1,2.0,-44.0,-1156.16,64.35
20,150,3,1,1,2.5,-43.0,-1270.52,77.77
16,110,3,2,2,1.0,-42.0,-821.09,31.88
24,120,2,1,1,0.5,-44.0,-1731.57,55.18
18,140,3,2,1,2.5,-44.0,-1002.5,64.28
19,100,3,1,1,0.5,-45.0,-1259.27,43.93
23,150,2,2,1,2.0,-43.0,-1582.03,73.64
16,150,2,1,2,1.5,-45.0,-922.92,45.68
25,110,2,1,1,2.5,-44.0,-1594.25,65.14
19,120,3,1,1,2.0,-44.0,-1062.71,64.88
15,110,1,1,1,1.5,-45.0,-661.56,54.2
18,150,3,2,1,2.5,-44.0,-1031.42,68.0
17,120,1,1,3,2.5,-45.0,-840.62,51.21
15,100,1,2,2,0.5,-47.0,-890.09,37.6
19,150,1,2,3,0.5,-40.0,-1096.05,120.51
24,100,2,2,1,2.5,-44.0,-1436.35,63.82
17,110,3,2,1,1.5,-45.0,-850.89,44.52
22,150,1,2,3,1.5,-40.0,-1061.21,66.18
22,100,3,1,1,2.5,-44.0,-1244.84,65.66
25,110,2,1,1,1.5,-44.0,-1613.97,60.43
24,130,2,1,1,2.0,-43.0,-1623.99,66.07
23,110,2,2,1,0.5,-44.0,-1495.82,50.57
21,110,3,1,1,0.5,-44.0,-1446.26,45.04
24,150,2,2,1,2.5,-43.0,-1689.55,71.29
18,140,2,2,2,2.0,-44.0,-1009.0,59.52
22,140,3,1,1,2.5,-43.0,-1437.7,74.86
22,130,3,2,1,2.0,-44.0,-1376.4,72.01
19,150,2,2,2,2.0,-44.0,-1114.97,70.16
20,100,3,1,1,2.5,-44.0,-1066.9,65.27
24,130,1,1,2,0.5,-44.0,-1778.89,41.13
18,100,3,2,1,2.0,-45.0,-865.64,52.88
21,130,3,2,1,1.0,-43.0,-1312.84,64.14
23,110,3,1,1,2.5,-44.0,-1401.72,67.04
15,120,1,2,2,2.5,-46.0,-655.69,60.56
17,150,3,2,2,2.0,-43.0,-913.03,58.98
25,150,2,2,1,1.5,-43.0,-1802.2,67.12
22,140,2,2,1,1.5,-44.0,-1439.54,71.66
22,150,1,1,1,1.5,-44.0,-1499.68,73.18
24,100,1,2,2,1.5,-45.0,-1414.71,50.75
22,150,1,1,2,1.5,-44.0,-1495.15,64.17
18,100,1,1,2,0.5,-46.0,-1333.78,47.58
25,150,2,1,1,1.5,-43.0,-1799.43,66.67
15,130,2,1,3,1.0,-42.0,-976.96,43.41
23,110,2,1,1,1.5,-44.0,-1429.68,62.45
22,110,3,2,1,2.0,-44.0,-1297.53,67.06
22,150,2,1,1,0.5,-44.0,-1684.97,61.38
16,100,1,1,1,0.5,-45.0,-958.46,44.43
16,150,3,1,2,1.0,-42.0,-1084.81,41.14
18,100,3,1,1,1.0,-44.0,-1037.75,41.17
15,140,2,2,3,2.0,-45.0,-676.86,65.56
23,120,2,1,1,2.0,-44.0,-1457.35,68.13
21,150,2,1,2,2.0,-43.0,-1351.53,71.96
19,130,3,2,1,1.0,-43.0,-1142.95,59.19
20,140,2,1,2,2.0,-44.0,-1221.99,68.51
21,120,3,2,1,2.0,-44.0,-1235.37,70.37
17,100,1,2,3,2.0,-47.0,-760.27,52.29
20,150,1,1,3,1.0,-40.0,-1194.31,61.69
25,120,2,1,1,1.5,-43.0,-1670.09,63.56
22,130,2,2,1,1.0,-44.0,-1426.38,65.36
21,150,1,2,1,1.5,-44.0,-1387.47,76.17
17,100,2,1,2,0.5,-45.0,-1316.29,55.23
16,150,1,2,3,1.5,-47.0,-814.93,85.23
21,100,3,2,1,0.5,-43.0,-1256.38,45.69
24,100,1,1,1,0.5,-45.0,-1652.15,52.38
22,110,2,2,1,0.5,-44.0,-1405.44,52.43
19,120,1,2,1,0.5,-45.0,-1159.4,59.99
24,150,2,1,1,2.0,-43.0,-1696.2,70.79
22,140,2,1,1,2.5,-44.0,-1435.03,74.36
21,130,3,1,1,1.0,-43.0,-1390.66,59.02
25,150,2,1,1,1.0,-43.0,-1825.99,62.97
22,120,2,2,1,2.5,-44.0,-1327.68,72.5
25,120,2,2,1,1.0,-44.0,-1666.21,58.04
22,100,2,1,1,0.5,-45.0,-1489.63,53.81
24,100,1,1,2,1.5,-45.0,-1445.09,48.58
15,120,2,1,3,1.0,-43.0,-953.94,41.12
24,120,2,1,1,2.5,-44.0,-1541.74,66.83
23,100,2,1,1,2.0,-44.0,-1359.97,63.19
19,140,1,2,2,0.5,-46.0,-1305.62,64.32
23,110,1,2,1,1.5,-44.0,-1405.61,67.48
25,100,2,2,1,2.5,-44.0,-1533.38,63.48
17,100,3,2,1,1.5,-45.0,-815.7,40.66
22,110,2,1,1,1.5,-44.0,-1338.05,62.86
24,120,1,2,1,2.0,-44.0,-1564.73,65.57
16,130,1,1,1,2.0,-45.0,-781.67,51.19
19,150,3,2,1,1.5,-44.0,-1159.0,70.34
16,140,2,2,1,1.0,-45.0,-882.27,45.54
24,140,1,2,2,2.0,-43.0,-1605.71,62.84
17,100,2,2,2,1.5,-46.0,-810.4,41.79
16,150,2,2,1,1.5,-45.0,-851.63,55.01
25,100,2,1,1,1.5,-44.0,-1543.42,58.6
20,150,1,1,1,1.5,-44.0,-1287.37,75.27
21,100,2,2,1,1.5,-44.0,-1156.56,64.74
17,100,1,2,2,2.0,-46.0,-781.18,47.55
18,140,2,1,1,2.5,-44.0,-998.31,66.03
24,150,2,2,1,0.5,-43.0,-1749.38,58.61
16,150,1,1,1,1.5,-45.0,-875.58,51.18
22,120,3,1,1,2.0,-44.0,-1342.47,68.96
24,130,1,1,2,1.5,-44.0,-1576.96,53.72
22,110,2,2,1,1.0,-44.0,-1332.96,61.06
15,110,1,1,2,0.5,-46.0,-1153.26,50.28
16,130,2,1,1,2.0,-45.0,-781.25,49.19
19,140,1,1,2,2.0,-44.0,-1132.1,66.13
21,140,2,1,1,1.5,-43.0,-1369.93,71.13
25,110,2,2,1,1.5,-44.0,-1597.68,61.38
17,120,3,2,1,0.5,-44.0,-1027.46,31.97
18,100,3,2,1,1.0,-44.0,-933.48,41.77
16,120,1,2,2,0.5,-47.0,-999.84,36.84
24,140,2,1,1,2.5,-43.0,-1645.85,70.12
15,130,2,1,1,1.5,-45.0,-747.86,45.98
19,100,3,1,1,2.5,-45.0,-959.42,61.54
24,100,2,2,1,1.0,-44.0,-1463.63,53.73
20,130,3,2,1,2.0,-44.0,-1179.81,73.27
24,120,2,2,1,0.5,-44.0,-1626.38,52.44
23,150,2,2,1,0.5,-43.0,-1665.71,61.1
15,120,1,1,2,2.5,-46.0,-656.01,60.78
17,120,2,1,3,2.5,-44.0,-833.87,46.37
16,110,1,1,1,0.5,-45.0,-960.99,45.28
25,140,2,2,1,1.5,-44.0,-1751.17,65.63
15,110,1,1,2,1.0,-47.0,-871.64,27.92
24,140,2,1,1,0.5,-44.0,-1789.47,57.66
25,100,2,1,1,0.5,-44.0,-1691.83,47.69
15,130,4,2,1,2.0,-45.0,-703.52,57.42
18,100,2,2,2,1.5,-45.0,-883.06,46.07
18,150,3,1,1,2.5,-44.0,-1036.14,65.95
18,120,3,1,1,0.5,-44.0,-1261.17,44.61
18,150,3,2,1,2.0,-44.0,-1032.68,65.77
22,110,2,1,1,0.5,-44.0,-1533.88,56.22
18,100,1,1,3,0.5,-47.0,-1315.54,43.72
20,100,3,1,1,1.0,-43.0,-1198.7,48.78
16,150,2,1,1,1.5,-44.0,-914.64,47.46
24,150,2,1,1,1.5,-43.0,-1717.43,66.05
17,110,3,2,1,1.0,-44.0,-896.86,38.43
22,120,3,1,1,1.5,-43.0,-1374.8,65.03
18,120,1,2,2,2.5,-45.0,-924.02,59.3
24,100,2,2,1,2.0,-44.0,-1436.31,62.75
22,150,3,1,1,2.5,-43.0,-1493.46,74.37
16,100,1,2,2,1.5,-47.0,-704.4,53.62
16,100,1,2,3,2.0,-47.0,-670.41,62.34
15,130,2,1,2,0.5,-45.0,-1249.28,59.79
25,110,2,1,1,0.5,-44.0,-1753.97,50.37
17,120,3,1,1,0.5,-45.0,-1201.85,39.85
19,100,1,1,1,0.5,-45.0,-1213.9,62.75
25,120,2,2,1,0.5,-43.0,-1702.46,53.67
24,140,2,2,1,1.0,-43.0,-1683.42,61.76
17,110,2,1,2,1.5,-46.0,-917.42,40.54
18,120,2,2,1,1.5,-45.0,-954.79,56.59
20,120,3,1,1,2.0,-44.0,-1153.46,68.89
18,130,2,2,2,2.0,-45.0,-962.51,58.19
17,110,3,1,1,1.5,-44.0,-898.87,41.19
18,100,1,1,1,0.5,-45.0,-1123.76,59.88
23,150,1,2,2,0.5,-44.0,-1609.7,75.94
25,100,2,2,1,1.5,-44.0,-1521.66,59.66
18,120,1,2,2,1.5,-46.0,-943.7,61.99
24,110,1,2,1,1.0,-45.0,-1532.05,63.01
16,120,3,2,1,1.5,-45.0,-780.36,42.8
16,130,1,2,1,1.0,-46.0,-838.39,48.45
24,110,1,2,2,2.0,-44.0,-1475.15,58.61
18,120,2,2,1,1.0,-45.0,-996.16,53.34
18,120,1,1,2,0.5,-46.0,-1382.33,46.79
25,100,1,1,2,1.0,-44.0,-1556.81,38.68
16,130,1,1,2,1.0,-46.0,-1009.27,33.43
18,100,3,1,1,0.5,-45.0,-1195.35,41.23
15,130,2,1,3,1.5,-45.0,-782.45,40.22
16,110,1,1,1,1.5,-45.0,-758.13,42.45
15,100,3,2,1,0.5,-45.0,-831.02,20.15
15,130,3,2,2,1.5,-44.0,-730.45,54.07
21,110,1,1,2,0.5,-46.0,-1556.85,50.75
24,140,2,2,1,0.5,-43.0,-1700.7,57.67
24,110,2,1,1,1.5,-44.0,-1524.26,60.56
16,150,3,1,1,0.5,-44.0,-1186.94,40.92
21,120,3,2,1,0.5,-43.0,-1341.44,53.34
16,100,1,2,2,1.0,-47.0,-790.5,49.29
24,120,2,2,1,1.5,-44.0,-1561.72,62.78
17,100,3,2,1,0.5,-44.0,-978.24,24.52
25,130,2,1,1,0.5,-44.0,-1829.5,54.48
18,140,1,1,3,1.5,-46.0,-1008.75,61.5
22,120,1,1,2,0.5,-46.0,-1643.99,49.07
18,110,2,2,1,1.0,-45.0,-959.39,50.45
24,110,1,1,2,1.5,-44.0,-1501.15,50.92
20,100,2,1,1,1.0,-44.0,-1193.73,58.52
24,150,2,2,1,2.0,-43.0,-1673.99,71.75
18,140,2,1,1,1.5,-44.0,-1068.78,58.86
15,150,1,1,2,2.5,-45.0,-724.57,64.12
24,130,2,2,1,1.5,-44.0,-1617.7,64.7
17,110,1,2,3,0.5,-48.0,-1027.3,66.87
24,150,2,1,1,0.5,-43.0,-1842.26,58.83
16,110,1,2,2,1.0,-47.0,-822.2,51.43
17,100,2,1,1,0.5,-44.0,-1134.39,56.02
24,150,2,1,1,1.0,-43.0,-1734.9,61.93
17,150,2,1,1,0.5,-44.0,-1216.31,59.41
17,110,1,1,2,1.5,-46.0,-891.13,40.96
24,150,2,1,1,2.5,-43.0,-1699.95,70.51
17,110,2,2,1,1.0,-45.0,-887.37,43.99
15,110,3,1,1,1.0,-44.0,-856.17,28.3
24,140,2,1,1,1.0,-43.0,-1713.33,61.29
21,100,2,2,1,1.5,-44.0,-1156.56,64.74
16,110,2,1,1,1.5,-45.0,-772.97,38.53
20,120,3,1,1,1.0,-43.0,-1267.72,56.21
25,150,2,2,1,0.5,-43.0,-1809.83,61.48
15,110,1,2,2,1.5,-47.0,-663.12,63.54
24,120,1,1,1,0.5,-44.0,-1731.26,56.05
16,140,1,1,1,0.5,-45.0,-1063.27,45.88
16,110,1,2,3,0.5,-48.0,-982.37,58.3
17,120,3,2,1,1.5,-44.0,-888.93,49.44
16,130,2,1,3,1.0,-40.0,-1002.15,44.57
24,100,2,2,1,2.5,-44.0,-1436.35,63.82
24,110,2,2,1,0.5,-43.0,-1582.93,51.28
16,150,2,2,2,0.5,-46.0,-1085.22,38.18
24,110,1,2,1,2.0,-44.0,-1502.33,64.7
24,100,1,1,2,0.5,-45.0,-1664.79,34.51
24,140,1,1,1,0.5,-44.0,-1816.73,58.48
15,110,1,1,2,2.0,-46.0,-659.65,58.35
24,140,2,2,1,1.5,-43.0,-1665.5,66.0
18,100,3,2,1,0.5,-44.0,-1030.98,34.85
16,100,3,1,1,0.5,-45.0,-1072.05,31.04
17,130,3,1,1,0.5,-44.0,-1199.88,41.67
15,120,2,1,2,1.0,-46.0,-953.48,35.74
25,120,1,2,1,1.5,-44.0,-1656.87,63.41
19,140,1,1,1,0.5,-45.0,-1315.72,69.85
15,110,2,1,1,1.0,-44.0,-822.84,38.38
16,120,3,1,1,1.5,-44.0,-824.21,38.01
21,100,2,2,2,1.5,-44.0,-1134.25,56.37
18,120,3,1,1,1.0,-44.0,-1099.34,47.33
