X1,X2,X3,X4,X5,AVG,RIP
20,100,1,3,2.0,-1038.08,52.89
25,140,1,2,2.0,-1681.41,63.45
25,130,2,1,2.5,-1702.26,67.34
17,120,2,2,2.0,-916.04,45.69
16,100,3,2,2.0,-767.87,32.78
16,150,3,2,2.0,-909.4,43.56
17,100,2,3,2.0,-818.44,37.39
16,130,3,2,2.0,-861.7,39.97
25,110,1,2,2.0,-1579.07,57.64
25,100,1,2,2.0,-1514.03,56.09
25,120,1,2,2.0,-1626.43,60.24
17,130,3,2,2.0,-943.56,48.22
25,130,1,2,2.0,-1669.37,61.16
16,110,3,2,2.0,-795.02,35.67
25,150,1,1,2.0,-1813.26,69.49
25,130,1,1,2.0,-1703.43,67.78
17,100,3,2,2.0,-849.61,38.83
17,150,3,2,2.0,-977.74,52.37
25,140,2,1,2.0,-1745.43,68.78
25,150,1,2,2.0,-1693.0,65.06
25,140,2,1,2.5,-1756.87,69.24
17,110,3,2,2.0,-879.32,41.52
22,100,1,3,2.0,-1145.8,54.5
17,140,3,2,2.0,-971.62,50.72
