X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,ANavg,ANrip,ANcog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,598.68,32.1,18.11,0.2763663826415079,0.17156459615382078,0.02336011808776037
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,835.3,87.02,17.94,0.12454693447309152,0.11722027945915874,0.03946669916408139
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,839.21,103.16,19.97,0.12253974275359593,0.3189077162678822,0.12145750347599629
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,1031.21,49.51,16.56,0.04403590312957669,0.03040258483973016,0.3256185160080616
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1133.16,37.84,19.2,0.01833250519198427,0.11231165833733872,0.019869825170625063
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,886.63,37.95,20.07,0.0994947983532963,0.11129827137138239,0.14097149949408652
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1096.11,55.53,17.82,0.026391179264470276,0.008359780790005678,0.053364366929419475
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1001.87,30.57,19.17,0.053487241062579495,0.18946942000219916,0.017655530172929944
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,949.9,40.16,19.25,0.07248186872763097,0.09191143693979859,0.023850927915904246
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1177.06,73.96,20.27,0.01067900641274284,0.026393213835003513,0.18435865776707083
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1248.2,60.1,16.98,0.002640804697264064,0.0008108544862811969,0.2092352355094371
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1470.8,56.34,18.41,0.012358003303435536,0.006443798689813055,0.005180780374272187
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1421.61,79.72,19.45,0.005661838725511705,0.058471909960844656,0.043407977427690966
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1372.49,53.21,16.91,0.001550386125552174,0.015225625634388921,0.226852456045846
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1456.28,72.35,19.35,0.010112960784321036,0.019678624353940376,0.03290292496566372
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1327.07,53.02,19.08,3.8522475960479926e-05,0.015878419892912922,0.011797295102468656
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1277.41,54.84,17.93,0.0009034797071529527,0.010188334165184307,0.04054492009685164
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1155.16,96.69,18.47,0.014240106456598161,0.22618433940921254,0.0031142126768242003
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1624.67,77.99,19.53,0.04996623152334159,0.04751404779828635,0.05285821929414628
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1635.89,78.53,19.74,0.05369636690503483,0.05081246946393167,0.0820896579239469
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1625.28,63.16,17.54,0.05016557712938513,0.0001871166815651146,0.09392936869057662
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1593.54,75.18,18.75,0.040319981684410595,0.03213651619184044,0.0003867738511297281
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1670.77,47.84,19.85,0.06614985783646346,0.038954638135627495,0.09995874139848268
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1556.28,54.63,18.14,0.030133129370016828,0.01078071849654568,0.02095369687444288
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,1833.52,63.36,18.97,0.14141025787182557,0.0002700849151336148,0.006235590969844574
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,1968.06,71.31,20.23,0.2249551735677071,0.015864278602747205,0.17521624838054836
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1815.25,72.44,16.59,0.13155400924922905,0.020028012413699774,0.316455387127697
