X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,Tavg,Trip,Tcog,Navg,Nrip,Ncog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,10.0,0.0,0.0,598.68,32.1,18.11,0.0,0.0,0.3058252427184463
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,14.0,8.0,8.0,841.7,96.65,20.31,0.1774671749258789,0.6669077384027278,0.8398058252427183
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,18.0,16.0,16.0,822.42,128.89,19.65,0.1633878105419971,1.0,0.6796116504854366
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,14.0,13.0,16.0,1109.52,48.18,18.06,0.3730447355737633,0.16613286496538898,0.29368932038834905
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,18.0,6.0,0.0,1248.73,57.36,18.33,0.47470388058829543,0.26097737369562973,0.35922330097087324
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,10.0,8.0,8.0,919.84,40.33,20.02,0.23452949509997228,0.08502944519061884,0.7694174757281553
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,18.0,14.0,8.0,1070.29,72.24,16.85,0.3443967342885101,0.4147122636636016,0.0
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,10.0,16.0,16.0,1034.37,54.41,19.39,0.3181658852911536,0.230499018493646,0.6165048543689322
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,14.0,3.0,0.0,926.34,47.38,20.97,0.23927616877711086,0.15786754830044428,1.0
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,14.0,8.0,0.0,1094.19,78.39,20.9,0.36184988827060427,0.47825188552536424,0.983009708737864
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,18.0,0.0,8.0,1149.11,89.87,18.21,0.40195562955498104,0.596859179667321,0.33009708737864085
20.0,10.0,2.5,1.0,2.0,1.0,1.25,10.0,10.0,16.0,16.0,1368.21,70.41,19.63,0.5619550453489901,0.39580535179254056,0.6747572815533979
20.0,12.5,3.5,0.5,1.0,1.5,1.5,10.0,10.0,16.0,16.0,1410.32,70.26,20.41,0.59270618820196,0.3942556049178635,0.8640776699029128
20.0,12.5,3.6,0.5,1.0,2.0,1.0,10.0,10.0,0.0,0.0,1301.06,66.26,17.98,0.5129182549767047,0.3529290215931399,0.2742718446601941
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,14.0,16.0,8.0,1358.24,74.47,20.05,0.5546743781857483,0.43775183386713507,0.7766990291262139
20.0,15.0,1.0,0.75,1.0,1.5,1.5,10.0,10.0,8.0,8.0,1233.08,83.68,20.27,0.4632753508887233,0.5329062919723113,0.8300970873786409
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,14.0,16.0,16.0,1299.23,57.86,18.54,0.5115818837722181,0.26614319661122016,0.41019417475728126
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,18.0,0.0,0.0,1224.36,45.34,19.24,0.4569075055864697,0.13679099080483526,0.5800970873786404
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,18.0,8.0,0.0,1241.65,105.22,19.83,0.4695336575676584,0.755449943175948,0.7233009708737861
25.0,10.0,2.6,0.75,1.0,1.0,1.5,10.0,10.0,8.0,8.0,1681.55,80.54,20.14,0.7907739268866201,0.5004649240624033,0.7985436893203887
25.0,10.0,2.6,0.75,1.0,1.5,1.0,10.0,10.0,16.0,16.0,1658.08,73.86,18.13,0.7736347836247061,0.4314495299101147,0.310679611650485
25.0,12.5,1.0,1.0,1.0,2.0,1.25,10.0,10.0,16.0,16.0,1707.46,81.87,19.52,0.8096948984211834,0.5142060130178738,0.6480582524271844
25.0,12.5,1.0,1.0,2.5,1.0,1.5,14.0,14.0,0.0,0.0,1637.75,49.55,20.15,0.7587886488775943,0.1802872197541068,0.8009708737864075
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,14.0,8.0,8.0,1464.4,55.9,18.41,0.6321985131957528,0.24589317078210557,0.37864077669902907
25.0,15.0,2.5,0.5,1.0,2.0,1.25,14.0,14.0,8.0,8.0,1845.36,77.04,19.18,0.9103974061253997,0.46430416365327004,0.5655339805825242
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,10.0,16.0,16.0,1968.06,71.31,20.23,1.0,0.40510383304060343,0.8203883495145634
25.0,15.0,2.5,0.5,1.1,1.5,1.0,10.0,10.0,0.0,0.0,1841.08,80.2,17.94,0.9072719040733762,0.4969521644798017,0.2645631067961166
