X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP
16.8,119.3,1.98,0.43,2.72,2.08,1.58,10.01,-42.0,-136.45,102.29
23.87,114.0,3.18,0.94,0.64,2.58,1.64,12.38,-43.0,-164.35,94.68
22.97,117.4,1.02,0.66,0.74,2.59,1.91,12.14,-43.0,-162.91,96.63
21.0,118.3,3.37,0.76,0.53,2.44,1.73,10.28,-45.0,-139.76,104.21
20.41,108.6,3.4,0.94,0.95,2.35,1.83,10.66,-44.0,-143.8,99.6
24.75,81.9,0.5,0.88,2.87,2.27,1.72,13.6,-38.0,-180.52,87.46
21.97,94.2,0.97,0.33,2.57,2.23,1.73,11.21,-43.0,-148.35,98.39
23.19,110.9,2.06,0.19,1.58,2.42,1.8,10.46,-44.0,-146.42,103.57
23.96,97.0,2.06,0.11,1.38,2.53,1.81,11.21,-44.0,-151.65,98.5
23.47,93.7,2.67,0.84,0.85,2.4,1.66,13.77,-36.0,-187.05,85.85
20.43,96.6,3.79,0.06,0.5,2.1,1.52,13.77,-36.0,-184.81,82.23
20.62,131.5,2.59,0.34,1.55,2.09,1.53,13.66,-37.0,-186.89,81.74
17.45,137.5,1.92,0.16,1.54,2.53,1.58,13.89,-35.0,-183.38,89.06
16.35,136.9,2.36,0.04,2.59,2.35,1.85,12.62,-40.0,-180.6,75.42
23.69,129.8,2.04,0.1,1.55,2.5,1.75,14.16,-34.0,-201.04,81.74
17.38,113.2,1.81,0.78,1.19,2.04,1.54,11.06,-45.0,-132.38,99.89
24.35,85.3,2.68,0.52,0.64,2.31,1.53,14.13,-33.0,-196.89,82.98
16.1,127.1,2.57,0.16,2.41,2.13,1.63,10.14,-41.0,-145.02,95.4
20.13,123.4,0.82,0.11,3.42,2.52,1.9,12.49,-42.0,-163.64,88.52
16.61,118.7,0.99,0.7,3.88,2.04,1.54,10.74,-44.0,-130.75,98.04
20.39,92.0,1.75,0.46,1.46,2.0,1.5,11.38,-43.0,-146.6,95.68
19.5,134.3,1.13,0.64,2.76,2.38,1.74,14.85,-27.0,-213.07,78.77
18.42,117.0,3.44,0.36,1.09,2.26,1.75,13.57,-36.0,-184.36,82.94
19.24,117.0,1.46,0.93,2.4,2.34,1.72,14.48,-31.0,-199.75,82.56
23.07,98.8,0.5,0.38,3.32,2.46,1.94,14.29,-33.0,-199.83,79.72
19.88,104.6,1.43,0.11,2.76,2.19,1.69,14.72,-29.0,-217.37,69.13
24.22,136.9,0.67,0.92,1.45,2.39,1.73,14.78,-27.0,-219.97,75.64
21.05,88.2,0.5,0.91,3.59,2.0,1.5,11.86,-46.0,-141.25,91.18
