X1,X2,X3,X4,X5,X6,X7,X8,COG

16.8,119.3,1.98,0.43,2.72,2.08,1.58,10.01,20.12
23.87,114.0,3.18,0.94,0.64,2.58,1.64,12.38,19.84
22.97,117.4,1.02,0.66,0.74,2.59,1.91,12.14,20.93
21.0,118.3,3.37,0.76,0.53,2.44,1.73,10.28,19.95
20.41,108.6,3.4,0.94,0.95,2.35,1.83,10.66,19.33
24.75,81.9,0.5,0.88,2.87,2.27,1.72,13.6,21.11
21.97,94.2,0.97,0.33,2.57,2.23,1.73,11.21,21.03
23.19,110.9,2.06,0.19,1.58,2.42,1.8,10.46,19.6
23.96,97.0,2.06,0.11,1.38,2.53,1.81,11.21,20.83
23.47,93.7,2.67,0.84,0.85,2.4,1.66,13.77,20.96
20.43,96.6,3.79,0.06,0.5,2.1,1.52,13.77,20.45
20.62,131.5,2.59,0.34,1.55,2.09,1.53,13.66,20.33
17.45,137.5,1.92,0.16,1.54,2.53,1.58,13.89,20.47
16.35,136.9,2.36,0.04,2.59,2.35,1.85,12.62,19.26
23.69,129.8,2.04,0.1,1.55,2.5,1.75,14.16,20.14
17.38,113.2,1.81,0.78,1.19,2.04,1.54,11.06,20.18
24.35,85.3,2.68,0.52,0.64,2.31,1.53,14.13,20.19
16.1,127.1,2.57,0.16,2.41,2.13,1.63,10.14,20.12
20.13,123.4,0.82,0.11,3.42,2.52,1.9,12.49,19.99
16.61,118.7,0.99,0.7,3.88,2.04,1.54,10.74,19.24
20.39,92.0,1.75,0.46,1.46,2.0,1.5,11.38,20.62
19.5,134.3,1.13,0.64,2.76,2.38,1.74,14.85,19.41
18.42,117.0,3.44,0.36,1.09,2.26,1.75,13.57,21.17
19.24,117.0,1.46,0.93,2.4,2.34,1.72,14.48,19.44
23.07,98.8,0.5,0.38,3.32,2.46,1.94,14.29,20.4
19.88,104.6,1.43,0.11,2.76,2.19,1.69,14.72,18.98
24.22,136.9,0.67,0.92,1.45,2.39,1.73,14.78,19.11
21.05,88.2,0.5,0.91,3.59,2.0,1.5,11.86,20.45
19.13,111.7,1.85,0.25,1.71,2.24,1.74,13.49,21.21
19.11,116.0,2.32,0.53,1.79,2.33,1.83,13.92,21.09
22.99,114.9,2.85,0.08,1.07,2.06,1.55,10.51,18.92
24.6,131.5,1.21,0.25,2.2,2.46,1.68,12.33,20.18
15.16,129.5,0.95,0.38,2.21,2.04,1.52,11.59,20.84
18.57,136.5,3.71,0.58,0.83,2.62,1.69,10.58,19.16
24.27,97.4,2.32,0.23,1.35,2.37,1.61,10.15,20.14
18.68,120.0,1.47,0.86,2.96,2.35,1.85,10.37,19.99
16.79,132.7,1.65,0.08,3.21,2.08,1.57,10.55,19.03
19.31,101.0,1.37,0.38,0.86,2.05,1.55,10.81,19.44
19.54,109.6,1.36,0.87,2.95,2.25,1.72,12.59,19.54
21.97,118.7,2.88,0.41,1.0,2.32,1.69,10.27,19.56
22.82,104.8,0.54,0.63,1.88,2.58,1.87,14.61,19.33
21.99,133.0,1.5,0.34,0.71,2.52,1.58,12.76,19.16
20.09,125.1,1.86,0.14,1.84,2.17,1.65,13.15,20.77
15.57,139.2,1.67,0.3,3.42,2.23,1.66,14.69,18.87
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,19.43
20.18,107.7,1.2,0.8,2.95,2.3,1.8,11.63,21.35
23.27,101.6,0.5,0.17,3.36,2.36,1.54,12.94,19.63
22.97,88.8,2.52,0.72,0.97,2.23,1.73,11.59,21.51
23.53,105.7,0.59,0.41,2.95,2.14,1.54,14.66,18.61
18.37,123.4,3.44,0.32,1.09,2.38,1.75,13.75,21.13
16.24,127.1,2.59,0.16,2.41,2.13,1.63,10.99,20.01
23.19,117.0,2.05,0.92,1.6,2.34,1.72,14.48,19.28
19.27,117.6,1.31,0.38,0.86,2.2,1.7,10.81,19.72
22.97,117.4,1.02,0.66,1.92,2.18,1.5,12.17,19.82
18.43,105.6,0.62,0.79,1.05,2.03,1.53,11.06,20.19
18.62,116.9,3.37,0.55,0.53,2.28,1.73,10.28,20.03
16.68,119.3,1.2,0.43,2.19,2.06,1.56,10.01,20.25
20.39,92.0,1.75,0.46,1.46,2.0,1.5,14.44,18.92
22.99,101.2,2.71,0.08,1.1,2.05,1.54,12.86,19.56
21.05,88.2,0.5,0.91,3.1,2.0,1.5,11.86,20.8
20.09,134.8,1.66,0.34,0.71,2.16,1.65,13.15,20.33
17.38,114.9,3.15,0.92,0.59,2.07,1.57,12.38,19.59
20.42,108.5,3.4,0.52,0.9,2.33,1.83,14.89,19.43
19.18,112.1,0.7,0.29,1.58,2.0,1.5,13.45,20.33
19.3,129.5,1.76,0.39,2.21,2.04,1.52,11.59,20.65
23.69,91.7,2.67,0.84,0.85,2.38,1.66,13.77,20.91
16.35,136.9,2.36,0.93,2.58,2.35,1.85,14.68,19.08
23.84,97.0,1.02,0.11,1.38,2.31,1.81,11.21,20.78
19.24,116.9,1.46,0.31,2.4,2.12,1.5,14.48,18.8
22.97,118.6,0.77,0.67,0.74,2.41,1.91,12.14,20.87
17.67,112.9,1.23,0.52,3.37,2.07,1.57,10.57,18.89
16.84,119.3,1.87,0.43,2.55,2.08,1.58,10.01,20.1
23.69,130.4,2.98,0.1,0.6,2.52,1.76,14.16,20.81
23.07,98.8,0.5,0.45,1.93,2.47,1.94,14.32,20.33
19.88,95.2,2.06,0.77,2.07,2.01,1.51,14.72,18.58
23.17,110.9,0.81,0.87,1.58,2.42,1.8,10.46,19.63
21.0,109.4,3.39,0.76,0.53,2.44,1.72,10.28,19.92
19.5,134.3,1.19,0.64,2.79,2.14,1.5,14.84,18.75
17.45,137.5,1.92,0.16,1.84,2.53,1.58,13.89,20.71
24.6,131.5,1.21,0.25,2.2,2.46,1.68,12.32,20.25
22.97,88.4,2.52,0.72,0.97,2.22,1.72,11.05,20.54
20.08,123.4,0.82,0.11,3.42,2.48,1.88,12.49,19.93
19.13,111.7,3.41,0.06,0.96,2.24,1.74,13.49,21.08
24.27,94.8,2.32,0.23,1.35,2.37,1.61,10.15,20.14
23.64,118.7,2.83,0.41,1.0,2.32,1.69,14.77,18.89
18.61,117.3,1.13,0.53,2.37,2.15,1.65,12.74,19.4
20.18,117.0,0.82,0.11,3.42,2.5,1.9,12.44,20.28
19.24,110.9,1.57,0.2,1.35,2.24,1.74,10.48,19.46
22.01,102.1,2.94,0.41,1.0,2.17,1.54,10.35,19.28
22.48,108.0,0.66,0.4,3.09,2.11,1.51,14.66,18.65
20.68,137.8,3.55,0.76,0.83,2.4,1.69,10.67,19.17
24.67,131.5,0.66,0.25,2.73,2.1,1.58,12.33,19.65
21.82,134.6,1.13,0.64,2.7,2.15,1.51,11.8,20.71
23.27,103.6,0.68,0.17,3.21,2.37,1.55,10.59,19.04
19.74,139.2,1.67,0.3,2.64,2.16,1.66,14.69,18.74
21.99,123.3,1.49,0.14,1.41,2.54,1.58,12.61,18.96
22.17,94.2,0.99,0.71,2.57,2.24,1.74,11.21,21.01
23.94,136.6,1.95,0.17,1.6,2.52,1.58,13.89,20.43
23.47,129.7,2.04,0.1,1.55,2.5,1.75,14.16,20.1
24.22,139.7,0.67,0.04,1.76,2.39,1.73,12.72,19.77
17.48,117.4,1.03,0.52,2.8,2.13,1.63,12.69,19.43
19.14,120.0,1.47,0.86,2.96,2.0,1.5,14.7,18.58
22.95,114.9,2.96,0.09,0.98,2.06,1.55,10.51,18.86
22.92,113.4,2.04,0.94,0.64,2.56,1.63,12.38,20.05
20.09,125.1,1.01,0.14,3.23,2.17,1.65,13.12,20.76
23.67,136.9,1.92,0.24,1.45,2.44,1.73,14.78,19.17
19.54,118.5,1.34,0.87,2.95,2.26,1.73,12.78,19.93
21.97,94.2,0.88,0.33,2.57,2.23,1.73,12.48,20.0
21.05,88.2,0.52,0.91,3.56,2.0,1.5,11.82,20.44
23.83,93.7,2.67,0.84,0.85,2.4,1.66,13.77,20.95
19.11,116.0,2.32,0.53,1.79,2.33,1.83,13.93,21.05
23.27,82.7,3.0,0.69,0.69,2.13,1.54,14.47,19.12
16.79,132.7,1.65,0.07,3.21,2.07,1.57,10.54,19.12
17.38,113.6,1.81,0.78,1.19,2.04,1.54,11.6,21.03
19.36,101.0,1.37,0.38,0.86,2.05,1.55,10.63,18.73
20.25,96.6,2.04,0.25,0.51,2.02,1.51,13.77,20.42
15.57,139.3,1.69,0.3,3.42,2.23,1.66,14.69,18.88
24.35,85.3,2.68,0.52,0.64,2.31,1.53,14.13,20.2
21.86,105.7,0.73,0.41,2.93,2.14,1.54,10.18,19.92
21.99,133.0,1.61,0.34,0.52,2.52,1.58,12.74,19.25
23.69,129.8,2.04,0.1,1.55,2.5,1.75,13.96,20.59
19.14,111.3,1.85,0.29,1.71,2.0,1.5,13.2,20.09
23.07,107.4,1.24,0.4,2.39,2.46,1.94,14.29,20.32
24.35,85.3,2.57,0.52,0.64,2.31,1.53,14.15,19.8
23.53,105.7,0.59,0.41,2.95,2.14,1.54,14.71,18.79
20.35,99.1,0.5,0.78,2.94,2.14,1.64,11.63,21.34
23.29,128.9,0.68,0.1,3.23,2.37,1.55,10.42,19.09
23.94,136.6,1.95,0.25,1.6,2.52,1.58,13.89,20.43
19.18,112.1,1.13,0.29,1.2,2.0,1.5,12.75,19.15
17.01,136.9,2.37,0.25,2.61,2.44,1.73,14.78,18.91
