X1,X2,X3,X4,X5,X6,X7,AVG,RIP,COG
19.2,139.9,1.83,0.02,2.82,2.0,1.5,-217.14,62.45,18.0
23.66,134.5,1.76,0.01,1.94,2.33,1.83,-234.73,63.08,19.82
19.2,139.6,1.85,0.01,2.8,2.0,1.5,-227.82,57.81,18.82
23.66,134.5,1.76,0.01,1.94,2.32,1.82,-234.66,62.98,19.82
23.66,134.6,1.76,0.05,1.72,2.01,1.51,-223.22,68.64,18.28
22.52,133.6,1.76,0.01,1.74,2.0,1.5,-224.0,65.76,18.53
23.67,133.9,1.76,0.05,1.77,2.0,1.5,-223.85,67.66,18.35
19.48,139.7,1.8,0.02,2.81,2.0,1.5,-218.68,61.73,18.01
20.17,140.0,1.86,0.01,2.5,2.0,1.5,-227.33,59.09,18.72
23.63,137.1,1.92,0.01,1.56,2.27,1.77,-232.92,64.5,19.28
19.09,137.1,1.92,0.01,2.76,2.0,1.5,-226.74,58.12,18.7
19.2,139.3,1.86,0.01,2.8,2.24,1.74,-230.42,58.55,19.2
19.16,137.9,1.86,0.01,2.77,2.0,1.5,-226.59,59.23,18.66
21.81,139.6,1.86,0.01,2.28,2.03,1.53,-230.19,59.25,19.09
21.97,139.1,1.86,0.01,1.76,2.0,1.5,-221.15,66.87,18.19
23.67,134.0,1.86,0.01,1.73,2.0,1.5,-225.4,65.78,18.62
19.2,139.3,1.86,0.01,2.8,2.08,1.58,-228.89,58.03,19.01
19.02,139.2,1.89,0.01,2.81,2.0,1.5,-219.16,61.39,18.12
23.63,140.0,1.86,0.01,1.56,2.24,1.74,-231.45,65.91,19.17
23.66,135.0,1.76,0.01,1.73,2.01,1.51,-224.65,66.53,18.47
21.81,139.8,1.92,0.01,2.25,2.0,1.5,-229.85,58.75,18.99
21.96,139.6,1.83,0.02,2.26,2.27,1.77,-232.52,60.06,19.47
23.67,134.5,1.86,0.01,1.71,2.0,1.5,-225.19,66.09,18.48
19.85,139.1,1.77,0.01,2.77,2.0,1.5,-224.08,59.75,18.6
19.7,138.5,1.68,0.02,2.82,2.0,1.5,-220.81,62.3,18.17
23.66,137.0,1.9,0.01,1.72,2.27,1.77,-233.76,63.77,19.58
19.7,139.9,1.83,0.02,2.73,2.0,1.5,-222.36,61.1,18.37
23.66,134.5,1.85,0.01,1.92,2.32,1.82,-233.52,62.83,19.72
18.75,137.1,1.98,0.01,2.77,2.0,1.5,-221.96,60.65,18.44
19.22,139.9,1.78,0.02,2.82,2.0,1.5,-220.12,62.59,18.16
21.81,139.9,1.76,0.01,2.16,2.0,1.5,-228.45,60.85,18.9
23.63,137.1,1.92,0.01,1.56,2.24,1.74,-232.59,64.46,19.25
19.85,139.3,1.77,0.01,2.77,2.0,1.5,-225.03,60.29,18.59
