X1,X2,X3,X4,X5,X6,X7,AVG,RIP
25.0,147.1,1.1,2.5,0.5,5.1,1.5,-1554.7986156718234,0.20145542398657504
24.9,149.2,2.5,1.2,0.5,5.3,1.8,-1868.8421486168402,0.627297855071963
25.0,149.6,2.1,1.5,0.5,5.1,1.5,-1834.4538143123946,0.5280528306729638
25.0,149.0,2.3,1.4,0.5,5.1,2.0,-1842.447812912833,0.5716092202587786
25.0,148.9,1.4,2.1,0.5,5.4,1.5,-1714.1449516283433,0.33913044538006387
25.0,148.7,1.3,1.8,0.5,14.9,1.5,-1815.2441874139895,0.5189649383754436
25.0,149.0,1.1,2.4,0.5,5.0,1.5,-1596.7876324003128,0.23318174037687886
24.9,148.9,1.4,2.1,0.5,5.4,1.5,-1726.9787360300543,0.3612441972997135
24.9,148.4,1.2,2.3,0.5,5.2,1.5,-1645.6340785853245,0.2649147573431446
25.0,149.3,1.2,1.8,0.5,14.9,1.5,-1810.1140150478273,0.49513629870759684
24.9,149.8,1.7,1.9,0.5,5.3,1.6,-1776.317513427296,0.4338181250264146
25.0,148.1,1.1,2.5,0.5,5.2,1.7,-1570.466333945203,0.23309151003825798
25.0,149.4,1.7,1.9,0.5,5.1,1.5,-1772.317178521011,0.41181084755889774
25.0,148.1,1.1,2.5,0.5,5.3,1.6,-1561.0676680930655,0.21812342599793574
25.0,148.9,1.3,2.2,0.5,5.4,1.5,-1685.2187135750987,0.3135883964415367
25.0,148.7,2.5,1.1,0.5,5.2,1.8,-1856.59905043863,0.609612532025734
24.9,149.9,1.8,1.8,0.5,5.3,1.8,-1803.3778279065186,0.4886920116232927
24.9,148.9,1.2,2.3,0.5,5.2,1.5,-1659.0341985984223,0.2800964014897268
24.9,149.6,1.3,2.2,0.5,5.3,1.5,-1700.8457799607881,0.3227387463003499
25.0,148.7,1.4,1.8,0.5,14.9,1.5,-1823.3994969993491,0.5277534471301051
24.9,149.1,1.8,1.8,0.5,5.3,1.6,-1800.0525297277022,0.47040712138343943
25.0,149.6,1.3,2.2,0.5,5.0,1.5,-1664.6673665662104,0.29970293724443237
25.0,149.6,1.8,1.8,0.5,5.0,1.5,-1784.1328496568563,0.44148595322676
25.0,149.8,1.7,1.9,0.5,5.1,1.5,-1761.344526880009,0.41120272967670557
25.0,149.3,1.3,2.2,0.5,5.1,1.5,-1672.1758882167146,0.30063929796186073
25.0,149.4,2.4,1.2,0.5,5.2,1.5,-1854.3348668123572,0.5925400859896327
25.0,149.3,1.3,2.3,0.5,5.1,1.5,-1629.2470765137891,0.2589001755799304
25.0,148.7,1.4,2.2,0.5,5.1,1.5,-1683.0184309087595,0.30739157426997205
24.9,148.4,1.2,2.4,0.5,5.2,1.5,-1617.405551859908,0.25653257071592783
25.0,149.6,1.4,2.1,0.5,5.0,1.5,-1710.7913011279543,0.3277086436292846
25.0,149.4,1.3,2.3,0.5,5.1,1.5,-1638.4215432231194,0.2594870320998509
25.0,149.0,1.1,2.5,0.5,5.2,1.7,-1567.3008870900735,0.2297346534344901
24.9,148.9,1.2,2.3,0.5,5.4,1.5,-1659.4584784274477,0.28432084848588884
24.9,149.9,1.8,1.8,0.5,5.3,1.6,-1795.6655534366873,0.4641649141014496
24.9,148.4,1.2,2.4,0.5,5.2,1.6,-1612.6706563481343,0.25161767222233516
25.0,149.4,1.6,2.0,0.5,5.5,1.6,-1743.1695662585,0.39624543633070414
25.0,147.3,1.1,2.4,0.5,5.3,1.5,-1598.509038235956,0.24560451685914855
25.0,148.7,1.1,2.4,0.5,5.1,1.5,-1603.8109360444116,0.2488895930459138
25.0,147.1,1.1,2.5,0.5,5.4,1.5,-1557.2968345690917,0.20209739437909946
25.0,149.0,2.3,1.4,0.5,5.4,2.0,-1844.2111346992465,0.5823880456577832
25.0,149.4,1.6,2.0,0.5,5.0,1.5,-1736.452224368857,0.3695012440795038
24.9,146.9,2.3,1.3,0.5,5.3,1.5,-1847.6793106697082,0.5893937571357045
25.0,148.7,1.8,1.8,0.5,5.3,1.6,-1787.887438142313,0.45983155314690716
25.0,148.7,1.8,1.8,0.5,5.3,1.5,-1785.5310266454062,0.454344124120131
25.0,148.7,1.6,2.0,0.5,5.2,1.5,-1742.9503620468422,0.3784351999647955
25.0,149.6,1.6,2.0,0.5,5.0,1.5,-1728.9493863331377,0.36906069065319214
24.9,149.7,2.5,1.2,0.5,5.3,1.8,-1867.8949127916376,0.6125762176197846
25.0,149.4,1.4,2.1,0.5,5.0,1.5,-1701.5425820261048,0.3272703004960013
25.0,149.7,1.6,1.9,0.5,5.0,1.5,-1758.3623712581007,0.4013687226968973
25.0,149.6,1.3,2.2,0.5,5.1,1.5,-1682.2315819687374,0.30360998574716636
