X1,X2,X3,X4,X5,AVG,RIP
1.1,2.6,0.5,5.0,1.5,-1357.4370832538484,0.23886313589068664
2.1,1.6,0.5,14.8,1.5,-1612.6510231412853,0.6343399010545512
1.2,2.5,0.5,5.0,1.5,-1377.9426253320282,0.2518375849403515
1.4,2.3,0.5,5.0,1.5,-1411.327505790382,0.2569198337796302
1.6,2.0,0.5,15.0,1.5,-1584.4865218160112,0.5837049205587806
1.2,2.2,0.5,15.0,1.5,-1532.7745774402367,0.4578588505699862
1.3,2.1,0.5,15.0,1.5,-1545.4385094811146,0.48774876343338097
1.2,2.3,0.5,15.0,1.5,-1538.4844208862905,0.46281820788216577
1.3,2.3,0.5,15.0,1.5,-1549.6785729131648,0.4988650822236435
2.1,1.6,0.5,15.0,1.5,-1608.778983004403,0.6212692337792467
1.1,2.2,0.5,15.0,1.5,-1528.0128410011084,0.4245918641027726
1.5,2.2,0.5,15.0,1.5,-1574.2198094515122,0.563049804345399
1.1,2.6,0.5,5.2,1.5,-1359.3213631449762,0.24978887883719544
1.0,2.5,0.6,15.0,1.5,-1482.2761806274286,0.37826944338974217
1.0,2.1,0.5,15.0,1.5,-1517.2740748437645,0.3938325981998075
1.1,2.4,0.5,15.0,1.5,-1523.9619384030245,0.42209903729858406
1.5,2.0,0.5,15.0,1.5,-1565.3322254229988,0.5543511054921013
1.4,2.0,0.5,15.0,1.5,-1553.6738737318365,0.5233455231933446
1.8,1.9,0.5,5.3,1.5,-1467.6860347543516,0.3722847153792913
1.8,1.8,0.5,15.0,1.5,-1594.8032522081908,0.6146121695828902
1.4,2.3,0.5,15.0,1.5,-1561.9127504015837,0.5333524587628308
1.5,2.2,0.5,5.5,1.5,-1433.8057883780052,0.291824804864196
1.7,2.0,0.5,15.0,1.5,-1585.6850663268674,0.6024737674750847
1.6,2.1,0.5,5.0,1.5,-1442.861657916058,0.30690467428536156
1.5,2.2,0.5,5.6,1.5,-1434.6602871251362,0.30291833635268894
1.4,2.3,0.5,5.4,1.5,-1417.7638613338597,0.2663126663805597
1.6,2.1,0.5,5.3,1.5,-1445.4211629767888,0.31728574498179973
1.5,2.2,0.5,5.1,1.5,-1429.5675047163732,0.27854152078995825
1.7,2.0,0.5,5.1,1.5,-1454.9451102412581,0.3335307495144284
1.0,2.6,0.5,15.0,1.5,-1500.817693774024,0.38062271011015686
1.4,2.3,0.5,5.6,1.5,-1420.81872201494,0.27550778076178384
1.5,2.1,0.5,15.0,1.5,-1570.435373163536,0.5603195686797279
1.6,2.1,0.5,5.5,1.5,-1447.9640899633005,0.3264689463756892
1.0,2.5,0.5,15.0,1.5,-1509.2490659776076,0.3808321883655357
1.7,2.0,0.5,5.7,1.5,-1459.9812267323337,0.357314442904291
1.7,2.0,0.5,5.2,1.5,-1458.249737860498,0.3454694540794393
1.7,1.8,0.5,14.8,1.5,-1588.5999807697026,0.6090770283206691
1.4,2.3,0.5,5.1,1.5,-1413.6034784942105,0.25860173750704657
1.0,2.7,0.5,15.0,1.5,-1491.7246848138875,0.37952819153409467
1.8,1.9,0.5,5.0,1.5,-1463.951621950624,0.3616734189347839
1.7,2.0,0.5,5.0,1.5,-1449.8475050635234,0.3326654506849977
1.5,2.2,0.5,5.0,1.5,-1426.7871944562194,0.27599500620090156
1.8,1.9,0.5,5.1,1.5,-1465.2890704639572,0.36721897891572786
1.4,2.1,0.5,15.0,1.5,-1555.6923143487165,0.5275136353118338
1.0,2.4,0.5,15.0,1.5,-1514.3513000855469,0.3817633249203589
1.4,2.0,0.5,14.9,1.5,-1557.6451747055949,0.5331517015657696
1.0,2.5,0.5,14.8,1.5,-1493.1149687210618,0.3804363141997087
1.8,1.9,0.5,15.0,1.5,-1592.9188650647175,0.6120041995744129
1.7,2.0,0.5,5.3,1.5,-1459.6474281116944,0.34724066243762564
1.0,2.3,0.5,15.0,1.5,-1515.4058013480656,0.3870451604040756
