X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,-45.0,-983.47,66.13
20.39,93.5,2.9,0.21,1.11,2.03,1.53,12.09,14.47,-43.0,-1475.19,75.13
21.87,126.8,0.5,0.75,3.68,2.51,1.64,10.65,10.83,-42.0,-1100.67,53.14
19.48,132.7,1.53,0.29,0.96,2.35,1.84,11.06,12.12,-44.0,-1189.4,62.1
16.39,124.6,1.17,0.17,3.75,2.12,1.62,13.63,17.07,-40.0,-1450.61,73.16
21.24,120.1,0.5,0.27,3.78,2.7,1.98,13.32,14.97,-40.0,-1351.88,28.04
21.91,139.8,1.1,0.14,2.8,2.38,1.53,13.78,16.03,-40.0,-1589.29,39.23
20.53,127.4,0.93,0.28,2.55,2.76,1.78,10.09,16.41,-40.0,-1147.54,64.05
17.33,124.6,1.86,0.86,3.11,2.26,1.57,10.3,10.97,-45.0,-1094.04,38.13
21.2,126.3,1.05,0.02,0.75,2.54,1.8,11.74,12.54,-44.0,-1224.72,74.99
24.89,106.4,0.5,0.55,3.09,2.46,1.63,10.33,12.96,-42.0,-1382.41,58.02
24.25,81.1,0.73,0.74,2.48,2.2,1.7,10.07,11.87,-44.0,-1341.96,56.8
21.17,135.9,0.5,0.56,3.8,2.52,1.7,12.43,14.83,-40.0,-1153.78,37.58
20.5,134.1,0.5,0.4,3.92,2.14,1.56,10.68,14.05,-41.0,-1151.04,64.34
15.22,135.8,3.39,0.02,1.12,2.16,1.57,10.95,12.76,-46.0,-1225.32,53.72
24.4,106.6,3.16,0.84,0.5,2.5,1.77,11.74,12.29,-44.0,-1480.13,86.8
19.9,107.9,0.55,0.59,2.02,2.27,1.66,14.46,14.62,-41.0,-1188.13,37.28
16.84,123.0,2.64,0.05,1.97,2.15,1.65,10.0,17.81,-40.0,-1408.74,82.87
18.77,137.9,1.98,0.83,2.51,2.46,1.64,12.93,16.0,-40.0,-1269.53,48.43
23.58,120.4,2.94,0.86,0.67,2.56,1.73,11.91,13.29,-43.0,-1465.68,76.93
22.98,130.4,2.26,0.66,1.45,2.55,1.93,12.64,16.42,-40.0,-1551.67,66.55
20.72,118.7,2.32,0.77,1.8,2.4,1.67,10.34,13.02,-43.0,-1330.13,73.72
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,-45.0,-1035.56,92.63
20.0,118.3,1.23,0.25,3.27,2.5,1.81,10.25,10.82,-46.0,-1329.71,36.75
20.16,98.2,1.03,0.62,2.4,2.1,1.57,11.5,11.78,-45.0,-1242.32,33.72
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.33,17.6,-40.0,-1281.68,31.72
23.26,128.3,0.85,0.65,2.96,2.7,1.9,10.17,16.16,-40.0,-1295.74,58.12
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,13.72,-42.0,-1089.67,53.65
24.48,77.7,1.41,0.08,2.0,2.14,1.64,14.01,15.57,-42.0,-1726.36,61.65
22.66,87.4,3.3,0.43,0.5,2.16,1.57,10.06,10.15,-44.0,-1370.71,80.36
19.78,97.9,3.31,0.4,0.85,2.05,1.55,10.63,14.95,-42.0,-1267.37,81.04
24.32,134.9,3.2,0.92,0.5,2.16,1.61,10.7,11.4,-44.0,-1634.25,86.2
21.07,93.1,3.36,0.19,0.52,2.1,1.6,10.35,10.46,-45.0,-1336.55,76.19
17.29,113.1,2.24,0.52,1.11,2.03,1.53,14.08,14.75,-42.0,-1250.99,52.16
24.76,132.1,2.58,0.03,0.83,2.26,1.73,11.88,17.8,-40.0,-1539.61,77.86
16.68,137.8,2.17,0.82,2.71,2.42,1.74,10.07,12.82,-45.0,-1110.9,55.21
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,17.88,-40.0,-1270.43,79.82
24.15,111.5,0.52,0.48,3.0,2.74,1.82,13.37,14.63,-40.0,-1465.3,44.56
19.28,124.6,1.74,0.21,2.66,2.53,1.87,10.92,11.77,-46.0,-1427.44,44.48
22.06,98.2,0.94,0.98,1.06,2.32,1.72,11.02,11.17,-45.0,-1169.18,81.05
17.95,118.5,1.38,0.43,3.24,2.22,1.72,10.96,13.16,-46.0,-1301.4,55.93
