X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20,150,3,0.5,1,2.0,1.5,12,16,20.69
23,100,2,0.5,1,2.5,1.5,10,15,20.87
24,130,2,0.5,1,2.0,1.5,11,18,19.04
20,140,2,0.5,2,2.5,1.5,14,18,17.78
15,130,3,0.5,1,2.0,1.5,12,15,20.77
15,140,1,0.5,3,2.0,1.5,13,15,20.25
16,140,4,0.5,1,2.0,1.5,14,17,18.48
24,110,1,0.5,2,2.0,1.5,12,13,19.62
17,100,2,0.5,1,2.5,1.5,11,13,20.27
19,140,1,0.5,1,2.5,1.5,12,13,19.49
17,100,3,0.5,2,2.5,1.5,10,16,20.86
19,110,3,0.5,1,2.0,1.5,13,15,20.11
22,100,2,0.5,2,2.0,1.5,10,15,20.93
24,120,2,0.5,1,2.0,1.5,10,12,21.12
16,140,1,0.5,3,2.0,1.5,10,17,20.92
22,140,1,0.5,1,2.0,1.5,10,16,20.92
15,100,1,0.5,4,2.5,1.5,12,14,21.0
24,110,2,0.5,1,2.0,1.5,10,12,21.02
22,110,2,0.5,2,2.0,1.5,11,18,19.12
21,100,1,0.5,3,2.0,1.5,12,17,20.75
24,120,1,0.5,2,2.5,1.5,11,16,19.31
16,130,4,0.5,1,2.0,1.5,12,17,20.54
15,110,1,0.5,1,2.0,1.5,14,17,18.37
23,140,3,0.5,1,2.5,1.5,13,17,19.19
23,140,1,0.5,3,2.5,1.5,15,17,15.85
18,120,1,0.5,2,2.5,1.5,11,13,20.74
25,120,2,0.5,1,2.0,1.5,15,18,13.63
24,100,2,0.5,1,2.5,1.5,11,13,20.25
22,120,3,0.5,1,2.0,1.5,14,16,19.3
18,120,3,0.5,1,2.5,1.5,11,13,20.28
24,120,2,0.5,1,2.0,1.5,11,16,19.15
18,140,3,0.5,1,2.0,1.5,12,14,20.82
19,100,3,0.5,1,2.0,1.5,10,16,20.88
23,150,3,0.5,1,2.5,1.5,10,16,20.99
24,140,2,0.5,1,2.0,1.5,10,13,21.28
15,100,1,0.5,4,2.5,1.5,10,16,21.12
19,150,1,0.5,3,2.0,1.5,13,17,19.36
22,100,3,0.5,1,2.0,1.5,12,16,20.72
25,110,2,0.5,1,2.5,1.5,14,18,17.66
24,130,2,0.5,1,2.5,1.5,12,16,20.72
23,110,2,0.5,1,2.0,1.5,14,15,18.89
21,110,3,0.5,1,2.5,1.5,10,11,19.76
24,150,2,0.5,1,2.5,1.5,10,13,21.25
22,140,3,0.5,1,2.0,1.5,14,16,19.3
22,130,3,0.5,1,2.0,1.5,12,13,19.61
19,150,2,0.5,2,2.0,1.5,12,16,20.67
20,100,3,0.5,1,2.5,1.5,14,17,18.38
18,100,3,0.5,1,2.0,1.5,13,18,19.04
23,110,2,0.5,1,2.0,1.5,10,11,19.76
15,120,1,0.5,2,2.5,1.5,10,18,21.08
17,150,3,0.5,2,2.0,1.5,14,16,19.17
22,150,1,0.5,3,2.5,1.5,14,17,18.75
18,100,1,0.5,1,2.5,1.5,10,17,20.8
15,130,2,0.5,1,2.0,1.5,13,14,20.62
16,100,1,0.5,3,2.0,1.5,14,18,17.95
16,150,3,0.5,2,2.0,1.5,13,15,20.12
18,100,3,0.5,1,2.0,1.5,12,16,20.71
23,120,3,0.5,1,2.5,1.5,12,15,20.84
21,150,2,0.5,1,2.5,1.5,12,14,20.75
19,130,3,0.5,1,2.5,1.5,12,13,19.71
21,120,3,0.5,1,2.0,1.5,12,16,20.72
17,100,1,0.5,4,2.0,1.5,11,12,21.0
22,130,3,0.5,1,2.5,1.5,12,14,20.77
23,110,2,0.5,1,2.5,1.5,10,16,20.82
23,130,1,0.5,2,2.0,1.5,11,12,20.94
17,100,3,0.5,2,2.5,1.5,10,18,20.8
22,130,3,0.5,1,2.0,1.5,14,16,19.28
20,140,2,0.5,1,2.5,1.5,14,18,17.66
23,110,2,0.5,1,2.0,1.5,10,13,21.09
24,120,2,0.5,1,2.5,1.5,10,16,20.82
25,140,2,0.5,1,2.0,1.5,10,18,20.85
17,120,1,0.5,1,2.0,1.5,12,16,20.56
15,130,4,0.5,1,2.0,1.5,12,17,20.62
21,120,3,0.5,1,2.5,1.5,12,16,20.75
16,100,3,0.5,2,2.0,1.5,13,15,20.15
24,120,1,0.5,2,2.5,1.5,11,13,20.51
21,100,3,0.5,1,2.0,1.5,12,15,20.73
18,130,3,0.5,1,2.0,1.5,12,14,20.82
24,120,2,0.5,1,2.0,1.5,11,13,20.33
16,120,3,0.5,2,2.5,1.5,11,16,19.27
17,140,1,0.5,3,2.0,1.5,15,16,17.86
23,140,3,0.5,1,2.5,1.5,12,17,20.61
15,110,3,0.5,1,2.0,1.5,10,17,20.82
25,120,2,0.5,1,2.5,1.5,15,18,13.56
16,100,1,0.5,1,2.5,1.5,10,17,20.81
17,100,2,0.5,2,2.5,1.5,14,18,17.85
24,140,2,0.5,1,2.0,1.5,10,15,20.92
24,150,2,0.5,1,2.0,1.5,10,12,21.1
15,130,2,0.5,1,2.0,1.5,13,18,18.92
21,100,3,0.5,1,2.0,1.5,10,11,19.8
18,100,2,0.5,1,2.5,1.5,12,16,20.65
25,110,2,0.5,1,2.5,1.5,14,16,19.24
22,140,3,0.5,1,2.0,1.5,12,13,19.61
24,150,2,0.5,1,2.5,1.5,10,11,19.94
15,100,1,0.5,4,2.0,1.5,10,12,21.2
22,120,1,0.5,1,2.0,1.5,15,16,17.87
15,150,1,0.5,4,2.5,1.5,12,14,20.93
24,110,1,0.5,2,2.0,1.5,12,16,20.73
15,130,2,0.5,1,2.0,1.5,13,15,20.11
22,110,3,0.5,1,2.5,1.5,10,11,19.84
18,120,2,0.5,1,2.5,1.5,11,16,19.24
22,100,1,0.5,3,2.5,1.5,11,17,19.32
24,140,2,0.5,1,2.5,1.5,10,17,20.85
17,150,1,0.5,1,2.0,1.5,10,12,21.16
23,150,3,0.5,1,2.5,1.5,14,17,18.54
19,100,1,0.5,1,2.0,1.5,14,16,19.26
19,150,1,0.5,2,2.0,1.5,13,17,19.29
24,150,2,0.5,1,2.0,1.5,10,13,21.27
18,130,3,0.5,1,2.0,1.5,12,17,20.53
20,140,3,0.5,1,2.5,1.5,10,16,20.96
22,150,1,0.5,1,2.5,1.5,14,17,18.52
15,130,3,0.5,1,2.0,1.5,12,13,19.66
25,120,1,0.5,2,2.5,1.5,11,16,19.31
21,120,2,0.5,1,2.0,1.5,12,16,20.71
16,120,3,0.5,2,2.0,1.5,13,15,20.12
18,100,3,0.5,1,2.0,1.5,13,14,20.6
16,110,1,0.5,3,2.5,1.5,14,18,17.81
15,150,1,0.5,3,2.0,1.5,13,15,20.3
18,110,2,0.5,2,2.5,1.5,11,18,19.15
22,120,1,0.5,1,2.0,1.5,11,16,19.13
15,110,2,0.5,1,2.5,1.5,12,14,20.77
17,130,2,0.5,1,2.5,1.5,12,13,19.53
24,120,2,0.5,1,2.0,1.5,10,16,20.86
19,130,1,0.5,3,2.0,1.5,13,17,19.35
16,130,2,0.5,1,2.5,1.5,11,17,19.01
16,110,1,0.5,2,2.5,1.5,11,16,19.29
16,140,3,0.5,1,2.5,1.5,10,17,20.88
17,100,2,0.5,3,2.0,1.5,11,12,20.99
21,150,1,0.5,1,2.0,1.5,14,17,18.53
22,100,3,0.5,1,2.0,1.5,11,13,20.24
24,150,2,0.5,1,2.5,1.5,12,16,20.71
18,140,3,0.5,1,2.5,1.5,11,16,19.22
24,100,2,0.5,1,2.0,1.5,12,13,19.6
19,110,1,0.5,2,2.0,1.5,11,15,19.57
15,140,1,0.5,3,2.0,1.5,11,18,19.28
24,110,2,0.5,1,2.0,1.5,11,12,20.78
19,150,2,0.5,1,2.5,1.5,12,14,20.89
17,100,2,0.5,3,2.5,1.5,11,13,20.56
21,120,1,0.5,1,2.0,1.5,10,13,21.12
16,130,2,0.5,1,2.5,1.5,12,16,20.61
22,110,2,0.5,2,2.0,1.5,13,15,20.24
21,150,2,0.5,2,2.0,1.5,12,16,20.71
23,140,1,0.5,1,2.5,1.5,15,17,15.47
18,140,1,0.5,1,2.0,1.5,13,16,19.63
16,140,1,0.5,1,2.0,1.5,10,17,20.8
24,130,2,0.5,1,2.0,1.5,12,17,20.61
16,110,3,0.5,2,2.0,1.5,10,15,20.96
23,140,1,0.5,1,2.0,1.5,14,17,18.56
21,110,3,0.5,1,2.5,1.5,10,13,21.12
15,100,1,0.5,1,2.0,1.5,12,14,20.77
17,130,2,0.5,3,2.0,1.5,11,12,21.01
17,100,2,0.5,1,2.0,1.5,10,12,21.03
15,110,2,0.5,1,2.0,1.5,14,17,18.46
18,120,2,0.5,2,2.5,1.5,11,13,20.36
24,100,1,0.5,1,2.0,1.5,14,16,19.24
22,120,1,0.5,1,2.5,1.5,11,16,19.15
15,140,3,0.5,1,2.0,1.5,12,13,19.67
25,120,2,0.5,1,2.5,1.5,15,17,15.46
23,150,2,0.5,1,2.5,1.5,10,13,21.19
25,120,1,0.5,1,2.5,1.5,12,16,20.58
15,150,1,0.5,1,2.0,1.5,13,15,20.23
