X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
24.62,138.1,1.54,0.01,2.03,2.01,1.51,14.45,-42.0,-2026.88,60.22,19.29
18.86,138.1,0.5,0.01,2.06,2.02,1.51,14.53,-43.0,-1385.91,32.29,18.08
24.53,138.7,0.58,0.01,2.25,2.04,1.53,14.98,-40.0,-1875.82,27.09,15.14
19.08,137.3,1.47,0.01,2.83,2.02,1.51,15.0,-40.0,-1774.82,50.85,13.38
18.93,137.3,1.34,0.02,2.76,2.02,1.51,10.5,-47.0,-1516.99,24.29,18.33
23.46,108.1,0.52,0.0,3.3,2.02,1.52,12.49,-46.0,-1547.23,18.95,21.09
23.49,138.2,0.5,0.01,3.36,2.12,1.51,14.91,-40.0,-1542.77,2.9,14.52
24.88,139.8,1.77,0.01,1.82,2.04,1.53,10.3,-46.0,-1986.39,68.55,18.26
24.88,139.8,1.78,0.01,1.81,2.02,1.51,10.38,-45.0,-1979.08,67.66,18.97
18.42,138.7,1.34,0.01,2.65,2.01,1.51,10.33,-47.0,-1464.87,22.26,18.99
24.62,138.0,1.51,0.01,2.07,2.01,1.51,14.45,-44.0,-1970.61,62.45,18.52
24.68,139.6,0.55,0.01,2.82,2.02,1.51,14.87,-41.0,-1841.22,24.33,17.96
23.29,137.3,1.01,0.01,2.42,2.02,1.52,14.96,-41.0,-1904.77,42.53,17.24
23.29,137.4,1.04,0.01,2.49,2.02,1.51,10.25,-46.0,-1762.16,39.12,19.21
19.08,137.3,1.47,0.01,3.2,2.02,1.51,15.0,-42.0,-1733.15,55.97,17.44
24.53,138.6,0.65,0.01,2.2,2.01,1.51,13.03,-43.0,-1874.83,42.59,20.24
24.5,138.5,0.98,0.01,2.05,2.01,1.51,14.54,-44.0,-1936.39,46.05,18.3
24.99,139.2,0.82,0.01,1.79,2.06,1.53,10.17,-45.0,-1846.18,55.31,18.86
24.99,139.8,1.58,0.01,1.79,2.03,1.53,10.3,-46.0,-1955.57,64.4,18.58
24.61,110.4,0.5,0.0,3.1,2.01,1.51,15.0,-41.0,-1725.56,15.96,16.6
18.12,140.0,1.28,0.01,2.52,2.02,1.51,10.65,-47.0,-1419.76,22.45,18.59
23.52,131.4,0.5,0.01,2.82,2.02,1.51,14.97,-40.0,-1799.68,19.95,14.27
24.84,139.8,0.64,0.01,2.2,2.01,1.51,14.97,-40.0,-1898.79,29.93,14.88
24.53,139.8,0.65,0.01,2.2,2.01,1.51,14.97,-40.0,-1893.1,29.09,14.85
18.92,138.5,1.34,0.01,2.61,2.03,1.53,10.27,-47.0,-1494.62,23.06,18.89
24.53,138.7,0.58,0.01,2.25,2.03,1.52,14.98,-40.0,-1873.31,26.64,15.2
18.86,139.8,1.29,0.01,2.09,2.03,1.52,14.45,-44.0,-1624.68,44.87,18.2
18.86,138.5,0.58,0.01,2.06,2.02,1.51,14.53,-44.0,-1390.18,32.18,18.09
23.45,116.6,0.5,0.01,3.35,2.04,1.51,15.0,-40.0,-1656.82,11.13,13.73
22.99,130.1,0.69,0.02,2.8,2.02,1.51,15.0,-41.0,-1829.99,28.13,16.25
24.89,139.2,0.82,0.01,2.16,2.04,1.51,15.0,-40.0,-1912.71,36.07,15.13
24.63,138.1,1.54,0.01,2.03,2.01,1.51,14.95,-42.0,-2018.33,58.97,18.86
23.46,108.7,0.52,0.0,3.05,2.02,1.51,13.04,-46.0,-1610.64,25.27,20.71
24.63,139.8,0.83,0.01,2.15,2.02,1.52,14.95,-40.0,-1925.11,37.7,15.55
23.52,131.4,0.53,0.01,3.13,2.02,1.51,13.5,-44.0,-1685.3,19.36,20.47
