X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,19.73
20.39,93.5,2.9,0.21,1.11,2.03,1.53,12.09,14.47,21.01
19.48,132.7,1.53,0.29,0.96,2.35,1.84,11.06,12.12,21.45
16.39,124.6,1.17,0.17,3.75,2.12,1.62,13.63,17.07,18.94
21.24,120.1,0.5,0.27,3.78,2.7,1.98,13.32,14.97,20.89
21.91,139.8,1.1,0.14,2.8,2.38,1.53,13.78,16.03,19.15
20.53,127.4,0.93,0.28,2.55,2.76,1.78,10.09,16.41,21.65
24.89,106.4,0.5,0.55,3.09,2.46,1.63,10.33,12.96,21.48
24.25,81.1,0.73,0.74,2.48,2.2,1.7,10.07,11.87,21.53
21.17,135.9,0.5,0.56,3.8,2.52,1.7,12.43,14.83,21.57
20.5,134.1,0.5,0.4,3.92,2.14,1.56,10.68,14.05,20.69
15.22,135.8,3.39,0.02,1.12,2.16,1.57,10.95,12.76,20.76
16.84,123.0,2.64,0.05,1.97,2.15,1.65,10.0,17.81,21.29
18.77,137.9,1.98,0.83,2.51,2.46,1.64,12.93,16.0,20.2
23.58,120.4,2.94,0.86,0.67,2.56,1.73,11.91,13.29,20.67
22.98,130.4,2.26,0.66,1.45,2.55,1.93,12.64,16.42,21.3
20.72,118.7,2.32,0.77,1.8,2.4,1.67,10.34,13.02,21.73
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,13.74,21.29
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.33,17.6,18.08
23.26,128.3,0.85,0.65,2.96,2.7,1.9,10.17,16.16,21.74
24.48,77.7,1.41,0.08,2.0,2.14,1.64,14.01,15.57,19.69
19.78,97.9,3.31,0.4,0.85,2.05,1.55,10.63,14.95,20.52
24.76,132.1,2.58,0.03,0.83,2.26,1.73,11.88,17.8,21.35
16.68,137.8,2.17,0.82,2.71,2.42,1.74,10.07,12.82,21.68
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,17.88,21.17
24.15,111.5,0.52,0.48,3.0,2.74,1.82,13.37,14.63,20.52
17.95,118.5,1.38,0.43,3.24,2.22,1.72,10.96,13.16,20.8
24.87,82.2,0.5,0.93,2.87,2.3,1.76,13.53,16.24,19.43
19.33,132.7,2.37,0.77,2.27,2.67,1.92,10.34,14.59,21.81
