X1,X2,X3,X4,X5,X6,X7,X8,ANG,AVG,RIP,COG
16.5,132.9,0.99,0.0,1.83,2.01,1.51,15.0,-40.0,-1352.83,47.62,13.38
23.73,127.9,0.52,0.01,3.11,2.07,1.57,12.88,-44.0,-1685.53,22.71,21.0
23.66,139.5,0.5,0.06,3.32,2.11,1.51,14.99,-40.0,-1541.53,2.85,14.33
16.27,135.7,1.03,0.11,1.31,2.04,1.51,11.8,-45.0,-857.56,27.52,18.82
15.62,130.9,0.84,0.02,3.5,2.01,1.51,14.99,-44.0,-1442.83,90.74,17.51
18.73,117.7,1.41,0.0,3.31,2.01,1.51,11.7,-47.0,-1484.65,46.26,18.98
23.14,139.7,0.69,0.03,2.5,2.02,1.51,14.97,-40.0,-1854.21,29.05,16.64
24.76,138.6,1.49,0.03,2.1,2.01,1.51,14.61,-41.0,-2013.79,57.74,18.89
15.73,139.6,1.05,0.01,3.83,2.02,1.52,15.0,-43.0,-1521.17,82.43,16.4
24.81,138.6,0.93,0.01,2.43,2.01,1.51,15.0,-42.0,-1948.05,43.56,17.8
23.53,137.7,0.92,0.02,2.93,2.02,1.52,12.9,-44.0,-1756.73,39.54,20.63
24.99,138.8,1.03,0.01,2.29,2.02,1.51,14.98,-41.0,-1974.96,49.23,17.76
16.54,139.4,1.05,0.01,3.83,2.02,1.52,14.98,-42.0,-1546.22,70.51,15.65
16.02,138.6,1.19,0.01,3.64,2.02,1.51,13.55,-46.0,-1497.0,75.32,18.6
16.27,128.4,1.32,0.01,1.62,2.02,1.51,11.79,-46.0,-1021.83,34.09,18.75
15.77,139.4,1.09,0.01,3.83,2.02,1.52,14.98,-43.0,-1519.76,80.21,16.46
17.81,136.3,0.99,0.01,2.83,2.02,1.51,11.5,-47.0,-1417.91,42.26,19.4
23.53,140.0,0.91,0.01,2.93,2.02,1.52,11.37,-45.0,-1669.88,42.0,19.41
18.73,118.5,0.7,0.0,2.24,2.02,1.51,11.7,-46.0,-1228.18,31.12,19.0
15.62,135.0,0.84,0.01,3.48,2.01,1.51,14.99,-44.0,-1445.45,90.46,17.55
23.64,134.1,0.52,0.01,2.95,2.06,1.55,14.6,-41.0,-1801.92,21.16,18.21
16.84,138.6,1.04,0.03,1.22,2.01,1.51,11.79,-45.0,-942.56,25.79,18.89
17.81,122.8,1.08,0.01,2.22,2.02,1.51,11.71,-47.0,-1292.91,35.56,18.96
24.75,138.6,1.49,0.01,1.82,2.01,1.51,11.7,-45.0,-1942.08,69.01,19.18
18.1,131.7,0.99,0.01,1.71,2.04,1.51,11.71,-46.0,-1170.29,29.78,18.94
23.49,139.9,0.5,0.01,3.01,2.04,1.51,15.0,-40.0,-1770.64,14.27,13.7
16.34,135.2,1.04,0.02,3.5,2.01,1.51,15.0,-42.0,-1557.01,67.34,15.75
17.76,125.1,0.91,0.01,1.62,2.02,1.51,11.71,-45.0,-1071.09,26.12,19.34
18.73,132.6,0.55,0.05,3.12,2.01,1.51,14.96,-41.0,-1583.29,45.66,16.02
15.94,138.6,1.19,0.01,3.65,2.01,1.51,15.0,-41.0,-1580.53,65.86,15.1
16.27,124.2,1.32,0.01,1.62,2.02,1.51,11.79,-46.0,-1007.6,33.07,18.77
16.4,139.6,1.41,0.02,3.45,2.02,1.51,14.99,-43.0,-1609.68,60.96,17.24
23.53,134.9,0.52,0.01,3.13,2.02,1.52,11.55,-44.0,-1630.13,24.22,19.89
24.68,138.6,1.03,0.03,2.1,2.01,1.51,12.21,-45.0,-1899.15,53.25,20.72
15.62,136.5,1.05,0.02,3.5,2.01,1.51,15.0,-41.0,-1531.61,74.47,14.87
23.2,130.5,0.5,0.06,3.32,2.08,1.51,14.99,-40.0,-1623.06,6.64,14.03
16.31,135.8,1.41,0.01,3.45,2.01,1.51,14.99,-41.0,-1648.53,64.22,15.35
16.02,138.6,1.19,0.01,2.33,2.01,1.51,13.53,-44.0,-1383.55,60.02,18.79
23.53,138.0,0.5,0.01,3.27,2.02,1.51,11.44,-43.0,-1549.73,25.3,19.61
16.46,133.0,1.06,0.01,3.5,2.01,1.51,15.0,-42.0,-1565.62,66.42,16.13
16.04,139.1,1.05,0.03,2.94,2.02,1.51,13.69,-45.0,-1434.78,72.36,18.75
23.54,138.3,0.57,0.01,3.01,2.01,1.51,15.0,-40.0,-1787.36,17.85,13.85
24.81,138.6,1.42,0.01,1.93,2.01,1.51,14.99,-41.0,-2002.47,54.82,17.78
16.06,139.1,1.05,0.03,2.94,2.02,1.51,13.58,-45.0,-1422.42,71.88,18.41
16.31,139.6,1.41,0.01,3.45,2.02,1.51,14.99,-41.0,-1643.87,63.65,15.31
23.42,138.5,0.92,0.04,2.8,2.02,1.52,14.92,-40.0,-1856.74,38.17,16.5
16.88,138.5,0.92,0.04,2.8,2.01,1.51,11.74,-47.0,-1323.58,54.8,18.79
18.6,138.5,0.98,0.01,3.62,2.02,1.51,15.0,-42.0,-1623.76,52.13,16.34
23.52,134.3,0.98,0.01,2.48,2.03,1.53,14.92,-41.0,-1913.18,41.6,17.12
15.84,135.5,1.09,0.01,3.98,2.03,1.53,14.99,-41.0,-1510.57,76.97,14.78
23.52,134.3,0.56,0.01,2.56,2.04,1.54,14.96,-41.0,-1841.52,27.17,17.03
23.59,139.4,0.5,0.01,3.33,2.01,1.51,15.0,-40.0,-1618.55,9.8,13.8
23.53,136.6,0.5,0.01,1.8,2.02,1.52,11.55,-44.0,-1693.36,51.4,20.0
17.81,122.8,0.99,0.01,1.71,2.02,1.51,11.71,-46.0,-1100.93,26.51,18.94
23.5,139.6,0.5,0.01,3.13,2.02,1.52,14.97,-40.0,-1742.63,11.33,14.53
23.85,138.0,0.52,0.01,2.57,2.01,1.51,14.94,-40.0,-1828.89,23.07,14.44
16.5,132.9,1.46,0.01,1.92,2.01,1.51,14.99,-40.0,-1528.04,56.77,13.54
23.84,138.0,0.5,0.01,3.13,2.01,1.51,14.97,-40.0,-1733.82,13.22,14.52
15.94,139.8,1.05,0.01,3.72,2.01,1.51,15.0,-41.0,-1562.41,71.3,15.01
23.41,130.3,0.5,0.02,2.9,2.01,1.51,15.0,-40.0,-1792.6,18.27,13.57
23.0,134.7,0.52,0.01,2.94,2.06,1.55,12.94,-43.0,-1718.19,26.12,20.29
17.73,125.1,0.85,0.01,1.65,2.02,1.51,11.72,-46.0,-1040.99,26.21,18.97
23.49,133.9,0.86,0.01,2.99,2.01,1.51,15.0,-41.0,-1807.27,37.03,16.76
23.63,132.9,0.51,0.01,3.23,2.11,1.51,14.99,-40.0,-1668.8,8.39,13.85
16.02,139.1,1.05,0.03,3.29,2.02,1.51,13.64,-45.0,-1455.03,76.62,18.51
24.13,124.1,0.51,0.06,2.87,2.02,1.51,14.99,-41.0,-1801.07,22.23,17.33
23.2,139.7,0.7,0.01,2.91,2.05,1.55,12.94,-44.0,-1755.22,28.32,20.38
23.28,139.7,0.84,0.03,2.5,2.01,1.51,14.97,-41.0,-1875.18,33.46,16.88
