X1,X2,X3,X4,X5,X6,X7,X8,AVG,RIP,COG
21.46,130.2,1.65,0.06,1.4,2.01,1.51,10.26,-295.0,101.0,38.0
21.69,95.7,1.8,0.02,0.72,2.02,1.52,15.0,-248.04,40.41,13.45
21.22,130.2,1.65,0.06,1.4,2.01,1.51,10.26,-300.0,102.0,30.0
15.61,126.3,2.57,0.06,0.76,2.01,1.51,15.0,-249.67,52.43,13.31
20.64,128.3,2.24,0.05,2.07,2.48,1.97,15.0,-258.78,39.53,14.47
17.3,112.2,0.94,0.84,1.7,2.01,1.51,10.28,-284.0,100.0,30.0
16.85,133.3,0.88,0.06,1.5,2.02,1.52,15.0,-255.59,55.66,13.5
20.64,128.4,1.65,0.05,2.07,2.49,1.98,15.0,-261.93,41.16,14.5
16.37,131.1,1.65,0.62,1.6,2.03,1.52,10.08,-294.0,101.0,31.0
20.71,137.9,0.7,0.02,1.73,2.41,1.91,15.0,-262.78,44.48,14.34
16.34,133.3,2.36,0.1,1.46,2.24,1.73,15.0,-257.06,50.15,13.82
15.68,128.3,2.81,0.06,1.72,2.02,1.51,15.0,-251.79,48.92,13.34
16.34,133.3,2.18,0.1,1.48,2.24,1.73,15.0,-257.43,50.88,13.84
16.83,137.5,1.7,0.03,2.61,2.44,1.94,15.0,-261.86,48.36,14.3
15.61,131.4,2.57,0.12,0.76,2.04,1.51,15.0,-251.81,53.23,13.32
16.83,136.4,0.82,0.07,1.49,2.41,1.91,15.0,-262.51,54.17,14.27
15.68,128.3,1.72,0.06,1.47,2.02,1.52,15.0,-252.95,51.56,13.43
20.71,137.9,0.76,0.02,1.73,2.41,1.91,15.0,-261.07,44.05,14.33
20.82,135.7,2.25,0.06,0.72,2.03,1.53,15.0,-255.16,47.72,13.56
16.83,137.9,0.71,0.18,1.02,2.41,1.91,15.0,-261.61,55.33,14.22
20.8,137.9,1.56,0.08,2.48,2.15,1.65,15.0,-256.27,44.38,13.96
16.83,134.4,0.87,0.05,1.02,2.38,1.88,15.0,-261.59,54.71,14.16
20.77,137.9,1.7,0.08,2.48,2.39,1.89,15.0,-260.55,41.84,14.23
16.83,133.3,0.81,0.05,1.48,2.35,1.85,15.0,-261.34,54.27,14.14
20.87,139.7,2.6,0.08,0.78,2.01,1.51,15.0,-251.21,47.21,13.38
20.73,129.6,2.23,0.02,1.86,2.47,1.97,15.0,-259.99,40.05,14.48
21.69,97.8,2.58,0.02,0.78,2.02,1.52,15.0,-249.1,41.71,13.44
20.7,137.9,2.14,0.03,1.83,2.26,1.76,15.0,-259.76,42.02,14.08
20.67,129.6,2.26,0.03,1.98,2.21,1.71,15.0,-258.2,41.56,14.02
16.83,137.9,1.63,0.02,1.49,2.41,1.91,15.0,-260.84,52.2,14.27
15.61,127.3,2.57,0.06,0.76,2.01,1.51,15.0,-250.58,52.82,13.31
21.47,87.7,1.69,0.02,0.55,2.03,1.53,15.0,-250.83,40.94,13.64
21.69,131.1,1.89,0.04,1.69,2.08,1.57,15.0,-256.49,44.89,13.72
16.83,129.3,2.49,0.03,2.61,2.24,1.73,15.0,-256.75,45.33,13.95
21.39,138.5,1.64,0.06,1.76,2.09,1.59,15.0,-255.36,43.07,13.77
21.69,95.7,1.7,0.02,0.71,2.02,1.52,15.0,-248.59,40.42,13.45
15.68,128.3,2.7,0.06,0.72,2.04,1.52,15.0,-252.21,52.56,13.37
20.71,136.1,2.24,0.02,1.68,2.42,1.92,15.0,-259.49,40.54,14.39
