X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20,130,1,0.5,3,2.0,1.5,14,8,20.2
23,150,2,0.5,2,2.5,1.5,15,4,19.18
24,100,1,0.5,1,2.0,1.5,12,8,20.34
24,150,1,0.5,1,2.0,1.5,12,14,19.93
23,100,2,0.5,1,2.0,1.5,12,16,20.36
23,100,2,0.5,2,2.5,1.5,15,8,19.05
24,150,1,0.5,1,2.0,1.5,15,8,18.91
23,100,2,0.5,1,2.0,1.5,13,14,20.34
23,100,2,0.5,2,2.5,1.5,12,16,20.38
20,150,3,0.5,1,2.0,1.5,12,12,20.4
23,100,2,0.5,1,2.5,1.5,10,10,20.29
24,130,2,0.5,1,2.0,1.5,11,16,19.94
20,140,2,0.5,2,2.5,1.5,14,16,20.2
15,130,3,0.5,1,2.0,1.5,12,10,19.98
15,140,1,0.5,3,2.0,1.5,13,10,19.89
16,140,4,0.5,1,2.0,1.5,14,14,19.84
22,150,1,0.5,1,2.0,1.5,15,10,20.16
21,140,3,0.5,1,2.5,1.5,14,2,19.73
24,110,1,0.5,2,2.0,1.5,12,6,19.94
17,100,2,0.5,1,2.5,1.5,11,6,20.11
19,140,1,0.5,1,2.5,1.5,12,6,20.11
20,120,3,0.5,1,2.5,1.5,15,6,20.06
17,100,3,0.5,2,2.5,1.5,10,12,20.0
19,150,3,0.5,1,2.5,1.5,15,2,20.0
25,120,1,0.5,2,2.0,1.5,13,6,20.14
17,140,3,0.5,1,2.5,1.5,15,0,18.82
19,110,3,0.5,1,2.0,1.5,13,10,20.34
22,110,1,0.5,3,2.5,1.5,12,0,20.27
22,100,2,0.5,2,2.0,1.5,10,10,19.79
24,120,2,0.5,1,2.0,1.5,10,4,20.07
16,140,1,0.5,3,2.0,1.5,10,14,19.9
22,140,1,0.5,1,2.0,1.5,10,12,20.1
15,100,1,0.5,4,2.5,1.5,12,8,20.14
21,140,2,0.5,1,2.5,1.5,14,0,20.06
24,110,2,0.5,1,2.0,1.5,10,4,20.06
24,140,2,0.5,1,2.0,1.5,14,8,20.34
22,110,2,0.5,2,2.0,1.5,11,16,19.9
21,100,1,0.5,3,2.0,1.5,12,14,20.13
24,120,1,0.5,2,2.5,1.5,11,12,20.07
16,130,4,0.5,1,2.0,1.5,12,14,19.94
15,110,1,0.5,1,2.0,1.5,14,14,19.93
16,120,2,0.5,3,2.5,1.5,11,2,20.38
23,140,3,0.5,1,2.5,1.5,13,14,20.34
23,140,1,0.5,3,2.5,1.5,15,10,20.06
18,120,1,0.5,2,2.5,1.5,11,6,20.26
25,120,2,0.5,1,2.0,1.5,15,6,20.05
24,100,2,0.5,1,2.5,1.5,11,6,20.4
23,110,3,0.5,1,2.5,1.5,12,0,20.12
22,120,3,0.5,1,2.0,1.5,14,12,20.27
18,120,3,0.5,1,2.5,1.5,11,6,20.16
21,100,3,0.5,1,2.0,1.5,10,0,20.0
16,110,3,0.5,2,2.5,1.5,15,10,20.29
