X1,X2,X3,X4,X5,X6:,X7:,ANG,AVG,RIP,COG
22,100,1,3,0.5,12,16,-42.0,-1512.43,26.59,20.52
16,140,2,3,0.5,15,16,-48.0,-1427.98,62.95,18.71
18,140,1,1,0.5,15,12,-25.0,-1640.97,75.9,18.53
25,150,2,1,0.5,13,10,-32.0,-2185.19,52.51,20.38
21,150,1,3,0.5,10,14,-44.0,-1399.05,15.67,20.0
16,120,2,3,1.0,10,6,-45.0,-1001.01,17.94,19.81
25,150,2,1,0.5,10,6,-44.0,-1909.47,77.2,19.81
20,150,1,1,0.5,15,16,-25.0,-2063.17,49.9,18.63
25,150,1,2,0.5,15,4,-43.0,-1900.65,45.25,19.32
25,150,2,1,0.5,13,4,-44.0,-1889.21,68.92,19.72
22,150,1,1,1.0,15,12,-28.0,-2089.69,41.12,19.14
15,100,2,3,0.5,10,12,-46.0,-1074.3,19.54,19.91
15,150,2,3,0.5,10,10,-48.0,-1173.28,16.61,19.95
19,150,3,1,0.5,15,16,-30.0,-1983.18,59.44,18.73
18,150,1,3,0.5,13,12,-47.0,-1308.06,20.93,19.79
16,120,2,3,0.5,10,6,-48.0,-1207.21,25.47,19.83
18,140,2,1,0.5,15,12,-38.0,-1557.89,64.36,18.59
16,150,2,3,0.5,10,8,-48.0,-1253.62,20.51,20.12
22,150,2,2,0.5,15,4,-45.0,-1762.45,65.41,19.23
22,150,1,1,0.5,15,0,-41.0,-1624.66,50.26,18.81
22,110,1,3,0.5,12,8,-47.0,-1465.02,31.85,20.5
22,130,1,3,0.5,14,14,-40.0,-1733.39,40.78,19.76
22,150,2,2,0.5,13,8,-45.0,-1765.4,72.32,19.96
22,130,1,3,0.5,12,16,-37.0,-1648.47,34.51,20.44
19,150,3,1,1.0,15,16,-28.0,-1955.11,62.96,18.67
20,150,3,1,0.5,15,16,-32.0,-2095.85,45.4,19.05
25,100,1,2,0.5,11,14,-40.0,-1744.15,36.17,20.21
22,120,1,3,0.5,12,16,-39.0,-1615.95,31.27,20.4
22,150,1,1,0.5,15,12,-31.0,-2072.63,44.05,19.08
24,120,1,1,0.5,15,8,-37.0,-1868.52,54.71,18.95
22,110,1,3,0.5,12,16,-41.0,-1561.7,28.05,20.39
24,150,2,1,0.5,15,8,-33.0,-2147.14,47.67,18.99
16,130,2,3,0.5,15,16,-48.0,-1430.12,63.26,18.71
22,150,3,1,1.0,15,12,-30.0,-2114.16,46.48,19.02
20,150,2,2,0.5,15,16,-35.0,-2027.65,53.23,19.04
16,150,2,3,1.0,10,10,-45.0,-1063.08,20.78,19.8
22,120,1,3,1.0,15,12,-38.0,-1695.81,41.87,18.94
24,150,1,1,0.5,15,8,-34.0,-2069.57,43.6,18.91
22,120,1,3,0.5,11,2,-46.0,-1478.64,31.26,20.3
25,150,1,1,0.5,15,0,-41.0,-1835.01,50.77,18.84
25,150,2,1,0.5,11,6,-44.0,-1899.9,75.6,20.16
21,150,1,3,0.5,10,12,-45.0,-1399.56,18.2,20.09
25,150,2,1,0.5,14,8,-33.0,-2159.67,53.35,20.25
17,150,2,3,0.5,15,16,-43.0,-1513.45,67.3,18.62
25,150,1,1,0.5,15,6,-36.0,-2053.44,44.58,20.06
25,150,2,1,1.0,10,16,-29.0,-2158.1,38.06,20.15
24,130,2,1,0.5,15,8,-36.0,-2018.35,57.21,18.94
20,150,1,3,0.5,11,16,-42.0,-1438.85,27.08,19.72
25,150,1,1,1.0,10,16,-29.0,-2139.44,36.91,20.14
25,150,2,1,0.5,10,8,-43.0,-1930.15,70.29,20.19
24,120,2,1,0.5,15,8,-37.0,-1964.04,60.09,18.92
19,140,1,3,0.5,12,8,-47.0,-1348.38,19.09,20.27
25,150,2,1,0.5,11,14,-31.0,-2183.46,43.06,20.37
16,150,2,3,0.5,15,12,-48.0,-1426.21,57.8,18.61
25,150,2,1,0.5,10,12,-40.0,-2005.13,61.59,19.98
24,150,1,2,0.5,15,8,-39.0,-2017.51,42.06,19.0
25,150,1,2,0.5,12,12,-35.0,-2018.77,37.7,20.26
23,140,1,2,0.5,11,10,-44.0,-1688.15,47.71,20.12
24,110,1,2,0.5,15,8,-43.0,-1772.34,49.09,19.13
22,120,1,3,0.5,12,12,-45.0,-1517.06,29.1,20.43
22,130,1,3,0.5,13,16,-37.0,-1729.02,37.6,19.88
24,150,1,2,1.0,15,8,-34.0,-2024.83,37.0,19.0
25,150,1,2,0.5,10,16,-31.0,-1993.44,32.65,20.11
25,150,1,2,0.5,15,0,-42.0,-1849.24,48.05,19.17
23,120,1,3,1.0,15,10,-38.0,-1709.97,35.14,20.0
19,150,1,3,0.5,12,14,-45.0,-1378.45,24.99,20.02
22,120,1,3,0.5,15,8,-47.0,-1576.09,45.83,18.65
22,120,1,3,0.5,13,12,-45.0,-1546.1,34.34,19.87
18,150,1,3,0.5,15,12,-48.0,-1391.32,27.5,18.54
25,150,1,1,1.0,15,6,-32.0,-2042.06,39.46,20.06
18,150,1,3,0.5,13,6,-48.0,-1317.34,23.73,20.28
22,130,1,3,0.5,12,8,-46.0,-1519.13,30.2,20.46
25,140,2,1,0.5,10,12,-41.0,-1939.66,62.39,19.96
18,120,1,3,0.5,15,16,-43.0,-1408.64,41.03,18.76
24,120,1,2,0.5,10,12,-43.0,-1673.77,43.46,20.48
24,150,1,2,0.5,15,0,-42.0,-1823.73,42.36,18.82
22,150,1,3,0.5,15,4,-45.0,-1534.21,37.37,19.2
25,100,1,2,0.5,12,12,-42.0,-1726.38,40.28,20.35
24,150,2,1,0.5,13,12,-31.0,-2171.79,56.05,19.9
21,150,2,2,0.5,15,8,-45.0,-1742.63,67.98,19.16
22,150,1,3,0.5,10,14,-44.0,-1414.29,22.61,19.72
22,100,1,3,0.5,15,8,-48.0,-1506.09,48.61,18.86
20,150,1,3,0.5,12,14,-44.0,-1452.47,27.86,19.86
25,110,1,2,0.5,15,6,-45.0,-1781.88,47.05,20.13
22,120,1,3,0.5,15,12,-43.0,-1687.58,44.51,18.88
25,150,1,2,0.5,11,14,-33.0,-2011.13,30.87,20.31
22,110,1,3,0.5,11,12,-45.0,-1446.53,24.5,20.28
22,150,2,2,0.5,15,12,-34.0,-2128.91,54.13,19.01
22,100,2,2,0.5,12,8,-46.0,-1590.98,69.48,20.05
25,150,2,1,0.5,13,6,-43.0,-1922.09,66.96,20.14
22,150,3,1,0.5,15,12,-32.0,-2168.26,47.57,19.09
21,150,1,3,0.5,13,10,-46.0,-1496.93,31.55,20.33
17,130,2,3,0.5,15,16,-46.0,-1493.9,69.89,18.59
25,150,1,2,1.0,14,8,-34.0,-2038.74,43.01,20.24
20,150,1,3,0.5,15,16,-37.0,-1791.57,48.26,18.66
22,150,1,3,0.5,11,16,-39.0,-1522.41,22.39,19.94
22,150,2,2,0.5,15,8,-41.0,-1902.63,66.17,19.01
19,150,1,3,0.5,12,12,-46.0,-1360.9,21.17,20.12
22,100,1,3,0.5,15,12,-45.0,-1597.49,43.89,19.03
21,150,1,3,0.5,10,16,-43.0,-1402.72,16.5,20.09
