X1,X2,X3,X4,X5,X6:,X7:,AVG,RIP,COG,THD
20,140,3,1,0.5,11,0,-1478.77,70.73,20.24,34.5
23,100,1,3,1.0,10,4,-1334.14,47.7,20.07,40.41
24,150,2,1,1.0,14,10,-2122.19,52.37,20.29,76.56
20,100,1,3,0.5,13,10,-1325.8,26.0,20.37,54.56
17,110,2,2,0.5,12,6,-1206.01,45.26,20.08,39.82
25,150,2,1,1.0,13,10,-2140.72,51.24,20.44,54.94
22,150,3,1,0.5,13,14,-2063.12,63.08,20.3,55.29
22,110,2,2,0.5,12,10,-1650.09,71.26,20.08,40.48
22,100,1,2,1.0,10,4,-1258.92,61.22,20.06,40.39
24,130,2,1,1.0,13,12,-2010.8,59.74,20.34,54.98
22,140,3,1,1.0,15,12,-2067.5,48.34,20.0,100.3
24,100,2,1,0.5,11,14,-1747.6,61.38,20.31,34.66
16,100,1,2,1.0,10,4,-703.65,29.08,19.97,40.77
23,150,2,1,0.5,12,10,-1833.54,72.56,20.18,39.63
23,130,3,1,1.0,10,4,-1594.37,78.56,19.89,40.38
18,100,1,2,0.5,12,2,-1021.76,26.5,20.43,40.22
25,100,1,1,1.0,11,14,-1811.98,57.26,20.48,34.86
24,150,2,1,0.5,14,10,-2164.04,55.01,20.23,76.96
23,150,3,1,1.0,10,8,-1693.67,81.72,20.02,40.62
21,120,1,2,0.5,11,0,-1363.53,45.8,20.28,34.92
18,130,3,1,0.5,11,12,-1312.69,74.49,20.21,34.68
16,130,4,1,1.0,11,6,-1017.17,46.46,20.14,34.54
25,140,1,2,0.5,10,12,-1821.61,41.58,19.89,40.64
