X1,X2,X3,X4,X5,X6:,AVG,RIP,COG,THD
20,140,3,1,0.5,10,-1530.67,74.51,20.0,40.69
23,100,1,3,1.0,10,-1324.81,33.61,20.83,35.45
24,150,2,1,1.0,14,-1614.66,57.68,20.09,96.77
20,130,1,2,1.0,10,-1190.76,57.38,19.86,40.75
16,100,2,3,1.0,10,-958.16,35.49,20.09,40.01
22,140,1,1,0.5,13,-1497.21,61.15,20.19,54.31
21,110,2,2,0.5,10,-1517.21,62.94,19.99,41.15
24,120,1,2,1.0,13,-1664.1,53.79,20.16,54.82
17,120,1,2,1.0,13,-929.26,33.72,20.34,69.78
20,100,1,3,0.5,13,-1325.49,43.35,20.81,86.45
17,140,1,3,0.5,10,-1198.18,54.5,20.17,40.6
22,150,3,1,0.5,13,-1571.0,58.12,20.1,73.58
22,110,2,2,0.5,11,-1636.74,62.21,20.29,34.79
24,130,1,1,0.5,10,-1923.52,50.26,20.27,41.23
21,120,1,1,1.0,11,-1572.32,76.99,20.25,34.65
24,110,1,2,1.0,10,-1391.64,18.95,20.86,34.39
22,140,3,1,1.0,11,-1817.11,73.54,20.21,34.69
21,120,1,2,0.5,15,-1599.33,31.77,18.02,113.23
16,110,4,1,0.5,10,-1107.11,56.42,20.1,40.66
23,150,2,1,0.5,12,-1958.99,72.19,20.38,39.51
25,100,1,1,1.0,11,-1811.98,57.26,20.48,34.86
24,150,2,1,0.5,13,-2074.66,66.31,20.3,55.13
23,150,3,1,1.0,10,-1476.38,51.82,20.49,34.6
22,140,3,1,0.5,11,-1892.71,62.34,20.37,35.38
18,150,3,1,0.5,12,-1358.31,55.65,20.17,39.89
21,120,1,2,0.5,10,-1422.18,48.04,20.27,41.37
24,150,2,1,1.0,10,-1762.72,77.36,20.03,40.34
19,150,3,1,0.5,12,-1537.57,79.14,20.12,39.59
23,100,2,1,0.5,14,-1576.17,70.81,20.15,76.6
25,140,1,2,0.5,10,-1743.28,47.48,20.93,37.98
