X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,Navg,Nrip,Ncog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,600.65,31.83,18.08,0.0,0.0766817022945675,0.20281690140845035
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,954.27,69.45,19.63,0.22489474554497002,0.8144734261619927,0.6394366197183096
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,953.78,76.06,20.14,0.22458311604065173,0.9441066875858013,0.783098591549296
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,1082.94,46.73,18.31,0.30672610946463325,0.36889586193371243,0.26760563380281666
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1211.72,53.82,19.12,0.38862743102812297,0.5079427338693862,0.4957746478873243
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,888.21,37.88,20.07,0.18288200053422204,0.19533241812120028,0.7633802816901409
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1342.2,60.37,17.65,0.4716099161780231,0.6363992939792116,0.08169014084507016
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1000.77,30.3,19.14,0.25446774952619594,0.04667581878799763,0.5014084507042256
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,986.46,48.91,20.68,0.2453668960429413,0.411649343008433,0.9352112676056337
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1200.98,74.16,20.1,0.3817970210763301,0.9068444793096686,0.7718309859154934
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1419.0,61.1,18.35,0.5204530711405639,0.6507158266326731,0.27887323943662023
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1463.63,56.5,19.1,0.5488367951767384,0.5605020592272995,0.490140845070423
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1713.59,76.93,20.53,0.7078060010938831,0.9611688566385568,0.8929577464788735
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1362.89,53.59,17.36,0.4847683130032181,0.5034320454991176,0.0
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1460.95,76.19,19.23,0.5471323725816915,0.9466562070994313,0.5267605633802819
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1318.1,53.1,19.94,0.45628283239420486,0.4938223181015886,0.726760563380282
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1291.69,55.47,17.99,0.43948663809002914,0.5403020200039224,0.17746478873239405
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1158.95,32.72,19.82,0.3550668413487834,0.09413610511865067,0.6929577464788733
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1803.68,51.5,19.39,0.7651013113878326,0.4624436163953717,0.5718309859154932
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1627.97,78.91,20.91,0.653353515053613,1.0,1.0
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1740.08,51.16,17.59,0.7246530736844782,0.4557756422828005,0.0647887323943663
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1584.5,75.61,19.97,0.6257075261705185,0.9352814277309277,0.7352112676056335
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1754.46,37.4,19.96,0.7337984456683498,0.18591880760933513,0.7323943661971833
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1632.78,27.92,18.19,0.6564125720245743,0.0,0.23380281690140892
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,2052.55,39.15,19.13,0.923377300652514,0.22023926260050986,0.4985915492957744
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,2173.03,35.63,20.09,1.0,0.15120611884683274,0.7690140845070422
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1806.52,72.76,18.14,0.7669074905557179,0.8793881153167289,0.21971830985915522
