X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20,130,1,0.5,3,2.0,1.5,14,8,-48.0,-1434.75,30.71
20,130,1,0.5,3,2.0,1.5,14,8,-48.0,-1434.75,30.71
23,150,2,0.5,2,2.5,1.5,15,4,-41.0,-1725.3,60.87
24,100,1,0.5,1,2.0,1.5,12,8,-41.0,-1579.38,63.5
24,150,1,0.5,1,2.0,1.5,12,14,-29.0,-2119.26,46.39
23,100,2,0.5,1,2.0,1.5,12,16,-32.0,-1821.0,56.64
23,100,2,0.5,2,2.5,1.5,15,8,-42.0,-1634.2,63.4
24,150,1,0.5,1,2.0,1.5,15,8,-34.0,-2069.57,43.6
23,100,2,0.5,1,2.0,1.5,13,14,-34.0,-1822.74,63.06
23,100,2,0.5,2,2.5,1.5,12,16,-34.0,-1772.95,55.69
20,150,3,0.5,1,2.0,1.5,12,12,-41.0,-1637.43,78.73
23,100,2,0.5,1,2.5,1.5,10,10,-41.0,-1470.94,73.86
24,130,2,0.5,1,2.0,1.5,11,16,-30.0,-2020.1,47.44
20,140,2,0.5,2,2.5,1.5,14,16,-29.0,-1880.4,69.32
15,130,3,0.5,1,2.0,1.5,12,10,-45.0,-1075.48,49.58
15,140,1,0.5,3,2.0,1.5,13,10,-47.0,-1055.62,50.99
16,140,4,0.5,1,2.0,1.5,14,14,-42.0,-1345.24,62.27
22,150,1,0.5,1,2.0,1.5,15,10,-33.0,-1959.11,54.25
21,140,3,0.5,1,2.5,1.5,14,2,-43.0,-1432.43,68.83
24,110,1,0.5,2,2.0,1.5,12,6,-45.0,-1626.69,46.55
17,100,2,0.5,1,2.5,1.5,11,6,-40.0,-884.41,58.09
19,140,1,0.5,1,2.5,1.5,12,6,-42.0,-1175.24,75.58
20,120,3,0.5,1,2.5,1.5,15,6,-42.0,-1370.05,63.94
17,100,3,0.5,2,2.5,1.5,10,12,-44.0,-1092.52,56.0
19,150,3,0.5,1,2.5,1.5,15,2,-41.0,-1331.23,54.86
25,120,1,0.5,2,2.0,1.5,13,6,-45.0,-1771.05,49.76
17,140,3,0.5,1,2.5,1.5,15,0,-39.0,-1178.83,37.47
19,110,3,0.5,1,2.0,1.5,13,10,-45.0,-1371.5,75.02
22,110,1,0.5,3,2.5,1.5,12,0,-44.0,-1308.02,45.39
22,100,2,0.5,2,2.0,1.5,10,10,-45.0,-1552.86,61.8
24,120,2,0.5,1,2.0,1.5,10,4,-44.0,-1696.9,75.71
16,140,1,0.5,3,2.0,1.5,10,14,-36.0,-1175.96,75.8
22,140,1,0.5,1,2.0,1.5,10,12,-37.0,-1670.72,67.83
15,100,1,0.5,4,2.5,1.5,12,8,-48.0,-769.42,76.41
21,140,2,0.5,1,2.5,1.5,14,0,-41.0,-1401.2,63.04
24,110,2,0.5,1,2.0,1.5,10,4,-44.0,-1657.65,75.38
24,140,2,0.5,1,2.0,1.5,14,8,-35.0,-1989.1,68.53
22,110,2,0.5,2,2.0,1.5,11,16,-42.0,-1673.8,57.43
21,100,1,0.5,3,2.0,1.5,12,14,-45.0,-1390.32,26.09
24,120,1,0.5,2,2.5,1.5,11,12,-41.0,-1682.18,54.14
16,130,4,0.5,1,2.0,1.5,12,14,-44.0,-1231.38,64.21
15,110,1,0.5,1,2.0,1.5,14,14,-25.0,-1257.17,94.81
16,120,2,0.5,3,2.5,1.5,11,2,-45.0,-1001.8,29.52
23,140,3,0.5,1,2.5,1.5,13,14,-28.0,-2078.13,53.96
23,140,1,0.5,3,2.5,1.5,15,10,-34.0,-1787.17,36.48
18,120,1,0.5,2,2.5,1.5,11,6,-43.0,-1009.13,47.44
25,120,2,0.5,1,2.0,1.5,15,6,-39.0,-1920.28,57.16
24,100,2,0.5,1,2.5,1.5,11,6,-43.0,-1503.37,73.72
23,110,3,0.5,1,2.5,1.5,12,0,-43.0,-1459.38,78.18
22,120,3,0.5,1,2.0,1.5,14,12,-34.0,-1913.64,69.6
18,120,3,0.5,1,2.5,1.5,11,6,-43.0,-1138.83,65.72
21,100,3,0.5,1,2.0,1.5,10,0,-44.0,-1429.47,70.02
16,110,3,0.5,2,2.5,1.5,15,10,-47.0,-1114.99,44.87
24,120,2,0.5,1,2.0,1.5,11,12,-41.0,-1804.03,66.63
18,140,3,0.5,1,2.0,1.5,12,8,-45.0,-1339.42,73.43
19,100,3,0.5,1,2.0,1.5,10,12,-44.0,-1274.42,72.86
23,150,3,0.5,1,2.5,1.5,10,12,-40.0,-1782.98,75.6
16,150,2,0.5,3,2.5,1.5,15,4,-46.0,-1125.92,47.3
25,110,2,0.5,1,2.5,1.5,13,4,-43.0,-1623.75,70.71
19,120,3,0.5,1,2.5,1.5,14,8,-43.0,-1289.34,68.87
15,110,1,0.5,1,2.0,1.5,11,2,-46.0,-602.79,36.66
18,150,3,0.5,1,2.0,1.5,15,4,-45.0,-1378.91,58.85
24,140,2,0.5,1,2.0,1.5,10,6,-44.0,-1794.22,73.59
17,120,1,0.5,1,2.0,1.5,14,6,-36.0,-1083.99,73.35
15,100,1,0.5,4,2.5,1.5,10,12,-46.0,-743.32,91.61
19,150,1,0.5,3,2.0,1.5,13,14,-45.0,-1418.25,30.11
24,100,2,0.5,1,2.5,1.5,12,0,-43.0,-1451.89,79.97
17,110,4,0.5,1,2.5,1.5,14,6,-44.0,-1073.7,48.51
22,150,1,0.5,3,2.0,1.5,13,6,-46.0,-1489.47,34.38
22,100,3,0.5,1,2.0,1.5,12,12,-43.0,-1588.71,72.31
25,110,2,0.5,1,2.5,1.5,14,8,-36.0,-1844.63,63.14
24,130,2,0.5,1,2.5,1.5,12,12,-30.0,-1912.32,68.63
23,110,2,0.5,1,2.0,1.5,14,10,-40.0,-1783.02,68.89
21,110,3,0.5,1,2.5,1.5,10,2,-43.0,-1318.16,73.75
24,150,2,0.5,1,2.5,1.5,10,6,-43.0,-1722.2,77.78
18,140,2,0.5,2,2.0,1.5,15,4,-47.0,-1467.0,53.01
22,140,3,0.5,1,2.0,1.5,14,12,-31.0,-2008.52,68.8
22,130,3,0.5,1,2.0,1.5,12,6,-44.0,-1633.87,78.92
19,150,2,0.5,2,2.0,1.5,12,12,-45.0,-1512.55,70.44
20,100,3,0.5,1,2.5,1.5,14,14,-32.0,-1601.0,74.22
24,130,1,0.5,1,2.0,1.5,12,4,-44.0,-1639.84,65.08
18,100,3,0.5,1,2.0,1.5,13,16,-40.0,-1387.22,66.21
21,130,3,0.5,1,2.0,1.5,15,0,-41.0,-1580.09,62.95
23,110,2,0.5,1,2.0,1.5,10,2,-44.0,-1553.74,74.43
15,120,1,0.5,2,2.5,1.5,10,16,-25.0,-1079.25,122.71
17,150,3,0.5,2,2.0,1.5,14,12,-46.0,-1476.15,67.77
25,150,2,0.5,1,2.5,1.5,13,0,-43.0,-1732.27,72.17
22,140,2,0.5,2,2.0,1.5,14,0,-43.0,-1764.31,61.58
22,150,1,0.5,3,2.0,1.5,13,2,-45.0,-1506.2,31.77
24,100,1,0.5,2,2.5,1.5,13,4,-44.0,-1464.98,54.76
22,150,1,0.5,3,2.5,1.5,14,14,-30.0,-1868.11,50.83
18,100,1,0.5,1,2.5,1.5,10,14,-35.0,-1119.24,104.79
25,150,2,0.5,1,2.0,1.5,15,6,-34.0,-2120.69,46.4
15,130,2,0.5,1,2.0,1.5,13,8,-36.0,-1104.95,64.53
23,110,3,0.5,1,2.5,1.5,15,0,-40.0,-1492.41,60.3
22,110,3,0.5,1,2.0,1.5,11,2,-45.0,-1550.15,75.11
22,150,2,0.5,1,2.0,1.5,14,0,-43.0,-1666.29,62.03
16,100,1,0.5,3,2.0,1.5,14,16,-40.0,-1190.63,50.53
16,150,3,0.5,2,2.0,1.5,13,10,-48.0,-1356.53,62.01
18,100,3,0.5,1,2.0,1.5,12,12,-44.0,-1251.48,71.7
15,140,2,0.5,3,2.5,1.5,12,4,-46.0,-966.83,46.39
23,120,3,0.5,1,2.5,1.5,12,10,-40.0,-1670.57,76.85
21,150,2,0.5,1,2.5,1.5,12,8,-41.0,-1530.68,79.4
19,130,3,0.5,1,2.5,1.5,12,6,-43.0,-1253.63,72.81
20,140,2,0.5,2,2.5,1.5,10,0,-43.0,-1335.17,56.33
21,120,3,0.5,1,2.0,1.5,12,12,-42.0,-1602.98,76.12
17,100,1,0.5,4,2.0,1.5,11,4,-48.0,-1042.84,79.73
20,150,1,0.5,1,2.5,1.5,15,2,-41.0,-1323.51,56.35
22,130,3,0.5,1,2.5,1.5,12,8,-42.0,-1557.92,81.22
21,140,1,0.5,3,2.0,1.5,12,16,-38.0,-1595.18,37.27
25,110,2,0.5,1,2.5,1.5,10,4,-43.0,-1610.15,81.69
18,120,1,0.5,1,2.5,1.5,12,12,-32.0,-1261.14,99.3
16,150,1,0.5,1,2.5,1.5,12,4,-43.0,-853.19,49.14
20,150,1,0.5,3,2.5,1.5,15,4,-44.0,-1348.77,31.03
16,110,3,0.5,2,2.5,1.5,15,16,-42.0,-1296.67,59.08
24,100,2,0.5,1,2.5,1.5,11,12,-40.0,-1624.41,68.55
22,150,1,0.5,2,2.0,1.5,13,16,-32.0,-1993.4,43.12
18,100,1,0.5,1,2.5,1.5,12,16,-25.0,-1325.23,107.06
20,120,3,0.5,1,2.5,1.5,12,16,-29.0,-1633.93,81.86
24,100,1,0.5,2,2.5,1.5,13,8,-43.0,-1527.33,53.55
24,100,2,0.5,1,2.0,1.5,12,14,-35.0,-1843.43,57.9
22,100,3,0.5,1,2.0,1.5,12,16,-35.0,-1738.56,64.08
21,140,3,0.5,1,2.5,1.5,14,4,-43.0,-1446.0,73.19
24,110,2,0.5,1,2.0,1.5,10,16,-35.0,-1822.57,55.55
16,120,3,0.5,1,2.0,1.5,14,16,-38.0,-1349.94,71.02
25,140,2,0.5,1,2.0,1.5,10,2,-44.0,-1820.08,80.65
16,140,2,0.5,3,2.0,1.5,10,16,-44.0,-1232.23,35.09
19,120,1,0.5,2,2.5,1.5,12,12,-38.0,-1284.36,66.67
17,140,1,0.5,1,2.5,1.5,15,0,-38.0,-969.03,56.64
15,110,1,0.5,1,2.0,1.5,14,16,-25.0,-1320.34,93.69
15,100,1,0.5,4,2.5,1.5,12,16,-45.0,-843.92,99.55
17,100,3,0.5,2,2.5,1.5,10,16,-43.0,-1121.04,57.6
23,100,3,0.5,1,2.5,1.5,13,14,-31.0,-1820.9,62.84
22,110,1,0.5,1,2.5,1.5,12,0,-44.0,-1233.24,76.4
16,150,3,0.5,1,2.5,1.5,15,0,-39.0,-1115.5,39.51
23,120,3,0.5,1,2.5,1.5,14,12,-29.0,-1961.42,63.06
17,100,1,0.5,4,2.0,1.5,11,8,-48.0,-1023.93,72.05
20,150,3,0.5,1,2.0,1.5,12,16,-28.0,-1809.81,73.16
22,130,3,0.5,1,2.5,1.5,12,16,-27.0,-1880.62,62.66
21,150,2,0.5,1,2.5,1.5,12,16,-25.0,-1864.3,65.15
22,120,1,0.5,1,2.0,1.5,10,12,-36.0,-1599.52,67.1
22,120,3,0.5,1,2.0,1.5,12,16,-32.0,-1889.49,63.23
15,140,1,0.5,1,2.0,1.5,13,4,-40.0,-812.2,66.03
16,140,4,0.5,1,2.0,1.5,14,16,-37.0,-1466.21,74.78
18,140,3,0.5,1,2.0,1.5,15,8,-45.0,-1430.32,63.52
20,120,3,0.5,1,2.5,1.5,15,12,-31.0,-1713.0,66.17
25,110,1,0.5,1,2.5,1.5,12,2,-44.0,-1530.37,80.07
15,100,1,0.5,1,2.5,1.5,10,16,-30.0,-930.54,138.04
17,150,3,0.5,2,2.5,1.5,10,16,-42.0,-1265.14,63.21
15,140,1,0.5,1,2.0,1.5,12,4,-42.0,-756.28,53.2
22,150,2,0.5,1,2.0,1.5,14,14,-31.0,-2146.17,53.49
15,150,2,0.5,3,2.5,1.5,15,8,-48.0,-1051.82,47.04
19,150,2,0.5,2,2.5,1.5,12,16,-29.0,-1631.71,80.84
16,120,2,0.5,1,2.5,1.5,11,4,-42.0,-822.5,42.4
18,140,2,0.5,2,2.0,1.5,15,8,-48.0,-1476.73,61.36
21,100,3,0.5,1,2.0,1.5,12,0,-45.0,-1431.98,71.19
23,100,1,0.5,3,2.5,1.5,15,10,-41.0,-1580.83,33.41
21,110,2,0.5,1,2.5,1.5,14,16,-26.0,-1820.69,67.96
24,130,2,0.5,1,2.5,1.5,11,16,-28.0,-1990.07,47.5
21,110,2,0.5,1,2.0,1.5,11,16,-35.0,-1625.5,61.91
16,100,1,0.5,1,2.0,1.5,14,16,-25.0,-1368.39,89.86
17,100,2,0.5,1,2.5,1.5,12,0,-43.0,-792.82,36.1
19,150,2,0.5,2,2.0,1.5,12,4,-46.0,-1494.11,56.33
18,100,3,0.5,1,2.0,1.5,10,16,-41.0,-1246.42,61.4
23,140,2,0.5,1,2.5,1.5,14,12,-29.0,-2051.24,57.17
19,150,3,0.5,1,2.5,1.5,15,4,-42.0,-1343.49,59.13
19,130,1,0.5,1,2.0,1.5,10,8,-38.0,-1229.29,72.86
15,100,1,0.5,4,2.5,1.5,10,16,-44.0,-773.76,117.66
16,150,2,0.5,3,2.5,1.5,15,8,-47.0,-1150.34,45.7
22,130,3,0.5,1,2.0,1.5,12,16,-30.0,-1921.85,62.12
20,150,2,0.5,1,2.5,1.5,15,12,-28.0,-1854.73,62.43
16,120,2,0.5,3,2.5,1.5,11,4,-45.0,-1014.14,25.83
21,100,3,0.5,1,2.0,1.5,10,2,-45.0,-1435.37,73.47
15,140,1,0.5,1,2.5,1.5,10,16,-28.0,-1060.21,132.7
17,100,3,0.5,2,2.0,1.5,11,8,-48.0,-1306.1,60.23
16,150,3,0.5,2,2.0,1.5,13,16,-45.0,-1418.53,67.83
22,150,1,0.5,2,2.0,1.5,13,4,-45.0,-1649.15,44.45
18,140,3,0.5,1,2.0,1.5,13,16,-31.0,-1635.03,81.45
17,110,3,0.5,1,2.0,1.5,14,16,-39.0,-1387.85,66.73
22,140,1,0.5,1,2.0,1.5,15,12,-31.0,-2007.03,48.22
21,140,2,0.5,1,2.5,1.5,12,0,-43.0,-1348.18,68.46
23,100,2,0.5,1,2.5,1.5,10,16,-36.0,-1641.86,61.47
24,150,2,0.5,1,2.5,1.5,10,12,-39.0,-1859.6,69.83
19,150,1,0.5,3,2.0,1.5,13,16,-41.0,-1489.73,39.25
17,100,2,0.5,2,2.0,1.5,14,16,-43.0,-1352.89,65.04
21,120,3,0.5,1,2.0,1.5,14,16,-31.0,-1926.02,61.65
20,150,1,0.5,3,2.5,1.5,15,16,-32.0,-1844.71,55.17
22,140,1,0.5,1,2.0,1.5,10,16,-31.0,-1823.76,56.4
15,130,2,0.5,1,2.0,1.5,13,16,-28.0,-1346.57,78.69
22,120,2,0.5,2,2.0,1.5,15,12,-39.0,-1914.07,64.5
18,100,1,0.5,3,2.5,1.5,12,16,-40.0,-1150.85,63.8
16,100,3,0.5,2,2.0,1.5,13,16,-48.0,-1274.66,68.03
21,110,3,0.5,1,2.5,1.5,14,4,-43.0,-1365.69,72.55
22,150,1,0.5,3,2.5,1.5,14,2,-43.0,-1407.55,30.86
21,100,1,0.5,3,2.0,1.5,12,16,-43.0,-1420.7,27.82
24,100,1,0.5,2,2.0,1.5,13,8,-45.0,-1612.54,47.77
15,140,2,0.5,1,2.5,1.5,10,8,-38.0,-865.07,76.89
19,150,2,0.5,2,2.0,1.5,12,16,-39.0,-1612.06,68.7
17,100,2,0.5,1,2.5,1.5,11,12,-32.0,-1104.95,101.37
25,110,1,0.5,1,2.5,1.5,13,8,-40.0,-1701.01,61.58
17,110,1,0.5,1,2.0,1.5,14,12,-25.0,-1373.86,88.58
20,140,2,0.5,2,2.5,1.5,14,0,-41.0,-1415.31,52.3
15,110,1,0.5,2,2.0,1.5,13,12,-26.0,-1260.55,71.39
