X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,6.35,20.33
20.39,93.5,2.9,0.21,1.11,2.03,1.53,12.09,8.94,20.01
21.87,126.8,0.5,0.75,3.68,2.51,1.64,13.95,1.65,20.66
19.48,132.7,1.53,0.29,0.96,2.35,1.84,11.06,4.25,20.3
16.39,124.6,1.89,0.17,3.03,2.12,1.62,13.63,12.98,18.85
21.24,120.1,1.72,0.27,2.31,2.7,1.98,13.32,8.45,20.98
16.15,136.0,2.07,0.58,1.93,2.3,1.8,12.87,0.05,19.88
21.91,139.8,0.5,0.14,3.65,2.38,1.53,13.78,7.31,20.06
24.23,116.9,0.93,0.02,0.59,2.14,1.62,14.3,4.47,19.88
20.53,127.4,0.93,0.28,2.55,2.76,1.78,10.09,12.38,20.16
17.33,124.6,1.86,0.86,3.11,2.26,1.57,10.3,1.94,19.61
21.2,126.3,1.05,0.02,0.75,2.54,1.8,12.84,5.08,20.99
24.89,106.4,0.5,0.55,3.09,2.46,1.63,10.33,5.92,19.75
24.25,81.1,0.73,0.74,2.48,2.2,1.7,10.07,3.75,20.46
21.17,135.9,3.8,0.56,0.5,2.52,1.7,12.43,9.4,20.56
20.5,134.1,3.92,0.4,0.5,2.14,1.56,10.68,8.09,18.92
15.22,135.8,3.39,0.02,1.12,2.16,1.57,14.05,5.52,19.79
24.4,106.6,3.16,0.84,0.5,2.5,1.77,13.99,4.57,20.94
19.9,107.9,0.55,0.59,2.02,2.27,1.66,14.46,8.63,20.81
16.84,123.0,2.64,0.05,1.97,2.15,1.65,10.0,15.63,19.96
18.77,137.9,2.62,0.83,1.88,2.46,1.64,12.93,11.3,19.92
23.58,120.4,1.98,0.86,1.63,2.56,1.73,11.91,6.57,20.51
22.98,130.4,3.46,0.66,0.5,2.55,1.93,12.64,7.39,20.9
20.72,118.7,1.63,0.77,2.49,2.4,1.67,10.34,6.05,19.78
15.8,138.6,1.14,0.81,3.56,2.3,1.78,10.8,7.47,20.57
20.0,118.3,1.02,0.25,3.48,2.5,1.81,11.17,1.63,20.48
20.16,98.2,1.03,0.62,2.4,2.1,1.57,13.76,3.55,20.27
20.19,122.8,0.58,0.33,3.56,2.63,1.77,14.33,8.47,20.3
23.26,128.3,0.85,0.65,2.96,2.7,1.9,10.17,9.56,20.42
18.81,120.0,0.63,0.54,3.86,2.38,1.52,13.55,7.44,20.05
24.48,77.7,1.43,0.08,1.98,2.14,1.64,14.01,4.51,19.77
22.66,87.4,0.5,0.43,3.3,2.16,1.57,10.39,0.29,19.35
19.78,97.9,0.5,0.4,3.91,2.05,1.55,10.63,9.9,19.3
24.32,134.9,3.2,0.92,0.5,2.16,1.61,11.57,2.8,19.32
21.07,93.1,0.92,0.19,2.96,2.1,1.6,11.74,0.91,19.32
17.29,113.1,2.24,0.52,1.11,2.03,1.53,14.08,9.51,19.6
24.76,132.1,2.58,0.03,0.83,2.26,1.73,11.88,6.36,20.62
16.68,137.8,2.17,0.82,2.71,2.42,1.74,10.07,5.65,20.05
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,11.48,20.94
24.15,111.5,0.5,0.48,3.26,2.74,1.82,13.37,5.48,20.75
19.28,124.6,1.74,0.21,2.66,2.53,1.87,13.72,3.54,21.07
22.06,98.2,0.94,0.98,1.06,2.32,1.72,12.02,2.35,20.32
17.95,118.5,3.81,0.43,0.81,2.22,1.72,10.96,6.32,19.86
24.87,82.2,0.51,0.93,2.61,2.3,1.76,13.53,4.59,20.53
18.75,121.6,2.59,0.61,1.91,2.35,1.5,13.87,10.38,19.85
19.33,132.7,2.37,0.77,2.27,2.67,1.92,10.34,9.17,21.08
24.43,101.4,1.18,0.85,1.38,2.62,1.77,14.74,3.83,19.52
19.19,114.7,1.89,0.51,1.16,2.32,1.65,10.52,2.31,19.64
24.82,110.9,0.67,0.86,2.67,2.52,1.9,12.16,5.72,20.8
18.3,115.8,1.44,0.81,1.53,2.22,1.72,14.28,10.42,19.91
21.99,115.1,1.39,0.69,1.3,2.4,1.69,11.78,0.92,19.32
21.32,116.6,2.65,0.65,1.09,2.34,1.76,14.38,2.94,20.83
24.87,135.9,2.76,0.15,0.6,2.52,1.73,12.14,5.99,20.52
23.5,120.1,2.53,0.92,0.73,2.52,1.53,11.0,6.76,20.07
22.47,87.2,3.32,0.49,0.5,2.14,1.64,11.75,3.67,20.53
22.98,130.5,0.5,0.66,3.46,2.54,1.81,10.96,7.39,20.88
21.91,139.1,0.5,0.85,3.65,2.42,1.57,13.78,7.19,19.32
23.26,128.3,1.26,0.65,2.41,2.7,1.9,13.13,6.61,20.64
20.46,119.9,1.63,0.77,2.49,2.5,1.67,10.34,5.92,19.48
16.39,124.6,1.89,0.17,3.03,2.12,1.62,13.63,12.65,20.04
24.76,132.1,2.58,0.03,0.83,2.26,1.72,11.86,5.71,20.83
