X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20.0,114.3,3.31,0.38,0.73,2.42,1.92,11.07,7.23,20.75
22.5,113.5,2.14,0.21,1.64,2.42,1.74,11.83,8.67,20.26
22.69,85.1,2.5,0.28,1.02,2.12,1.62,11.85,7.35,19.94
22.19,93.0,3.43,0.18,0.5,2.23,1.71,13.17,7.63,20.16
18.09,107.4,1.32,0.97,3.22,2.02,1.52,14.21,2.1,19.63
23.0,135.1,0.64,0.88,1.47,2.64,1.9,13.59,2.35,21.1
17.3,112.7,0.96,0.22,2.51,2.02,1.52,14.28,0.54,19.92
20.33,123.8,3.95,0.27,0.5,2.67,1.95,10.99,7.06,20.7
22.19,127.6,1.09,0.67,2.77,2.36,1.58,10.18,4.5,19.9
24.27,96.7,3.17,0.87,0.5,2.45,1.51,11.36,4.44,20.03
16.21,132.9,0.61,0.67,0.75,2.25,1.71,10.91,8.34,20.04
21.5,107.6,3.13,0.06,0.8,2.46,1.8,11.44,10.06,21.02
22.12,112.5,1.01,0.97,2.83,2.51,1.8,10.2,10.68,20.49
23.19,110.9,3.39,0.19,0.5,2.42,1.8,10.46,9.35,20.53
23.27,106.5,0.91,0.51,2.7,2.55,1.92,12.11,7.62,20.63
20.39,131.3,2.31,0.61,1.9,2.84,1.93,14.36,8.25,20.02
21.57,119.3,0.88,0.84,3.07,2.35,1.77,11.42,10.01,21.25
16.61,118.7,0.99,0.7,3.88,2.04,1.54,10.74,8.63,20.32
18.61,139.2,1.52,0.5,3.0,2.57,1.86,11.37,13.02,20.18
16.12,131.1,3.5,0.23,1.72,2.2,1.7,14.75,12.13,18.89
24.44,133.8,3.18,0.05,0.5,2.3,1.66,12.29,6.27,20.05
21.05,88.2,1.81,0.91,2.03,2.0,1.5,11.86,3.47,19.55
24.9,71.9,2.23,0.63,0.75,2.06,1.56,12.39,5.71,19.62
15.16,129.5,0.95,0.38,2.21,2.04,1.52,11.59,5.71,20.59
24.56,133.4,0.5,0.93,3.16,2.25,1.56,13.04,5.17,20.17
15.1,138.5,3.89,0.54,1.29,2.19,1.69,12.34,9.33,20.34
22.03,112.3,3.61,0.07,0.5,2.64,1.95,10.39,10.58,20.34
22.3,136.7,1.03,0.05,0.74,2.62,1.9,11.12,7.63,20.35
20.15,127.0,1.07,0.02,2.27,2.33,1.65,13.86,8.98,19.61
24.52,110.6,0.74,0.67,1.39,2.44,1.52,11.62,6.86,19.27
24.16,125.7,0.5,0.24,3.25,2.29,1.51,13.15,5.69,19.82
22.85,119.7,0.5,0.7,3.48,2.31,1.67,10.3,9.85,19.89
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,9.44,20.67
22.18,123.7,0.5,0.81,3.61,2.58,1.91,12.6,4.15,19.95
16.73,121.2,2.54,0.07,2.56,2.1,1.6,12.86,10.4,20.24
19.92,130.0,1.61,0.22,1.53,2.76,1.94,12.36,10.73,21.19
19.58,128.2,2.5,0.88,1.94,2.45,1.6,10.42,13.0,20.48
23.18,96.7,3.3,0.2,0.5,2.32,1.7,14.36,5.46,20.4
23.94,108.0,1.53,0.26,0.51,2.7,1.92,11.12,7.67,20.69
24.84,91.5,1.02,0.83,2.23,2.35,1.53,12.58,5.58,20.17
24.51,97.2,1.66,0.78,1.4,2.2,1.63,13.36,1.61,20.3
24.42,96.7,3.17,0.87,0.5,2.45,1.51,13.15,4.47,19.51
22.45,135.1,0.78,0.82,1.47,2.66,1.9,13.59,2.35,21.12
24.51,88.1,1.66,0.78,1.4,2.2,1.63,11.75,3.49,20.1
17.3,114.2,0.96,0.22,2.51,2.05,1.51,12.39,0.6,20.02
22.19,93.5,1.09,0.67,2.77,2.24,1.58,10.18,4.5,19.86
15.1,138.5,3.89,0.54,1.51,2.19,1.69,12.34,8.64,20.3
21.95,112.5,1.01,0.97,2.83,2.51,1.8,10.2,10.68,20.31
24.44,133.8,0.5,0.05,3.18,2.16,1.66,12.29,1.76,20.11
22.5,113.5,2.1,0.28,1.64,2.32,1.62,11.83,8.67,20.07
18.42,132.9,1.51,0.5,3.0,2.41,1.7,10.92,8.38,20.23
21.59,107.8,3.13,0.05,0.8,2.48,1.9,12.62,8.79,21.6
20.26,121.4,0.79,1.0,3.25,2.01,1.51,12.52,5.94,19.23
21.57,91.3,0.62,0.84,3.06,2.12,1.62,11.69,9.03,19.18
23.94,108.2,3.27,0.26,0.5,2.73,1.95,10.19,7.67,20.13
19.82,106.4,0.91,0.51,2.69,2.23,1.73,12.06,7.62,20.63
17.28,118.7,0.5,0.7,3.88,2.13,1.54,10.74,7.97,19.2
16.05,131.4,3.5,0.4,0.51,2.2,1.7,14.75,3.31,20.58
24.12,134.4,1.79,0.68,1.48,2.2,1.63,13.36,1.61,20.42
15.16,129.5,0.95,0.38,2.21,2.03,1.52,11.59,5.22,19.59
23.96,138.5,3.27,0.54,0.5,2.47,1.69,12.34,6.7,20.65
22.19,92.3,3.41,0.18,0.54,2.02,1.5,13.21,7.6,19.79
22.5,113.5,2.39,0.21,1.61,2.24,1.74,11.91,8.39,20.55
20.21,123.8,3.95,0.29,0.5,2.66,1.95,10.99,7.06,20.72
22.22,135.1,0.64,0.8,2.42,2.64,1.9,13.59,4.12,21.38
18.61,139.2,1.42,0.53,3.0,2.57,1.86,11.37,13.02,20.03
20.29,128.5,2.22,0.91,1.95,2.13,1.61,10.42,12.29,19.32
21.66,127.8,3.17,0.85,0.57,2.46,1.52,11.36,9.79,20.39
17.3,112.7,0.96,0.22,2.51,2.02,1.52,14.31,10.67,20.08
22.03,120.7,3.6,0.07,0.51,2.64,1.95,10.39,8.96,20.84
21.51,135.2,0.96,0.05,0.74,2.52,1.8,11.12,10.1,20.51
20.78,129.7,2.38,0.61,1.9,2.84,1.93,10.17,8.25,20.19
22.19,127.6,1.09,0.67,1.27,2.38,1.6,10.18,4.5,19.71
24.74,133.4,0.5,0.93,3.13,2.25,1.56,13.04,5.17,20.18
17.95,118.6,0.64,0.55,2.8,2.14,1.64,12.75,10.11,19.6
21.05,89.6,1.81,0.91,2.03,2.0,1.5,13.47,2.05,20.18
19.92,130.0,1.61,0.22,1.53,2.44,1.94,14.25,8.83,20.93
23.18,130.8,3.3,0.2,0.5,2.32,1.7,14.36,5.46,20.47
16.62,118.7,0.99,0.7,3.65,2.04,1.54,10.74,9.32,20.44
22.69,85.1,2.5,0.11,1.02,2.12,1.62,11.85,7.35,19.97
16.21,139.2,0.62,0.67,0.75,2.37,1.87,11.36,12.98,19.98
24.52,118.6,2.06,0.67,1.39,2.44,1.52,14.11,4.37,19.64
21.39,123.5,0.5,0.82,3.61,2.46,1.8,11.44,4.15,21.23
16.12,131.1,3.5,0.24,1.71,2.2,1.7,14.75,12.13,18.86
20.57,114.2,1.0,0.72,2.48,2.08,1.5,11.42,10.74,19.39
16.49,131.3,2.3,0.61,1.42,2.26,1.76,14.24,8.06,20.41
22.03,112.1,1.51,0.07,0.5,2.61,1.92,11.48,9.49,20.64
23.22,78.0,2.36,0.94,1.27,2.02,1.5,12.11,7.67,20.26
24.25,133.4,1.05,0.93,2.41,2.07,1.56,13.04,5.17,20.7
21.3,96.4,2.13,0.23,1.75,2.2,1.7,14.36,7.34,20.68
23.19,110.9,3.39,0.19,0.5,2.39,1.8,10.46,9.35,20.53
22.77,111.0,2.61,0.28,1.13,2.0,1.5,13.59,6.64,19.78
15.41,125.7,0.5,0.24,3.25,2.0,1.5,13.15,5.69,20.07
22.96,123.7,0.5,0.88,3.46,2.58,1.91,12.6,2.38,20.62
17.4,118.6,0.78,0.5,2.8,2.15,1.65,12.75,9.44,20.66
17.96,107.4,1.32,0.51,3.22,2.01,1.51,13.33,2.35,20.14
24.18,97.3,0.5,0.84,3.14,2.34,1.76,11.42,4.66,20.29
16.73,121.2,2.54,0.07,2.56,2.1,1.6,12.83,0.37,20.14
22.85,100.3,0.5,0.7,3.42,2.18,1.5,10.3,9.79,19.41
20.15,112.2,1.16,0.02,2.4,2.33,1.65,13.86,8.99,19.6
24.36,71.9,0.76,0.63,0.75,2.0,1.5,12.39,5.71,19.43
22.29,109.0,3.2,0.06,0.8,2.6,1.9,11.44,7.59,20.99
22.12,112.5,0.94,0.97,2.83,2.51,1.8,14.42,6.46,20.72
21.05,88.1,1.81,0.91,2.03,2.0,1.5,11.86,3.17,19.36
21.57,119.3,0.87,0.84,0.63,2.29,1.71,11.42,10.01,20.91
22.18,134.0,2.95,0.81,0.66,2.58,1.91,12.6,4.15,19.69
22.19,93.0,0.68,0.18,2.99,2.23,1.73,13.17,7.63,20.46
24.44,123.5,0.5,0.05,3.18,2.37,1.73,12.29,6.27,20.26
21.95,107.4,1.04,0.97,2.82,2.23,1.52,10.2,10.68,20.13
21.57,107.8,2.97,0.16,0.76,2.48,1.9,12.62,8.79,21.54
23.27,105.2,0.94,0.51,2.7,2.55,1.92,12.11,7.62,20.61
22.28,91.3,0.65,0.84,3.16,2.12,1.62,11.69,8.79,20.14
22.54,113.5,1.03,0.24,2.74,2.32,1.62,11.83,8.63,20.11
15.02,138.5,3.68,0.56,1.03,2.17,1.67,12.34,10.52,20.23
16.46,127.6,1.17,0.67,1.27,2.19,1.69,14.29,4.5,20.02
24.44,72.5,0.8,0.05,0.5,2.02,1.52,12.31,5.74,19.39
17.4,118.6,0.78,0.53,2.8,2.15,1.65,12.75,5.18,21.0
19.92,95.7,3.3,0.22,0.82,2.02,1.52,14.35,8.73,20.29
23.59,138.5,3.27,0.53,0.5,2.35,1.69,11.33,6.66,20.13
20.53,128.5,0.99,0.91,2.1,2.13,1.61,14.41,8.06,19.44
16.12,134.0,0.51,0.28,1.71,2.16,1.66,14.75,12.13,19.07
22.05,129.6,1.14,0.66,2.76,2.44,1.52,14.11,4.5,19.68
22.85,119.5,0.5,0.7,3.47,2.31,1.67,10.29,9.71,19.97
22.77,111.0,2.61,0.22,1.13,2.01,1.51,13.59,6.25,20.19
16.41,123.8,0.5,0.76,0.63,2.11,1.61,12.6,4.24,19.69
17.28,118.7,0.5,0.7,3.91,2.12,1.52,10.74,7.94,19.13
22.44,93.0,0.61,0.66,0.88,2.26,1.73,10.92,7.51,20.14
24.51,92.2,1.66,0.19,0.51,2.2,1.63,13.36,1.61,20.27
24.46,123.3,0.8,0.93,2.64,2.16,1.52,12.29,6.25,19.89
16.81,129.7,2.38,0.61,1.9,2.28,1.78,10.31,8.69,20.58
22.59,112.3,0.79,0.02,1.49,2.33,1.65,13.86,2.4,20.81
23.22,105.5,1.51,0.07,0.5,2.61,1.92,11.62,5.19,20.16
22.23,108.0,3.2,0.05,0.79,2.58,1.9,11.44,4.58,20.14
24.52,112.4,0.5,0.88,3.16,2.61,1.92,13.04,5.41,20.9
24.56,133.4,0.51,0.93,1.26,2.25,1.56,13.04,5.11,20.25
24.44,133.8,0.5,0.14,3.18,2.16,1.66,12.29,1.76,20.11
18.26,139.2,1.52,0.5,3.0,2.57,1.86,11.37,13.02,20.24
22.45,135.1,0.78,0.93,1.47,2.66,1.9,13.59,2.35,21.12
16.12,131.1,3.5,0.03,1.72,2.2,1.7,14.75,12.13,18.81
21.95,112.5,1.01,0.97,2.83,2.51,1.8,10.2,6.0,20.42
18.09,139.2,0.62,0.69,3.4,2.37,1.87,11.36,12.98,20.13
20.39,126.8,1.89,0.61,1.9,2.76,1.93,12.52,8.25,20.01
16.28,121.2,2.55,0.07,2.56,2.04,1.54,11.84,0.26,20.4
16.59,123.5,0.5,0.05,3.19,2.11,1.5,12.31,6.27,19.53
22.19,127.6,1.06,0.82,2.77,2.36,1.58,12.71,4.5,19.85
19.92,130.0,1.48,0.22,2.76,2.7,1.88,12.34,10.73,21.16
24.03,124.7,0.53,0.24,3.25,2.32,1.53,11.71,5.69,20.55
18.61,138.5,1.42,0.53,3.0,2.49,1.86,11.32,13.07,20.31
24.13,130.8,3.24,0.2,0.5,2.31,1.67,10.22,5.46,19.84
24.86,135.1,0.98,0.8,0.82,2.64,1.9,13.59,4.12,21.0
17.3,114.2,0.71,0.22,2.51,2.04,1.53,12.39,8.14,19.58
23.94,128.1,1.28,0.02,2.26,2.42,1.64,10.19,7.67,20.01
20.15,112.2,1.16,0.01,2.4,2.33,1.65,13.86,8.99,19.59
21.39,90.5,0.5,0.84,3.57,2.08,1.58,11.44,8.86,19.49
18.09,112.5,1.32,0.97,3.23,2.12,1.62,14.21,2.1,20.02
23.02,135.1,0.8,0.88,1.45,2.64,1.9,13.59,2.35,21.07
16.73,122.5,2.49,0.07,2.56,2.1,1.6,12.86,7.75,19.64
16.12,129.9,3.48,0.23,1.72,2.18,1.68,14.75,12.13,18.77
16.57,118.7,2.06,0.74,1.63,2.04,1.54,10.74,8.63,20.02
17.28,112.7,1.07,0.2,2.51,2.02,1.52,14.31,9.28,20.31
22.22,131.3,2.23,0.61,1.42,2.11,1.61,10.38,7.72,19.34
24.36,133.1,3.15,0.63,0.55,2.0,1.5,12.39,6.24,19.2
15.16,129.5,0.95,0.38,2.21,2.02,1.52,11.59,9.48,20.23
23.18,131.0,1.61,0.2,0.5,2.44,1.94,14.26,5.46,20.52
21.76,123.5,0.5,0.83,3.38,2.58,1.8,12.45,4.19,19.87
23.93,88.4,2.36,0.94,1.17,2.02,1.5,12.12,6.96,20.21
24.44,130.9,0.5,0.05,3.18,2.2,1.7,12.29,1.76,20.24
24.66,119.0,2.01,0.67,1.4,2.36,1.58,10.18,4.37,19.37
15.94,125.9,0.5,0.24,3.25,2.03,1.53,13.16,5.83,20.32
17.3,114.2,1.54,0.28,2.51,2.04,1.5,12.39,0.6,20.03
21.47,139.5,0.5,0.67,3.73,2.38,1.87,11.36,10.17,21.33
20.04,127.0,1.07,0.02,2.23,2.33,1.65,13.86,9.01,19.68
15.96,132.9,0.68,0.18,2.93,2.21,1.71,13.16,8.46,20.29
22.19,97.3,3.47,0.77,0.5,2.02,1.5,13.22,7.59,19.93
20.24,121.6,0.79,0.11,3.25,2.22,1.72,12.52,5.94,19.71
21.01,121.2,1.5,0.07,2.56,2.1,1.6,12.69,0.37,20.03
20.01,135.0,0.97,0.81,2.38,2.66,1.9,13.59,8.94,19.65
21.57,130.6,3.3,0.2,0.5,2.32,1.7,14.3,7.13,20.74
24.48,93.1,2.85,0.88,0.5,2.45,1.51,13.15,5.37,19.46
22.03,133.1,0.54,0.12,0.5,2.25,1.56,11.48,9.25,19.42
22.19,127.6,0.94,0.67,3.17,2.38,1.6,10.18,4.56,19.96
23.55,138.5,3.27,0.54,0.5,2.47,1.69,12.34,6.65,20.65
24.52,131.4,2.06,0.4,0.51,2.44,1.52,14.74,3.74,19.24
24.52,110.6,0.74,0.47,1.39,2.44,1.52,11.62,6.86,19.26
22.12,112.5,0.96,0.94,2.83,2.5,1.8,14.42,6.46,20.71
22.96,131.2,0.5,0.88,3.46,2.58,1.91,14.44,2.38,20.72
22.95,113.5,2.13,0.21,1.64,2.24,1.74,12.49,7.56,20.23
24.89,112.7,1.06,0.22,2.5,2.28,1.76,14.26,0.54,20.45
22.18,123.7,0.5,0.66,3.61,2.58,1.91,10.09,4.15,20.78
16.73,121.2,2.53,0.07,1.33,2.1,1.6,12.88,10.4,20.21
24.15,109.0,1.52,0.26,0.56,2.69,1.91,12.54,6.31,20.07
21.64,118.7,0.51,0.6,1.83,2.03,1.53,10.74,7.35,20.61
24.51,97.2,1.88,0.78,1.4,2.2,1.63,13.36,1.61,20.38
23.44,107.0,0.91,0.5,2.7,2.63,1.92,12.16,7.35,20.73
22.85,119.7,0.64,0.7,0.7,2.32,1.7,14.46,5.69,19.96
22.19,92.3,3.41,0.18,0.54,2.03,1.5,13.21,0.48,19.59
20.15,107.1,1.07,0.26,0.55,2.28,1.78,13.86,8.98,19.85
20.57,114.2,1.0,0.72,2.48,2.08,1.5,11.3,10.74,19.23
21.57,124.3,0.62,0.82,3.06,2.27,1.61,11.69,4.32,20.71
24.12,134.4,1.79,0.68,1.48,2.2,1.63,13.35,1.49,19.85
24.9,118.2,2.23,0.63,0.75,2.15,1.56,10.79,6.14,19.39
16.76,121.5,2.23,0.63,0.74,2.12,1.56,12.88,6.54,19.89
24.86,135.1,0.98,0.05,1.7,2.44,1.7,13.55,4.59,20.25
17.37,114.2,1.54,0.28,2.51,2.06,1.56,14.4,4.69,20.47
20.48,112.2,1.73,0.07,2.4,2.04,1.54,13.84,8.68,19.77
24.36,129.6,0.76,0.63,1.96,2.0,1.5,12.39,5.71,19.32
21.57,127.4,3.3,0.67,0.5,2.32,1.7,14.04,7.13,20.17
21.64,131.3,2.3,0.61,1.42,2.26,1.76,10.2,8.06,20.03
16.06,129.2,3.26,0.23,1.73,2.16,1.66,14.75,12.13,18.81
18.08,133.1,0.99,0.63,0.55,2.04,1.5,12.39,6.25,19.18
24.66,119.0,1.93,0.85,1.44,2.08,1.58,10.18,4.37,19.54
16.21,139.2,0.62,0.67,2.45,2.04,1.52,11.36,13.33,19.52
24.89,130.7,0.5,0.05,3.1,2.37,1.73,12.29,5.82,20.41
19.96,117.7,0.64,0.55,3.25,2.01,1.51,12.74,10.21,19.52
20.31,136.2,0.54,0.17,3.25,2.22,1.71,11.5,5.94,21.03
16.12,131.1,3.5,0.15,1.71,2.19,1.69,14.75,12.13,18.76
23.96,138.9,3.19,0.54,0.5,2.52,1.69,12.34,6.7,20.64
23.91,112.7,0.99,0.4,2.56,2.44,1.52,14.73,4.07,18.57
20.53,128.6,0.99,0.91,2.1,2.15,1.63,14.16,8.06,19.84
16.05,131.4,3.5,0.4,0.51,2.2,1.7,14.76,3.31,20.57
22.19,92.3,3.41,0.18,0.54,2.02,1.5,13.21,0.19,20.08
16.61,122.9,2.5,0.99,2.56,2.12,1.6,12.86,7.75,19.67
17.26,133.4,1.08,0.93,1.25,2.25,1.56,14.37,6.52,19.81
22.55,112.3,0.79,0.01,1.48,2.33,1.65,13.86,2.4,20.79
18.33,119.6,1.31,0.7,3.31,2.21,1.7,14.46,5.7,19.87
24.66,119.0,1.03,0.23,1.4,2.38,1.59,10.92,4.12,19.61
22.05,112.7,1.16,0.02,2.4,2.34,1.66,11.63,8.99,18.98
19.92,95.6,1.1,0.21,0.71,2.02,1.52,14.31,8.73,20.45
24.78,97.3,3.03,0.63,0.5,2.09,1.5,13.22,5.0,19.72
22.96,131.2,0.5,0.88,3.46,2.58,1.91,14.45,5.04,21.65
24.44,123.5,0.5,0.05,3.18,2.36,1.73,12.29,6.27,20.33
24.52,110.6,3.19,0.67,0.5,2.43,1.52,11.62,6.86,19.16
17.95,118.6,0.63,0.01,2.8,2.22,1.64,12.75,10.11,19.51
24.64,129.4,2.82,0.77,0.58,2.4,1.9,14.75,3.61,20.45
24.52,111.1,0.74,0.54,1.39,2.44,1.52,12.33,6.15,19.43
22.22,135.1,0.8,0.8,2.42,2.64,1.9,13.59,2.7,19.96
23.18,96.7,2.24,0.19,0.5,2.23,1.61,14.36,5.46,20.26
24.52,133.4,2.06,0.65,1.39,2.46,1.56,14.11,4.37,19.76
20.26,123.0,1.05,0.26,0.57,2.28,1.78,13.86,5.77,20.73
16.73,121.2,2.54,0.22,2.56,2.1,1.6,14.5,0.07,18.98
21.19,89.6,1.72,0.88,2.03,2.0,1.5,13.14,2.05,19.79
16.62,129.9,3.42,0.23,1.72,2.18,1.68,14.75,11.63,19.94
20.24,121.6,0.81,0.13,3.25,2.04,1.54,12.52,5.94,19.35
23.66,138.3,3.32,0.54,0.5,2.2,1.7,14.75,4.59,20.58
16.37,135.4,0.5,0.2,3.91,2.02,1.52,10.62,7.94,18.89
24.48,93.1,2.85,0.87,0.52,2.47,1.51,13.2,5.32,19.37
16.49,131.3,2.3,0.61,1.32,2.26,1.76,14.24,8.06,20.12
20.53,134.2,2.56,0.91,1.85,2.13,1.61,11.91,0.32,20.36
24.76,117.9,0.78,0.1,2.57,2.1,1.6,10.74,0.12,19.44
16.12,131.1,3.5,0.78,0.84,2.2,1.7,14.75,4.76,20.76
22.78,119.7,0.64,0.7,0.7,2.04,1.5,12.45,1.61,19.69
15.95,121.2,1.16,0.02,2.56,2.0,1.5,11.86,0.3,19.98
22.35,134.0,0.59,0.28,1.71,2.17,1.67,14.65,6.0,18.6
16.46,130.8,1.17,0.2,1.27,2.19,1.69,14.29,4.5,20.17
16.46,131.3,2.32,0.61,1.42,2.11,1.61,14.45,7.72,19.59
22.05,129.6,1.36,0.66,2.75,2.44,1.52,14.11,4.5,19.7
24.16,114.2,0.93,0.22,2.53,2.01,1.51,12.39,0.59,20.11
21.39,90.5,0.5,0.66,1.36,2.08,1.58,11.44,8.86,19.41
17.3,114.2,0.71,0.22,0.81,2.05,1.55,12.82,7.79,19.44
24.52,110.6,0.74,0.67,1.39,2.41,1.52,11.62,6.86,19.25
16.12,123.9,3.5,0.23,1.72,2.07,1.57,14.75,11.46,20.05
18.25,121.4,0.79,1.0,2.8,2.14,1.64,12.53,5.84,19.71
21.96,120.1,0.79,0.11,0.5,2.26,1.57,12.05,8.99,20.08
18.09,106.7,1.4,0.97,3.22,2.01,1.51,14.21,2.09,19.78
17.9,131.4,0.96,0.22,0.52,2.06,1.56,13.63,10.34,20.27
20.57,114.1,1.0,0.72,2.52,2.08,1.5,11.3,10.74,19.71
23.18,96.7,3.3,0.2,0.5,2.32,1.7,14.35,5.47,20.36
22.24,112.1,0.93,0.03,2.83,2.33,1.82,14.08,6.46,20.32
24.56,112.7,0.51,0.2,2.52,2.05,1.51,12.98,5.47,20.05
24.16,134.4,1.79,0.68,1.49,2.2,1.63,13.36,1.61,20.45
23.09,107.5,0.65,0.97,0.63,2.13,1.52,14.21,2.18,19.63
17.3,112.7,1.94,0.68,2.51,2.01,1.51,14.27,10.92,20.37
20.13,136.6,0.54,0.12,0.5,2.25,1.56,13.71,9.16,19.24
17.28,112.8,3.27,0.2,1.44,2.02,1.52,14.35,9.28,20.16
22.3,118.2,2.25,0.77,0.75,2.08,1.56,10.79,6.16,19.39
22.2,114.2,3.57,0.22,0.5,2.06,1.53,12.39,8.41,19.37
21.39,90.5,0.5,0.84,3.46,2.08,1.58,11.43,8.86,19.6
21.57,130.6,0.67,0.2,0.5,2.33,1.7,14.3,7.13,20.86
22.59,112.3,0.8,0.55,1.49,2.19,1.65,13.86,2.4,20.34
16.25,135.1,1.03,0.06,1.7,2.3,1.7,13.59,4.12,20.81
23.96,137.9,3.27,0.47,0.5,2.47,1.69,11.63,6.87,19.52
23.02,135.1,0.64,0.88,1.45,2.64,1.9,13.59,4.12,21.24
20.29,125.0,2.25,0.91,1.95,2.22,1.7,10.42,11.96,19.5
24.25,118.6,1.05,0.95,2.41,2.04,1.5,13.04,5.17,19.95
20.15,107.4,1.16,1.0,3.25,2.01,1.51,12.52,9.15,20.67
24.89,112.7,1.06,0.07,2.5,2.12,1.6,12.59,0.23,19.21
22.31,135.1,0.68,0.91,1.47,2.59,1.85,13.46,1.51,20.37
16.12,131.1,3.5,0.23,1.72,2.2,1.7,14.76,12.12,18.86
17.28,118.7,0.5,0.68,3.53,2.13,1.63,10.74,7.97,19.4
16.01,131.3,3.26,0.24,0.5,2.19,1.69,12.34,6.77,20.94
17.24,117.3,0.51,0.75,1.71,2.1,1.6,14.84,10.92,20.47
17.3,114.2,0.96,0.27,0.51,2.03,1.51,12.34,0.6,20.17
16.28,120.4,0.98,0.07,2.56,2.03,1.53,14.34,7.33,20.19
22.19,131.3,3.47,0.75,0.5,2.02,1.5,13.22,7.59,19.86
24.27,120.8,3.16,0.63,0.52,2.0,1.5,12.38,0.37,19.36
17.3,118.6,0.96,0.22,2.51,2.06,1.56,12.73,10.31,19.83
23.18,96.8,3.3,0.22,0.51,2.32,1.7,14.17,5.46,20.08
16.81,133.5,2.67,0.07,2.44,2.1,1.6,12.93,6.24,19.77
23.97,129.9,1.79,0.23,1.72,2.01,1.51,14.75,4.28,19.26
24.64,106.7,0.5,0.97,3.09,2.04,1.51,14.21,3.99,19.63
24.52,111.1,1.98,0.56,1.39,2.03,1.52,12.33,6.15,19.37
19.92,130.0,1.59,0.72,1.53,2.44,1.94,14.25,8.83,21.0
23.68,138.3,2.19,0.54,0.5,2.2,1.7,14.75,4.42,20.11
17.3,112.8,0.52,0.29,2.51,2.02,1.52,14.37,7.98,19.36
16.3,121.2,2.54,0.07,2.64,2.04,1.54,12.83,0.37,19.72
25.0,135.1,1.01,0.05,1.7,2.44,1.7,13.55,4.45,20.03
24.89,112.7,1.06,0.22,2.2,2.28,1.76,14.26,0.54,20.49
23.91,112.7,0.99,0.1,2.57,2.22,1.64,14.71,4.07,18.71
16.28,121.2,0.98,0.21,2.56,2.04,1.54,12.09,0.35,19.84
20.07,136.6,0.54,0.12,0.5,2.24,1.55,13.68,9.16,18.98
21.01,115.0,1.53,0.07,2.56,2.1,1.6,12.69,0.37,20.04
16.98,134.0,0.59,0.28,1.28,2.17,1.67,14.65,6.0,18.73
21.57,130.6,1.15,0.03,2.35,2.38,1.7,14.3,7.11,20.94
24.89,98.3,1.03,0.07,2.48,2.12,1.6,12.59,0.83,20.82
