X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
20.95,134.7,0.75,0.5,2.01,2.02,1.5,14.66,4.02,-45.0,-1530.03,39.71,18.02
24.94,119.5,0.51,0.03,2.95,2.52,1.98,11.7,6.26,-43.0,-1774.58,19.63,21.74
24.92,135.2,0.51,0.01,3.08,2.49,1.95,11.49,6.25,-42.0,-1701.57,8.32,21.43
18.49,139.8,0.93,0.03,3.51,2.04,1.51,12.42,6.26,-48.0,-1373.89,13.42,19.25
24.95,140.0,2.51,0.01,1.06,2.5,1.97,12.7,5.35,-33.0,-2253.24,59.41,20.52
20.49,138.3,2.06,0.0,2.02,2.1,1.57,14.67,4.02,-47.0,-1744.79,76.49,18.42
24.94,139.9,0.51,0.03,1.03,2.46,1.94,11.7,6.36,-25.0,-2173.83,39.32,20.92
24.95,139.9,2.35,0.11,0.98,2.44,1.93,11.66,6.39,-31.0,-2227.78,53.7,20.9
21.26,140.0,1.88,0.01,2.14,2.03,1.52,11.27,4.17,-47.0,-1764.29,68.82,20.12
24.92,136.8,0.5,0.01,2.87,2.46,1.94,11.88,6.15,-40.0,-1825.76,18.9,21.24
24.95,140.0,2.5,0.01,1.07,2.46,1.95,12.7,5.35,-33.0,-2241.39,60.19,20.44
24.94,139.9,0.68,0.03,2.65,2.52,2.0,11.49,6.57,-38.0,-1942.63,24.42,20.96
24.94,139.8,0.62,0.03,2.65,2.5,1.98,14.59,3.47,-43.0,-1955.05,31.35,21.03
24.44,135.0,0.5,0.01,3.05,2.06,1.53,11.49,7.07,-39.0,-1685.82,21.26,19.52
24.95,139.9,1.82,0.01,1.76,2.02,1.5,14.73,3.32,-40.0,-2163.59,56.17,20.11
20.99,136.0,2.06,0.0,2.02,2.02,1.5,14.67,4.02,-46.0,-1813.17,75.14,18.15
24.77,132.5,0.85,0.01,2.65,2.04,1.53,11.49,6.57,-41.0,-1859.05,24.9,20.05
24.37,139.9,0.5,0.06,1.36,2.04,1.52,14.53,4.05,-38.0,-1970.05,44.29,18.74
19.75,119.7,0.53,0.02,3.42,2.01,1.5,14.67,4.02,-48.0,-1474.26,14.26,18.46
20.95,139.9,0.74,0.5,2.01,2.06,1.53,14.66,6.05,-36.0,-1742.6,48.42,18.32
24.95,140.0,1.96,0.03,1.36,2.02,1.51,10.39,7.4,-34.0,-2144.41,47.0,19.89
24.79,139.1,1.29,0.01,1.89,2.02,1.51,11.01,7.2,-36.0,-2059.09,42.93,19.98
24.73,139.9,1.33,0.01,2.04,2.04,1.53,14.49,3.6,-42.0,-2070.27,57.08,19.62
24.67,136.0,0.63,0.03,1.3,2.02,1.51,10.44,7.85,-29.0,-2071.43,33.9,18.88
24.96,139.2,0.58,0.03,2.06,2.06,1.51,10.46,7.58,-30.0,-1957.77,27.42,19.22
24.48,136.1,2.41,0.01,1.1,2.52,1.98,14.65,3.87,-36.0,-2122.18,64.46,19.69
24.94,120.6,0.6,0.03,2.98,2.52,1.98,14.45,3.61,-46.0,-1792.71,29.6,20.8
