X1,X2,X3,X4,X5,X6:,X7:,AVG,RIP,COG,THD
22,150,3,1,0.5,15,12,-2168.26,47.57,20.05,101.59
16,140,2,1,0.5,11,0,-909.96,25.12,20.09,33.7
23,150,1,1,0.5,12,16,-2111.76,37.46,20.42,40.1
18,100,1,3,0.5,12,10,-1160.02,20.4,20.26,39.75
25,150,2,1,0.5,13,10,-2185.19,52.51,20.38,55.13
22,100,3,1,0.5,15,4,-1547.49,66.52,19.53,100.2
16,140,2,1,1.0,11,16,-1262.24,107.77,20.17,34.25
16,100,1,2,1.0,10,4,-703.65,29.08,19.97,40.77
18,150,2,1,1.0,15,16,-1792.59,77.08,19.74,98.21
23,150,2,1,0.5,14,0,-1747.9,60.34,19.98,76.17
22,150,3,1,0.5,14,14,-2173.28,53.87,20.18,77.67
15,140,2,1,0.5,10,16,-1222.46,82.86,19.82,39.92
24,150,1,2,0.5,13,2,-1776.39,49.06,20.09,54.85
24,150,2,1,0.5,10,16,-2043.87,46.24,20.15,41.08
17,150,2,1,0.5,15,4,-1250.77,43.11,19.6,99.48
16,150,2,1,0.5,11,16,-1354.71,77.77,20.19,34.28
24,150,2,1,0.5,15,4,-1896.45,58.07,19.85,99.75
24,140,2,1,1.0,11,16,-2073.28,45.2,20.33,34.63
16,150,2,3,0.5,15,16,-1431.88,61.91,19.77,100.16
23,140,1,1,0.5,10,4,-1589.17,68.57,19.9,40.32
18,150,2,1,0.5,15,0,-1393.35,45.66,19.71,98.69
23,150,2,1,0.5,14,12,-2156.07,54.48,20.28,77.32
23,140,1,1,0.5,12,8,-1668.83,66.57,20.09,39.27
22,140,1,3,0.5,11,16,-1539.23,21.67,20.2,34.31
17,150,2,1,1.0,15,4,-1133.07,39.8,19.63,99.69
15,150,2,1,0.5,10,0,-798.11,24.73,20.0,39.86
15,150,2,1,0.5,10,2,-845.96,26.63,20.07,40.43
16,150,2,1,0.5,15,0,-1195.87,44.22,19.67,98.5
22,110,1,3,0.5,11,16,-1478.08,22.58,20.17,34.38
17,150,2,1,1.0,15,2,-1121.51,34.8,19.8,99.04
24,150,1,2,0.5,12,14,-2020.84,36.81,20.24,39.91
17,150,2,1,0.5,10,16,-1381.4,74.11,19.96,40.07
23,150,1,1,0.5,12,4,-1642.39,63.74,20.03,39.67
22,150,2,1,0.5,15,0,-1704.3,59.51,19.82,99.85
15,140,2,3,0.5,11,16,-1197.54,39.85,20.14,35.13
17,150,2,1,1.0,11,4,-1003.78,50.66,20.15,34.33
16,100,2,1,0.5,11,0,-770.66,31.51,19.98,33.75
17,140,2,1,0.5,10,4,-1074.47,41.97,19.93,40.24
22,140,1,1,0.5,10,16,-1823.76,56.4,20.11,40.69
18,150,2,1,0.5,10,8,-1280.63,65.68,19.98,40.28
16,140,2,1,0.5,10,14,-1253.62,82.1,19.92,40.02
17,150,2,1,1.0,14,0,-1073.22,34.81,20.12,76.66
18,150,1,1,0.5,14,0,-1102.1,40.52,19.91,76.3
16,150,2,1,0.5,11,2,-978.64,27.74,20.07,34.27
16,140,2,1,0.5,10,2,-907.69,29.4,19.78,39.73
25,140,2,1,0.5,10,8,-1884.17,70.55,19.98,40.46
25,150,2,1,0.5,11,14,-2183.46,43.06,20.37,35.02
23,140,2,1,0.5,10,4,-1720.57,72.2,19.87,40.3
24,150,1,2,0.5,15,4,-1842.01,45.05,19.96,100.74
25,140,1,2,0.5,10,16,-1965.41,37.97,20.13,40.75
