X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,12,14,-45.0,-1523.33,67.59
23,100,2,0.5,1,2.5,1.5,10,8,-45.0,-1368.3,80.38
24,130,2,0.5,1,2.0,1.5,11,12,-45.0,-1723.87,67.61
20,140,2,0.5,2,2.5,1.5,14,2,-43.0,-1397.78,53.75
15,130,3,0.5,1,2.0,1.5,12,2,-46.0,-1063.21,49.23
15,140,1,0.5,3,2.0,1.5,13,12,-48.0,-1057.53,95.26
16,140,4,0.5,1,2.0,1.5,14,12,-47.0,-1186.18,37.55
22,150,1,0.5,1,2.0,1.5,15,12,-46.0,-1629.23,78.48
21,140,3,0.5,1,2.5,1.5,14,14,-46.0,-1462.85,103.42
24,110,1,0.5,2,2.0,1.5,12,12,-45.0,-1641.97,47.73
17,100,2,0.5,1,2.5,1.5,11,4,-46.0,-763.16,58.89
19,140,1,0.5,1,2.5,1.5,12,14,-47.0,-1157.84,94.91
20,120,3,0.5,1,2.5,1.5,15,4,-43.0,-1299.74,63.32
17,100,3,0.5,2,2.5,1.5,10,8,-44.0,-1046.47,52.02
19,150,3,0.5,1,2.5,1.5,15,8,-45.0,-1266.68,68.06
25,120,1,0.5,2,2.0,1.5,13,10,-44.0,-1760.7,53.89
17,140,3,0.5,1,2.5,1.5,15,14,-46.0,-1088.49,69.02
19,110,3,0.5,1,2.0,1.5,13,8,-46.0,-1323.6,65.77
22,110,1,0.5,3,2.5,1.5,12,14,-46.0,-1333.91,34.99
22,100,2,0.5,2,2.0,1.5,10,4,-45.0,-1549.37,64.77
24,120,2,0.5,1,2.0,1.5,10,8,-44.0,-1687.32,66.99
16,140,1,0.5,3,2.0,1.5,10,8,-47.0,-1058.22,90.32
22,140,1,0.5,1,2.0,1.5,10,8,-45.0,-1476.17,77.51
15,100,1,0.5,4,2.5,1.5,12,14,-47.0,-778.36,122.01
21,140,2,0.5,1,2.5,1.5,14,4,-44.0,-1377.82,71.69
24,110,2,0.5,1,2.0,1.5,10,16,-45.0,-1672.17,59.31
24,140,2,0.5,1,2.0,1.5,14,8,-45.0,-1784.13,80.48
22,110,2,0.5,2,2.0,1.5,11,2,-45.0,-1595.83,66.32
21,100,1,0.5,3,2.0,1.5,12,10,-45.0,-1388.11,64.96
24,120,1,0.5,2,2.5,1.5,11,12,-46.0,-1555.29,61.95
16,130,4,0.5,1,2.0,1.5,12,2,-46.0,-1184.08,45.44
15,110,1,0.5,1,2.0,1.5,14,12,-47.0,-700.29,128.75
16,120,2,0.5,3,2.5,1.5,11,12,-45.0,-1006.78,58.6
23,140,3,0.5,1,2.5,1.5,13,6,-44.0,-1595.41,87.18
23,140,1,0.5,3,2.5,1.5,15,10,-44.0,-1478.37,53.12
18,120,1,0.5,2,2.5,1.5,11,16,-47.0,-1059.07,64.05
25,120,2,0.5,1,2.0,1.5,15,6,-45.0,-1746.49,82.26
24,100,2,0.5,1,2.5,1.5,11,10,-45.0,-1461.39,79.65
23,110,3,0.5,1,2.5,1.5,12,10,-44.0,-1480.43,84.2
22,120,3,0.5,1,2.0,1.5,14,6,-46.0,-1566.58,81.3
18,120,3,0.5,1,2.5,1.5,11,2,-43.0,-1089.65,55.77
21,100,3,0.5,1,2.0,1.5,10,14,-45.0,-1411.34,48.07
20,150,3,0.5,1,2.0,1.5,12,16,-46.0,-1519.32,73.35
16,110,3,0.5,2,2.5,1.5,15,8,-45.0,-1068.85,41.1
24,120,2,0.5,1,2.0,1.5,11,12,-45.0,-1690.56,63.8
18,140,3,0.5,1,2.0,1.5,12,6,-45.0,-1321.49,59.01
19,100,3,0.5,1,2.0,1.5,10,10,-45.0,-1258.26,56.56
23,150,3,0.5,1,2.5,1.5,10,12,-45.0,-1639.45,82.23
16,150,2,0.5,3,2.5,1.5,15,2,-43.0,-1141.64,51.49
25,110,2,0.5,1,2.5,1.5,13,10,-45.0,-1596.58,89.08
19,120,3,0.5,1,2.5,1.5,14,10,-45.0,-1185.28,74.13
15,110,1,0.5,1,2.0,1.5,11,14,-48.0,-669.68,123.66
18,150,3,0.5,1,2.0,1.5,15,12,-47.0,-1336.38,58.42
24,140,2,0.5,1,2.0,1.5,10,16,-45.0,-1801.48,72.86
17,120,1,0.5,1,2.0,1.5,14,16,-47.0,-1032.27,56.84
15,100,1,0.5,4,2.5,1.5,10,6,-47.0,-731.48,126.92
19,150,1,0.5,3,2.0,1.5,13,8,-46.0,-1399.11,63.78
24,100,2,0.5,1,2.5,1.5,12,10,-45.0,-1467.45,85.46
17,110,4,0.5,1,2.5,1.5,14,6,-45.0,-1024.3,44.66
22,150,1,0.5,3,2.0,1.5,13,10,-44.0,-1528.46,50.96
22,100,3,0.5,1,2.0,1.5,12,4,-45.0,-1513.18,77.29
25,110,2,0.5,1,2.5,1.5,14,8,-45.0,-1581.27,95.13
24,130,2,0.5,1,2.5,1.5,12,8,-45.0,-1596.11,87.78
23,110,2,0.5,1,2.0,1.5,14,12,-45.0,-1589.74,74.78
21,110,3,0.5,1,2.5,1.5,10,10,-44.0,-1307.14,71.93
24,150,2,0.5,1,2.5,1.5,10,8,-45.0,-1674.22,81.62
18,140,2,0.5,2,2.0,1.5,15,2,-44.0,-1509.87,46.47
22,140,3,0.5,1,2.0,1.5,14,8,-46.0,-1630.14,80.99
22,130,3,0.5,1,2.0,1.5,12,2,-45.0,-1605.01,79.08
19,150,2,0.5,2,2.0,1.5,12,10,-46.0,-1502.72,41.66
20,100,3,0.5,1,2.5,1.5,14,14,-45.0,-1211.66,82.7
24,130,1,0.5,1,2.0,1.5,12,14,-46.0,-1700.48,76.65
18,100,3,0.5,1,2.0,1.5,13,8,-46.0,-1233.23,57.18
21,130,3,0.5,1,2.0,1.5,15,2,-43.0,-1564.7,65.57
23,110,2,0.5,1,2.0,1.5,10,14,-45.0,-1569.27,55.11
15,120,1,0.5,2,2.5,1.5,10,14,-48.0,-727.59,112.95
17,150,3,0.5,2,2.0,1.5,14,12,-47.0,-1434.61,34.71
25,150,2,0.5,1,2.5,1.5,13,8,-45.0,-1777.71,96.16
