X1,X2,X3,X4,X5,X6,X7,X8,X9,COG
20,150,3,0.5,1,2.0,1.5,12,12,20.51
23,100,2,0.5,1,2.5,1.5,10,10,20.21
24,130,2,0.5,1,2.0,1.5,11,16,20.07
20,140,2,0.5,2,2.5,1.5,14,16,20.83
15,130,3,0.5,1,2.0,1.5,12,10,20.18
15,140,1,0.5,3,2.0,1.5,13,10,20.5
16,140,4,0.5,1,2.0,1.5,14,14,20.35
22,150,1,0.5,1,2.0,1.5,15,10,20.38
21,140,3,0.5,1,2.5,1.5,14,2,19.89
24,110,1,0.5,2,2.0,1.5,12,6,20.37
17,100,2,0.5,1,2.5,1.5,11,6,20.33
19,140,1,0.5,1,2.5,1.5,12,6,20.13
20,120,3,0.5,1,2.5,1.5,15,6,20.25
17,100,3,0.5,2,2.5,1.5,10,12,20.43
19,150,3,0.5,1,2.5,1.5,15,2,20.08
25,120,1,0.5,2,2.0,1.5,13,6,20.66
17,140,3,0.5,1,2.5,1.5,15,0,19.11
19,110,3,0.5,1,2.0,1.5,13,10,20.5
22,110,1,0.5,3,2.5,1.5,12,0,20.37
22,100,2,0.5,2,2.0,1.5,10,10,20.11
24,120,2,0.5,1,2.0,1.5,10,4,20.17
16,140,1,0.5,3,2.0,1.5,10,14,20.01
22,140,1,0.5,1,2.0,1.5,10,12,20.17
15,100,1,0.5,4,2.5,1.5,12,8,20.43
21,140,2,0.5,1,2.5,1.5,14,0,20.44
24,110,2,0.5,1,2.0,1.5,10,4,20.18
24,140,2,0.5,1,2.0,1.5,14,8,20.46
22,110,2,0.5,2,2.0,1.5,11,16,20.21
21,100,1,0.5,3,2.0,1.5,12,14,20.48
24,120,1,0.5,2,2.5,1.5,11,12,20.23
16,130,4,0.5,1,2.0,1.5,12,14,20.33
15,110,1,0.5,1,2.0,1.5,14,14,20.36
16,120,2,0.5,3,2.5,1.5,11,2,20.37
23,140,3,0.5,1,2.5,1.5,13,14,20.76
23,140,1,0.5,3,2.5,1.5,15,10,20.34
18,120,1,0.5,2,2.5,1.5,11,6,20.63
25,120,2,0.5,1,2.0,1.5,15,6,20.28
24,100,2,0.5,1,2.5,1.5,11,6,20.31
23,110,3,0.5,1,2.5,1.5,12,0,20.49
22,120,3,0.5,1,2.0,1.5,14,12,20.63
18,120,3,0.5,1,2.5,1.5,11,6,20.38
21,100,3,0.5,1,2.0,1.5,10,0,20.15
16,110,3,0.5,2,2.5,1.5,15,10,20.56
24,120,2,0.5,1,2.0,1.5,11,12,20.21
18,140,3,0.5,1,2.0,1.5,12,8,20.57
19,100,3,0.5,1,2.0,1.5,10,12,20.26
23,150,3,0.5,1,2.5,1.5,10,12,20.21
16,150,2,0.5,3,2.5,1.5,15,4,19.76
25,110,2,0.5,1,2.5,1.5,13,4,20.21
19,120,3,0.5,1,2.5,1.5,14,8,20.4
15,110,1,0.5,1,2.0,1.5,11,2,20.32
18,150,3,0.5,1,2.0,1.5,15,4,19.85
24,140,2,0.5,1,2.0,1.5,10,6,19.95
17,120,1,0.5,1,2.0,1.5,14,6,20.11
15,100,1,0.5,4,2.5,1.5,10,12,19.98
19,150,1,0.5,3,2.0,1.5,13,14,20.5
24,100,2,0.5,1,2.5,1.5,12,0,20.46
17,110,4,0.5,1,2.5,1.5,14,6,20.07
22,150,1,0.5,3,2.0,1.5,13,6,20.46
22,100,3,0.5,1,2.0,1.5,12,12,20.72
25,110,2,0.5,1,2.5,1.5,14,8,20.44
24,130,2,0.5,1,2.5,1.5,12,12,20.64
23,110,2,0.5,1,2.0,1.5,14,10,20.18
21,110,3,0.5,1,2.5,1.5,10,2,20.09
24,150,2,0.5,1,2.5,1.5,10,6,19.94
18,140,2,0.5,2,2.0,1.5,15,4,20.13
22,140,3,0.5,1,2.0,1.5,14,12,20.63
22,130,3,0.5,1,2.0,1.5,12,6,20.07
19,150,2,0.5,2,2.0,1.5,12,12,20.81
20,100,3,0.5,1,2.5,1.5,14,14,20.32
24,130,1,0.5,1,2.0,1.5,12,4,20.51
18,100,3,0.5,1,2.0,1.5,13,16,20.36
21,130,3,0.5,1,2.0,1.5,15,0,19.0
23,110,2,0.5,1,2.0,1.5,10,2,20.07
15,120,1,0.5,2,2.5,1.5,10,16,20.31
