X1,X2,X3,X4,X5,X6:,X7:,ANG,AVG,RIP,COG
23,100,1,3,1.0,10,16,-46.0,-1353.3,15.79,20.24
22,150,1,1,1.0,14,14,-47.0,-1565.75,103.66,20.35
16,100,2,3,0.5,15,0,-43.0,-1393.77,60.83,18.78
16,140,2,2,0.5,14,16,-48.0,-1235.2,22.25,20.86
20,140,1,2,0.5,15,0,-42.0,-1529.16,36.4,19.34
15,120,2,1,0.5,10,2,-47.0,-682.66,33.34,19.93
25,150,2,1,0.5,10,16,-45.0,-1928.3,72.84,20.26
17,130,1,2,0.5,10,2,-48.0,-890.31,38.14,20.21
15,150,3,1,0.5,10,14,-46.0,-1054.46,40.79,19.72
25,150,1,1,1.0,10,16,-46.0,-1864.63,88.02,20.19
25,150,2,1,0.5,10,6,-44.0,-1888.28,74.91,19.94
25,120,1,2,0.5,15,2,-43.0,-1792.09,51.44,20.13
25,140,1,2,1.0,10,16,-46.0,-1766.95,69.37,20.26
25,140,2,1,0.5,10,8,-44.0,-1848.81,70.04,20.12
23,140,1,3,1.0,10,16,-42.0,-1453.47,31.3,20.14
17,140,3,2,0.5,13,16,-47.0,-1395.28,24.89,20.48
23,150,1,1,1.0,14,12,-47.0,-1617.96,98.72,20.59
24,150,1,2,0.5,10,16,-45.0,-1809.27,44.72,20.43
17,130,2,3,0.5,15,8,-48.0,-1420.31,55.46,19.96
20,150,2,1,0.5,15,0,-42.0,-1555.87,57.2,18.88
16,130,3,2,0.5,15,0,-42.0,-1484.73,55.82,19.03
20,150,2,1,0.5,15,16,-47.0,-1517.71,79.33,20.22
16,150,2,2,0.5,15,0,-42.0,-1418.48,53.44,19.09
16,100,2,3,0.5,10,2,-48.0,-1163.09,44.12,19.84
25,100,2,1,0.5,10,14,-45.0,-1657.87,53.86,19.49
16,120,3,2,0.5,15,0,-43.0,-1434.59,58.11,19.22
22,150,1,1,1.0,15,12,-47.0,-1539.48,101.2,20.09
23,140,1,3,1.0,10,14,-42.0,-1440.9,30.41,19.62
17,150,2,2,0.5,15,14,-47.0,-1379.5,21.01,20.62
17,150,2,3,0.5,15,4,-47.0,-1432.59,62.3,19.7
25,150,1,1,0.5,10,14,-46.0,-1860.19,76.31,19.45
17,130,3,2,0.5,15,0,-42.0,-1555.84,52.67,19.39
17,140,3,2,0.5,14,16,-47.0,-1416.02,26.69,20.76
24,130,1,2,1.0,10,16,-46.0,-1649.39,64.68,20.12
15,150,3,2,0.5,15,14,-48.0,-1297.29,26.16,20.72
16,130,2,2,0.5,14,16,-48.0,-1201.37,23.41,20.83
17,150,3,2,0.5,14,16,-47.0,-1419.9,27.19,20.69
23,110,1,3,1.0,10,16,-45.0,-1405.95,18.44,20.25
18,150,1,2,0.5,15,0,-42.0,-1367.3,40.33,19.3
16,150,2,2,0.5,14,16,-48.0,-1248.26,22.72,20.84
15,140,3,2,0.5,15,0,-43.0,-1415.62,56.32,19.25
24,120,1,2,0.5,11,16,-46.0,-1694.09,38.91,20.18
23,110,1,2,0.5,10,16,-45.0,-1591.75,27.7,20.28
18,150,1,2,0.5,15,16,-47.0,-1325.15,33.47,20.3
16,130,3,2,0.5,15,4,-46.0,-1420.48,49.76,19.79
25,150,2,1,0.5,10,14,-45.0,-1901.93,75.42,19.98
