X1,X2,X3,X4,X5,X6,X7,X8,X9,Tavg,Trip,Tcog,Navg,Nrip,Ncog
15.0,10.0,1.0,0.5,1.0,1.0,1.0,10.0,0.0,598.68,32.1,18.11,0.0,0.024088226758247094,0.40318302387267896
15.0,10.0,1.0,0.5,2.5,1.5,1.25,12.5,8.0,750.04,121.22,18.07,0.1130277640873994,0.8862339169971947,0.3925729442970824
15.0,10.0,1.0,0.5,4.0,2.0,1.5,15.0,16.0,821.06,125.16,20.36,0.16606180085726663,0.9243494243977944,1.0
15.0,12.5,2.5,0.75,1.0,1.0,1.0,12.5,8.0,913.09,53.15,16.67,0.23478501127589357,0.2277256457386089,0.021220159151194126
15.0,12.5,2.5,0.75,2.5,1.5,1.25,15.0,16.0,1078.0,38.49,19.61,0.3579312095822693,0.08590500145109803,0.8010610079575596
15.0,12.5,2.5,0.75,2.9,2.0,1.5,10.0,0.0,886.63,37.95,20.07,0.21502606150215817,0.0806810486601529,0.9230769230769232
15.0,15.0,4.0,1.0,1.0,1.0,1.0,15.0,16.0,1064.63,79.48,18.24,0.34794718998760416,0.48244171423043447,0.43766578249336835
15.0,15.0,4.0,1.0,1.4,1.5,1.25,10.0,0.0,1001.87,30.57,19.17,0.3010812909777918,0.009287027183902495,0.6843501326259953
15.0,15.0,4.0,1.0,1.4,2.0,1.5,12.5,8.0,926.33,54.61,19.35,0.24467195364188965,0.2418496662474606,0.7320954907161809
20.0,10.0,2.5,1.0,1.0,1.5,1.5,10.0,8.0,1141.25,77.94,20.33,0.40516301506937297,0.4675437747895908,0.9920424403183021
20.0,10.0,2.5,1.0,2.1,2.0,1.0,12.5,16.0,1176.17,60.26,17.09,0.4312394521857313,0.29650769081938666,0.13262599469496023
20.0,10.0,2.5,1.0,2.0,1.0,1.25,15.0,0.0,1470.8,56.34,18.41,0.6512537897456577,0.25858566315178494,0.4827586206896553
20.0,12.5,3.5,0.5,1.0,1.5,1.5,12.5,16.0,1376.38,77.93,19.39,0.5807458518153443,0.4674470349230919,0.7427055702917774
20.0,12.5,3.6,0.5,1.0,2.0,1.0,15.0,0.0,1372.49,53.21,16.91,0.5778410024343983,0.22830608493760282,0.08488063660477461
20.0,12.5,3.5,0.5,1.0,1.0,1.25,10.0,8.0,1458.06,66.44,19.45,0.6417402213360814,0.3562929283157589,0.7586206896551724
20.0,15.0,1.0,0.75,1.0,1.5,1.5,15.0,0.0,1327.07,53.02,19.08,0.5439237122332243,0.22646802747412215,0.6604774535809015
20.0,15.0,1.0,0.75,2.5,2.0,1.0,10.0,8.0,1253.58,52.94,18.16,0.4890452081186433,0.2256941085421302,0.41644562334217516
20.0,15.0,1.0,0.75,3.5,1.0,1.25,12.5,16.0,1202.33,132.98,18.49,0.45077437758561467,1.0,0.5039787798408485
25.0,10.0,2.7,0.75,1.0,2.0,1.25,10.0,16.0,1593.31,75.2,19.42,0.7427378765476351,0.44103705136886917,0.7506631299734754
25.0,10.0,2.6,0.75,1.0,1.0,1.5,12.5,0.0,1635.89,78.53,19.74,0.7745344026763447,0.4732514269130309,0.835543766578249
25.0,10.0,2.6,0.75,1.0,1.5,1.0,15.0,6.0,1583.88,77.84,17.65,0.735696043729558,0.466576376124601,0.28116710875331535
25.0,12.5,1.0,1.0,1.0,2.0,1.25,12.5,0.0,1593.54,75.18,18.75,0.7429096285675882,0.44084357163587123,0.5729442970822283
25.0,12.5,1.0,1.0,2.5,1.0,1.5,15.0,6.0,1652.75,55.22,20.1,0.7871245724868201,0.24775079810389863,0.9310344827586212
25.0,12.5,1.0,1.0,2.6,1.5,1.0,10.0,16.0,1546.49,29.61,17.94,0.7077751392684859,0.0,0.358090185676393
25.0,15.0,2.5,0.5,1.0,2.0,1.25,15.0,6.0,1784.72,78.91,19.13,0.8856728945442598,0.47692754183999225,0.6737400530503977
25.0,15.0,2.5,0.5,1.1,1.0,1.5,10.0,16.0,1937.82,68.88,20.27,1.0,0.37989745574151107,0.9761273209549072
25.0,15.0,2.5,0.5,1.1,1.5,1.0,12.5,0.0,1815.25,72.44,16.59,0.9084711083232524,0.4143368482151495,0.0
