X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
17,140,1,1,0.5,15,18,16,16,-25.0,-1825.43,57.67,13.55
21,150,1,3,0.5,12,17,10,0,-40.0,-1500.93,12.0,19.67
15,140,1,3,0.5,15,18,12,12,-48.0,-1231.62,25.24,13.74
25,150,2,1,0.5,13,13,10,10,-32.0,-2185.19,52.51,20.38
25,140,2,1,0.5,11,11,0,8,-43.0,-1813.07,85.41,19.37
25,150,1,2,0.5,12,16,12,4,-38.0,-1874.65,25.75,20.9
19,150,2,1,1.0,15,18,0,0,-28.0,-1376.72,52.11,13.47
19,150,1,3,0.5,15,17,16,14,-42.0,-1701.25,30.35,16.05
21,150,1,2,0.5,15,18,14,8,-39.0,-1858.83,30.33,16.86
25,150,2,1,0.5,10,10,6,6,-44.0,-1909.47,77.2,19.81
25,150,2,1,0.5,12,12,0,2,-45.0,-1854.83,80.25,19.63
22,150,2,2,0.5,15,17,10,8,-36.0,-2029.31,40.01,15.68
25,140,2,1,0.5,11,11,2,4,-44.0,-1848.92,82.6,19.48
20,150,1,1,0.5,15,15,16,16,-25.0,-2063.17,49.9,18.63
25,150,2,1,0.5,10,10,8,12,-41.0,-1958.8,67.77,20.42
21,140,1,2,0.5,15,18,4,8,-39.0,-1746.84,44.06,14.95
22,150,2,2,0.5,15,15,12,12,-34.0,-2128.91,54.13,19.01
19,150,1,3,0.5,15,18,12,8,-47.0,-1519.37,32.23,15.35
24,150,1,1,1.0,10,11,16,16,-27.0,-2104.38,40.86,19.9
21,150,1,3,0.5,15,18,4,2,-38.0,-1657.44,28.14,14.49
24,130,1,2,0.5,15,17,8,4,-39.0,-1879.14,35.42,17.49
21,140,2,2,0.5,15,18,12,8,-37.0,-1924.36,38.04,15.21
19,150,2,2,0.5,15,15,8,8,-47.0,-1570.18,65.13,19.13
19,150,1,3,0.5,14,18,14,6,-46.0,-1468.66,22.44,18.72
15,140,2,3,0.5,15,18,16,12,-48.0,-1421.26,39.08,15.04
25,150,2,1,0.5,12,13,0,0,-44.0,-1838.8,72.99,19.62
25,150,1,1,0.5,14,14,8,8,-34.0,-2065.03,50.71,20.34
24,150,2,1,0.5,10,11,16,16,-29.0,-2106.9,44.25,19.89
24,150,2,1,0.5,15,15,8,8,-33.0,-2147.14,47.67,18.99
21,150,1,3,0.5,14,18,10,4,-41.0,-1634.91,27.21,19.34
22,150,1,3,0.5,15,18,10,4,-35.0,-1728.59,27.93,16.93
25,150,2,1,0.5,10,10,16,16,-30.0,-2165.7,35.8,20.17
25,150,2,1,0.5,11,11,14,14,-31.0,-2183.46,43.06,20.37
21,150,1,3,0.5,15,18,14,8,-40.0,-1774.17,28.65,16.99
16,130,2,1,0.5,15,18,16,16,-31.0,-1598.74,55.48,13.58
22,150,2,2,0.5,15,17,12,8,-36.0,-2046.89,36.67,17.38
25,150,1,2,0.5,13,14,10,8,-38.0,-2000.43,44.55,20.55
25,150,2,1,0.5,14,14,8,8,-33.0,-2159.67,53.35,20.25
17,150,2,1,1.0,15,18,16,16,-26.0,-1860.66,59.28,13.61
20,130,1,3,0.5,15,17,16,12,-45.0,-1631.59,38.07,17.67
21,150,1,3,0.5,10,10,16,16,-43.0,-1402.72,16.5,20.09
15,150,2,3,0.5,15,18,16,16,-47.0,-1446.78,48.14,13.68
19,140,1,2,0.5,15,18,6,0,-35.0,-1529.26,24.23,16.97
25,140,1,1,0.5,10,10,16,16,-30.0,-2082.14,39.86,20.16
25,150,2,1,0.5,11,11,8,8,-43.0,-1938.53,68.01,19.9
16,130,1,3,0.5,15,18,16,14,-48.0,-1308.96,21.96,14.13
24,150,1,1,0.5,10,11,16,16,-28.0,-2098.65,41.13,19.92
18,150,1,3,0.5,14,18,16,12,-47.0,-1476.33,26.78,18.42
16,140,2,3,0.5,15,16,16,16,-48.0,-1462.97,60.21,18.32
20,150,1,3,0.5,13,17,12,4,-45.0,-1482.75,22.71,19.46
17,150,1,2,0.5,15,18,12,8,-46.0,-1336.78,19.46,15.1
25,150,1,2,0.5,12,13,2,0,-44.0,-1820.01,52.88,20.21
19,150,1,3,0.5,15,18,16,10,-45.0,-1588.18,29.1,17.29
19,150,2,1,0.5,15,18,0,0,-32.0,-1531.42,48.5,13.49
18,150,1,3,0.5,15,18,16,12,-46.0,-1533.72,25.01,15.49
21,150,2,2,0.5,15,16,6,4,-44.0,-1740.07,58.66,17.92
16,120,1,3,0.5,15,18,16,16,-46.0,-1309.31,29.73,13.96
22,150,2,2,0.5,15,16,10,8,-37.0,-1989.37,53.67,18.03
18,150,1,2,0.5,12,17,16,8,-47.0,-1274.32,21.39,20.06
25,140,2,1,0.5,10,10,12,12,-41.0,-1939.66,62.39,19.96
25,150,2,1,0.5,13,13,0,0,-44.0,-1836.17,71.69,19.67
20,140,1,3,0.5,13,17,10,2,-42.0,-1487.81,14.45,20.39
21,140,1,2,0.5,15,17,8,4,-43.0,-1643.56,33.59,17.54
20,150,1,3,0.5,15,18,0,0,-36.0,-1608.48,31.06,13.88
21,150,1,3,0.5,12,17,12,2,-42.0,-1507.62,19.21,20.64
20,150,2,2,0.5,15,15,8,8,-46.0,-1651.85,69.11,19.4
25,150,2,1,1.0,10,10,16,16,-29.0,-2158.1,38.06,20.15
25,150,2,1,0.5,13,13,4,4,-44.0,-1889.21,68.92,19.72
15,140,1,3,0.5,15,18,16,16,-47.0,-1262.91,30.97,13.78
16,150,2,1,1.0,15,18,16,16,-26.0,-1723.79,67.86,13.6
21,150,1,3,0.5,10,10,14,14,-44.0,-1399.05,15.67,20.0
25,150,1,2,0.5,12,13,0,0,-44.0,-1798.99,54.93,19.55
