X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,AVG,RIP,COG
20,150,3,0.5,1,2.0,1.5,10,10,16,16,1613.95,69.85,20.17
23,100,2,0.5,1,2.5,1.5,10,11,0,14,1421.74,99.87,19.13
24,130,2,0.5,1,2.0,1.5,11,14,14,8,1838.36,57.1,20.66
20,140,2,0.5,2,2.5,1.5,14,18,12,4,1542.11,49.85,20.09
15,130,3,0.5,1,2.0,1.5,12,15,14,8,1062.74,38.79,19.61
15,140,1,0.5,3,2.0,1.5,13,15,4,0,1153.3,92.68,19.56
16,140,4,0.5,1,2.0,1.5,14,17,2,0,1274.01,46.7,19.02
22,150,1,0.5,1,2.0,1.5,15,15,6,6,1712.26,53.68,20.1
21,140,3,0.5,1,2.5,1.5,11,11,10,10,1524.88,83.33,20.17
24,110,1,0.5,2,2.0,1.5,12,13,2,0,1626.11,48.86,20.24
17,100,2,0.5,1,2.5,1.5,11,13,10,6,886.88,50.61,20.55
19,140,1,0.5,1,2.5,1.5,12,13,12,12,1508.66,89.04,19.59
20,120,3,0.5,1,2.5,1.5,13,13,10,10,1436.02,74.45,20.27
17,100,3,0.5,2,2.5,1.5,10,16,4,2,1013.08,56.68,20.98
19,150,3,0.5,1,2.5,1.5,11,11,2,2,1273.64,68.19,20.33
25,120,1,0.5,2,2.0,1.5,10,10,16,16,1876.91,40.1,20.11
17,140,3,0.5,1,2.5,1.5,10,10,8,8,1099.41,59.2,19.9
19,110,3,0.5,1,2.0,1.5,13,15,14,14,1557.68,68.79,20.68
22,110,1,0.5,3,2.5,1.5,10,10,0,0,1302.14,45.38,20.32
22,100,2,0.5,2,2.0,1.5,10,15,2,2,1500.54,87.99,19.36
24,120,2,0.5,1,2.0,1.5,10,12,2,14,1750.08,86.03,18.86
16,140,1,0.5,3,2.0,1.5,10,17,8,2,1110.04,60.65,21.05
22,140,1,0.5,1,2.0,1.5,10,16,12,10,1729.48,56.04,20.96
15,100,1,0.5,4,2.5,1.5,12,14,10,8,780.78,84.14,20.48
21,140,2,0.5,1,2.5,1.5,10,10,10,10,1454.36,81.09,19.9
24,110,2,0.5,1,2.0,1.5,10,12,8,12,1708.91,79.8,20.59
24,140,2,0.5,1,2.0,1.5,14,14,2,4,1778.21,70.45,20.01
22,110,2,0.5,2,2.0,1.5,11,13,2,10,1526.95,100.3,20.39
21,100,1,0.5,3,2.0,1.5,12,17,10,6,1384.86,41.41,19.65
24,120,1,0.5,2,2.5,1.5,11,16,2,6,1529.05,62.49,20.91
16,130,4,0.5,1,2.0,1.5,12,17,4,10,1135.39,69.46,20.61
15,110,1,0.5,1,2.0,1.5,14,17,8,2,881.6,106.84,20.08
16,120,2,0.5,3,2.5,1.5,11,11,4,14,954.58,68.12,19.36
23,140,3,0.5,1,2.5,1.5,11,11,14,14,1900.65,67.32,20.47
23,140,1,0.5,3,2.5,1.5,15,17,4,0,1507.87,25.26,17.67
18,120,1,0.5,2,2.5,1.5,11,13,4,16,1279.7,124.79,19.2
25,120,2,0.5,1,2.0,1.5,12,12,12,12,1986.35,61.25,20.36
24,100,2,0.5,1,2.5,1.5,11,13,0,2,1410.86,84.55,20.22
23,110,3,0.5,1,2.5,1.5,10,10,4,4,1502.0,77.9,19.9
22,120,3,0.5,1,2.0,1.5,14,16,2,0,1587.81,56.59,19.75
18,120,3,0.5,1,2.5,1.5,11,13,10,8,1173.51,67.14,20.51
21,100,3,0.5,1,2.0,1.5,10,10,0,8,1377.78,92.78,19.76
20,150,3,0.5,1,2.0,1.5,12,16,10,12,1844.54,67.8,19.48
16,110,3,0.5,2,2.5,1.5,15,15,2,2,1133.13,49.12,20.0
24,120,2,0.5,1,2.0,1.5,11,16,10,0,1548.04,40.51,20.42
18,140,3,0.5,1,2.0,1.5,12,14,0,8,1265.71,102.29,20.35
19,100,3,0.5,1,2.0,1.5,10,16,0,6,1149.74,108.18,20.93
23,150,3,0.5,1,2.5,1.5,10,16,0,0,1386.81,78.77,20.99
16,150,2,0.5,3,2.5,1.5,12,12,10,10,1100.98,28.01,20.08
25,110,2,0.5,1,2.5,1.5,12,12,2,2,1593.0,80.42,20.2
19,120,3,0.5,1,2.5,1.5,14,14,2,2,1224.75,59.84,19.99
15,110,1,0.5,1,2.0,1.5,11,11,8,12,970.35,132.26,19.81
18,150,3,0.5,1,2.0,1.5,12,12,0,0,1358.31,55.65,20.17
24,140,2,0.5,1,2.0,1.5,10,13,10,4,1712.62,59.26,19.56
17,120,1,0.5,1,2.0,1.5,13,13,16,16,1479.38,87.98,19.99
15,100,1,0.5,4,2.5,1.5,10,16,6,6,645.21,98.54,19.58
19,150,1,0.5,3,2.0,1.5,13,17,0,14,1435.14,78.3,19.93
24,100,2,0.5,1,2.5,1.5,10,10,4,4,1480.58,77.57,20.15
17,110,4,0.5,1,2.5,1.5,13,13,10,10,1116.82,59.2,20.24
22,150,1,0.5,3,2.0,1.5,13,13,12,12,1554.71,33.79,19.96
22,100,3,0.5,1,2.0,1.5,12,16,8,0,1418.77,48.34,20.27
25,110,2,0.5,1,2.5,1.5,14,14,2,8,1733.1,72.29,20.22
24,130,2,0.5,1,2.5,1.5,12,16,6,4,1638.81,57.32,19.4
