X1,X2,X3,X4,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.85,10.85,15.85,13.85,1443.99,19.08,20.94,0.35302457466918896,0.2106918238993705,0.7571428571428596
9.85,10.85,15.85,13.925,1456.2,19.01,20.59,0.6415406427221203,0.18867924528301933,0.257142857142857
9.85,10.85,15.85,14.0,1458.51,18.86,20.59,0.6961247637051059,0.14150943396226395,0.257142857142857
9.85,10.85,15.85,14.075,1455.53,18.98,20.62,0.6257088846880922,0.17924528301886802,0.30000000000000154
9.85,10.85,15.85,14.15,1456.09,18.87,20.79,0.6389413988657846,0.14465408805031474,0.542857142857142
9.85,10.85,15.924999999999999,13.85,1444.5,18.91,20.75,0.3650756143667313,0.15723270440251574,0.485714285714286
9.85,10.85,15.924999999999999,13.925,1448.39,19.12,20.81,0.4569943289224994,0.2232704402515726,0.57142857142857
9.85,10.85,15.924999999999999,14.0,1457.37,18.87,20.72,0.6691871455576555,0.14465408805031474,0.4428571428571415
9.85,10.85,15.924999999999999,14.075,1455.93,18.88,20.6,0.6351606805293041,0.14779874213836444,0.2714285714285735
9.85,10.85,15.924999999999999,14.15,1455.04,18.84,20.63,0.6141304347826099,0.13522012578616344,0.314285714285713
9.85,10.85,16.0,13.85,1455.12,18.84,20.53,0.6160207939508501,0.13522012578616344,0.171428571428573
9.85,10.85,16.0,13.925,1444.72,18.85,20.76,0.37027410207939737,0.13836477987421425,0.5000000000000026
9.85,10.85,16.0,14.0,1451.22,19.58,20.81,0.5238657844990573,0.36792452830188627,0.57142857142857
9.85,10.85,16.0,14.075,1429.72,19.42,20.75,0.01583175803402821,0.3176100628930823,0.485714285714286
9.85,10.85,16.0,14.15,1455.71,18.6,20.7,0.629962192816638,0.059748427672956385,0.4142857142857135
9.85,10.85,16.075,13.85,1443.3,18.78,20.71,0.3367202268431007,0.11635220125786196,0.42857142857143005
9.85,10.85,16.075,13.925,1443.27,19.15,20.75,0.3360113421550106,0.2327044025157228,0.485714285714286
9.85,10.85,16.075,14.0,1444.67,18.8,20.6,0.3690926275992472,0.12264150943396246,0.2714285714285735
9.85,10.85,16.075,14.075,1445.0,18.97,20.69,0.3768903591682436,0.1761006289308172,0.400000000000002
9.85,10.85,16.075,14.15,1455.67,18.69,20.52,0.6290170132325179,0.08805031446540917,0.1571428571428565
9.85,10.85,16.15,13.85,1444.04,18.66,20.69,0.3542060491493391,0.07861635220125787,0.400000000000002
9.85,10.85,16.15,13.925,1444.02,18.64,20.62,0.35373345935727907,0.07232704402515737,0.30000000000000154
9.85,10.85,16.15,14.0,1445.3,18.93,20.66,0.3839792060491499,0.16352201257861623,0.3571428571428575
9.85,10.85,16.15,14.075,1443.92,18.84,20.63,0.35137051039697875,0.13522012578616344,0.314285714285713
9.85,10.85,16.15,14.15,1448.64,18.56,20.52,0.46290170132325553,0.047169811320754276,0.1571428571428565
9.85,10.925,15.85,13.85,1430.06,19.94,20.89,0.023865784499054642,0.4811320754716985,0.685714285714287
9.85,10.925,15.85,13.925,1456.24,19.17,20.76,0.6424858223062404,0.2389937106918244,0.5000000000000026
9.85,10.925,15.85,14.0,1459.39,19.1,20.84,0.7169187145557702,0.21698113207547212,0.6142857142857145
9.85,10.925,15.85,14.075,1458.58,19.2,20.95,0.697778827977316,0.2484276729559746,0.771428571428571
9.85,10.925,15.85,14.15,1447.35,19.68,20.67,0.4324196597353493,0.39937106918238985,0.37142857142857405
9.85,10.925,15.924999999999999,13.85,1439.79,19.14,20.73,0.2537807183364845,0.2295597484276731,0.457142857142858
9.85,10.925,15.924999999999999,13.925,1448.63,19.14,20.66,0.46266540642722553,0.2295597484276731,0.3571428571428575
9.85,10.925,15.924999999999999,14.0,1449.97,19.16,20.68,0.49432892249527655,0.23584905660377362,0.3857142857142855
9.85,10.925,15.924999999999999,14.075,1459.0,19.12,20.62,0.7077032136105882,0.2232704402515726,0.30000000000000154
9.85,10.925,15.924999999999999,14.15,1447.53,19.49,20.63,0.4366729678638952,0.33962264150943344,0.314285714285713
9.85,10.925,16.0,13.85,1456.62,18.41,20.67,0.651465028355387,0.0,0.37142857142857405
9.85,10.925,16.0,13.925,1448.48,19.28,20.63,0.4591209829867697,0.2735849056603777,0.314285714285713
9.85,10.925,16.0,14.0,1449.32,19.02,20.62,0.4789697542533084,0.19182389937106903,0.30000000000000154
9.85,10.925,16.0,14.075,1447.27,19.13,20.59,0.43052930056710903,0.2264150943396223,0.257142857142857
9.85,10.925,16.0,14.15,1447.51,19.37,20.57,0.43620037807183515,0.3018867924528305,0.228571428571429
9.85,10.925,16.075,13.85,1437.69,18.77,20.69,0.204158790170135,0.11320754716981116,0.400000000000002
9.85,10.925,16.075,13.925,1447.73,19.16,20.72,0.4413988657845012,0.23584905660377362,0.4428571428571415
9.85,10.925,16.075,14.0,1448.64,18.92,20.57,0.46290170132325553,0.16037735849056656,0.228571428571429
9.85,10.925,16.075,14.075,1447.23,19.14,20.7,0.4295841209829889,0.2295597484276731,0.4142857142857135
9.85,10.925,16.075,14.15,1443.48,19.19,20.5,0.3409735349716466,0.24528301886792492,0.1285714285714285
9.85,10.925,16.15,13.85,1439.29,18.7,20.73,0.24196597353497223,0.09119496855345886,0.457142857142858
9.85,10.925,16.15,13.925,1447.23,18.85,20.57,0.4295841209829889,0.13836477987421425,0.228571428571429
