X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
23,100,2,0.5,1,2.5,1.5,10,11,0,2,-43.0,-1353.13,84.36
24,130,2,0.5,1,2.0,1.5,11,14,14,8,-38.0,-1838.36,57.1
20,140,2,0.5,2,2.5,1.5,14,18,12,4,-34.0,-1542.11,49.85
15,130,3,0.5,1,2.0,1.5,12,15,14,8,-48.0,-1062.74,38.79
15,140,1,0.5,3,2.0,1.5,13,15,4,0,-44.0,-1153.3,92.68
16,140,4,0.5,1,2.0,1.5,14,17,2,0,-34.0,-1274.01,46.7
24,110,1,0.5,2,2.0,1.5,12,13,2,0,-44.0,-1626.11,48.86
17,100,2,0.5,1,2.5,1.5,11,13,10,6,-41.0,-886.88,50.61
19,140,1,0.5,1,2.5,1.5,12,13,12,12,-28.0,-1508.66,89.04
17,100,3,0.5,2,2.5,1.5,10,16,4,2,-40.0,-1013.08,56.68
19,110,3,0.5,1,2.0,1.5,13,15,14,14,-39.0,-1557.68,68.79
22,100,2,0.5,2,2.0,1.5,10,15,2,2,-44.0,-1500.54,87.99
24,120,2,0.5,1,2.0,1.5,10,12,2,6,-44.0,-1651.88,89.56
16,140,1,0.5,3,2.0,1.5,10,17,8,2,-44.0,-1110.04,60.65
22,140,1,0.5,1,2.0,1.5,10,16,12,10,-33.0,-1729.48,56.04
15,100,1,0.5,4,2.5,1.5,12,14,10,8,-48.0,-780.78,84.14
24,110,2,0.5,1,2.0,1.5,10,12,8,12,-41.0,-1708.91,79.8
22,110,2,0.5,2,2.0,1.5,11,13,2,6,-46.0,-1572.8,89.13
21,100,1,0.5,3,2.0,1.5,12,17,10,6,-47.0,-1384.86,41.41
24,120,1,0.5,2,2.5,1.5,11,16,2,6,-39.0,-1529.05,62.49
16,130,4,0.5,1,2.0,1.5,12,17,4,10,-44.0,-1135.39,69.46
15,110,1,0.5,1,2.0,1.5,14,17,8,2,-28.0,-881.6,106.84
23,140,1,0.5,3,2.5,1.5,15,17,4,0,-35.0,-1507.87,25.26
18,120,1,0.5,2,2.5,1.5,11,13,4,8,-42.0,-1026.65,68.54
24,100,2,0.5,1,2.5,1.5,11,13,0,2,-43.0,-1410.86,84.55
22,120,3,0.5,1,2.0,1.5,14,16,2,0,-39.0,-1587.81,56.59
18,120,3,0.5,1,2.5,1.5,11,13,10,8,-43.0,-1173.51,67.14
20,150,3,0.5,1,2.0,1.5,12,16,10,12,-32.0,-1844.54,67.8
