X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
19.17,136.0,1.0,0.01,1.91,2.08,1.5,10.46,11.49,5.53,6.35,-36.0,-1517.37,54.26
20.39,121.0,3.06,0.01,1.43,2.44,1.5,10.14,15.36,6.68,7.25,-33.0,-1704.61,74.2
16.4,109.9,3.4,0.01,1.74,2.16,1.5,13.46,17.01,4.36,1.36,-42.0,-1403.84,39.09
19.48,145.4,1.88,0.01,1.86,2.06,1.5,10.1,15.43,3.39,4.25,-48.0,-1489.49,97.97
16.39,140.4,2.19,0.01,1.5,2.46,1.5,11.74,16.01,11.62,10.6,-25.0,-1670.89,88.22
21.24,137.5,2.05,0.01,1.81,2.45,1.5,12.14,17.72,9.04,4.04,-36.0,-1762.65,39.44
16.15,147.5,2.35,0.01,2.74,2.2,1.5,11.19,17.23,6.05,0.05,-38.0,-1418.08,30.35
21.17,116.3,2.58,0.01,1.71,2.18,1.5,14.54,14.99,0.25,0.25,-43.0,-1707.37,66.63
24.23,135.6,1.37,0.01,1.06,2.02,1.5,10.14,11.97,7.8,6.8,-32.0,-2031.74,52.97
15.45,105.4,1.68,0.01,3.14,2.28,1.5,10.06,10.58,9.09,9.09,-39.0,-1172.32,54.38
17.03,112.6,3.23,0.01,1.59,2.29,1.5,14.85,16.77,3.84,4.84,-48.0,-1316.48,53.62
21.2,141.4,1.47,0.01,1.06,2.04,1.5,12.43,14.85,7.08,5.08,-38.0,-1786.71,65.38
24.25,113.2,1.2,0.01,2.59,2.38,1.5,14.54,17.46,0.22,1.3,-39.0,-1721.55,48.45
20.5,146.3,3.47,0.01,1.0,2.48,1.5,10.87,11.01,2.16,2.16,-44.0,-1486.51,79.45
24.4,129.1,2.77,0.01,1.0,2.46,1.5,12.3,14.37,6.23,4.23,-33.0,-1960.7,53.21
16.84,139.4,2.84,0.01,1.16,2.21,1.5,13.4,17.35,0.01,3.01,-43.0,-1298.91,70.03
23.58,137.8,2.86,0.01,1.0,2.16,1.5,13.35,13.61,5.81,5.81,-32.0,-2136.13,62.54
22.98,144.0,2.96,0.01,1.0,2.13,1.5,11.26,16.84,8.18,3.18,-32.0,-1873.91,37.43
20.72,136.7,2.56,0.01,1.84,2.28,1.5,12.33,12.74,1.09,1.09,-46.0,-1626.46,71.65
15.8,149.1,1.54,0.01,3.44,2.44,1.5,13.44,14.56,2.58,3.58,-48.0,-1177.7,59.75
20.0,136.4,1.62,0.01,1.74,2.42,1.5,12.08,14.93,3.63,1.63,-45.0,-1411.09,54.2
20.19,139.3,1.07,0.01,1.97,2.44,1.5,14.22,14.31,8.5,8.5,-30.0,-1930.73,58.55
23.26,142.7,1.3,0.01,2.66,2.35,1.5,13.05,16.4,0.55,3.34,-39.0,-1750.78,70.2
18.0,107.2,3.7,0.01,1.21,2.48,1.5,13.18,17.95,8.74,7.05,-36.0,-1558.52,57.71
16.35,117.8,1.08,0.01,1.48,2.38,1.5,10.15,12.93,13.08,11.08,-25.0,-1502.89,83.71
21.91,109.4,2.33,0.01,1.9,2.5,1.5,11.02,11.98,4.19,4.19,-44.0,-1566.84,78.91
24.48,111.1,1.8,0.01,1.24,2.22,1.5,10.55,15.07,7.45,3.45,-43.0,-1735.41,44.53
15.67,122.9,1.34,0.01,1.08,2.38,1.5,11.97,15.98,7.24,7.2,-25.0,-1353.64,99.5
19.78,123.7,3.41,0.01,1.18,2.45,1.5,10.19,16.19,2.01,7.03,-32.0,-1610.1,87.51
15.1,126.9,1.01,0.01,3.85,2.46,1.5,13.98,17.32,2.33,2.52,-48.0,-1027.33,87.43
16.88,131.1,3.72,0.01,1.37,2.36,1.5,13.66,17.27,6.41,4.0,-43.0,-1324.69,37.61
20.34,115.7,3.45,0.01,1.0,2.22,1.5,12.56,17.51,0.5,4.5,-36.0,-1575.79,74.29
23.91,101.4,2.57,0.01,1.29,2.43,1.5,12.79,15.52,5.57,3.57,-41.0,-1699.82,54.29
24.32,146.8,2.72,0.01,1.0,2.12,1.5,10.44,11.82,3.8,2.8,-44.0,-1875.43,71.03
21.07,120.7,3.35,0.01,1.0,2.35,1.5,11.2,14.59,3.91,0.91,-43.0,-1404.51,59.55
17.29,133.2,2.49,0.01,2.48,2.08,1.5,12.85,17.97,12.74,7.74,-43.0,-1685.47,28.19
24.76,145.1,2.62,0.01,1.0,2.04,1.5,10.33,13.61,6.01,4.63,-33.0,-2085.18,57.58
16.68,148.6,3.3,0.01,1.81,2.32,1.5,13.34,13.82,0.21,0.21,-45.0,-1395.11,48.53
19.92,136.5,2.41,0.01,2.09,2.07,1.5,10.05,16.07,5.12,7.01,-40.0,-1713.68,90.44
17.2,116.9,2.57,0.01,2.44,2.23,1.5,10.62,12.5,8.07,9.07,-45.0,-1390.52,81.95
22.7,106.5,1.07,0.01,2.56,2.41,1.5,10.06,15.38,9.92,4.92,-44.0,-1520.31,25.55
24.15,132.2,1.02,0.01,2.45,2.43,1.5,14.15,15.19,4.66,3.66,-41.0,-1884.9,41.33
17.74,128.0,3.02,0.01,1.93,2.43,1.5,10.98,15.98,4.63,9.28,-33.0,-1607.12,96.05
19.28,140.4,2.06,0.01,1.64,2.38,1.5,11.54,15.87,7.54,3.54,-46.0,-1398.99,52.14
17.14,109.9,1.43,0.01,2.13,2.02,1.5,10.55,15.4,5.29,1.29,-48.0,-1287.96,37.18
17.32,110.4,3.75,0.01,1.24,2.28,1.5,11.52,16.68,6.96,9.0,-34.0,-1575.6,80.39
22.06,123.9,1.38,0.01,2.74,2.08,1.5,11.01,13.45,4.35,2.35,-48.0,-1655.2,51.89
22.29,109.4,2.93,0.01,1.15,2.1,1.5,13.0,15.99,6.72,4.72,-39.0,-1810.6,53.63
17.95,136.6,3.84,0.01,1.07,2.39,1.5,10.28,16.68,3.08,6.32,-34.0,-1449.66,88.48
20.08,113.1,2.07,0.01,1.32,2.4,1.5,10.53,17.89,2.83,5.04,-39.0,-1439.18,80.97
15.45,139.4,1.57,0.01,2.58,2.37,1.5,10.75,14.41,3.47,6.47,-47.0,-1060.07,81.55
22.23,108.8,3.16,0.01,1.0,2.43,1.5,12.79,13.23,7.55,7.55,-32.0,-1894.64,61.43
24.87,113.9,1.01,0.01,2.67,2.43,1.5,13.64,14.13,3.99,3.99,-44.0,-1755.14,40.25
21.14,116.2,2.37,0.01,1.97,2.42,1.5,12.13,12.77,3.54,3.54,-45.0,-1563.97,78.59
19.33,145.5,2.82,0.01,1.82,2.25,1.5,12.49,16.74,1.08,5.08,-42.0,-1565.93,90.85
24.43,125.9,1.58,0.01,2.11,2.12,1.5,13.5,14.32,4.25,4.25,-43.0,-1972.93,63.92
19.4,112.8,3.41,0.01,1.19,2.06,1.5,14.64,17.17,7.86,6.43,-38.0,-1788.33,40.38
15.14,135.8,2.69,0.01,2.68,2.26,1.5,13.96,15.57,7.5,6.5,-48.0,-1387.28,69.04
21.48,109.0,1.97,0.01,1.52,2.2,1.5,11.21,13.26,7.13,5.13,-45.0,-1586.52,68.68
24.82,131.8,2.13,0.01,1.54,2.31,1.5,11.26,16.34,6.83,1.83,-36.0,-1777.83,29.99
18.3,134.9,1.81,0.01,3.0,2.15,1.5,12.72,13.9,11.79,10.79,-33.0,-1745.84,69.47
16.84,129.3,3.69,0.01,1.41,2.46,1.5,11.39,14.87,6.65,3.65,-46.0,-1169.69,43.19
15.14,120.8,3.82,0.01,1.58,2.39,1.5,10.87,12.74,2.31,3.31,-48.0,-1099.21,61.17
21.99,134.4,1.76,0.01,2.38,2.12,1.5,12.12,12.98,0.92,0.92,-47.0,-1733.92,66.92
21.32,135.4,2.84,0.01,1.41,2.08,1.5,10.75,14.11,5.94,2.94,-45.0,-1634.57,67.98
