X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20.67,94.2,2.03,0.78,2.2,2.08,1.58,10.41,12.93,9.02,6.5,-45.0,-1430.7,58.49
23.82,122.2,0.97,0.87,2.61,2.67,1.77,11.1,17.35,8.08,1.84,-33.0,-1483.28,49.57
17.64,133.1,1.97,0.54,2.63,2.47,1.81,10.88,14.73,7.83,8.77,-37.0,-1548.33,88.03
24.54,95.8,1.22,0.43,2.06,2.52,1.76,10.21,11.32,7.2,7.15,-38.0,-1702.28,47.46
24.17,116.2,2.25,0.51,1.27,2.21,1.71,12.82,17.01,6.02,1.82,-36.0,-1730.67,39.72
22.7,86.5,1.3,0.63,1.95,2.15,1.65,11.93,16.84,6.09,2.85,-45.0,-1438.05,49.46
23.33,85.9,3.13,0.99,0.5,2.2,1.7,14.38,17.61,5.29,2.06,-28.0,-1517.41,43.37
17.51,130.5,0.84,0.29,3.88,2.4,1.75,11.89,12.7,11.9,11.09,-30.0,-1405.99,88.27
24.3,127.9,3.22,0.95,0.5,2.72,1.97,10.67,11.96,8.03,6.74,-25.0,-2011.27,53.03
23.13,102.6,2.62,0.04,1.04,2.56,1.69,11.59,14.58,5.96,5.3,-38.0,-1736.3,67.24
18.87,126.9,2.53,0.91,2.19,2.53,1.79,10.14,15.91,7.35,1.58,-42.0,-1182.55,29.36
20.46,119.5,1.79,0.68,2.47,2.38,1.77,12.38,12.7,1.3,0.98,-45.0,-1430.01,52.34
21.54,130.3,0.51,0.92,3.71,2.1,1.53,11.59,14.68,8.39,6.78,-33.0,-1312.79,106.96
24.13,105.6,2.32,0.58,1.15,2.77,2.0,12.23,16.1,6.64,2.77,-38.0,-1633.43,43.26
20.79,112.3,1.5,0.54,2.57,2.48,1.89,10.45,17.31,7.19,4.9,-45.0,-1421.06,56.52
23.75,84.3,1.47,0.15,2.06,2.22,1.68,11.67,15.0,7.13,4.25,-47.0,-1634.94,54.48
17.43,139.1,2.2,0.92,2.54,2.46,1.73,11.7,17.74,13.06,7.83,-34.0,-1621.04,54.23
22.46,106.3,1.26,0.55,2.35,2.46,1.53,10.57,13.54,2.23,5.21,-43.0,-1396.52,75.76
23.56,76.0,2.11,0.61,1.44,2.01,1.51,12.22,12.91,4.1,4.78,-45.0,-1552.69,71.24
24.88,110.5,1.98,0.43,1.35,2.34,1.64,12.66,16.53,5.46,1.59,-38.0,-1701.67,39.57
16.78,117.9,1.96,0.18,2.62,2.05,1.55,10.06,11.66,4.19,2.6,-48.0,-1367.56,37.86
17.61,135.1,1.37,0.16,3.34,2.33,1.8,12.41,14.8,12.16,10.59,-36.0,-1652.0,70.41
19.5,97.6,3.96,0.43,0.5,2.01,1.51,10.63,17.53,8.02,5.77,-31.0,-1467.3,78.64
23.71,114.8,0.95,0.38,2.6,2.18,1.56,11.29,13.57,5.51,5.72,-43.0,-1669.71,48.72
21.57,106.9,2.65,0.82,1.25,2.22,1.68,14.41,16.2,4.09,5.22,-38.0,-1729.85,62.79
15.84,133.1,3.36,0.4,1.68,2.2,1.7,14.26,17.89,1.29,4.93,-48.0,-1274.65,62.19
24.03,91.7,1.39,0.13,1.99,2.3,1.69,12.01,15.0,6.96,3.97,-46.0,-1661.48,50.57
21.45,134.6,1.32,0.99,1.67,2.48,1.68,13.4,16.83,8.14,4.72,-34.0,-1760.84,45.94
24.23,89.8,1.01,0.4,1.08,2.36,1.59,10.25,14.91,6.1,3.85,-40.0,-1452.56,46.06
21.93,134.6,0.5,0.33,3.65,2.08,1.55,10.93,16.3,7.47,2.1,-43.0,-1249.44,51.33
22.08,120.9,1.17,0.67,1.92,2.3,1.76,12.46,17.06,8.46,3.86,-41.0,-1626.66,30.84
19.53,117.2,4.07,0.02,0.5,2.42,1.89,10.09,14.64,4.46,7.63,-28.0,-1619.18,111.26
22.07,96.2,1.17,0.67,1.92,2.28,1.72,12.47,17.06,8.46,3.87,-43.0,-1466.54,35.24
24.88,70.1,1.89,0.43,1.35,2.01,1.51,12.66,16.58,5.46,1.54,-43.0,-1553.09,47.21
23.13,97.8,1.64,0.69,2.19,2.21,1.69,10.96,11.09,7.27,7.39,-42.0,-1630.79,51.43
19.97,119.5,1.79,0.68,2.47,2.38,1.77,12.38,12.71,1.3,0.98,-46.0,-1379.58,50.39
21.45,134.6,1.32,0.94,1.74,2.45,1.65,10.97,13.26,8.32,7.83,-26.0,-1830.79,68.09
24.46,85.8,2.99,0.99,0.5,2.2,1.7,14.38,17.32,4.16,1.22,-31.0,-1503.01,45.47
23.84,92.2,1.37,0.71,1.45,2.14,1.64,12.01,15.0,6.96,4.01,-43.0,-1548.8,48.68
18.57,126.9,2.59,0.91,2.19,2.48,1.77,10.14,15.91,7.81,2.22,-44.0,-1144.47,30.55
23.71,115.6,0.95,0.76,2.6,2.18,1.56,11.24,13.57,5.51,5.72,-41.0,-1627.68,44.71
22.71,85.5,0.5,0.63,3.26,2.13,1.63,11.58,16.84,6.09,3.45,-46.0,-1263.81,36.56
24.21,91.8,0.5,0.5,1.07,2.44,1.94,11.56,11.58,4.77,4.8,-36.0,-1566.04,69.17
22.04,129.8,0.5,0.33,3.63,2.08,1.55,10.61,16.3,7.47,4.66,-45.0,-1315.87,42.86
20.0,97.6,3.88,0.43,0.5,2.02,1.51,10.12,17.34,8.02,5.67,-31.0,-1458.1,78.34
18.89,105.6,2.32,0.57,1.15,2.09,1.59,13.68,16.02,5.11,2.77,-46.0,-1317.15,55.31
18.67,126.9,1.58,0.91,2.93,2.3,1.79,10.88,15.91,6.61,1.58,-45.0,-1201.09,32.98
23.91,89.8,1.01,0.4,1.08,2.36,1.59,10.22,13.59,6.1,3.78,-41.0,-1405.21,50.36
17.61,135.1,1.43,0.32,3.34,2.33,1.8,11.26,14.82,5.45,1.9,-48.0,-1324.13,46.78
24.03,91.7,3.12,0.13,0.5,2.3,1.69,12.01,15.0,5.29,3.97,-40.0,-1609.15,60.72
20.79,112.3,2.25,0.54,1.83,2.47,1.88,12.96,17.31,7.14,4.9,-42.0,-1626.09,55.27
24.14,123.8,0.97,0.43,2.61,2.41,1.51,11.1,17.35,7.76,1.51,-36.0,-1555.67,33.22
23.33,85.9,3.13,0.78,0.5,2.2,1.7,14.33,17.45,5.18,2.06,-30.0,-1526.17,43.97
20.09,116.1,1.97,0.29,2.1,2.44,1.9,12.63,16.72,1.9,1.59,-43.0,-1564.34,78.77
16.17,132.8,3.36,0.4,1.68,2.2,1.7,14.26,17.89,1.29,4.92,-46.0,-1329.22,63.92
19.51,133.6,1.48,0.01,0.51,2.42,1.89,13.69,14.65,4.26,5.23,-32.0,-1638.84,81.68
24.14,105.6,1.15,0.58,1.15,2.52,1.99,12.23,16.1,6.63,2.76,-39.0,-1609.79,38.19
22.7,86.5,1.3,0.63,1.95,2.15,1.65,11.74,16.84,5.78,2.85,-45.0,-1414.71,49.73
22.46,103.3,2.26,0.96,1.66,2.5,1.91,13.38,13.83,6.91,6.71,-35.0,-1828.92,65.83
24.55,120.5,1.22,0.43,2.06,2.29,1.76,10.21,11.32,3.91,2.79,-45.0,-1729.14,56.37
22.82,102.6,2.62,0.04,1.04,2.52,1.9,12.0,14.45,5.94,5.3,-41.0,-1752.48,71.24
24.26,112.7,1.46,0.13,1.71,2.66,1.94,10.87,12.79,5.95,5.95,-38.0,-1849.77,66.8
20.79,112.3,1.5,0.54,2.57,2.39,1.89,10.45,17.12,7.19,5.09,-46.0,-1450.86,60.47
15.04,132.9,3.36,0.39,1.27,2.07,1.57,12.49,13.32,1.06,1.89,-48.0,-1200.44,58.47
16.45,117.9,1.96,0.18,2.75,2.01,1.51,10.07,11.65,1.22,2.6,-48.0,-1341.34,55.61
17.61,135.1,1.37,0.16,3.34,2.32,1.79,12.51,14.8,12.16,10.59,-37.0,-1650.93,66.66
17.64,133.1,1.9,0.54,2.63,2.47,1.81,10.88,14.73,7.37,8.13,-42.0,-1426.85,86.35
20.67,93.4,2.03,0.4,2.2,2.06,1.56,10.62,13.0,8.88,6.5,-46.0,-1531.89,62.91
21.53,124.4,0.52,0.92,1.93,2.03,1.53,11.94,14.68,5.6,2.85,-43.0,-1366.81,44.26
24.95,89.8,1.03,0.4,2.21,2.37,1.59,10.27,14.91,6.1,3.14,-45.0,-1464.99,32.54
23.8,127.9,3.22,0.95,0.5,2.72,1.97,10.67,12.15,8.03,6.74,-25.0,-1965.03,57.76
19.14,116.2,2.25,0.51,2.0,2.2,1.7,11.92,16.66,6.02,2.93,-47.0,-1429.46,59.94
23.72,114.8,0.95,0.38,2.6,2.18,1.56,11.32,14.89,5.08,4.4,-45.0,-1634.08,46.84
21.93,134.6,0.5,0.17,3.65,2.06,1.53,12.32,16.28,4.15,4.79,-45.0,-1375.43,35.1
24.17,116.2,1.5,0.51,1.27,2.22,1.72,10.31,17.01,6.07,1.82,-40.0,-1587.83,39.68
20.67,94.2,2.03,0.99,2.2,2.08,1.58,10.41,12.07,8.16,6.5,-44.0,-1389.1,58.61
23.75,84.3,1.47,0.15,2.06,2.22,1.68,11.08,15.0,7.13,4.25,-47.0,-1635.26,53.31
21.47,118.2,3.74,0.99,0.5,2.48,1.68,10.01,16.63,8.34,4.9,-26.0,-1595.71,67.15
22.07,120.9,2.21,0.67,1.92,2.54,1.76,12.46,17.06,6.6,3.86,-37.0,-1717.61,47.91
22.78,125.2,0.98,0.55,2.35,2.47,1.54,10.51,13.54,0.9,3.93,-43.0,-1426.17,78.34
24.54,94.4,1.27,0.29,2.06,2.52,1.76,10.08,11.35,7.2,7.11,-40.0,-1704.17,48.06
19.52,116.1,1.21,0.43,2.1,2.39,1.89,10.89,11.73,1.9,1.9,-45.0,-1275.65,44.06
23.87,135.1,0.5,0.14,3.28,2.32,1.79,11.03,15.91,7.79,3.22,-44.0,-1548.89,27.99
23.96,97.6,2.91,0.38,0.5,2.02,1.51,11.32,17.34,7.72,1.7,-32.0,-1465.61,44.26
24.52,120.4,0.94,0.48,2.61,2.29,1.76,10.21,11.32,3.83,2.72,-45.0,-1655.31,44.83
19.17,125.3,1.58,0.91,2.93,2.54,1.8,10.3,15.91,7.17,1.58,-43.0,-1115.96,29.31
15.08,136.7,1.17,0.67,1.25,2.15,1.65,12.47,17.06,8.46,3.87,-40.0,-942.69,93.36
18.87,128.7,2.53,0.91,2.19,2.36,1.63,11.62,16.77,6.03,1.58,-41.0,-1237.07,36.67
22.82,97.8,1.41,0.69,2.45,2.38,1.78,10.98,12.63,1.29,0.95,-45.0,-1423.37,55.72
23.21,117.8,3.13,0.99,0.5,2.44,1.65,14.39,17.45,4.94,1.88,-25.0,-1622.57,51.02
17.61,135.1,1.78,0.31,3.17,2.28,1.76,11.26,14.79,4.48,0.95,-47.0,-1379.32,46.26
