X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20.09,98.4,3.86,0.0,0.5,2.09,1.59,11.38,15.56,8.09,3.91,-42.0,-1284.26,46.51
24.12,103.3,1.81,0.01,1.67,2.45,1.54,10.86,16.71,8.02,2.17,-40.0,-1572.53,28.92
23.3,117.1,0.85,0.91,2.52,2.73,1.78,10.05,17.95,2.12,1.75,-30.0,-1306.49,63.8
24.45,73.1,2.11,0.28,1.22,2.04,1.54,10.46,16.95,8.09,1.6,-42.0,-1451.08,33.56
22.3,136.7,2.52,0.74,1.32,2.53,1.65,11.41,16.14,9.1,4.37,-31.0,-1789.62,42.66
23.28,83.8,0.5,0.64,3.2,2.16,1.51,10.76,11.46,4.51,5.08,-44.0,-1257.58,30.16
15.43,131.1,2.48,0.82,2.19,2.1,1.6,11.7,15.84,15.28,11.73,-27.0,-1612.68,78.42
17.62,123.7,1.04,0.87,2.11,2.28,1.66,11.22,12.21,5.76,6.76,-31.0,-1313.36,91.3
22.89,114.5,2.36,0.44,1.36,2.77,1.96,10.75,16.36,8.08,2.46,-40.0,-1487.97,33.07
24.93,107.3,2.34,0.33,1.03,2.78,1.78,14.31,16.94,3.76,1.14,-33.0,-1656.88,44.56
24.8,105.4,0.5,0.86,3.11,2.48,1.62,11.1,12.76,3.7,2.03,-42.0,-1384.62,37.48
17.42,139.9,1.93,0.66,2.81,2.4,1.63,11.09,15.62,0.98,5.5,-46.0,-1145.45,102.35
21.59,86.2,0.5,0.4,3.46,2.02,1.52,10.73,15.49,10.68,5.93,-48.0,-1226.88,45.11
24.99,99.4,1.95,0.43,1.36,2.47,1.64,13.41,17.37,4.59,0.63,-35.0,-1550.86,45.77
22.63,103.3,0.87,0.2,1.3,2.36,1.75,11.47,14.83,7.42,4.06,-41.0,-1489.04,41.36
20.62,132.0,0.71,0.03,1.96,2.26,1.62,11.27,15.14,0.94,4.81,-44.0,-1383.28,76.7
24.49,95.4,0.95,0.94,2.37,2.23,1.6,11.33,12.8,1.31,2.79,-44.0,-1433.64,55.21
22.62,123.2,1.35,0.06,2.41,2.46,1.94,12.43,16.48,4.87,3.9,-46.0,-1782.42,68.01
23.08,137.3,2.74,0.59,0.95,2.57,1.86,10.78,17.16,9.15,2.77,-27.0,-1686.86,50.29
23.77,121.2,3.3,0.3,0.5,2.17,1.63,12.58,17.75,6.65,1.48,-26.0,-1606.63,59.43
18.5,121.6,2.07,0.73,2.39,2.36,1.86,10.59,15.46,5.4,0.54,-43.0,-1304.58,33.23
22.22,93.4,0.66,0.0,3.04,2.24,1.61,12.74,17.8,0.09,0.74,-38.0,-1472.58,41.7
22.03,137.6,1.2,0.35,2.69,2.64,1.9,12.22,15.1,8.75,5.87,-37.0,-1855.64,43.26
22.43,134.2,0.82,0.89,3.16,2.53,1.87,14.7,17.15,5.87,3.42,-36.0,-1672.51,40.86
22.57,82.5,3.24,0.31,0.5,2.04,1.54,12.99,16.17,1.13,4.26,-39.0,-1457.71,77.8
24.44,73.1,2.11,0.28,1.22,2.04,1.54,10.46,16.95,8.09,1.6,-42.0,-1457.74,34.21
24.49,77.0,1.03,0.31,2.37,2.13,1.6,11.33,12.8,2.45,3.58,-46.0,-1500.7,50.96
22.43,137.3,2.31,0.85,1.5,2.53,1.87,14.7,17.19,5.86,3.38,-30.0,-1953.66,36.65
22.03,132.8,3.64,0.35,0.5,2.68,1.9,12.22,15.12,8.75,5.85,-25.0,-1974.75,51.88
22.97,123.2,1.35,0.06,2.41,2.46,1.94,12.43,16.42,4.87,3.61,-46.0,-1770.79,65.52
20.09,98.4,3.86,0.0,0.5,2.1,1.59,11.38,15.52,8.05,3.91,-42.0,-1282.5,46.93
23.28,83.7,2.37,0.63,1.01,2.15,1.65,10.76,11.46,1.79,1.09,-45.0,-1458.0,76.01
24.16,101.2,1.81,0.03,1.67,2.45,1.54,10.87,16.72,7.97,2.12,-41.0,-1556.84,30.18
24.8,105.4,0.52,0.03,3.11,2.46,1.61,11.1,12.76,2.37,0.71,-44.0,-1514.88,34.69
18.49,117.0,2.04,0.73,2.39,2.27,1.77,10.59,15.46,2.17,1.72,-46.0,-1261.8,74.44
22.43,135.9,0.67,0.87,2.91,2.25,1.59,14.7,17.15,5.87,3.42,-38.0,-1682.37,43.48
22.61,123.2,1.35,0.06,2.55,2.12,1.6,12.43,16.36,4.87,3.9,-47.0,-1775.75,66.38
22.39,136.7,1.91,0.76,1.35,2.18,1.65,11.41,16.03,2.11,4.27,-36.0,-1759.52,80.83
24.14,76.9,1.09,0.32,2.08,2.09,1.59,12.8,14.32,3.48,3.59,-47.0,-1539.38,58.62
24.93,107.3,0.85,0.33,1.03,2.78,1.78,14.05,16.43,2.86,0.48,-38.0,-1511.48,45.45
23.0,117.1,0.85,0.91,1.51,2.73,1.78,10.05,13.43,2.12,1.26,-43.0,-1298.95,73.59
22.65,96.0,0.87,0.2,1.3,2.36,1.75,11.47,12.9,5.49,4.06,-41.0,-1431.75,57.13
24.19,87.1,1.62,0.59,0.54,2.33,1.7,10.32,11.45,0.5,0.51,-44.0,-1314.42,87.94
22.03,137.6,1.2,0.35,2.69,2.64,1.9,12.22,15.1,8.72,5.84,-37.0,-1852.35,43.32
24.47,74.6,2.09,0.28,1.22,2.04,1.54,11.6,16.95,6.93,1.58,-42.0,-1525.76,37.55
24.96,100.4,1.98,0.43,1.36,2.75,1.94,13.41,13.45,3.22,3.19,-43.0,-1694.24,69.61
23.66,121.3,0.53,0.3,3.04,2.06,1.52,12.88,17.75,6.35,1.48,-41.0,-1624.4,24.98
24.8,105.4,0.5,0.86,3.11,2.48,1.62,11.1,12.76,3.69,2.03,-42.0,-1383.31,37.53
22.22,133.3,0.82,0.54,0.55,2.72,1.81,10.62,10.84,10.16,9.94,-25.0,-2024.5,66.79
22.89,114.5,0.84,0.48,1.36,2.8,1.99,10.75,16.32,8.02,2.45,-39.0,-1391.2,30.52
21.73,139.9,1.12,0.66,2.81,2.4,1.63,11.09,15.62,0.66,5.19,-38.0,-1525.74,76.36
24.24,96.3,0.5,0.2,3.1,2.42,1.88,11.06,14.96,5.45,3.8,-47.0,-1490.44,23.43
23.08,137.3,2.74,0.59,0.95,2.38,1.87,12.19,17.16,7.73,2.76,-29.0,-1807.89,44.73
23.9,123.5,0.56,0.21,2.49,2.31,1.79,10.12,16.17,0.91,0.91,-43.0,-1518.26,49.53
24.93,107.3,0.52,0.34,1.03,2.14,1.51,14.61,16.94,3.46,1.13,-36.0,-1666.44,34.65
20.58,134.1,0.71,0.01,1.96,2.26,1.62,11.26,14.97,0.94,2.1,-46.0,-1363.46,62.44
22.6,123.7,1.04,0.87,2.11,2.28,1.66,11.22,13.3,5.76,6.79,-33.0,-1720.29,59.35
22.22,93.9,0.5,0.85,3.04,2.14,1.62,12.74,17.8,0.09,2.06,-39.0,-1267.54,46.01
23.31,121.7,0.88,0.91,2.52,2.81,1.86,10.05,17.95,5.35,0.57,-34.0,-1249.61,74.59
19.78,96.5,3.91,0.04,0.5,2.02,1.52,11.38,15.56,7.6,3.42,-43.0,-1219.46,46.14
23.12,93.4,0.66,0.0,3.04,2.35,1.85,12.74,17.61,0.09,0.74,-39.0,-1553.19,48.27
22.53,94.6,0.5,0.01,3.45,2.24,1.55,11.06,11.09,7.14,7.11,-45.0,-1359.26,33.66
24.67,103.3,1.81,0.02,1.67,2.04,1.54,10.86,16.71,7.11,1.26,-42.0,-1706.37,36.14
20.62,132.0,0.71,0.01,1.96,2.26,1.62,11.27,15.14,0.94,4.81,-44.0,-1371.16,78.75
24.47,102.7,0.95,0.94,2.37,2.23,1.6,11.33,14.73,1.31,2.07,-44.0,-1439.45,54.07
23.89,137.3,2.74,0.59,0.95,2.4,1.86,10.12,17.16,8.99,1.95,-28.0,-1619.47,49.78
17.62,123.7,1.04,0.87,2.11,2.28,1.66,11.22,12.21,5.76,6.75,-31.0,-1316.37,91.52
17.92,136.3,3.58,0.78,0.99,2.35,1.64,13.44,17.36,3.23,0.67,-33.0,-1264.72,61.66
22.41,133.7,2.36,0.24,1.39,2.68,1.84,10.71,16.39,5.52,4.2,-35.0,-1771.65,59.36
21.59,86.2,0.5,0.4,3.46,2.02,1.52,10.73,15.49,10.68,5.92,-48.0,-1235.12,44.46
24.42,123.7,1.04,0.87,2.11,2.34,1.66,10.82,11.95,7.76,6.63,-33.0,-1845.15,39.28
22.89,114.5,2.36,0.5,1.36,2.77,1.96,13.31,13.49,5.86,5.69,-35.0,-1882.91,69.69
20.93,132.8,3.48,0.36,0.74,2.47,1.69,10.87,16.3,7.87,2.44,-38.0,-1393.3,47.48
21.73,139.9,0.82,0.66,2.81,2.4,1.63,11.09,15.72,0.65,5.19,-37.0,-1477.77,66.89
24.63,133.1,0.71,0.03,1.23,2.26,1.62,11.27,15.14,0.94,1.54,-43.0,-1641.32,59.88
23.19,121.3,0.53,0.28,1.28,2.06,1.52,12.88,17.75,6.35,1.48,-36.0,-1619.91,31.89
20.09,98.4,3.86,0.0,0.5,2.09,1.59,11.53,15.56,7.93,3.9,-42.0,-1287.73,47.7
20.87,96.6,0.5,0.2,3.16,2.15,1.65,11.06,15.19,5.67,2.44,-48.0,-1304.33,23.99
22.3,136.7,2.52,0.73,1.36,2.54,1.65,13.39,16.14,3.32,0.57,-39.0,-1483.52,51.01
20.15,107.3,0.52,0.34,1.03,2.14,1.51,11.16,16.9,6.86,1.12,-37.0,-1068.75,86.0
24.93,83.2,0.85,0.31,1.03,2.33,1.78,14.05,16.43,2.71,0.33,-39.0,-1440.72,38.76
24.41,123.8,0.97,0.59,0.71,2.35,1.66,10.82,11.95,0.34,1.47,-43.0,-1528.39,86.97
22.97,123.2,1.35,0.05,2.41,2.36,1.84,12.43,13.75,4.93,3.61,-47.0,-1807.28,59.8
23.38,117.3,1.38,0.06,2.41,2.46,1.94,12.43,16.48,4.83,3.14,-46.0,-1785.04,60.67
22.17,137.6,1.3,0.36,2.69,2.6,1.86,10.39,15.1,8.75,5.73,-38.0,-1781.27,46.52
23.32,102.7,0.95,0.94,2.38,2.6,1.78,11.33,14.73,1.31,1.74,-43.0,-1322.92,61.53
24.8,105.4,0.52,0.03,3.11,2.46,1.54,11.1,12.85,2.37,0.73,-44.0,-1495.3,34.34
22.61,123.7,1.35,0.06,2.52,2.05,1.53,11.37,15.61,4.83,3.9,-48.0,-1711.97,69.73
24.96,100.4,2.07,0.43,1.36,2.74,1.94,13.41,13.45,3.22,3.19,-43.0,-1699.49,70.17
23.9,123.5,0.56,0.21,2.46,2.31,1.79,10.32,16.17,0.93,2.93,-45.0,-1498.65,57.52
24.14,75.6,0.87,0.2,2.08,2.06,1.56,11.46,14.32,3.48,3.61,-47.0,-1471.81,53.82
24.86,105.4,0.51,0.86,1.27,2.47,1.65,11.1,16.06,2.11,2.03,-39.0,-1417.81,60.59
22.0,138.6,2.37,0.63,1.51,2.42,1.68,12.22,14.9,1.79,1.1,-42.0,-1567.21,67.55
22.22,93.4,0.66,0.04,3.04,2.12,1.61,12.74,17.8,0.09,0.63,-40.0,-1537.7,43.86
24.43,123.3,1.02,0.72,2.05,2.34,1.66,10.82,11.95,3.17,2.04,-44.0,-1624.4,55.52
20.1,96.5,3.85,0.04,0.5,2.02,1.52,11.38,15.52,7.61,3.91,-42.0,-1288.13,48.47
24.19,87.1,1.62,0.59,0.54,2.33,1.76,10.32,11.45,0.5,0.51,-44.0,-1311.51,87.38
22.22,114.5,2.36,0.5,1.36,2.72,1.96,13.31,13.49,5.86,5.69,-39.0,-1748.92,72.46
24.67,102.7,1.81,0.02,1.67,2.16,1.54,11.22,13.3,7.11,5.03,-44.0,-1837.07,56.03
20.93,130.7,3.61,0.36,0.74,2.47,1.69,11.1,16.25,7.59,2.44,-38.0,-1392.34,45.91
24.35,72.4,2.06,0.28,1.31,2.01,1.51,10.35,17.6,8.09,0.92,-39.0,-1417.27,26.54
20.15,139.0,3.98,0.0,0.5,2.09,1.59,11.38,15.56,8.09,3.91,-36.0,-1541.07,51.82
24.08,76.6,2.62,0.35,0.84,2.08,1.58,11.1,11.46,1.62,1.26,-45.0,-1519.54,76.85
20.62,94.5,0.71,0.03,1.3,2.08,1.58,11.27,14.95,0.94,4.04,-36.0,-1288.42,79.49
24.93,107.3,0.85,0.33,1.03,2.78,1.79,14.05,16.43,2.86,0.48,-38.0,-1507.36,45.69
24.45,73.1,2.11,0.28,1.22,2.04,1.54,10.46,17.52,8.09,1.03,-39.0,-1432.4,25.88
24.49,114.5,0.84,0.49,1.36,2.34,1.54,10.82,16.32,7.69,2.19,-38.0,-1556.67,21.67
18.49,116.9,2.03,0.72,2.39,2.26,1.76,10.59,15.46,2.17,1.72,-46.0,-1266.97,74.29
21.93,99.0,3.52,0.35,0.52,2.33,1.83,12.22,15.12,8.68,5.85,-32.0,-1735.75,56.96
23.66,121.3,0.66,0.31,3.04,2.02,1.52,12.88,17.77,6.42,1.53,-41.0,-1658.97,18.81
24.93,107.3,1.3,0.33,0.99,2.56,1.92,14.51,16.93,3.55,1.13,-36.0,-1703.58,42.33
20.4,132.0,0.71,0.2,2.49,2.26,1.62,10.24,15.14,0.94,4.74,-46.0,-1280.96,74.26
24.49,95.4,0.95,0.94,2.37,2.23,1.6,11.33,12.8,1.31,2.78,-44.0,-1430.11,54.94
17.5,121.2,1.04,0.87,3.25,2.13,1.51,10.77,12.21,5.81,6.76,-45.0,-1061.93,43.74
22.46,134.2,0.82,0.89,2.39,2.6,1.94,14.77,17.39,5.78,3.15,-34.0,-1775.97,40.29
22.3,136.7,2.52,0.74,1.32,2.53,1.65,13.44,14.8,5.73,4.37,-32.0,-1854.91,62.68
22.89,114.5,2.49,0.5,1.36,2.77,1.95,13.31,13.49,5.86,5.7,-35.0,-1872.91,70.85
24.3,132.5,3.21,0.36,0.5,2.22,1.68,10.87,16.32,7.65,2.38,-30.0,-1725.06,36.42
24.99,99.4,1.95,0.44,1.32,2.46,1.64,11.43,17.37,4.59,0.64,-37.0,-1455.91,48.75
24.82,98.4,2.76,0.0,0.5,2.1,1.59,14.77,15.56,3.41,2.62,-39.0,-1770.51,52.87
22.57,106.6,3.24,0.33,0.5,2.04,1.54,12.99,16.17,1.13,3.87,-35.0,-1636.94,76.05
24.2,87.0,1.62,0.87,1.95,2.33,1.7,10.32,11.45,1.64,0.51,-44.0,-1436.32,66.1
17.59,130.5,0.93,0.87,2.11,2.22,1.6,11.22,12.21,5.76,6.75,-30.0,-1341.29,90.68
23.82,134.1,1.83,0.24,1.39,2.81,1.97,13.74,16.41,4.89,2.77,-35.0,-1911.55,44.99
22.6,123.7,1.04,0.8,1.96,2.28,1.66,11.22,13.3,5.8,3.96,-44.0,-1503.46,45.79
23.75,137.3,2.74,0.58,0.95,2.44,1.9,11.95,17.16,7.16,1.95,-28.0,-1745.88,48.59
24.99,117.1,0.85,0.91,2.51,2.2,1.6,10.06,17.92,2.12,0.09,-36.0,-1308.82,60.99
24.16,101.2,1.81,0.03,1.67,2.46,1.61,10.87,16.63,7.87,2.1,-42.0,-1562.87,33.87
22.22,133.3,0.82,0.43,0.55,2.72,1.81,10.62,17.37,5.49,3.39,-25.0,-1611.65,73.01
19.78,101.6,3.91,0.04,0.54,2.09,1.59,12.44,16.31,7.29,3.42,-41.0,-1321.22,47.03
22.22,93.4,0.66,0.0,3.04,2.24,1.61,12.74,16.74,0.09,0.74,-41.0,-1462.95,37.08
22.43,135.9,0.67,0.87,2.94,2.22,1.59,14.52,17.15,3.52,0.89,-38.0,-1520.04,29.67
22.99,97.3,1.09,0.32,1.3,2.36,1.75,12.81,12.9,4.13,4.04,-42.0,-1515.45,64.17
22.31,136.7,1.94,0.71,1.89,2.15,1.62,11.4,12.73,3.69,4.27,-44.0,-1675.33,78.96
24.16,104.1,1.79,0.26,1.22,2.04,1.54,10.44,16.71,8.09,2.13,-42.0,-1609.19,33.19
23.31,79.1,1.2,0.35,1.08,2.05,1.55,10.76,11.66,6.73,5.83,-35.0,-1536.41,57.94
22.22,93.9,0.5,0.83,3.04,2.26,1.62,12.74,17.8,0.09,2.17,-38.0,-1249.45,50.44
23.88,137.7,2.76,0.87,0.95,2.4,1.86,10.12,17.16,8.99,1.96,-26.0,-1602.16,55.87
18.68,112.9,3.03,0.43,1.43,2.21,1.71,13.4,13.45,3.24,3.19,-47.0,-1427.46,72.68
