X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20.09,98.4,3.86,0.0,0.5,2.09,1.59,11.38,15.56,8.09,3.91,-29.0,-359.48,116.81
24.12,103.3,1.81,0.01,1.67,2.45,1.54,10.86,16.71,8.02,2.17,-24.0,-339.95,115.09
23.3,117.1,0.85,0.91,2.52,2.73,1.78,10.05,17.95,2.12,1.75,-6.0,-316.64,143.94
24.45,73.1,2.11,0.28,1.22,2.04,1.54,10.46,16.95,8.09,1.6,-26.0,-318.38,113.28
22.3,136.7,2.52,0.74,1.32,2.53,1.65,11.41,16.14,9.1,4.37,-24.0,-391.01,111.78
23.28,83.8,0.5,0.64,3.2,2.16,1.51,10.76,11.46,4.51,5.08,-35.0,-312.6,94.56
15.43,131.1,2.48,0.82,2.19,2.1,1.6,11.7,15.84,15.28,11.73,-22.0,-454.25,105.47
17.62,123.7,1.04,0.87,2.11,2.28,1.66,11.22,12.21,5.76,6.76,-25.0,-371.25,132.13
22.89,114.5,2.36,0.44,1.36,2.77,1.96,10.75,16.36,8.08,2.46,-26.0,-344.08,123.03
24.93,107.3,2.34,0.33,1.03,2.78,1.78,14.31,16.94,3.76,1.14,-19.0,-413.36,64.51
24.8,105.4,0.5,0.86,3.11,2.48,1.62,11.1,12.76,3.7,2.03,-41.0,-305.27,70.65
21.59,86.2,0.5,0.4,3.46,2.02,1.52,10.73,15.49,10.68,5.93,-29.0,-339.99,123.88
24.99,99.4,1.95,0.43,1.36,2.47,1.64,13.41,17.37,4.59,0.63,-20.0,-374.15,91.28
22.63,103.3,0.87,0.2,1.3,2.36,1.75,11.47,14.83,7.42,4.06,-26.0,-376.22,97.11
20.62,132.0,0.71,0.03,1.96,2.26,1.62,11.27,15.14,0.94,4.81,-26.0,-356.0,120.96
24.49,95.4,0.95,0.94,2.37,2.23,1.6,11.33,12.8,1.31,2.79,-38.0,-313.07,93.78
22.62,123.2,1.35,0.06,2.41,2.46,1.94,12.43,16.48,4.87,3.9,-30.0,-421.33,86.98
23.08,137.3,2.74,0.59,0.95,2.57,1.86,10.78,17.16,9.15,2.77,-21.0,-361.69,133.7
23.77,121.2,3.3,0.3,0.5,2.17,1.63,12.58,17.75,6.65,1.48,-19.0,-383.13,118.45
18.5,121.6,2.07,0.73,2.39,2.36,1.86,10.59,15.46,5.4,0.54,-36.0,-292.43,126.21
22.22,93.4,0.66,0.0,3.04,2.24,1.61,12.74,17.8,0.09,0.74,-4.0,-358.57,86.73
22.03,137.6,1.2,0.35,2.69,2.64,1.9,12.22,15.1,8.75,5.87,-24.0,-434.99,94.46
22.43,134.2,0.82,0.89,3.16,2.53,1.87,14.7,17.15,5.87,3.42,-22.0,-447.44,81.27
22.57,82.5,3.24,0.31,0.5,2.04,1.54,12.99,16.17,1.13,4.26,-24.0,-389.01,98.25
22.23,93.4,0.66,0.96,3.04,2.22,1.59,12.74,17.8,0.09,0.74,-0.0,-354.4,94.54
23.77,120.6,3.3,0.3,0.5,2.17,1.63,11.02,15.62,6.01,1.41,-31.0,-325.32,101.78
24.78,131.5,0.5,0.86,3.14,2.48,1.62,11.1,12.76,3.96,3.96,-29.0,-350.54,93.85
24.19,87.1,2.45,0.59,0.54,2.33,1.7,10.34,11.4,0.51,0.51,-43.0,-282.93,70.9
16.52,134.1,2.78,0.24,2.39,2.04,1.54,13.13,13.24,2.28,2.38,-42.0,-359.52,44.43
23.37,83.8,0.5,0.64,3.2,2.16,1.51,10.76,11.46,4.51,5.08,-35.0,-311.06,93.16
18.19,133.4,0.6,0.07,2.7,2.46,1.52,13.73,16.43,1.21,3.91,-25.0,-386.43,103.3
22.43,134.2,0.82,0.89,2.99,2.55,1.89,14.76,17.15,5.81,3.42,-22.0,-454.2,79.65
24.93,106.9,2.42,0.33,0.98,2.78,1.78,14.31,16.88,3.19,1.14,-18.0,-416.43,62.26
22.62,123.2,1.35,0.06,2.41,2.25,1.62,12.4,16.48,4.87,3.9,-29.0,-412.85,91.51
23.3,105.4,0.5,0.65,2.94,2.48,1.62,10.91,13.35,3.7,2.03,-40.0,-303.55,77.3
24.48,136.5,1.01,0.24,2.41,2.68,1.84,13.51,13.74,5.01,4.78,-23.0,-437.62,73.4
22.57,82.6,3.24,0.77,0.51,2.03,1.53,10.62,16.17,9.7,4.16,-25.0,-348.6,123.0
24.7,137.9,2.39,0.78,0.99,2.67,1.96,13.44,17.04,3.23,1.25,-15.0,-410.81,77.05
24.12,103.3,1.59,0.01,1.67,2.45,1.54,10.86,16.71,8.02,2.17,-24.0,-340.94,115.4
22.22,133.3,0.71,0.0,3.05,2.24,1.62,12.74,17.81,0.09,2.97,-18.0,-390.38,81.77
24.49,99.8,1.89,0.43,1.36,2.47,1.64,12.75,17.37,0.2,0.63,-0.0,-360.83,89.23
17.42,139.9,1.92,0.66,3.02,2.4,1.63,12.65,17.71,1.07,5.57,-25.0,-381.04,101.64
16.88,115.0,2.18,0.71,2.16,2.01,1.51,12.59,15.99,3.95,7.35,-28.0,-398.34,116.95
18.5,121.6,2.07,0.73,2.28,2.36,1.86,10.7,16.26,5.44,0.54,-32.0,-305.93,133.39
21.59,86.2,0.53,0.4,3.22,2.02,1.52,12.03,15.42,8.41,5.02,-31.0,-362.17,102.96
21.99,137.9,0.96,0.35,2.74,2.64,1.9,12.22,15.16,8.79,5.85,-23.0,-431.26,96.82
24.49,95.4,0.8,0.94,2.76,2.44,1.92,11.36,12.81,1.31,2.76,-39.0,-308.31,92.13
24.78,83.8,0.5,0.97,2.96,2.16,1.51,10.77,11.46,4.51,5.08,-33.0,-326.23,89.85
22.26,98.8,2.51,0.74,1.28,2.37,1.66,11.41,16.14,9.33,4.6,-25.0,-383.91,108.63
23.83,92.9,0.95,0.69,1.35,2.24,1.6,11.21,12.8,1.32,2.79,-36.0,-316.19,96.83
23.77,121.2,3.3,0.3,0.5,2.17,1.63,12.58,17.25,6.15,1.48,-21.0,-379.53,115.08
23.08,139.7,2.74,0.59,0.95,2.38,1.86,10.78,17.16,9.14,2.76,-20.0,-358.21,136.23
17.45,135.6,1.08,0.35,2.69,2.5,1.89,12.22,15.1,5.95,5.89,-29.0,-401.38,106.8
20.93,134.2,0.82,0.37,3.16,2.53,1.87,14.7,17.15,5.58,4.92,-26.0,-467.8,74.63
22.63,103.3,0.6,0.2,1.3,2.36,1.75,11.47,14.83,7.42,4.06,-26.0,-376.39,99.1
20.62,92.0,0.66,0.03,1.95,2.03,1.53,11.27,15.13,0.94,0.99,-37.0,-300.38,97.06
24.14,75.4,1.09,0.97,2.08,2.06,1.56,12.74,14.42,3.96,3.59,-29.0,-380.88,79.25
23.9,87.1,2.02,0.54,0.57,2.3,1.72,10.32,12.05,0.38,0.51,-43.0,-278.57,79.45
24.78,86.1,0.5,0.64,3.02,2.38,1.62,11.1,12.94,3.87,2.03,-41.0,-298.94,70.96
18.33,110.8,2.48,0.44,1.36,2.12,1.62,10.75,16.36,7.69,2.08,-32.0,-325.08,127.77
23.19,103.1,0.5,0.86,3.2,2.15,1.51,10.76,11.28,3.6,3.08,-45.0,-284.67,69.13
15.6,127.0,1.8,0.09,0.57,2.05,1.55,10.28,11.21,2.26,2.26,-42.0,-249.66,84.64
22.0,138.4,1.03,0.56,0.62,2.64,1.9,12.22,15.43,8.78,5.57,-22.0,-440.6,97.16
24.78,83.8,0.5,0.64,2.95,2.16,1.51,10.77,11.46,4.51,5.08,-34.0,-328.45,85.93
22.21,106.9,2.42,0.33,0.98,2.54,1.75,11.34,16.91,3.19,0.45,-24.0,-338.81,132.14
18.1,110.9,2.34,0.33,1.03,2.09,1.59,14.31,16.95,3.89,6.15,-27.0,-443.39,84.16
23.77,92.7,1.03,0.32,0.5,2.12,1.58,11.02,15.62,6.01,1.41,-30.0,-319.33,106.55
24.8,104.9,0.5,0.86,3.11,2.42,1.57,11.17,12.76,1.96,0.36,-44.0,-286.18,67.06
24.04,82.5,1.35,0.31,1.88,2.04,1.54,12.73,16.17,3.8,2.79,-29.0,-390.29,79.43
22.05,133.3,0.71,0.0,2.77,2.24,1.62,12.74,17.81,0.1,2.76,-17.0,-388.69,83.71
16.39,123.2,2.85,0.06,2.32,2.09,1.59,13.11,16.44,5.38,2.39,-37.0,-391.43,56.23
23.82,133.6,1.79,0.24,1.39,2.68,1.84,12.63,13.74,2.45,2.66,-34.0,-368.2,77.27
24.62,94.7,2.4,0.68,0.83,2.24,1.55,11.06,17.09,3.21,1.29,-16.0,-341.56,118.76
24.99,86.1,0.5,0.4,2.85,2.15,1.64,12.02,17.37,4.57,0.64,-21.0,-349.04,107.99
20.52,92.0,0.5,0.03,1.95,2.02,1.52,11.1,12.9,0.58,0.99,-42.0,-273.91,74.1
22.22,133.3,0.68,0.0,3.05,2.22,1.62,12.74,13.55,0.09,0.9,-41.0,-326.3,65.01
24.65,123.9,1.36,0.05,2.29,2.23,1.6,11.7,12.28,1.31,1.89,-40.0,-340.5,69.75
23.83,92.9,0.95,0.69,1.08,2.24,1.6,11.21,12.8,1.32,2.79,-36.0,-315.87,97.39
24.68,137.9,2.46,0.78,0.99,2.68,1.97,13.44,16.84,3.15,1.26,-18.0,-414.07,74.35
22.03,130.3,0.53,0.35,2.69,2.62,1.9,12.22,15.1,8.71,5.83,-23.0,-421.91,102.17
23.9,87.1,1.06,0.54,0.62,2.3,1.72,10.29,12.05,0.03,0.51,-44.0,-270.28,84.73
24.64,134.1,1.27,0.87,2.13,2.56,1.89,14.74,17.15,3.62,1.21,-17.0,-432.4,63.21
16.52,134.1,2.77,0.24,2.39,2.04,1.54,13.13,13.24,2.28,2.39,-42.0,-359.51,44.77
24.78,95.5,0.5,0.66,3.02,2.38,1.62,12.33,12.94,2.64,2.03,-42.0,-314.19,67.81
24.78,131.5,0.5,0.85,3.14,2.5,1.64,11.1,12.76,3.67,3.96,-29.0,-349.24,96.08
