X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
23,100,2,0.5,1,2.5,1.5,10,11,0,2,20.62
24,130,2,0.5,1,2.0,1.5,11,14,14,8,20.66
20,140,2,0.5,2,2.5,1.5,14,18,12,4,20.09
15,130,3,0.5,1,2.0,1.5,12,15,14,8,19.61
15,140,1,0.5,3,2.0,1.5,13,15,4,0,19.56
16,140,4,0.5,1,2.0,1.5,14,17,2,0,19.02
24,110,1,0.5,2,2.0,1.5,12,13,2,0,20.24
17,100,2,0.5,1,2.5,1.5,11,13,10,6,20.55
19,140,1,0.5,1,2.5,1.5,12,13,12,12,19.59
17,100,3,0.5,2,2.5,1.5,10,16,4,2,20.98
19,110,3,0.5,1,2.0,1.5,13,15,14,14,20.68
22,100,2,0.5,2,2.0,1.5,10,15,2,2,19.36
24,120,2,0.5,1,2.0,1.5,10,12,2,6,19.76
16,140,1,0.5,3,2.0,1.5,10,17,8,2,21.05
22,140,1,0.5,1,2.0,1.5,10,16,12,10,20.96
15,100,1,0.5,4,2.5,1.5,12,14,10,8,20.48
24,110,2,0.5,1,2.0,1.5,10,12,8,12,20.59
22,110,2,0.5,2,2.0,1.5,11,13,2,6,20.53
21,100,1,0.5,3,2.0,1.5,12,17,10,6,19.65
24,120,1,0.5,2,2.5,1.5,11,16,2,6,20.91
16,130,4,0.5,1,2.0,1.5,12,17,4,10,20.61
15,110,1,0.5,1,2.0,1.5,14,17,8,2,20.08
23,140,1,0.5,3,2.5,1.5,15,17,4,0,17.67
18,120,1,0.5,2,2.5,1.5,11,13,4,8,19.87
24,100,2,0.5,1,2.5,1.5,11,13,0,2,20.22
22,120,3,0.5,1,2.0,1.5,14,16,2,0,19.75
18,120,3,0.5,1,2.5,1.5,11,13,10,8,20.51
20,150,3,0.5,1,2.0,1.5,12,16,10,12,19.48
24,120,2,0.5,1,2.0,1.5,11,16,10,0,20.42
18,140,3,0.5,1,2.0,1.5,12,14,0,4,20.5
19,100,3,0.5,1,2.0,1.5,10,16,0,6,20.93
