X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
20.67,94.2,2.03,0.78,2.2,2.08,1.58,10.41,12.93,9.02,6.5,20.2
23.82,122.2,0.97,0.87,2.61,2.67,1.77,11.1,17.35,8.08,1.84,19.92
17.64,133.1,1.97,0.54,2.63,2.47,1.81,10.88,14.73,7.83,8.77,20.62
24.54,95.8,1.22,0.43,2.06,2.52,1.76,10.21,11.32,7.2,7.15,21.13
24.17,116.2,2.25,0.51,1.27,2.21,1.71,12.82,17.01,6.02,1.82,19.78
22.7,86.5,1.3,0.63,1.95,2.15,1.65,11.93,16.84,6.09,2.85,21.02
23.33,85.9,3.13,0.99,0.5,2.2,1.7,14.38,17.61,5.29,2.06,19.27
17.51,130.5,0.84,0.29,3.88,2.4,1.75,11.89,12.7,11.9,11.09,21.36
24.3,127.9,3.22,0.95,0.5,2.72,1.97,10.67,11.96,8.03,6.74,20.77
23.13,102.6,2.62,0.04,1.04,2.56,1.69,11.59,14.58,5.96,5.3,20.65
18.87,126.9,2.53,0.91,2.19,2.53,1.79,10.14,15.91,7.35,1.58,20.6
20.46,119.5,1.79,0.68,2.47,2.38,1.77,12.38,12.7,1.3,0.98,20.9
21.54,130.3,0.51,0.92,3.71,2.1,1.53,11.59,14.68,8.39,6.78,19.63
24.13,105.6,2.32,0.58,1.15,2.77,2.0,12.23,16.1,6.64,2.77,20.61
20.79,112.3,1.5,0.54,2.57,2.48,1.89,10.45,17.31,7.19,4.9,21.04
23.75,84.3,1.47,0.15,2.06,2.22,1.68,11.67,15.0,7.13,4.25,20.68
17.43,139.1,2.2,0.92,2.54,2.46,1.73,11.7,17.74,13.06,7.83,21.06
22.46,106.3,1.26,0.55,2.35,2.46,1.53,10.57,13.54,2.23,5.21,19.54
23.56,76.0,2.11,0.61,1.44,2.01,1.51,12.22,12.91,4.1,4.78,20.36
24.88,110.5,1.98,0.43,1.35,2.34,1.64,12.66,16.53,5.46,1.59,19.45
16.78,117.9,1.96,0.18,2.62,2.05,1.55,10.06,11.66,4.19,2.6,20.32
17.61,135.1,1.37,0.16,3.34,2.33,1.8,12.41,14.8,12.16,10.59,21.31
19.5,97.6,3.96,0.43,0.5,2.01,1.51,10.63,17.53,8.02,5.77,20.31
23.71,114.8,0.95,0.38,2.6,2.18,1.56,11.29,13.57,5.51,5.72,20.59
21.57,106.9,2.65,0.82,1.25,2.22,1.68,14.41,16.2,4.09,5.22,19.0
15.84,133.1,3.36,0.4,1.68,2.2,1.7,14.26,17.89,1.29,4.93,18.4
24.03,91.7,1.39,0.13,1.99,2.3,1.69,12.01,15.0,6.96,3.97,19.87
21.45,134.6,1.32,0.99,1.67,2.48,1.68,13.4,16.83,8.14,4.72,20.1
24.23,89.8,1.01,0.4,1.08,2.36,1.59,10.25,14.91,6.1,3.85,21.34
21.93,134.6,0.5,0.33,3.65,2.08,1.55,10.93,16.3,7.47,2.1,20.17
22.08,120.9,1.17,0.67,1.92,2.3,1.76,12.46,17.06,8.46,3.86,20.58
19.53,117.2,4.07,0.02,0.5,2.42,1.89,10.09,14.64,4.46,7.63,20.58
22.07,96.2,1.17,0.67,1.92,2.28,1.72,12.47,17.06,8.46,3.87,20.55
24.88,70.1,1.89,0.43,1.35,2.01,1.51,12.66,16.58,5.46,1.54,19.21
23.13,97.8,1.64,0.69,2.19,2.21,1.69,10.96,11.09,7.27,7.39,20.0
19.97,119.5,1.79,0.68,2.47,2.38,1.77,12.38,12.71,1.3,0.98,20.87
21.45,134.6,1.32,0.94,1.74,2.45,1.65,10.97,13.26,8.32,7.83,20.6
24.46,85.8,2.99,0.99,0.5,2.2,1.7,14.38,17.32,4.16,1.22,19.74
23.84,92.2,1.37,0.71,1.45,2.14,1.64,12.01,15.0,6.96,4.01,19.9
18.57,126.9,2.59,0.91,2.19,2.48,1.77,10.14,15.91,7.81,2.22,20.88
23.71,115.6,0.95,0.76,2.6,2.18,1.56,11.24,13.57,5.51,5.72,20.66
22.71,85.5,0.5,0.63,3.26,2.13,1.63,11.58,16.84,6.09,3.45,20.56
24.21,91.8,0.5,0.5,1.07,2.44,1.94,11.56,11.58,4.77,4.8,19.81
22.04,129.8,0.5,0.33,3.63,2.08,1.55,10.61,16.3,7.47,4.66,20.09
20.0,97.6,3.88,0.43,0.5,2.02,1.51,10.12,17.34,8.02,5.67,20.93
