X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
19.17,117.6,0.5,0.3,1.01,2.14,1.59,11.73,13.17,8.62,8.62,21.0
23.01,137.5,0.5,0.69,3.46,2.48,1.54,10.2,11.36,8.63,8.63,20.43
24.89,119.9,1.48,0.79,0.86,2.68,1.95,11.47,12.3,2.08,2.08,21.03
23.83,109.9,3.32,0.35,0.5,2.66,1.71,14.82,15.31,3.86,3.86,19.38
20.86,137.6,0.8,0.02,3.3,2.51,1.9,11.94,16.91,5.23,5.23,20.31
15.72,137.4,2.49,0.2,1.38,2.26,1.6,12.91,17.76,9.52,9.52,19.94
24.5,104.5,3.13,0.64,0.5,2.54,1.8,12.75,17.41,1.09,1.09,20.96
18.95,137.1,1.11,0.13,0.97,2.26,1.51,14.74,16.62,0.24,0.24,17.11
19.6,103.7,3.3,0.29,0.96,2.14,1.51,12.97,13.47,9.93,9.93,20.65
18.15,131.4,1.35,0.18,3.26,2.34,1.53,12.1,15.43,9.42,9.42,20.16
22.5,128.7,0.5,0.7,3.55,2.5,1.84,12.25,13.06,6.57,6.57,21.04
23.8,132.3,2.82,0.27,0.75,2.68,1.76,14.01,14.58,4.62,4.62,20.87
20.19,121.7,2.49,0.47,1.7,2.22,1.69,10.4,17.86,2.91,2.91,20.38
23.12,130.0,2.87,0.57,1.06,2.4,1.67,11.13,14.74,5.0,5.0,21.49
24.16,132.8,1.4,0.11,1.18,2.61,1.86,11.04,11.98,6.85,6.85,20.4
19.16,109.3,1.32,0.1,2.31,2.2,1.58,13.11,14.35,9.49,9.49,20.26
16.45,120.1,1.28,0.52,3.25,2.05,1.55,14.36,16.76,8.62,8.62,17.94
23.67,136.0,3.33,0.85,0.5,2.68,1.85,13.05,16.4,0.55,0.55,20.88
22.7,118.5,1.29,0.26,2.71,2.58,1.9,12.23,16.26,4.04,4.04,21.68
17.12,123.9,1.54,0.03,2.58,2.21,1.69,13.75,14.09,8.66,8.66,20.16
16.19,125.0,1.01,0.27,3.37,2.1,1.6,11.33,14.27,5.03,5.03,21.31
18.26,128.8,2.45,0.69,2.08,2.46,1.65,10.05,14.61,4.98,4.98,19.6
20.17,133.3,1.99,0.25,1.8,2.88,1.97,14.22,17.36,3.65,3.65,18.49
23.17,107.5,3.36,0.9,0.5,2.06,1.55,10.33,13.61,6.01,6.01,21.46
19.92,118.4,2.14,0.46,0.98,2.38,1.88,11.6,17.88,3.52,3.52,20.78
19.84,128.7,1.44,0.65,2.86,2.43,1.64,12.8,15.37,5.64,5.64,20.49
19.35,133.9,2.97,0.48,0.94,2.57,1.58,11.01,13.45,6.47,6.47,20.71
16.47,118.3,1.16,0.64,3.14,2.02,1.52,13.74,15.11,9.55,9.55,20.36
17.95,118.5,1.38,0.43,3.24,2.22,1.72,10.96,13.16,4.8,4.8,21.43
15.8,132.4,1.8,0.53,2.23,2.16,1.6,10.38,14.06,4.18,4.18,21.09
20.28,119.2,1.02,0.55,1.26,2.56,1.86,10.88,16.9,0.32,0.32,20.85
23.6,104.7,1.91,0.76,1.69,2.64,1.64,10.02,17.47,1.93,1.93,21.2
22.29,101.3,1.93,0.78,1.81,2.44,1.88,13.07,13.21,7.5,7.5,20.18
19.33,132.7,2.62,0.77,2.02,2.67,1.92,10.34,14.59,9.08,9.08,20.7
16.9,137.2,1.53,0.1,1.01,2.37,1.86,12.82,16.36,8.11,8.11,21.01
22.92,115.7,0.93,0.41,2.77,2.25,1.66,10.86,13.27,3.86,3.86,20.78
23.88,74.8,1.11,0.9,2.06,2.02,1.52,13.04,15.46,3.65,3.65,20.08
