X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,ANG,AVG,RIP,COG
21.03,108.0,1.91,0.13,2.07,2.02,1.52,12.2,16.37,4.51,-48.0,-1640.04,82.73,20.23
17.3,112.10000000000001,0.91,0.01,3.82,2.01,1.51,12.16,12.66,5.98,-48.0,-1278.98,21.66,18.86
22.09,136.6,0.5,0.06,3.62,2.02,1.51,10.81,14.75,3.1,-47.0,-1309.97,9.29,20.49
23.57,139.9,1.09,0.14,2.12,2.46,1.94,11.14,11.47,7.85,-32.0,-1997.27,43.25,21.42
22.46,137.89999999999998,1.08,0.69,0.97,2.33,1.65,12.59,13.03,7.51,-25.0,-2057.19,52.15,20.24
23.76,138.7,0.7,0.02,0.6,2.15,1.65,11.04,11.51,7.7,-26.0,-2119.62,44.3,20.98
21.52,107.5,0.82,0.63,0.71,2.03,1.52,14.98,17.98,0.4,-28.0,-1356.02,46.43,13.26
22.22,110.5,1.99,0.07,2.06,2.06,1.56,14.07,15.39,3.08,-48.0,-1774.77,73.43,20.56
23.12,131.5,2.52,0.19,1.41,2.22,1.55,12.6,12.78,7.1,-33.0,-2075.67,60.37,20.55
23.2,139.8,2.62,0.2,1.03,2.18,1.66,14.47,17.32,2.47,-30.0,-1959.41,44.27,17.1
23.57,139.8,1.09,0.14,2.12,2.44,1.94,11.12,11.47,7.96,-31.0,-2031.45,42.35,21.17
21.22,104.80000000000001,0.8,0.49,3.18,2.02,1.51,14.98,17.98,3.04,-45.0,-1498.87,35.99,13.86
23.76,134.2,0.7,0.01,0.62,2.15,1.65,11.08,11.51,7.73,-26.0,-2107.69,43.2,21.16
23.29,139.4,0.64,0.19,2.91,2.16,1.64,14.66,14.8,2.05,-46.0,-1692.82,27.61,18.63
22.66,132.5,0.5,0.45,3.51,2.06,1.56,12.26,15.05,1.66,-43.0,-1336.44,11.94,20.68
24.1,133.3,1.39,0.2,2.1,2.06,1.56,12.36,12.58,6.32,-38.0,-2007.43,55.08,19.54
23.48,116.89999999999999,0.52,0.32,3.21,2.29,1.59,14.92,17.57,1.95,-40.0,-1619.58,18.08,15.23
23.48,127.4,0.6,0.31,3.02,2.26,1.56,14.91,17.32,1.88,-41.0,-1661.8,19.05,15.58
22.87,139.8,0.58,0.13,3.14,2.02,1.52,11.1,13.3,6.08,-44.0,-1601.4,22.14,20.02
22.07,134.1,0.5,0.14,3.62,2.02,1.51,13.97,17.48,1.73,-42.0,-1474.58,13.8,18.03
22.64,139.8,0.65,0.2,0.94,2.42,1.67,12.2,13.11,7.25,-25.0,-2053.51,49.76,20.93
21.52,104.0,0.74,0.63,1.45,2.04,1.52,14.98,17.97,0.4,-32.0,-1440.07,33.81,13.38
22.91,135.6,1.7,0.43,2.01,2.06,1.56,14.92,16.57,2.53,-42.0,-1871.11,56.92,16.14
23.6,137.89999999999998,1.06,0.19,0.91,2.15,1.65,11.08,11.51,7.85,-27.0,-2079.07,45.88,21.25
23.57,139.8,1.48,0.2,2.13,2.16,1.66,14.47,17.23,2.2,-38.0,-1983.89,51.51,17.62
23.24,133.9,1.33,0.01,2.12,2.08,1.58,14.07,15.38,4.38,-44.0,-1966.89,64.49,19.7
23.6,137.89999999999998,1.91,0.13,1.92,2.02,1.52,11.08,11.51,7.85,-34.0,-2027.39,50.79,20.62
23.49,138.4,1.13,0.17,2.48,2.08,1.58,14.98,17.71,1.78,-38.0,-1935.25,45.41,14.51
23.62,139.8,1.33,0.14,2.2,2.02,1.52,11.1,13.3,6.08,-39.0,-1984.35,59.43,19.89
24.24,137.89999999999998,0.82,0.45,1.98,2.08,1.58,14.88,17.5,1.26,-35.0,-1869.29,36.79,15.11
