X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,AVG,RIP,COG
16.42,132.20000000000002,2.07,0.47,2.04,2.0,1.5,15.0,18.0,8.45,-291.97,61.29,13.12
24.42,133.8,1.62,0.06,1.93,2.02,1.51,15.0,17.99,0.42,-250.51,43.72,13.27
23.79,132.0,1.82,0.01,1.98,2.39,1.89,15.0,17.98,1.23,-274.75,39.84,14.58
16.99,134.3,2.08,0.01,3.0,2.0,1.5,15.0,18.0,0.44,-252.9,48.95,12.98
15.49,140.0,2.09,0.09,1.28,2.26,1.76,14.97,17.96,9.55,-308.33,58.32,14.24
15.81,132.7,1.73,0.04,1.55,2.18,1.68,15.0,17.46,9.7,-303.09,56.77,15.02
23.79,136.7,1.63,0.01,1.4,2.48,1.98,15.0,17.83,1.38,-279.21,41.47,14.73
15.81,132.7,1.73,0.04,1.55,2.18,1.68,15.0,17.46,9.7,-302.14,56.57,15.01
15.45,139.3,1.59,0.05,1.31,2.0,1.5,15.0,17.97,9.53,-296.24,59.34,13.19
15.33,137.7,1.43,0.04,3.13,2.21,1.71,15.0,18.0,9.56,-292.82,53.32,13.71
23.79,132.79999999999998,1.4,0.0,1.4,2.45,1.95,14.99,17.83,1.38,-279.17,42.0,14.65
23.93,126.30000000000001,1.62,0.04,1.22,2.01,1.51,15.0,17.99,1.02,-262.19,40.96,13.65
16.57,132.20000000000002,1.66,0.45,2.02,2.0,1.5,15.0,17.98,8.45,-291.38,60.73,13.16
15.55,139.3,1.76,0.0,2.82,2.14,1.64,15.0,17.98,9.45,-294.52,52.54,13.76
23.83,133.4,1.48,0.01,1.3,2.0,1.5,15.0,17.99,0.44,-258.67,46.07,13.2
23.48,139.60000000000002,1.53,0.04,2.03,2.16,1.66,15.0,17.99,1.53,-271.03,46.67,13.63
23.79,132.5,1.63,0.0,1.33,2.46,1.96,15.0,17.98,1.23,-274.48,40.09,14.49
23.51,120.8,1.63,0.01,1.33,2.08,1.58,15.0,17.99,1.5,-267.81,47.46,13.56
16.57,132.20000000000002,2.05,0.45,2.02,2.0,1.5,15.0,17.98,8.45,-289.36,60.8,13.14
15.65,135.39999999999998,1.97,0.05,1.89,2.19,1.69,14.99,17.96,9.39,-299.86,56.05,13.99
15.9,139.8,1.97,0.04,3.03,2.01,1.5,15.0,18.0,0.44,-253.06,49.42,13.03
15.61,139.70000000000002,1.71,0.12,2.49,2.29,1.79,14.99,17.99,9.4,-301.67,54.68,14.19
15.46,125.0,1.59,0.01,2.96,2.0,1.5,15.0,18.0,9.51,-287.66,52.35,13.24
