X1,X2,X3,X4,X5,X6,X7,X8,X9,ANG,AVG,RIP,COG
15,100,1,3,0.5,15,18,16,16,-48.0,-1133.07,30.58,13.76
17,150,1,1,0.5,15,18,16,16,-25.0,-1860.23,57.66,13.72
24,150,2,1,0.5,12,13,12,12,-31.0,-2148.47,58.61,19.77
22,140,1,3,0.5,10,17,12,0,-40.0,-1431.41,10.8,20.53
16,140,2,1,1.0,15,18,16,16,-26.0,-1680.39,69.02,13.51
22,150,2,2,0.5,12,13,8,8,-45.0,-1739.65,75.81,19.72
22,140,1,2,0.5,10,17,16,6,-43.0,-1560.24,23.62,21.1
21,140,2,2,0.5,15,18,14,8,-37.0,-1919.28,36.82,16.89
19,150,3,1,0.5,15,18,16,12,-35.0,-1935.28,37.03,14.95
19,150,1,3,0.5,15,17,16,14,-42.0,-1701.25,30.35,16.05
21,150,2,2,0.5,15,16,14,12,-36.0,-2065.05,46.41,17.92
18,150,1,1,0.5,15,17,16,16,-25.0,-1942.88,52.22,15.47
23,150,3,1,1.0,11,12,16,16,-27.0,-2130.53,44.67,20.94
21,150,3,1,0.5,15,16,14,12,-33.0,-2094.76,40.77,18.08
17,130,2,3,0.5,15,18,16,14,-47.0,-1524.46,49.12,14.48
22,130,2,2,0.5,12,13,10,8,-46.0,-1681.64,72.22,20.37
22,150,1,3,0.5,13,17,8,0,-38.0,-1533.37,18.5,19.39
16,100,2,1,0.5,15,18,16,16,-32.0,-1465.75,56.51,13.52
23,130,1,2,0.5,15,16,10,8,-42.0,-1862.23,43.21,18.13
16,100,2,2,0.5,15,18,16,16,-45.0,-1377.74,45.34,13.61
21,150,2,1,0.5,15,17,14,10,-34.0,-2006.9,38.35,17.25
19,150,1,3,0.5,14,17,16,14,-43.0,-1647.58,34.97,18.61
22,140,1,2,0.5,14,17,14,8,-41.0,-1812.7,33.38,18.93
16,100,2,1,1.0,15,18,16,16,-28.0,-1476.66,70.25,13.52
16,150,2,1,1.0,15,18,16,16,-26.0,-1723.79,67.86,13.6
17,150,2,2,0.5,15,18,16,16,-38.0,-1767.99,34.26,13.89
15,110,1,3,0.5,15,18,16,16,-47.0,-1185.46,30.52,13.78
25,150,1,2,0.5,12,14,12,8,-39.0,-1978.45,39.16,20.56
18,150,3,1,1.0,15,18,16,14,-30.0,-1856.61,47.99,14.01
18,130,2,2,0.5,15,17,14,16,-39.0,-1714.68,56.22,15.75
18,150,1,2,0.5,15,18,12,8,-45.0,-1434.96,20.57,15.2
19,150,1,3,0.5,14,17,12,8,-48.0,-1458.59,30.0,19.08
22,150,3,1,0.5,15,18,12,6,-29.0,-1984.8,39.67,17.08
25,150,1,2,0.5,12,13,10,8,-43.0,-1886.33,43.99,20.23
22,150,3,1,0.5,12,13,16,16,-30.0,-2108.44,55.12,19.71
23,150,2,1,0.5,15,16,10,8,-34.0,-2103.38,41.51,18.01
19,150,1,3,0.5,15,17,16,12,-45.0,-1593.54,29.59,17.66
16,110,2,3,0.5,15,17,16,16,-48.0,-1444.84,64.68,15.56
22,140,1,2,0.5,10,17,16,2,-41.0,-1498.55,13.28,20.75
17,150,2,1,0.5,15,18,16,16,-31.0,-1821.25,46.82,13.64
23,150,1,1,0.5,11,12,16,16,-28.0,-2115.07,41.74,20.99
23,140,1,2,0.5,12,14,12,8,-44.0,-1727.42,44.18,20.81
21,150,1,3,0.5,14,16,6,2,-43.0,-1581.74,27.77,19.25
22,150,2,2,0.5,15,17,12,8,-36.0,-2046.89,36.67,17.38
16,120,1,3,0.5,15,18,16,14,-48.0,-1268.85,22.87,14.2
21,150,1,3,0.5,13,18,10,0,-37.0,-1548.75,17.19,20.53
23,150,2,1,0.5,11,12,16,16,-29.0,-2119.35,46.52,20.97
16,100,1,3,0.5,15,18,16,16,-47.0,-1234.81,28.11,14.03
18,130,1,3,0.5,15,17,16,16,-43.0,-1529.74,39.88,15.67
24,150,2,1,0.5,12,13,6,4,-44.0,-1791.07,66.84,20.08
21,150,1,2,0.5,15,18,6,0,-36.0,-1657.57,29.77,16.97
16,150,2,2,0.5,15,18,16,16,-40.0,-1621.56,37.36,13.57
22,130,1,2,0.5,10,17,14,0,-40.0,-1453.53,14.39,19.56
17,150,1,2,0.5,15,18,12,6,-45.0,-1327.15,19.48,17.13
21,150,1,3,0.5,12,17,10,0,-40.0,-1500.93,12.0,19.67
23,140,1,2,0.5,11,16,16,8,-41.0,-1761.1,27.46,20.14
22,140,2,2,0.5,15,16,12,10,-38.0,-2024.66,51.03,18.08
22,140,1,3,0.5,11,17,12,0,-39.0,-1483.96,11.27,19.85
15,150,1,3,0.5,15,18,16,16,-46.0,-1313.77,31.49,13.77
23,140,1,2,0.5,15,18,10,4,-36.0,-1909.19,32.96,17.02
17,130,2,2,0.5,15,18,16,16,-41.0,-1625.9,40.55,13.77
18,150,2,2,0.5,15,17,16,16,-37.0,-1858.82,42.23,15.72
18,140,1,3,0.5,15,17,16,16,-42.0,-1601.53,37.81,15.86
22,100,2,2,0.5,15,16,6,4,-45.0,-1664.87,63.54,18.05
23,150,1,2,0.5,10,14,8,0,-44.0,-1604.87,35.67,20.51
22,150,2,2,0.5,12,13,10,8,-45.0,-1747.2,71.58,20.28
15,120,1,3,0.5,15,18,16,16,-47.0,-1215.48,31.19,13.75
16,150,1,4,0.5,15,18,16,16,-47.0,-1270.18,35.65,14.02
22,150,1,3,0.5,13,17,10,2,-40.0,-1551.83,24.62,20.4
16,130,1,4,0.5,15,18,16,16,-48.0,-1299.07,32.12,14.07
17,140,1,3,0.5,15,18,16,12,-48.0,-1403.47,21.74,15.12
17,140,2,3,0.5,15,17,16,16,-42.0,-1620.67,59.93,15.93
16,140,1,4,0.5,15,18,16,14,-48.0,-1286.97,25.78,14.4
17,120,1,3,0.5,15,18,16,14,-48.0,-1345.75,27.96,14.39
15,140,2,3,0.5,15,18,16,12,-48.0,-1421.26,39.08,15.04
17,150,1,3,0.5,14,17,14,8,-48.0,-1339.43,19.19,19.09
23,150,1,2,0.5,15,18,10,4,-34.0,-1958.21,33.36,16.95
22,150,2,2,0.5,15,16,10,8,-37.0,-1989.37,53.67,18.03
21,150,1,3,0.5,15,17,4,0,-38.0,-1650.59,26.1,17.41
17,110,2,3,0.5,15,17,16,16,-48.0,-1472.46,65.96,15.87
22,130,2,2,0.5,10,13,14,8,-46.0,-1635.81,61.97,19.8
18,150,1,2,0.5,15,18,16,14,-39.0,-1684.99,30.97,14.31
22,140,1,3,0.5,14,17,14,8,-42.0,-1704.2,35.43,18.81
22,140,1,2,0.5,15,16,10,8,-42.0,-1796.85,45.62,17.98
22,140,1,3,0.5,14,17,6,0,-39.0,-1607.89,21.74,18.82
22,130,2,2,0.5,15,17,10,6,-40.0,-1842.49,48.45,17.28
22,150,1,2,0.5,10,17,14,0,-40.0,-1488.21,23.08,19.53
15,140,2,3,0.5,15,18,16,16,-48.0,-1427.45,50.35,13.66
22,140,1,2,0.5,15,17,12,8,-41.0,-1847.84,34.29,17.54
17,130,2,3,0.5,15,17,16,16,-44.0,-1601.51,60.24,15.83
22,140,1,2,0.5,10,17,16,4,-43.0,-1518.5,19.34,20.46
25,150,1,2,0.5,10,14,8,0,-44.0,-1697.64,42.55,20.89
22,140,1,3,0.5,10,17,14,0,-40.0,-1437.89,14.25,19.59
22,140,1,2,0.5,10,14,16,8,-45.0,-1538.58,28.76,20.86
16,120,1,3,0.5,15,18,14,16,-47.0,-1277.89,31.52,14.2
23,140,1,2,0.5,10,14,16,8,-45.0,-1628.81,31.41,20.58
16,140,2,3,0.5,15,18,16,16,-45.0,-1541.42,46.96,13.87
21,150,1,3,0.5,13,16,6,0,-41.0,-1546.59,21.4,20.29
22,140,1,2,0.5,12,17,16,8,-41.0,-1731.4,29.66,20.06
22,100,2,2,0.5,15,17,12,8,-44.0,-1717.81,53.82,17.51
