X1,X2,X3,X4,X5,X6,Tavg,Trip,Tcog,Navg,Nrip,Ncog
9.85,10.85,15.85,13.85,0.0,0.0,1443.99,19.08,20.94,0.3329035585353298,0.10382513661202071,0.875
9.85,10.925,15.924999999999999,13.925,0.0,0.0,1448.63,19.14,20.66,0.45255286230015973,0.13661202185792362,0.375
9.85,11.0,16.0,14.0,0.0,0.0,1441.07,19.4,20.58,0.25760701392470386,0.27868852459016313,0.23214285714285443
9.85,11.075,16.075,14.075,0.0,0.0,1446.45,19.35,20.58,0.3963383187209935,0.25136612021857996,0.23214285714285443
9.85,11.15,16.15,14.15,0.0,0.0,1449.31,19.85,20.45,0.470087674058794,0.5245901639344271,0.0
9.925,10.85,15.924999999999999,14.0,0.0,0.0,1432.92,19.51,20.83,0.04744713769984907,0.33879781420765115,0.678571428571424
9.925,10.925,16.0,14.075,0.0,0.0,1432.51,19.59,20.74,0.036874677668903164,0.3825136612021858,0.5178571428571392
9.925,11.0,16.075,14.15,0.0,0.0,1450.07,19.33,20.52,0.48968540484786033,0.24043715846994435,0.125
9.925,11.075,16.15,13.85,0.0,0.0,1462.69,18.89,20.7,0.8151108818978894,0.0,0.4464285714285696
9.925,11.15,15.85,13.925,0.0,0.0,1440.86,20.72,20.88,0.2521918514698293,1.0,0.7678571428571392
10.0,10.85,16.0,14.15,0.0,0.0,1457.59,19.02,20.61,0.6835997937080972,0.07103825136611974,0.2857142857142848
10.0,10.925,16.075,13.85,0.0,0.0,1431.08,19.77,20.94,0.0,0.48087431693989063,0.875
10.0,11.0,16.15,13.925,0.0,0.0,1445.28,19.25,20.72,0.3661681279009813,0.19672131147540972,0.48214285714285443
10.0,11.075,15.85,14.0,0.0,0.0,1438.03,20.32,20.92,0.17921609076843864,0.7814207650273229,0.8392857142857152
10.0,11.15,15.924999999999999,14.075,0.0,0.0,1456.82,20.69,20.77,0.6637441980402277,0.9836065573770505,0.5714285714285696
10.075,10.85,16.075,13.925,0.0,0.0,1457.93,19.2,20.63,0.6923671995874202,0.1693989071038246,0.3214285714285696
10.075,10.925,16.15,14.0,0.0,0.0,1451.96,19.56,20.64,0.5384218669417258,0.3661202185792343,0.3392857142857152
10.075,11.0,15.85,14.075,0.0,0.0,1464.78,19.38,21.01,0.8690046415678202,0.26775956284152946,1.0
10.075,11.075,15.924999999999999,14.15,0.0,0.0,1438.76,20.3,20.69,0.19804022692109513,0.7704918032786893,0.4285714285714304
10.075,11.15,16.0,13.85,0.0,0.0,1458.64,20.08,20.74,0.7106756059824701,0.6502732240437152,0.5178571428571392
10.15,10.85,16.15,14.075,0.0,0.0,1448.03,19.52,20.72,0.43708096957194575,0.344262295081967,0.48214285714285443
10.15,10.925,15.85,14.15,0.0,0.0,1469.86,19.43,20.75,1.0,0.2950819672131146,0.5357142857142848
10.15,11.0,15.924999999999999,13.85,0.0,0.0,1462.84,19.83,20.87,0.8189788550799385,0.5136612021857916,0.75
10.15,11.075,16.0,13.925,0.0,0.0,1442.61,20.03,20.77,0.29731820526044306,0.6229508196721321,0.5714285714285696
10.15,11.15,16.075,14.0,0.0,0.0,1454.96,20.18,20.6,0.6157813305827778,0.7049180327868855,0.26785714285714557
