X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,ANG,AVG,RIP
20,150,3,0.5,1,2.0,1.5,10,10,16,16,-46.0,-1475.01,59.19
23,100,2,0.5,1,2.5,1.5,10,11,0,14,-46.0,-1260.78,144.4
24,130,2,0.5,1,2.0,1.5,11,14,14,8,-45.0,-1635.17,88.44
20,140,2,0.5,2,2.5,1.5,14,18,12,4,-39.0,-1351.03,79.45
15,130,3,0.5,1,2.0,1.5,12,15,14,8,-47.0,-992.64,71.89
15,140,1,0.5,3,2.0,1.5,13,15,4,0,-44.0,-1137.09,102.91
16,140,4,0.5,1,2.0,1.5,14,17,2,0,-35.0,-1263.65,56.12
22,150,1,0.5,1,2.0,1.5,15,15,6,6,-45.0,-1567.33,68.45
21,140,3,0.5,1,2.5,1.5,11,11,10,10,-44.0,-1414.79,78.13
24,110,1,0.5,2,2.0,1.5,12,13,2,0,-44.0,-1620.7,55.4
17,100,2,0.5,1,2.5,1.5,11,13,10,6,-45.0,-769.91,76.15
19,140,1,0.5,1,2.5,1.5,12,13,12,12,-47.0,-1121.67,91.67
20,120,3,0.5,1,2.5,1.5,13,13,10,10,-45.0,-1259.06,82.81
17,100,3,0.5,2,2.5,1.5,10,16,4,2,-39.0,-1021.9,75.94
19,150,3,0.5,1,2.5,1.5,11,11,2,2,-43.0,-1265.77,66.65
25,120,1,0.5,2,2.0,1.5,10,10,16,16,-45.0,-1783.31,40.17
17,140,3,0.5,1,2.5,1.5,10,10,8,8,-44.0,-1046.19,53.57
19,110,3,0.5,1,2.0,1.5,13,15,14,14,-46.0,-1291.93,69.24
22,110,1,0.5,3,2.5,1.5,10,10,0,0,-44.0,-1299.33,46.24
22,100,2,0.5,2,2.0,1.5,10,15,2,2,-44.0,-1493.03,83.01
24,120,2,0.5,1,2.0,1.5,10,12,2,14,-45.0,-1566.47,137.15
16,140,1,0.5,3,2.0,1.5,10,17,8,2,-42.0,-1102.24,106.3
22,140,1,0.5,1,2.0,1.5,10,16,12,10,-45.0,-1367.2,98.81
15,100,1,0.5,4,2.5,1.5,12,14,10,8,-46.0,-765.0,125.95
21,140,2,0.5,1,2.5,1.5,10,10,10,10,-45.0,-1361.57,79.34
24,110,2,0.5,1,2.0,1.5,10,12,8,12,-45.0,-1593.14,96.44
24,140,2,0.5,1,2.0,1.5,14,14,2,4,-45.0,-1728.41,79.95
22,110,2,0.5,2,2.0,1.5,11,13,2,10,-45.0,-1551.43,82.85
21,100,1,0.5,3,2.0,1.5,12,17,10,6,-45.0,-1340.41,69.57
24,120,1,0.5,2,2.5,1.5,11,16,2,6,-44.0,-1387.62,121.84
16,130,4,0.5,1,2.0,1.5,12,17,4,10,-47.0,-1020.01,107.01
15,110,1,0.5,1,2.0,1.5,14,17,8,2,-35.0,-725.57,138.39
16,120,2,0.5,3,2.5,1.5,11,11,4,14,-45.0,-935.2,56.96
23,140,3,0.5,1,2.5,1.5,11,11,14,14,-45.0,-1641.75,92.05
23,140,1,0.5,3,2.5,1.5,15,17,4,0,-35.0,-1502.17,46.31
18,120,1,0.5,2,2.5,1.5,11,13,4,16,-47.0,-924.88,123.32
25,120,2,0.5,1,2.0,1.5,12,12,12,12,-45.0,-1758.85,72.17
24,100,2,0.5,1,2.5,1.5,11,13,0,2,-43.0,-1406.56,87.47
23,110,3,0.5,1,2.5,1.5,10,10,4,4,-43.0,-1487.2,81.03
22,120,3,0.5,1,2.0,1.5,14,16,2,0,-39.0,-1596.53,69.08
18,120,3,0.5,1,2.5,1.5,11,13,10,8,-44.0,-1074.92,75.34
21,100,3,0.5,1,2.0,1.5,10,10,0,8,-45.0,-1373.06,83.45
20,150,3,0.5,1,2.0,1.5,12,16,10,12,-46.0,-1447.55,113.35
16,110,3,0.5,2,2.5,1.5,15,15,2,2,-42.0,-1122.24,48.14
24,120,2,0.5,1,2.0,1.5,11,16,10,0,-40.0,-1527.52,103.85
18,140,3,0.5,1,2.0,1.5,12,14,0,8,-46.0,-1242.45,93.59
19,100,3,0.5,1,2.0,1.5,10,16,0,6,-45.0,-1129.14,118.83
23,150,3,0.5,1,2.5,1.5,10,16,0,0,-40.0,-1402.42,77.89
16,150,2,0.5,3,2.5,1.5,12,12,10,10,-45.0,-1080.44,49.46
25,110,2,0.5,1,2.5,1.5,12,12,2,2,-44.0,-1571.6,88.89
19,120,3,0.5,1,2.5,1.5,14,14,2,2,-43.0,-1205.43,57.16
15,110,1,0.5,1,2.0,1.5,11,11,8,12,-47.0,-640.6,115.42
18,150,3,0.5,1,2.0,1.5,12,12,0,0,-45.0,-1363.85,56.64
24,140,2,0.5,1,2.0,1.5,10,13,10,4,-45.0,-1638.65,92.96
17,120,1,0.5,1,2.0,1.5,13,13,16,16,-47.0,-1009.61,62.49
15,100,1,0.5,4,2.5,1.5,10,16,6,6,-45.0,-646.18,140.89
19,150,1,0.5,3,2.0,1.5,13,17,0,14,-46.0,-1328.44,94.34
24,100,2,0.5,1,2.5,1.5,10,10,4,4,-44.0,-1442.36,83.29
17,110,4,0.5,1,2.5,1.5,13,13,10,10,-44.0,-1030.18,51.45
22,150,1,0.5,3,2.0,1.5,13,13,12,12,-43.0,-1541.12,55.22
22,100,3,0.5,1,2.0,1.5,12,16,8,0,-40.0,-1419.39,99.29
25,110,2,0.5,1,2.5,1.5,14,14,2,8,-45.0,-1536.89,109.36
24,130,2,0.5,1,2.5,1.5,12,16,6,4,-43.0,-1475.52,85.28
23,110,2,0.5,1,2.0,1.5,14,15,8,6,-45.0,-1563.23,82.14
21,110,3,0.5,1,2.5,1.5,10,11,4,2,-43.0,-1294.32,81.99
24,150,2,0.5,1,2.5,1.5,10,13,4,0,-43.0,-1577.53,94.66
18,140,2,0.5,2,2.0,1.5,12,12,10,10,-46.0,-1413.71,42.38
22,140,3,0.5,1,2.0,1.5,11,11,14,14,-45.0,-1654.23,67.64
22,130,3,0.5,1,2.0,1.5,12,13,2,0,-44.0,-1601.77,76.94
19,150,2,0.5,2,2.0,1.5,12,16,12,4,-45.0,-1445.53,78.74
20,100,3,0.5,1,2.5,1.5,14,17,4,4,-40.0,-1208.64,71.8
24,130,1,0.5,1,2.0,1.5,12,12,0,0,-44.0,-1610.28,69.56
18,100,3,0.5,1,2.0,1.5,13,18,2,10,-46.0,-1112.02,112.23
21,130,3,0.5,1,2.0,1.5,10,10,2,2,-44.0,-1542.49,71.6
23,110,2,0.5,1,2.0,1.5,10,11,4,2,-44.0,-1538.06,83.08
15,120,1,0.5,2,2.5,1.5,10,18,16,12,-45.0,-553.72,183.79
17,150,3,0.5,2,2.0,1.5,14,16,10,6,-47.0,-1409.83,54.39
25,150,2,0.5,1,2.5,1.5,10,10,4,4,-44.0,-1774.68,86.09
22,140,2,0.5,2,2.0,1.5,10,10,2,2,-44.0,-1698.83,63.16
22,150,1,0.5,3,2.0,1.5,11,11,2,2,-44.0,-1467.29,35.09
24,100,1,0.5,2,2.5,1.5,12,12,4,4,-44.0,-1445.14,76.05
22,150,1,0.5,3,2.5,1.5,11,11,14,14,-43.0,-1412.66,37.75
18,100,1,0.5,1,2.5,1.5,10,17,0,10,-46.0,-636.6,229.99
25,150,2,0.5,1,2.0,1.5,14,14,4,4,-45.0,-1852.37,78.76
15,130,2,0.5,1,2.0,1.5,13,14,10,8,-47.0,-885.45,59.4
23,110,3,0.5,1,2.5,1.5,10,10,14,14,-45.0,-1485.51,69.76
22,110,3,0.5,1,2.0,1.5,11,11,2,6,-45.0,-1524.04,80.76
22,150,2,0.5,1,2.0,1.5,10,10,10,10,-45.0,-1618.81,69.21
16,100,1,0.5,3,2.0,1.5,14,18,8,0,-35.0,-1207.85,109.95
16,150,3,0.5,2,2.0,1.5,13,15,8,4,-46.0,-1392.71,64.62
18,100,3,0.5,1,2.0,1.5,12,16,10,2,-42.0,-1198.09,87.98
15,140,2,0.5,3,2.5,1.5,12,12,2,8,-45.0,-944.32,71.08
23,120,3,0.5,1,2.5,1.5,12,15,14,8,-45.0,-1387.44,105.27
21,150,2,0.5,1,2.5,1.5,12,14,10,12,-46.0,-1398.14,120.87
19,130,3,0.5,1,2.5,1.5,12,13,8,6,-44.0,-1201.67,74.3
20,140,2,0.5,2,2.5,1.5,10,10,14,16,-45.0,-1365.16,55.5
21,120,3,0.5,1,2.0,1.5,10,10,16,16,-46.0,-1464.08,53.47
17,100,1,0.5,4,2.0,1.5,11,12,14,14,-46.0,-1076.76,138.16
20,150,1,0.5,1,2.5,1.5,11,11,2,2,-46.0,-1174.81,80.33
22,130,3,0.5,1,2.5,1.5,10,10,16,16,-45.0,-1495.87,81.28
18,130,3,0.5,1,2.5,1.5,12,13,16,16,-46.0,-1092.7,86.39
