X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,COG
23,100,1,0.5,3,2.5,1.5,10,12,10,6,20.17
24,150,2,0.5,1,2.5,1.5,14,16,4,0,20.86
15,110,4,0.5,1,2.5,1.5,10,16,12,12,21.74
15,120,4,0.5,1,2.5,1.5,11,17,8,0,19.58
17,120,1,0.5,2,2.5,1.5,13,14,6,4,21.29
19,110,3,0.5,1,2.0,1.5,13,17,12,10,19.87
20,100,1,0.5,3,2.0,1.5,13,15,8,8,20.98
17,110,2,0.5,2,2.0,1.5,12,13,4,6,20.51
19,130,3,0.5,1,2.5,1.5,13,18,8,4,19.33
25,150,2,0.5,1,2.5,1.5,13,16,0,4,20.68
19,130,2,0.5,1,2.0,1.5,14,16,6,10,19.98
22,150,3,0.5,1,2.0,1.5,13,17,8,0,19.42
16,100,3,0.5,2,2.5,1.5,14,15,4,6,20.33
22,100,1,0.5,2,2.5,1.5,10,12,10,14,20.14
15,120,1,0.5,4,2.5,1.5,13,15,4,0,19.68
24,110,1,0.5,2,2.5,1.5,10,16,16,4,21.71
24,130,2,0.5,1,2.5,1.5,13,18,4,0,18.98
21,120,1,0.5,2,2.0,1.5,15,17,6,2,20.91
24,100,2,0.5,1,2.0,1.5,11,17,8,2,19.54
16,100,1,0.5,2,2.5,1.5,10,12,14,10,20.29
15,110,3,0.5,1,2.0,1.5,12,16,4,2,21.03
23,130,3,0.5,1,2.5,1.5,10,12,6,8,21.31
23,150,3,0.5,1,2.5,1.5,10,14,10,2,19.75
20,140,2,0.5,2,2.0,1.5,13,14,8,6,20.7
